player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
John FitzPatrick,TE,ATL,0,0,0,0,0,0,0,0.01932644146490653,0.01881792021525024,0.01677721446361763,0.0177031511008537,0,0.00649552946227403
Van Jefferson,WR,LAR,0,17,0,0,0.00564024360615008,0.01352753976046811,0.00341655624060337,0.15375644296277097,0.1250996158897026,0.1673333631801607,0.15261356766640957,0,0.00270647060928084
James Washington,WR,DAL,0,15,0,0,0.00582920914686898,0.00951621247005529,0.00340745032503827,0.07004131031642603,0.06026785050063592,0.07883756089537437,0.08723376486628097,0,0.00270647060928084
Michael Gallup,WR,DAL,0,9,0,0,0,0,0,0.16881297498399536,0.14021588403981472,0.16147964882177426,0.13390714977613655,0,0.00270647060928084
Donald Parham,TE,LAC,0,14,0,0,0,0,0,0.0396305119533699,0.04373390745614796,0.03744153843485189,0.05607444646242732,0,0.00270647060928084
Teagan Quitoriano,TE,HOU,0,0,0,0,0,0,0,0.03219585775011262,0.03131870139996936,0.02875289259915231,0.03131537439871927,0,0.00649552946227403
Greg Dulcich,TE,DEN,0,0,0,0,0,0,0,0.0938437024428029,0.09035428268435916,0.08384117029211238,0.0929002934944235,0,0.00649552946227403
Tim Patrick,WR,DEN,0,16,0,0,0,0,0,0.1499888421766256,0.13761111325336026,0.17423216481446918,0.19577911660880848,0,0.00270647060928084
Brian Robinson,RB,WAS,0,0,0,0,0.26060607094195437,0.2724173456926382,0.24864007421412396,0.07200226551309961,0.06764888642128473,0.06334163912461462,0.0620276083451057,0,0.00649552946227403
Tommy Hudson,TE,TEN,0,5,0,0,0,0,0,0.03267368009823077,0.02365027086330805,0.0269375236529026,0.01492866564643607,0,0.00270647060928084
Greg Ward,WR,PHI,0,17,0,0,0,0,0,0.01740310826312972,0.01746111041852856,0.01922152071453791,0.06958532678054064,0,0.00270647060928084
Blake Bell,TE,KC,0,16,0,0,0.00750877252599098,0.00404181817326688,0.00349073270634911,0.02379546798343463,0.02482634682445145,0.02120739967552806,0.01232470254529236,0,0.00270647060928084
DeAndre Hopkins,WR,ARI,0,10,0,0,0,0,0,0.12308031535946352,0.11020664914000104,0.1348985619133535,0.20597180546145807,0,0.00270647060928084
Antoine Wesley,WR,ARI,0,15,0,0,0,0,0,0.04102677178648783,0.03323692593111142,0.03270268167596449,0.05446242521683055,0,0.00270647060928084
Rondale Moore,WR,ARI,0,14,0,0,0.03128991703984226,0.03378289845566075,0.01449359245111961,0.08791451097104536,0.10121018798571524,0.07327781522516082,0.05435188751220884,0,0.01090028085788561
Tyquan Thornton,WR,NE,0,0,0,0,0,0,0,0.12082749735709793,0.12138665328431472,0.10850955437754868,0.11871360097189287,0,0.00649552946227403
Adam Shaheen,TE,MIA,0,12,0,0,0,0,0,0.02913627581797242,0.03052675858836649,0.03101705851633889,0.01601250087347069,0,0.00270647060928084
Tajae Sharpe,WR,CHI,0,15,0,0,0,0,0,0.06162982498711465,0.05862885068579232,0.05072030738475165,0.03525893809453137,0,0.00270647060928084
Velus Jones,WR,CHI,0,0,0,0,0,0,0,0.1150625887542339,0.10658670352843068,0.0987118516594244,0.13166349059583374,0,0.00649552946227403
Charlie Kolar,TE,BAL,0,0,0,0,0,0,0,0.06804524030361071,0.06526080057954196,0.06456780157517995,0.06472971075989395,0,0.00649552946227403
Calvin Austin,WR,PIT,0,0,0,0,0,0,0,0.06002366126923558,0.0576505016923745,0.05392930494814105,0.05611489841876434,0,0.00649552946227403
Jeremy McNichols,RB,PIT,0,14,0,0,0.08393922823551389,0.07143495107456187,0.04678787239214784,0.07708345161938668,0.08129718907148877,0.06846566997119707,0.06006840916615134,0,0.00270647060928084
