Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,-9999
25,Michael Burton,0,0,0,0,0,Sun,12,13,2022-12-04,30-306,KAN,@,CIN,L 24-27,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
26,Giovani Bernard,0,0,0,0,0,Sun,2,2,2022-09-18,30-300,TAM,@,NOR,W 20-10,0,0,0,14,14,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BernGi00
27,Michael Burton,0,0,0,0,0,Sun,10,11,2022-11-20,30-292,KAN,@,LAC,W 30-27,0,0,0,20,20,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
28,Keith Smith,0,0,0,0,0,Sun,17,18,2023-01-08,30-275,ATL,,TAM,W 30-17,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
29,Jake Kumerow,0,0,0,0,0,Sun,9,10,2022-11-13,30-269,BUF,,MIN,L 30-33 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,KumeJa00
30,Keith Smith,0,0,0,0,0,Sun,16,17,2023-01-01,30-268,ATL,,ARI,W 20-19,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
31,Michael Burton,0,0,0,0,0,Sun,7,7,2022-10-23,30-264,KAN,@,SFO,W 44-23,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
32,Keith Smith,0,0,0,0,0,Sat,15,16,2022-12-24,30-260,ATL,@,BAL,L 9-17,0,0,0,16,16,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
33,Keith Smith,0,0,0,0,0,Sun,13,13,2022-12-04,30-240,ATL,,PIT,L 16-19,0,0,0,10,10,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
34,Michael Burton,0,0,0,0,0,Sun,1,1,2022-09-11,30-222,KAN,@,ARI,W 44-21,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
35,Keith Smith,0,0,0,0,0,Thu,10,10,2022-11-10,30-216,ATL,@,CAR,L 15-25,0,0,0,11,11,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
36,Keith Smith,0,0,0,0,0,Sun,9,9,2022-11-06,30-212,ATL,,LAC,L 17-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
37,Keith Smith,0,0,0,0,0,Sun,8,8,2022-10-30,30-205,ATL,,CAR,W 37-34 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
38,Chris Manhertz,0,0,0,0,0,Sun,6,6,2022-10-16,30-189,JAX,@,IND,L 27-34,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,ManhCh00
39,Kevin White,0,0,0,0,0,Sun,12,12,2022-11-27,30-155,NOR,@,SFO,L 0-13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,WhitKe00
40,Kevin White,0,0,0,0,0,Sun,8,8,2022-10-30,30-127,NOR,,LVR,W 24-0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,WhitKe00
41,Tyler Kroft,0,0,0,0,0,Sat,15,16,2022-12-24,30-070,SFO,,WAS,W 37-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,KrofTy00
42,Tyler Kroft,0,0,0,0,0,Sun,13,14,2022-12-11,30-057,SFO,,TAM,W 35-7,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,KrofTy00
43,Alex Erickson,0,0,0,0,0,Sun,13,13,2022-12-04,30-028,WAS,@,NYG,T 20-20 (OT),0,0,0,25,25,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,EricAl01
