Rk,Player,STSnp,Day,G#,Week,Date,Age,Team,,Opp,Result,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
42,Taiwan Jones,20,Thu,12,13,2022-12-01,34-128,BUF,@,NWE,W 24-10,0,0.0,0,0.0,20,83.3,RB,JoneTa00
43,Taiwan Jones,20,Thu,11,12,2022-11-24,34-121,BUF,@,DET,W 28-25,0,0.0,0,0.0,20,76.9,RB,JoneTa00
44,Taiwan Jones,23,Sun,10,11,2022-11-20,34-117,BUF,,CLE,W 31-23,0,0.0,0,0.0,23,76.7,RB,JoneTa00
45,Taiwan Jones,26,Sun,9,10,2022-11-13,34-110,BUF,,MIN,L 30-33 (OT),0,0.0,0,0.0,26,78.8,RB,JoneTa00
46,A.J. Green,1,Sun,10,10,2022-11-13,34-105,ARI,@,LAR,W 27-17,30,44.1,0,0.0,1,3.6,WR,GreeA.00
47,Taiwan Jones,18,Sun,8,9,2022-11-06,34-103,BUF,@,NYJ,L 17-20,0,0.0,0,0.0,18,78.3,RB,JoneTa00
48,Taiwan Jones,13,Sun,7,8,2022-10-30,34-096,BUF,,GNB,W 27-17,0,0.0,0,0.0,13,59.1,RB,JoneTa00
49,Taiwan Jones,8,Sun,6,6,2022-10-16,34-082,BUF,@,KAN,W 24-20,0,0.0,0,0.0,8,34.8,RB,JoneTa00
50,Taiwan Jones,18,Sun,5,5,2022-10-09,34-075,BUF,,PIT,W 38-3,0,0.0,0,0.0,18,72.0,RB,JoneTa00
51,Taiwan Jones,19,Sun,4,4,2022-10-02,34-068,BUF,@,BAL,W 23-20,0,0.0,0,0.0,19,76.0,RB,JoneTa00
52,Taiwan Jones,16,Sun,3,3,2022-09-25,34-061,BUF,@,MIA,L 19-21,0,0.0,0,0.0,16,72.7,RB,JoneTa00
53,Taiwan Jones,20,Mon,2,2,2022-09-19,34-055,BUF,,TEN,W 41-7,0,0.0,0,0.0,20,74.1,RB,JoneTa00
54,Taiwan Jones,11,Thu,1,1,2022-09-08,34-044,BUF,@,LAR,W 31-10,0,0.0,0,0.0,11,57.9,RB,JoneTa00
55,Julio Jones,1,Sun,16,17,2023-01-01,33-332,TAM,,CAR,W 30-24,22,28.2,0,0.0,1,3.2,WR,JoneJu02
56,Julio Jones,1,Sun,10,10,2022-11-13,33-283,TAM,,SEA,W 21-16,38,50.7,0,0.0,1,4.8,WR,JoneJu02
57,Cole Beasley,8,Sun,4,4,2022-10-02,33-159,TAM,,KAN,L 31-41,4,6.3,0,0.0,8,26.7,WR,BeasCo00
58,Cole Beasley,3,Sun,3,3,2022-09-25,33-152,TAM,,GNB,L 12-14,9,13.8,0,0.0,3,12.0,WR,BeasCo00
