Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
23,Michael Woods II,1,2,0,0,2,Sat,14,15,12/17/2022,22-273,CLE,,BAL,W 13-3,2,-5,-1,-1,0,0,0,0,0,0,1,-5,-5,0,,2,1,4,4,0,50,2,,0,0,0,,0,0,,0,0,0,WR,6-202,WoodMi00
24,Michael Woods II,0,2,0,0,1,Mon,8,8,10/31/2022,22-226,CLE,,CIN,W 32-13,1,0,6,6,0,0,0,0,0,0,0,0,,0,0,2,1,6,6,0,50,3,1,0,0,0,,0,0,,0,0,0,WR,6-202,WoodMi00
25,Michael Woods II,0,2,0,0,1,Sun,6,6,10/16/2022,22-211,CLE,,NWE,L 15-38,1,0,15,15,0,0,0,0,0,0,0,0,,0,0,2,1,15,15,0,50,7.5,1,0,0,0,,0,0,,0,0,0,WR,6-202,WoodMi00
26,Jelani Woods,0,4,0,0,1,Sun,17,18,1/8/2023,24-091,IND,,HOU,L 31-32,1,0,9,9,0,0,0,0,0,0,0,0,,0,,4,1,9,9,0,25,2.3,,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
27,Jelani Woods,0,4,0,0,3,Sun,16,17,1/1/2023,24-084,IND,@,NYG,L 10-38,3,0,19,19,0,0,0,0,0,0,0,0,,0,0,4,3,19,6.3,0,75,4.8,1,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
28,Jelani Woods,0,5,0,0,3,Mon,15,16,12/26/2022,24-078,IND,,LAC,L 3-20,3,0,43,43,0,0,0,0,0,0,0,0,,0,0,5,3,43,14.3,0,60,8.6,2,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
29,Jelani Woods,0,1,0,0,1,Sat,14,15,12/17/2022,24-069,IND,@,MIN,L 36-39 (OT),1,0,36,36,0,0,0,0,0,0,0,0,,0,0,1,1,36,36,0,100,36,1,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
30,Jelani Woods,0,4,0,0,2,Sun,13,13,12/4/2022,24-056,IND,@,DAL,L 19-54,2,0,28,28,0,0,0,0,0,0,0,0,,0,0,4,2,28,14,0,50,7,1,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
31,Jelani Woods,0,9,1,0,8,Mon,12,12,11/28/2022,24-050,IND,,PIT,L 17-24,8,0,98,98,0,1,0,0,0,0,0,0,,0,0,9,8,98,12.3,0,88.9,10.9,5,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
32,Jelani Woods,0,3,0,0,1,Sun,9,9,11/6/2022,24-028,IND,@,NWE,L 3-26,1,0,2,2,0,0,0,0,0,0,0,0,,0,,3,1,2,2,0,33.3,0.7,,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
33,Jelani Woods,0,2,0,0,1,Sun,7,7,10/23/2022,24-014,IND,@,TEN,L 10-19,1,0,4,4,0,0,0,0,0,0,0,0,,0,0,2,1,4,4,0,50,2,1,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
34,Jelani Woods,0,3,0,1,2,Sun,6,6,10/16/2022,24-007,IND,,JAX,W 34-27,2,0,27,27,0,0,0,0,0,0,0,0,,0,0,3,2,27,13.5,1,66.7,9,2,1,0,0,,0,0,,0,0,6,TE,Mar-73,WoodJe01
35,Jelani Woods,0,1,0,0,1,Sun,4,4,10/2/2022,23-358,IND,,TEN,L 17-24,1,0,33,33,0,0,0,0,0,0,0,0,,0,0,1,1,33,33,0,100,33,1,0,0,0,,0,0,,0,0,0,TE,Mar-73,WoodJe01
36,Jelani Woods,0,3,0,2,2,Sun,3,3,9/25/2022,23-351,IND,,KAN,W 20-17,2,0,13,13,0,0,0,0,0,0,0,0,,0,0,3,2,13,6.5,2,66.7,4.3,2,2,0,0,,0,0,,0,0,12,TE,Mar-73,WoodJe01
37,Jameis Winston,2,0,2,0,2,Sun,3,3,9/25/2022,28-262,NOR,@,CAR,L 14-22,2,347,5,3,0,2,2,-2,0,0,2,5,2.5,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,1-Jan,WinsJa00
38,Jameis Winston,1,0,1,0,1,Sun,2,2,9/18/2022,28-255,NOR,,TAM,L 10-20,1,210,2,2,0,1,0,0,0,0,1,2,2,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,1-Jan,WinsJa00
39,Jameis Winston,2,0,0,0,2,Sun,1,1,9/11/2022,28-248,NOR,@,ATL,W 27-26,2,243,9,9,0,0,0,0,0,0,2,9,4.5,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,1-Jan,WinsJa00
40,Juwann Winfree,0,1,0,0,1,Sun,1,1,9/11/2022,26-007,GNB,@,MIN,L 7-23,1,0,17,17,0,0,0,0,0,0,0,0,,0,0,1,1,17,17,0,100,17,1,0,0,0,,0,0,,0,0,0,WR,6-187,WinfJu00
41,Zach Wilson,1,0,0,0,1,Thu,15,16,12/22/2022,23-141,NYJ,,JAX,L 3-19,1,72,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
42,Zach Wilson,3,0,0,0,3,Sun,14,15,12/18/2022,23-137,NYJ,,DET,L 17-20,3,294,7,7,0,0,0,0,0,0,3,7,2.3,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
