Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
1061,Dameon Pierce,11,1,0,0,12,Sun,1,1,9/11/2022,22-204,HOU,,IND,T 20-20 (OT),12,33,39,39,0,0,0,0,0,0,11,33,3,0,2,1,1,6,6,0,100,6,0,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1062,Dameon Pierce,15,1,0,0,16,Sun,2,2,9/18/2022,22-211,HOU,@,DEN,L 9-16,16,69,77,77,0,0,0,0,0,0,15,69,4.6,0,6,1,1,8,8,0,100,8,0,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1063,Dameon Pierce,20,2,2,1,22,Sun,3,3,9/25/2022,22-218,HOU,@,CHI,L 20-23,22,80,101,101,0,2,0,0,0,0,20,80,4,1,5,2,2,21,10.5,0,100,10.5,1,1,0,0,,0,0,,0,0,6,RB,4-107,PierDa01
1064,Dameon Pierce,14,6,0,1,20,Sun,4,4,10/2/2022,22-225,HOU,,LAC,L 24-34,20,131,139,139,0,0,0,0,0,0,14,131,9.4,1,2,6,6,8,1.3,0,100,1.3,0,1,0,0,,0,0,,0,0,6,RB,4-107,PierDa01
1065,Dameon Pierce,26,5,0,1,29,Sun,5,5,10/9/2022,22-232,HOU,@,JAX,W 13-6,29,99,113,113,0,0,0,0,0,0,26,99,3.8,1,6,5,3,14,4.7,0,60,2.8,1,1,0,0,,0,0,,0,0,6,RB,4-107,PierDa01
1066,Dameon Pierce,20,4,0,0,24,Sun,6,7,10/23/2022,22-246,HOU,@,LVR,L 20-38,24,92,117,117,0,0,0,0,0,0,20,92,4.6,0,7,4,4,25,6.3,0,100,6.3,1,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1067,Dameon Pierce,15,5,0,1,18,Sun,7,8,10/30/2022,22-253,HOU,,TEN,L 10-17,18,35,51,51,0,0,0,0,0,0,15,35,2.3,0,4,5,3,16,5.3,1,60,3.2,1,1,0,0,,0,0,,0,0,6,RB,4-107,PierDa01
1068,Dameon Pierce,27,0,0,0,27,Thu,8,9,11/3/2022,22-257,HOU,,PHI,L 17-29,27,139,139,139,0,0,0,0,0,0,27,139,5.1,0,8,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1069,Dameon Pierce,17,3,1,0,19,Sun,9,10,11/13/2022,22-267,HOU,@,NYG,L 16-24,19,94,122,122,0,1,0,0,0,0,17,94,5.5,0,6,3,2,28,14,0,66.7,9.3,2,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1070,Dameon Pierce,10,3,0,0,12,Sun,10,11,11/20/2022,22-274,HOU,,WAS,L 10-23,12,8,17,17,0,0,0,0,0,0,10,8,0.8,0,1,3,2,9,4.5,0,66.7,3,0,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1071,Dameon Pierce,5,6,0,0,8,Sun,11,12,11/27/2022,22-281,HOU,@,MIA,L 15-30,8,8,16,16,0,0,0,0,0,0,5,8,1.6,0,,6,3,8,2.7,0,50,1.3,,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1072,Dameon Pierce,18,3,0,0,21,Sun,12,13,12/4/2022,22-288,HOU,,CLE,L 14-27,21,73,95,95,0,0,0,0,0,0,18,73,4.1,0,3,3,3,22,7.3,0,100,7.3,1,0,0,0,,0,0,,0,0,0,RB,4-107,PierDa01
1073,Dameon Pierce,22,0,1,1,22,Sun,13,14,12/11/2022,22-295,HOU,@,DAL,L 23-27,22,78,78,78,0,1,0,0,0,0,22,78,3.5,1,4,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,RB,4-107,PierDa01
1074,Alec Pierce,0,5,0,0,3,Sun,3,3,9/25/2022,22-146,IND,,KAN,W 20-17,3,0,61,61,0,0,0,0,0,0,0,0,,0,0,5,3,61,20.3,0,60,12.2,3,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1075,Alec Pierce,0,6,0,0,4,Sun,4,4,10/2/2022,22-153,IND,,TEN,L 17-24,4,0,80,80,0,0,0,0,0,0,0,0,,0,0,6,4,80,20,0,66.7,13.3,3,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1076,Alec Pierce,0,9,1,0,8,Thu,5,5,10/6/2022,22-157,IND,@,DEN,W 12-9 (OT),8,0,81,81,0,1,0,0,0,0,0,0,,0,0,9,8,81,10.1,0,88.9,9,5,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1077,Alec Pierce,0,7,0,1,3,Sun,6,6,10/16/2022,22-167,IND,,JAX,W 34-27,3,0,49,49,0,0,0,0,0,0,0,0,,0,0,7,3,49,16.3,1,42.9,7,2,1,0,0,,0,0,,0,0,6,WR,Feb-53,PierAl00
1078,Alec Pierce,0,4,0,0,3,Sun,7,7,10/23/2022,22-174,IND,@,TEN,L 10-19,3,0,37,37,0,0,0,0,0,0,0,0,,0,0,4,3,37,12.3,0,75,9.3,2,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1079,Alec Pierce,0,5,0,0,3,Sun,8,8,10/30/2022,22-181,IND,,WAS,L 16-17,3,0,65,65,0,0,0,0,0,0,0,0,,0,0,5,3,65,21.7,0,60,13,2,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1080,Alec Pierce,0,2,0,0,1,Sun,9,9,11/6/2022,22-188,IND,@,NWE,L 3-26,1,0,23,23,0,0,0,0,0,0,0,0,,0,0,2,1,23,23,0,50,11.5,1,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1081,Alec Pierce,0,8,0,0,3,Sun,11,11,11/20/2022,22-202,IND,,PHI,L 16-17,3,0,28,28,0,0,0,0,0,0,0,0,,0,0,8,3,28,9.3,0,37.5,3.5,1,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1082,Alec Pierce,0,8,0,1,4,Sun,13,13,12/4/2022,22-216,IND,@,DAL,L 19-54,4,0,86,86,0,0,0,0,0,0,0,0,,0,0,8,4,86,21.5,1,50,10.8,4,1,0,0,,0,0,,0,0,6,WR,Feb-53,PierAl00
1083,Alec Pierce,0,4,0,0,3,Mon,15,16,12/26/2022,22-238,IND,,LAC,L 3-20,3,0,26,26,0,0,0,0,0,0,0,0,,0,0,4,3,26,8.7,0,75,6.5,2,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1084,Alec Pierce,0,5,0,0,3,Sun,16,17,1/1/2023,22-244,IND,@,NYG,L 10-38,3,0,15,15,0,0,0,0,0,0,0,0,,0,,5,3,15,5,0,60,3,,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1085,Alec Pierce,0,4,0,0,3,Sun,17,18,1/8/2023,22-251,IND,,HOU,L 31-32,3,0,42,42,0,0,0,0,0,0,0,0,,0,0,4,3,42,14,0,75,10.5,3,0,0,0,,0,0,,0,0,0,WR,Feb-53,PierAl00
1086,Kenny Pickett,6,0,1,2,6,Sun,4,4,10/2/2022,24-118,PIT,,NYJ,L 20-24,6,135,15,15,0,1,0,0,0,0,6,15,2.5,2,4,0,0,0,,0,,,0,2,0,0,,0,0,,0,0,12,QB,20-Jan,PickKe00
1087,Kenny Pickett,1,0,0,0,1,Sun,5,5,10/9/2022,24-125,PIT,@,BUF,L 3-38,1,320,10,10,0,0,0,0,0,0,1,10,10,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1088,Kenny Pickett,2,0,0,0,2,Sun,6,6,10/16/2022,24-132,PIT,,TAM,W 20-18,2,71,16,16,0,0,0,0,0,0,2,16,8,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1089,Kenny Pickett,3,0,0,0,3,Sun,7,7,10/23/2022,24-139,PIT,@,MIA,L 10-16,3,266,20,20,0,0,0,0,0,0,3,20,6.7,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1090,Kenny Pickett,7,0,2,0,7,Sun,8,8,10/30/2022,24-146,PIT,@,PHI,L 13-35,7,190,37,37,0,2,0,0,0,0,7,37,5.3,0,4,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1091,Kenny Pickett,8,0,0,1,8,Sun,9,10,11/13/2022,24-160,PIT,,NOR,W 20-10,8,213,51,51,0,0,0,0,0,0,8,51,6.4,1,4,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,20-Jan,PickKe00
1092,Kenny Pickett,2,0,0,0,2,Sun,10,11,11/20/2022,24-167,PIT,,CIN,L 30-37,2,263,14,14,0,0,0,0,0,0,2,14,7,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1093,Kenny Pickett,6,0,0,0,6,Mon,11,12,11/28/2022,24-175,PIT,@,IND,W 24-17,6,183,32,32,0,0,0,0,0,0,6,32,5.3,0,2,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1094,Kenny Pickett,7,0,0,0,7,Sun,12,13,12/4/2022,24-181,PIT,@,ATL,W 19-16,7,211,14,14,0,0,0,0,0,0,7,14,2,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1095,Kenny Pickett,2,0,0,0,2,Sun,13,14,12/11/2022,24-188,PIT,,BAL,L 14-16,2,9,16,16,0,0,0,0,0,0,2,16,8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1096,Kenny Pickett,3,0,0,0,3,Sat,15,16,12/24/2022,24-201,PIT,,LVR,W 13-10,3,253,9,9,0,0,0,0,0,0,3,9,3,0,2,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1097,Kenny Pickett,5,0,0,0,5,Sun,16,17,1/1/2023,24-209,PIT,@,BAL,W 16-13,5,155,2,2,0,0,0,0,0,0,5,2,0.4,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1098,Kenny Pickett,3,0,1,0,3,Sun,17,18,1/8/2023,24-216,PIT,,CLE,W 28-14,3,190,1,-1,0,1,0,-2,0,0,3,1,0.3,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,20-Jan,PickKe00
1099,George Pickens,0,3,0,0,1,Sun,1,1,9/11/2022,21-191,PIT,@,CIN,W 23-20 (OT),1,0,3,3,0,0,0,0,0,0,0,0,,0,,3,1,3,3,0,33.3,1,,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1100,George Pickens,0,2,0,0,1,Sun,2,2,9/18/2022,21-198,PIT,,NWE,L 14-17,1,0,23,23,0,0,0,0,0,0,0,0,,0,0,2,1,23,23,0,50,11.5,1,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1101,George Pickens,0,7,0,0,3,Thu,3,3,9/22/2022,21-202,PIT,@,CLE,L 17-29,3,0,39,39,0,0,0,0,0,0,0,0,,0,0,7,3,39,13,0,42.9,5.6,1,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1102,George Pickens,0,8,0,0,6,Sun,4,4,10/2/2022,21-212,PIT,,NYJ,L 20-24,6,0,102,102,0,0,0,0,0,0,0,0,,0,0,8,6,102,17,0,75,12.8,4,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1103,George Pickens,0,8,0,0,6,Sun,5,5,10/9/2022,21-219,PIT,@,BUF,L 3-38,6,0,83,83,0,0,0,0,0,0,0,0,,0,0,8,6,83,13.8,0,75,10.4,6,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1104,George Pickens,1,6,0,0,4,Sun,6,6,10/16/2022,21-226,PIT,,TAM,W 20-18,4,1,28,28,0,0,0,0,0,0,1,1,1,0,0,6,3,27,9,0,50,4.5,1,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1105,George Pickens,0,6,0,1,6,Sun,7,7,10/23/2022,21-233,PIT,@,MIA,L 10-16,6,0,61,61,0,0,0,0,0,0,0,0,,0,0,6,6,61,10.2,1,100,10.2,4,1,0,0,,0,0,,0,0,6,WR,Feb-52,PickGe00
1106,George Pickens,2,4,0,1,5,Sun,9,10,11/13/2022,21-254,PIT,,NOR,W 20-10,5,23,55,55,0,0,0,0,0,0,2,23,11.5,1,2,4,3,32,10.7,0,75,8,2,1,0,0,,0,0,,0,0,6,WR,Feb-52,PickGe00
1107,George Pickens,0,6,0,1,4,Sun,10,11,11/20/2022,21-261,PIT,,CIN,L 30-37,4,0,83,83,0,0,0,0,0,0,0,0,,0,0,6,4,83,20.8,1,66.7,13.8,3,1,0,0,,0,0,,0,0,6,WR,Feb-52,PickGe00
1108,George Pickens,0,6,0,0,3,Mon,11,12,11/28/2022,21-269,PIT,@,IND,W 24-17,3,0,57,57,0,0,0,0,0,0,0,0,,0,0,6,3,57,19,0,50,9.5,3,0,0,0,,0,0,,1,0,2,WR,Feb-52,PickGe00
1109,George Pickens,0,2,0,0,1,Sun,12,13,12/4/2022,21-275,PIT,@,ATL,W 19-16,1,0,2,2,0,0,0,0,0,0,0,0,,0,,2,1,2,2,0,50,1,,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1110,George Pickens,0,3,0,0,3,Sun,13,14,12/11/2022,21-282,PIT,,BAL,L 14-16,3,0,78,78,0,0,0,0,0,0,0,0,,0,0,3,3,78,26,0,100,26,3,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1111,George Pickens,0,5,0,0,2,Sun,14,15,12/18/2022,21-289,PIT,@,CAR,W 24-16,2,0,53,53,0,0,0,0,0,0,0,0,,0,0,5,2,53,26.5,0,40,10.6,2,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1112,George Pickens,0,5,0,1,5,Sat,15,16,12/24/2022,21-295,PIT,,LVR,W 13-10,5,0,57,57,0,0,0,0,0,0,0,0,,0,0,5,5,57,11.4,1,100,11.4,3,1,0,0,,0,0,,0,0,6,WR,Feb-52,PickGe00
1113,George Pickens,0,4,0,0,2,Sun,16,17,1/1/2023,21-303,PIT,@,BAL,W 16-13,2,0,29,29,0,0,0,0,0,0,0,0,,0,0,4,2,29,14.5,0,50,7.3,2,0,0,0,,0,0,,0,0,0,WR,Feb-52,PickGe00
1114,George Pickens,0,6,0,1,3,Sun,17,18,1/8/2023,21-310,PIT,,CLE,W 28-14,3,0,72,72,0,0,0,0,0,0,0,0,,0,0,6,3,72,24,1,50,12,3,1,0,0,,0,0,,0,0,6,WR,Feb-52,PickGe00
1115,Kyle Philips,0,9,1,0,6,Sun,1,1,9/11/2022,23-086,TEN,,NYG,L 20-21,6,0,66,128,62,1,0,0,0,0,0,0,,0,0,9,6,66,11,0,66.7,7.3,3,0,0,0,,0,0,,0,0,0,WR,5-163,PhilKy01
1116,Kyle Philips,0,1,1,0,1,Mon,2,2,9/19/2022,23-094,TEN,@,BUF,L 7-41,1,0,5,5,0,1,0,0,0,0,0,0,,0,,1,1,5,5,0,100,5,,0,0,0,,0,0,,0,0,0,WR,5-163,PhilKy01
1117,Kyle Philips,0,2,0,0,1,Sun,5,5,10/9/2022,23-114,TEN,@,WAS,W 21-17,1,0,7,7,0,0,0,0,0,0,0,0,,0,,2,1,7,7,0,50,3.5,,0,0,0,,0,0,,0,0,0,WR,5-163,PhilKy01
1118,Dante Pettis,0,1,0,1,1,Sun,1,1,9/11/2022,26-323,CHI,,SFO,W 19-10,1,0,51,51,0,0,0,0,0,0,0,0,,0,0,1,1,51,51,1,100,51,1,1,0,0,,0,0,,0,0,6,WR,Feb-44,PettDa00
1119,Dante Pettis,0,7,0,1,4,Thu,6,6,10/13/2022,26-355,CHI,,WAS,L 7-12,4,0,84,84,0,0,0,0,0,0,0,0,,0,0,7,4,84,21,1,57.1,12,3,1,0,0,,0,0,,0,0,6,WR,Feb-44,PettDa00
1120,Dante Pettis,1,1,1,0,2,Mon,7,7,10/24/2022,27-001,CHI,@,NWE,W 33-14,2,29,31,64,33,1,1,0,0,0,1,29,29,0,1,1,1,2,2,0,100,2,0,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1121,Dante Pettis,0,5,0,0,4,Sun,8,8,10/30/2022,27-007,CHI,@,DAL,L 29-49,4,0,18,27,9,0,0,0,0,0,0,0,,0,,5,4,18,4.5,0,80,3.6,,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1122,Dante Pettis,0,1,0,0,1,Sun,9,9,11/6/2022,27-014,CHI,,MIA,L 32-35,1,0,12,14,2,0,0,0,0,0,0,0,,0,0,1,1,12,12,0,100,12,1,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1123,Dante Pettis,1,1,0,0,2,Sun,10,10,11/13/2022,27-021,CHI,,DET,L 30-31,2,8,17,61,44,0,0,0,0,0,1,8,8,0,1,1,1,9,9,0,100,9,0,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1124,Dante Pettis,0,2,0,0,1,Sun,12,12,11/27/2022,27-035,CHI,@,NYJ,L 10-31,1,0,12,24,12,0,0,0,0,0,0,0,,0,0,2,1,12,12,0,50,6,1,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1125,Dante Pettis,0,2,0,0,1,Sun,13,13,12/4/2022,27-042,CHI,,GNB,L 19-28,1,0,14,32,18,0,0,0,0,0,0,0,,0,,2,1,14,14,0,50,7,,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1126,Dante Pettis,0,4,0,0,1,Sun,14,15,12/18/2022,27-056,CHI,,PHI,L 20-25,1,0,13,37,24,0,0,0,0,0,0,0,,0,0,4,1,13,13,0,25,3.3,1,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1127,Dante Pettis,0,5,0,1,2,Sat,15,16,12/24/2022,27-062,CHI,,BUF,L 13-35,2,0,11,23,12,0,0,0,0,0,0,0,,0,0,5,2,11,5.5,1,40,2.2,1,1,0,0,,0,0,,0,0,6,WR,Feb-44,PettDa00
1128,Dante Pettis,0,6,0,0,2,Sun,17,18,1/8/2023,27-077,CHI,,MIN,L 13-29,2,0,19,17,-2,0,0,0,0,0,0,0,,0,0,6,2,19,9.5,0,33.3,3.2,1,0,0,0,,0,0,,0,0,0,WR,Feb-44,PettDa00
1129,Nathan Peterman,2,0,0,0,2,Sun,17,18,1/8/2023,28-249,CHI,,MIN,L 13-29,2,115,7,7,0,0,0,0,0,0,2,7,3.5,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,5-171,PeteNa00
1130,Breshad Perriman,1,3,0,0,1,Sun,1,1,9/11/2022,29-001,TAM,@,DAL,W 19-3,1,-7,-7,-7,0,0,0,0,0,0,1,-7,-7,0,,3,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,WR,26-Jan,PerrBr02
1131,Breshad Perriman,0,5,0,1,3,Sun,2,2,9/18/2022,29-008,TAM,@,NOR,W 20-10,3,0,45,45,0,0,0,0,0,0,0,0,,0,0,5,3,45,15,1,60,9,2,1,0,0,,0,0,,0,0,6,WR,26-Jan,PerrBr02
1132,Breshad Perriman,1,4,2,0,4,Sun,3,3,9/25/2022,29-015,TAM,,GNB,L 12-14,4,0,44,32,0,2,0,-12,0,0,1,0,0,0,0,4,3,44,14.7,0,75,11,1,0,0,0,,0,0,,0,0,0,WR,26-Jan,PerrBr02
1133,Breshad Perriman,0,1,0,0,1,Thu,8,8,10/27/2022,29-047,TAM,,BAL,L 22-27,1,0,11,11,0,0,0,0,0,0,0,0,,0,0,1,1,11,11,0,100,11,1,0,0,0,,0,0,,0,0,0,WR,26-Jan,PerrBr02
1134,Breshad Perriman,0,2,0,0,1,Sun,9,9,11/6/2022,29-057,TAM,,LAR,W 16-13,1,0,1,1,0,0,0,0,0,0,0,0,,0,,2,1,1,1,0,50,0.5,,0,0,0,,0,0,,0,0,0,WR,26-Jan,PerrBr02
1135,Breshad Perriman,0,2,0,0,1,Sun,17,18,1/8/2023,29-120,TAM,@,ATL,L 17-30,1,0,9,9,0,0,0,0,0,0,0,0,,0,0,2,1,9,9,0,50,4.5,1,0,0,0,,0,0,,0,0,0,WR,26-Jan,PerrBr02
1136,Samaje Perine,1,5,0,0,4,Sun,1,1,9/11/2022,26-360,CIN,,PIT,L 20-23 (OT),4,4,37,32,0,0,1,-5,0,0,1,4,4,0,0,5,3,33,11,0,60,6.6,1,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1137,Samaje Perine,1,1,0,0,2,Sun,2,2,9/18/2022,27-002,CIN,@,DAL,L 17-20,2,2,10,10,0,0,0,0,0,0,1,2,2,0,,1,1,8,8,0,100,8,,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1138,Samaje Perine,9,2,0,1,11,Sun,3,3,9/25/2022,27-009,CIN,@,NYJ,W 27-12,11,47,61,61,0,0,0,0,0,0,9,47,5.2,0,3,2,2,14,7,1,100,7,1,1,0,0,,0,0,,0,0,6,RB,4-114,PeriSa00
1139,Samaje Perine,1,1,0,0,1,Thu,4,4,9/29/2022,27-013,CIN,,MIA,W 27-15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1140,Samaje Perine,3,4,0,0,7,Sun,5,5,10/9/2022,27-023,CIN,@,BAL,L 17-19,7,17,56,56,0,0,0,0,0,0,3,17,5.7,0,1,4,4,39,9.8,0,100,9.8,2,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1141,Samaje Perine,2,2,0,0,4,Sun,6,6,10/16/2022,27-030,CIN,@,NOR,W 30-26,4,5,16,16,0,0,0,0,0,0,2,5,2.5,0,,2,2,11,5.5,0,100,5.5,,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1142,Samaje Perine,1,2,0,0,3,Sun,7,7,10/23/2022,27-037,CIN,,ATL,W 35-17,3,0,8,8,0,0,0,0,0,0,1,0,0,0,,2,2,8,4,0,100,4,,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1143,Samaje Perine,1,3,0,0,4,Mon,8,8,10/31/2022,27-045,CIN,@,CLE,L 13-32,4,7,17,17,0,0,0,0,0,0,1,7,7,0,1,3,3,10,3.3,0,100,3.3,0,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1144,Samaje Perine,6,2,0,0,7,Sun,9,9,11/6/2022,27-051,CIN,,CAR,W 42-21,7,51,54,54,0,0,0,0,0,1,6,51,8.5,0,2,2,1,3,3,0,50,1.5,0,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1145,Samaje Perine,11,4,0,3,15,Sun,10,11,11/20/2022,27-065,CIN,@,PIT,W 37-30,15,30,82,82,0,0,0,0,0,0,11,30,2.7,0,2,4,4,52,13,3,100,13,3,3,0,0,,0,0,,0,0,18,RB,4-114,PeriSa00
1146,Samaje Perine,17,7,0,1,21,Sun,11,12,11/27/2022,27-072,CIN,@,TEN,W 20-16,21,58,93,93,0,0,0,0,0,0,17,58,3.4,1,4,7,4,35,8.8,0,57.1,5,1,1,0,0,,0,0,,0,0,6,RB,4-114,PeriSa00
1147,Samaje Perine,21,7,0,0,27,Sun,12,13,12/4/2022,27-079,CIN,,KAN,W 27-24,27,106,155,155,0,0,0,0,0,0,21,106,5,0,4,7,6,49,8.2,0,85.7,7,3,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1148,Samaje Perine,4,5,0,1,5,Sun,13,14,12/11/2022,27-086,CIN,,CLE,W 23-10,5,22,24,24,0,0,0,0,0,0,4,22,5.5,1,1,5,1,2,2,0,20,0.4,0,1,0,0,,0,0,,0,0,6,RB,4-114,PeriSa00
1149,Samaje Perine,7,1,0,0,8,Sun,14,15,12/18/2022,27-093,CIN,@,TAM,W 34-23,8,24,24,24,0,0,0,0,0,0,7,24,3.4,0,1,1,1,0,0,0,100,0,0,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1150,Samaje Perine,4,4,0,0,7,Sat,15,16,12/24/2022,27-099,CIN,@,NWE,W 22-18,7,3,22,22,0,0,0,0,0,0,4,3,0.8,0,,4,3,19,6.3,0,75,4.8,,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1151,Samaje Perine,6,1,0,0,7,Sun,16,18,1/8/2023,27-114,CIN,,BAL,W 27-16,7,18,22,22,0,0,0,0,0,0,6,18,3,0,,1,1,4,4,0,100,4,,0,0,0,,0,0,,0,0,0,RB,4-114,PeriSa00
1152,Donovan Peoples-Jones,0,11,0,0,6,Sun,1,1,9/11/2022,23-204,CLE,@,CAR,W 26-24,6,0,60,60,0,0,0,0,0,0,0,0,,0,0,11,6,60,10,0,54.5,5.5,3,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1153,Donovan Peoples-Jones,0,3,0,0,1,Thu,3,3,9/22/2022,23-215,CLE,,PIT,W 29-17,1,0,10,10,0,0,0,0,0,0,0,0,,0,0,3,1,10,10,0,33.3,3.3,1,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1154,Donovan Peoples-Jones,0,9,0,0,5,Sun,4,4,10/2/2022,23-225,CLE,@,ATL,L 20-23,5,0,71,78,7,0,0,0,0,0,0,0,,0,0,9,5,71,14.2,0,55.6,7.9,2,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1155,Donovan Peoples-Jones,0,7,0,0,4,Sun,5,5,10/9/2022,23-232,CLE,,LAC,L 28-30,4,0,50,50,0,0,0,0,0,0,0,0,,0,0,7,4,50,12.5,0,57.1,7.1,3,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1156,Donovan Peoples-Jones,1,5,0,0,5,Sun,6,6,10/16/2022,23-239,CLE,,NWE,L 15-38,5,2,76,76,0,0,0,0,0,0,1,2,2,0,0,5,4,74,18.5,0,80,14.8,3,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1157,Donovan Peoples-Jones,0,6,1,0,6,Sun,7,7,10/23/2022,23-246,CLE,@,BAL,L 20-23,6,0,71,85,14,1,0,0,0,0,0,0,,0,0,6,6,71,11.8,0,100,11.8,1,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1158,Donovan Peoples-Jones,0,4,0,0,4,Mon,8,8,10/31/2022,23-254,CLE,,CIN,W 32-13,4,0,81,92,11,0,0,0,0,0,0,0,,0,0,4,4,81,20.3,0,100,20.3,3,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1159,Donovan Peoples-Jones,0,9,0,0,5,Sun,9,10,11/13/2022,23-267,CLE,@,MIA,L 17-39,5,0,99,99,0,0,0,0,0,0,0,0,,0,0,9,5,99,19.8,0,55.6,11,4,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
1160,Donovan Peoples-Jones,0,6,0,1,5,Sun,10,11,11/20/2022,23-274,CLE,@,BUF,L 23-31,5,0,61,61,0,0,0,0,0,0,0,0,,0,0,6,5,61,12.2,1,83.3,10.2,3,1,0,0,,0,0,,0,0,6,WR,6-187,PeopDo00
1161,Donovan Peoples-Jones,0,4,0,0,2,Sun,11,12,11/27/2022,23-281,CLE,,TAM,W 23-17 (OT),2,0,16,91,75,0,0,0,0,0,0,0,,0,0,4,2,16,8,0,50,4,1,0,0,0,,0,0,,0,0,0,WR,6-187,PeopDo00
