Rk,Team,Date,TD,Cmp,Att,Tot,TO,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Tot,TO,TD,XPA,XPM,Att,Md,Sfty
35,TAM,10/2/2022,5,23,37,417,1,Sun,4,4,,KAN,L 31-41,37,189,5.1,2,23,37,62.2,228,3,3,21,1,95.3,417,1,5,5,5,2,2,0
36,NWE,9/25/2022,5,18,26,394,2,Sun,3,3,,BAL,L 26-37,26,188,7.2,1,18,29,62.1,206,4,4,12,1,108.6,394,2,5,5,4,1,1,0
37,TEN,9/19/2022,5,26,24,414,0,Mon,2,2,@,BUF,L 7-41,24,101,4.2,0,26,40,65,313,4,1,4,0,122.2,414,0,5,5,5,2,2,0
38,MIA,9/18/2022,5,21,25,473,0,Sun,2,2,@,BAL,W 42-38,25,155,6.2,1,21,29,72.4,318,3,0,0,0,142.6,473,0,5,5,5,1,1,0
39,DET,9/11/2022,5,18,39,455,0,Sun,1,1,,PHI,L 35-38,39,216,5.5,4,18,32,56.3,239,0,1,4,0,80.1,455,0,5,5,5,1,1,0
40,PHI,9/11/2022,5,21,28,386,1,Sun,1,1,@,DET,W 38-35,28,181,6.5,3,21,37,56.8,205,2,1,10,1,79.2,386,1,5,5,5,0,0,0
41,IND,1/8/2023,4,24,23,360,3,Sun,17,18,,HOU,L 31-32,23,59,2.6,0,24,40,60,301,3,1,10,2,87.6,360,3,4,3,3,1,1,0
42,HOU,1/8/2023,4,23,33,398,3,Sun,17,18,@,IND,W 32-31,33,196,5.9,1,23,35,65.7,202,2,2,7,2,76.1,398,3,4,4,4,1,1,0
43,LAC,1/8/2023,4,13,36,471,2,Sun,17,18,@,DEN,L 28-31,36,205,5.7,1,13,24,54.2,266,3,2,17,1,115.6,471,2,4,4,4,1,1,0
44,LVR,1/7/2023,4,18,28,349,0,Sat,17,18,,KAN,L 13-31,28,168,6,3,18,26,69.2,181,1,2,21,0,101.6,349,0,4,4,4,1,1,0
45,LVR,1/1/2023,4,22,27,454,1,Sun,16,17,,SFO,L 34-37 (OT),27,170,6.3,2,22,35,62.9,284,2,0,0,1,95.4,454,1,4,4,4,4,3,0
46,SFO,1/1/2023,4,23,32,500,2,Sun,16,17,@,LVR,W 37-34 (OT),32,135,4.2,1,23,34,67.6,365,3,0,0,2,108.1,500,2,4,4,4,2,2,0
47,DEN,1/1/2023,4,29,16,374,2,Sun,16,17,@,KAN,L 24-27,16,46,2.9,1,29,42,69,328,3,0,0,1,106.1,374,2,4,3,3,1,0,0
48,CAR,1/1/2023,4,34,25,478,1,Sun,16,17,@,TAM,L 24-30,25,67,2.7,1,34,45,75.6,411,3,3,21,0,125.3,478,1,4,2,1,3,1,0
49,LAR,1/1/2023,4,24,31,431,0,Sun,16,17,@,LAC,L 10-31,31,192,6.2,2,24,31,77.4,239,2,0,0,0,120.2,431,0,4,4,4,1,1,0
50,HOU,1/1/2023,4,22,29,337,2,Sun,16,17,,JAX,L 3-31,29,169,5.8,3,22,29,75.9,168,0,2,13,2,60.7,337,2,4,4,4,1,1,0
51,WAS,12/24/2022,4,15,26,371,1,Sat,15,16,@,SFO,L 20-37,26,153,5.9,2,15,22,68.2,218,2,3,16,1,111.6,371,1,4,4,4,3,3,0
