Rk,Team,Date,TD,Cmp,Att,Tot,TO,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Tot,TO,TD,XPA,XPM,Att,Md,Sfty
149,PHI,12/11/2022,3,23,24,304,1,Sun,13,14,@,NYG,W 48-22,24,123,5.1,1,23,32,71.9,181,2,7,35,0,106.4,304,1,3,2,2,0,0,0
150,HOU,12/11/2022,3,24,31,404,3,Sun,13,14,@,DAL,L 23-27,31,127,4.1,2,24,39,61.5,277,1,1,7,2,70.1,404,3,3,3,3,2,2,0
151,MIA,12/4/2022,3,27,34,351,1,Sun,12,13,@,SFO,L 17-33,34,121,3.6,0,27,41,65.9,230,2,4,36,1,86.4,351,1,3,3,3,4,4,0
152,CIN,12/4/2022,3,16,25,349,1,Sun,12,13,,KAN,W 27-24,25,138,5.5,2,16,27,59.3,211,1,2,12,0,96.4,349,1,3,3,3,2,1,0
153,KAN,12/4/2022,3,25,34,431,0,Sun,12,13,@,CIN,L 24-27,34,152,4.5,1,25,31,80.6,279,2,1,7,0,125.7,431,0,3,3,3,2,2,0
154,HOU,12/4/2022,3,12,38,304,2,Sun,12,13,,CLE,L 14-27,38,174,4.6,0,12,22,54.5,130,0,1,1,1,53.2,304,2,3,3,3,2,2,0
155,NYJ,12/4/2022,3,21,29,287,0,Sun,12,13,@,MIN,L 22-27,29,128,4.4,2,21,35,60,159,1,2,14,0,80.5,287,0,3,3,3,2,2,0
156,LAR,12/4/2022,3,28,22,438,2,Sun,12,13,,SEA,L 23-27,22,90,4.1,0,28,39,71.8,348,3,4,19,1,114,438,2,3,3,3,2,2,0
157,CHI,12/4/2022,3,18,32,357,0,Sun,13,13,,GNB,L 19-28,32,175,5.5,2,18,31,58.1,182,1,0,0,0,85.7,357,0,3,2,2,2,2,0
158,LAC,12/4/2022,3,16,29,404,2,Sun,12,13,@,LVR,L 20-27,29,154,5.3,1,16,30,53.3,250,2,0,0,1,89.6,404,2,3,3,3,3,2,0
159,NWE,12/1/2022,3,22,37,355,1,Thu,12,13,,BUF,L 10-24,37,132,3.6,1,22,33,66.7,223,2,2,0,0,106,355,1,3,3,3,1,1,0
160,ARI,11/27/2022,3,35,13,311,0,Sun,12,12,,LAC,L 24-25,13,65,5,0,35,47,74.5,246,3,4,28,0,107.2,311,0,3,2,2,1,1,0
161,BAL,11/27/2022,3,29,20,332,1,Sun,11,12,@,JAX,L 27-28,20,38,1.9,0,29,37,78.4,294,3,4,27,0,126.8,332,1,3,2,2,2,2,0
162,TAM,11/27/2022,3,23,34,367,1,Sun,11,12,@,CLE,L 17-23 (OT),34,189,5.6,2,23,37,62.2,178,1,4,32,1,71.7,367,1,3,2,2,2,1,0
163,HOU,11/27/2022,3,23,26,339,1,Sun,11,12,@,MIA,L 15-30,26,66,2.5,1,23,41,56.1,273,1,5,32,0,84.7,339,1,3,3,3,3,3,0
164,LAC,11/27/2022,3,18,34,366,2,Sun,11,12,@,ARI,W 25-24,34,181,5.3,1,18,29,62.1,185,2,1,6,1,89,366,2,3,3,3,2,1,0
165,DET,11/24/2022,3,24,29,401,1,Thu,11,12,,BUF,L 25-28,29,164,5.7,1,24,42,57.1,237,2,3,16,1,79.2,401,1,3,3,2,2,2,1
166,BUF,11/24/2022,3,23,28,326,2,Thu,11,12,@,DET,W 28-25,28,96,3.4,1,23,37,62.2,230,2,2,10,0,97.8,326,2,3,2,2,2,1,0
167,CHI,11/20/2022,3,13,33,280,2,Sun,11,11,@,ATL,L 24-27,33,149,4.5,1,13,20,65,131,1,0,0,0,100.2,280,2,3,3,3,2,2,0
168,CIN,11/20/2022,3,25,24,351,0,Sun,10,11,@,PIT,W 37-30,24,102,4.3,2,25,42,59.5,249,1,2,16,0,84.3,351,0,3,3,3,3,3,0
169,ATL,11/20/2022,3,14,41,288,1,Sun,11,11,,CHI,W 27-24,41,160,3.9,2,14,21,66.7,128,1,4,25,1,79.1,288,1,3,3,3,2,1,0
170,LAC,11/20/2022,3,20,27,485,1,Sun,10,11,,KAN,L 27-30,27,163,6,0,20,34,58.8,322,3,1,7,0,120,485,1,3,3,3,3,3,0
171,LAR,11/20/2022,3,22,24,323,0,Sun,10,11,@,NOR,L 20-27,24,88,3.7,0,22,28,78.6,235,3,4,39,0,137.4,323,0,3,3,3,2,2,0
172,BUF,11/20/2022,3,28,26,396,1,Sun,10,11,,CLE,W 31-23,26,80,3.1,0,28,41,68.3,316,3,1,8,0,115.5,396,1,3,2,2,2,1,0
173,KAN,11/20/2022,3,23,30,365,2,Sun,10,11,@,LAC,W 30-27,30,115,3.8,1,23,30,76.7,250,2,5,30,1,109,365,2,3,3,3,2,2,0
174,DET,11/20/2022,3,27,26,413,3,Sun,10,11,@,NYG,W 31-18,26,89,3.4,2,27,44,61.4,324,1,2,17,2,72.5,413,3,3,2,0,0,0,0
175,PHI,11/14/2022,3,17,49,330,2,Mon,9,10,,WAS,L 21-32,49,152,3.1,2,17,29,58.6,178,0,3,33,1,62.1,330,2,3,2,2,4,4,0
176,WAS,11/14/2022,3,17,20,264,4,Mon,10,10,@,PHI,W 32-21,20,94,4.7,1,17,26,65.4,170,2,1,5,1,93.4,264,4,3,3,3,0,0,0
177,MIN,11/13/2022,3,29,27,486,4,Sun,9,10,@,BUF,W 33-30 (OT),27,175,6.5,2,29,43,67.4,311,1,2,19,2,76.8,486,4,3,3,3,3,3,0
178,IND,11/13/2022,3,24,24,309,0,Sun,10,10,@,LVR,W 25-20,24,77,3.2,1,24,38,63.2,232,2,2,16,0,97.7,309,0,3,2,2,0,0,0
179,HOU,11/13/2022,3,13,47,367,0,Sun,9,10,@,NYG,L 16-24,47,191,4.1,1,13,17,76.5,176,2,3,21,0,148.2,367,0,3,3,3,1,1,0
180,LVR,11/13/2022,3,21,30,415,1,Sun,9,10,,IND,L 20-25,30,207,6.9,2,21,28,75,208,1,1,14,0,107.4,415,1,3,1,1,3,2,0
181,SEA,11/13/2022,3,22,44,419,2,Sun,10,10,@,TAM,L 16-21,44,161,3.7,1,22,30,73.3,258,2,0,0,2,93.5,419,2,3,3,3,1,0,0
182,LAR,11/13/2022,3,26,26,298,0,Sun,9,10,,ARI,L 17-27,26,78,3,2,26,37,70.3,220,1,2,18,0,94.4,298,0,3,3,3,2,2,0
183,NOR,11/7/2022,3,12,40,319,0,Mon,9,9,,BAL,L 13-27,40,188,4.7,2,12,22,54.5,131,1,3,2,0,87.5,319,0,3,3,3,2,2,0
184,LVR,11/6/2022,3,25,37,403,1,Sun,8,9,@,JAX,L 20-27,37,168,4.5,2,25,31,80.6,235,1,0,0,0,109,403,1,3,3,3,3,2,0
185,CIN,11/6/2022,3,17,18,228,3,Sun,9,9,,CAR,W 42-21,18,64,3.6,1,17,30,56.7,164,2,0,0,2,66.5,228,3,3,3,3,0,0,0
186,SEA,11/6/2022,3,25,21,262,1,Sun,9,9,@,ARI,W 31-21,21,122,5.8,0,25,35,71.4,140,2,5,35,0,97.3,262,1,3,3,3,0,0,0
187,GNB,10/30/2022,3,13,27,369,2,Sun,8,8,@,BUF,L 17-27,27,153,5.7,1,13,25,52,216,2,2,2,2,74.7,369,2,3,3,3,2,2,0
188,LVR,10/30/2022,3,23,32,367,0,Sun,7,8,@,NOR,L 0-24,32,136,4.3,1,23,31,74.2,231,2,0,0,0,116.5,367,0,3,3,3,2,1,0
189,MIN,10/30/2022,3,31,22,375,3,Sun,7,8,,ARI,W 34-26,22,78,3.5,0,31,44,70.5,297,3,4,29,2,92.7,375,3,3,2,2,2,2,0
190,NYG,10/30/2022,3,23,25,277,1,Sun,8,8,@,SEA,L 13-27,25,87,3.5,1,23,34,67.6,190,2,3,22,0,101.3,277,1,3,3,3,2,2,0
191,JAX,10/30/2022,3,18,28,331,1,Sun,8,8,,DEN,L 17-21,28,101,3.6,2,18,30,60,230,1,3,22,1,81.3,331,1,3,3,3,0,0,0
192,MIA,10/30/2022,3,27,19,393,0,Sun,8,8,@,DET,W 31-27,19,82,4.3,2,27,37,73,311,1,1,10,0,106.9,393,0,3,3,3,2,2,0
193,TAM,10/27/2022,3,27,33,453,0,Thu,8,8,,BAL,L 22-27,33,231,7,1,27,38,71.1,222,2,3,16,0,103.2,453,0,3,3,3,3,2,0
194,NWE,10/24/2022,3,13,45,390,1,Mon,7,7,,CHI,L 14-33,45,243,5.4,2,13,21,61.9,147,1,4,32,1,78.9,390,1,3,3,3,4,4,0
195,TAM,10/23/2022,3,16,27,343,0,Sun,7,7,@,CAR,L 3-21,27,173,6.4,1,16,22,72.7,170,2,1,7,0,125.2,343,0,3,3,3,0,0,0
196,SEA,10/23/2022,3,33,15,329,2,Sun,7,7,@,LAC,W 37-23,15,53,3.5,1,33,51,64.7,276,2,3,17,1,83.5,329,2,3,3,3,0,0,1
197,DET,10/23/2022,3,19,32,330,1,Sun,6,7,@,DAL,L 6-24,32,139,4.3,2,19,25,76,191,1,2,16,0,110.6,330,1,3,3,3,1,1,0
198,WAS,10/23/2022,3,23,12,232,1,Sun,7,7,,GNB,W 23-21,12,38,3.2,0,23,35,65.7,194,2,0,0,0,99,232,1,3,3,3,0,0,0
199,KAN,10/16/2022,3,27,31,443,1,Sun,6,6,,BUF,L 20-24,31,125,4,0,27,40,67.5,318,3,1,11,0,116.5,443,1,3,3,3,1,1,0
200,MIA,10/16/2022,3,20,17,234,0,Sun,6,6,,MIN,L 16-24,17,78,4.6,1,20,30,66.7,156,2,3,19,0,101.5,234,0,3,2,1,1,1,0
201,BAL,10/16/2022,3,19,31,238,1,Sun,6,6,@,NYG,L 20-24,31,83,2.7,1,19,27,70.4,155,2,4,18,0,109.3,238,1,3,3,3,1,1,0
202,DAL,10/16/2022,3,15,39,268,0,Sun,6,6,@,PHI,L 17-26,39,136,3.5,1,15,25,60,132,2,4,23,0,100.7,268,0,3,2,2,2,2,0
203,CAR,10/16/2022,3,26,29,360,1,Sun,6,6,@,LAR,L 10-24,29,111,3.8,2,26,33,78.8,249,1,1,4,1,95.6,360,1,3,3,3,1,1,0
204,KAN,10/10/2022,3,19,24,378,0,Mon,5,5,,LVR,W 30-29,24,155,6.5,1,19,30,63.3,223,2,2,18,0,108.1,378,0,3,2,2,3,3,0
205,GNB,10/9/2022,3,21,31,338,0,Sun,5,5,,NYG,L 22-27,31,125,4,3,21,27,77.8,213,0,1,4,0,99.5,338,0,3,3,3,2,2,0
206,WAS,10/9/2022,3,15,32,241,0,Sun,5,5,,TEN,L 17-21,32,105,3.3,2,15,25,60,136,1,5,45,0,88.1,241,0,3,3,3,0,0,0
207,CLE,10/9/2022,3,22,34,465,0,Sun,5,5,,LAC,L 28-30,34,238,7,2,22,34,64.7,227,1,1,1,0,93.6,465,0,3,3,3,3,3,0
208,LAR,10/3/2022,3,16,22,327,0,Mon,4,4,@,SFO,L 9-24,22,88,4,1,16,27,59.3,239,1,0,0,0,100.7,327,0,3,3,3,2,1,0
209,CAR,10/2/2022,3,23,37,338,1,Sun,4,4,,ARI,L 16-26,37,132,3.6,1,23,32,71.9,206,2,1,1,1,96.6,338,1,3,2,2,2,2,0
210,LVR,10/2/2022,3,17,20,299,1,Sun,4,4,,DEN,W 32-23,20,85,4.3,1,17,25,68,214,2,3,23,0,121.1,299,1,3,3,2,1,1,0
211,NWE,10/2/2022,3,21,35,443,2,Sun,4,4,@,GNB,L 24-27 (OT),35,199,5.7,1,21,35,60,244,2,1,7,1,88.3,443,2,3,3,3,2,2,0
212,LAC,10/2/2022,3,26,14,346,2,Sun,4,4,@,HOU,W 34-24,14,131,9.4,1,26,35,74.3,215,2,4,31,2,84.8,346,2,3,3,3,2,1,0
213,PHI,10/2/2022,3,11,19,219,5,Sun,4,4,,JAX,W 29-21,19,71,3.7,0,11,23,47.8,148,2,4,26,1,79.6,219,5,3,3,3,0,0,0
214,MIN,10/2/2022,3,20,27,338,2,Sun,4,4,@,NOR,W 28-25,27,111,4.1,2,20,28,71.4,227,1,2,9,0,107.3,338,2,3,2,2,2,1,0
215,GNB,10/2/2022,3,15,33,271,1,Sun,4,4,,NWE,W 27-24 (OT),33,167,5.1,1,15,21,71.4,104,1,4,32,0,98.1,271,1,3,3,3,1,1,0
216,PIT,10/2/2022,3,19,29,348,2,Sun,4,4,,NYJ,L 20-24,29,98,3.4,1,19,37,51.4,250,2,1,4,2,68.5,348,2,3,3,3,1,1,0
217,IND,10/2/2022,3,17,28,243,0,Sun,4,4,,TEN,L 17-24,28,127,4.5,1,17,21,81,116,2,3,21,0,121.4,243,0,3,3,3,1,1,0
218,DEN,10/2/2022,3,21,38,385,0,Sun,4,4,@,LVR,L 23-32,38,212,5.6,2,21,34,61.8,173,0,2,15,0,74.8,385,0,3,3,2,4,4,0
219,MIA,9/29/2022,3,21,30,371,0,Thu,4,4,@,CIN,L 15-27,30,67,2.2,1,21,32,65.6,304,2,1,6,0,117.2,371,0,3,3,3,2,2,0
220,SEA,9/25/2022,3,13,31,386,2,Sun,3,3,,ATL,L 23-27,31,179,5.8,2,13,20,65,207,1,3,22,1,95.2,386,2,3,3,3,2,2,0
221,NYJ,9/25/2022,3,23,28,330,1,Sun,3,3,,CIN,L 12-27,28,69,2.5,0,23,36,63.9,261,3,2,14,0,113.3,330,1,3,3,3,3,2,0
222,MIN,9/25/2022,3,25,35,416,1,Sun,3,3,,DET,W 28-24,35,139,4,2,25,41,61,277,1,0,0,1,79,416,1,3,3,3,3,1,0
223,BUF,9/25/2022,3,13,17,212,0,Sun,3,3,@,MIA,L 19-21,17,41,2.4,2,13,20,65,171,1,2,15,0,108.5,212,0,3,3,3,0,0,0
224,BAL,9/25/2022,3,22,28,447,4,Sun,3,3,@,NWE,W 37-26,28,145,5.2,3,22,32,68.8,302,0,3,19,3,59.6,447,4,3,2,2,2,2,0
225,LVR,9/25/2022,3,19,27,361,1,Sun,3,3,@,TEN,L 22-24,27,109,4,2,19,27,70.4,252,1,1,12,1,96.5,361,1,3,3,3,1,1,0
226,WAS,9/25/2022,3,22,30,400,0,Sun,3,3,,PHI,L 8-24,30,72,2.4,0,22,35,62.9,328,3,3,12,0,122.1,400,0,3,3,3,1,1,0
227,MIN,9/19/2022,3,26,34,486,1,Mon,2,2,@,PHI,L 7-24,34,163,4.8,2,26,31,83.9,323,1,3,10,1,107.4,486,1,3,3,3,2,1,0
228,CHI,9/18/2022,3,19,38,414,1,Sun,2,2,@,GNB,L 10-27,38,203,5.3,1,19,25,76,211,2,3,23,0,127.2,414,1,3,3,3,2,2,0
229,IND,9/18/2022,3,25,37,331,0,Sun,2,2,@,JAX,L 0-24,37,96,2.6,1,25,30,83.3,235,2,0,0,0,121.5,331,0,3,3,3,1,1,0
230,SEA,9/18/2022,3,15,45,373,0,Sun,2,2,@,SFO,L 7-27,45,189,4.2,2,15,24,62.5,184,1,1,0,0,100,373,0,3,3,3,3,2,0
231,LAC,9/15/2022,3,24,18,319,0,Thu,2,2,@,KAN,L 24-27,18,93,5.2,0,24,35,68.6,226,2,1,9,0,105.2,319,0,3,3,3,2,2,0
232,KAN,9/15/2022,3,33,24,401,1,Thu,2,2,,LAC,W 27-24,24,75,3.1,0,33,48,68.8,326,3,2,8,1,99.8,401,1,3,3,3,1,1,0
233,CLE,9/11/2022,3,16,19,261,1,Sun,1,1,@,CAR,W 26-24,19,54,2.8,2,16,27,59.3,207,1,4,28,1,80.3,261,1,3,3,3,1,1,0
234,SFO,9/11/2022,3,8,37,204,1,Sun,1,1,@,CHI,L 10-19,37,99,2.7,1,8,17,47.1,105,2,2,16,1,81.7,204,1,3,3,1,0,0,0
235,KAN,9/11/2022,3,24,22,282,0,Sun,1,1,@,ARI,W 44-21,22,103,4.7,1,24,38,63.2,179,2,3,26,0,91.9,282,0,3,1,1,0,0,0
236,ATL,9/11/2022,3,23,19,385,1,Sun,1,1,,NOR,L 26-27,19,151,7.9,1,23,34,67.6,234,2,4,35,0,106.7,385,1,3,1,1,3,2,0
237,TEN,9/11/2022,3,17,32,394,2,Sun,1,1,,NYG,L 20-21,32,238,7.4,1,17,21,81,156,2,5,32,1,109.5,394,2,3,1,1,0,0,0
238,NYJ,9/11/2022,3,17,21,274,1,Sun,1,1,,BAL,L 9-24,21,63,3,0,17,30,56.7,211,3,2,2,1,98.1,274,1,3,3,3,1,1,0
239,LVR,9/11/2022,3,26,31,355,0,Sun,1,1,@,LAC,L 19-24,31,76,2.5,0,26,34,76.5,279,3,0,0,0,129.4,355,0,3,3,3,2,1,0
240,MIN,1/8/2023,2,13,22,259,2,Sun,17,18,@,CHI,W 29-13,22,118,5.4,1,13,27,48.1,141,1,1,6,2,45.4,259,2,2,1,1,0,0,0
241,PIT,1/8/2023,2,19,22,307,2,Sun,17,18,,CLE,W 28-14,22,134,6.1,0,19,29,65.5,173,2,7,57,2,75.8,307,2,2,2,2,0,0,0
242,SFO,1/8/2023,2,20,20,255,4,Sun,17,18,,ARI,W 38-13,20,61,3.1,1,20,27,74.1,194,1,3,15,3,66.5,255,4,2,2,1,0,0,0
243,GNB,1/8/2023,2,23,25,323,0,Sun,17,18,,DET,L 16-20,25,104,4.2,2,23,34,67.6,219,0,1,5,0,85.3,323,0,2,2,2,3,2,0
244,PHI,1/8/2023,2,23,21,284,0,Sun,17,18,,NYG,W 22-16,21,129,6.1,1,23,40,57.5,155,1,2,13,0,74.5,284,0,2,1,1,1,1,0
245,ATL,1/8/2023,2,22,20,222,1,Sun,17,18,,TAM,W 30-17,20,86,4.3,0,22,34,64.7,136,2,0,0,0,92.3,222,1,2,2,2,1,1,0
246,TEN,1/7/2023,2,20,14,222,1,Sat,17,18,@,JAX,L 16-20,14,19,1.4,0,20,32,62.5,203,1,1,9,0,91,222,1,2,2,2,2,2,0
247,ARI,1/1/2023,2,19,34,298,1,Sun,16,17,@,ATL,L 19-20,34,132,3.9,2,19,26,73.1,166,0,1,3,0,89.6,298,1,2,2,2,2,2,0
248,GNB,1/1/2023,2,22,20,346,4,Sun,16,17,,MIN,W 41-17,20,102,5.1,0,22,35,62.9,244,2,2,18,3,66.8,346,4,2,2,2,3,1,0
249,PHI,1/1/2023,2,20,35,313,1,Sun,16,17,,NOR,L 10-20,35,129,3.7,1,20,24,83.3,184,0,7,45,1,81.3,313,1,2,2,2,2,2,0
250,NYJ,1/1/2023,2,18,38,346,0,Sun,16,17,@,SEA,L 6-23,38,198,5.2,0,18,29,62.1,148,2,4,35,0,98.1,346,0,2,2,2,4,3,0
251,IND,12/26/2022,2,24,32,314,2,Mon,15,16,,LAC,L 3-20,32,101,3.2,2,24,31,77.4,213,0,4,22,1,81.8,314,2,2,2,2,2,2,0
252,MIA,12/25/2022,2,24,25,301,1,Sun,15,16,,GNB,L 20-26,25,79,3.2,1,24,38,63.2,222,1,2,16,1,76.9,301,1,2,2,2,4,4,0
253,GNB,12/25/2022,2,16,18,376,4,Sun,15,16,@,MIA,W 26-20,18,82,4.6,1,16,25,64,294,1,2,16,3,78.2,376,4,2,2,2,3,2,0
254,TEN,12/24/2022,2,20,30,285,1,Sat,15,16,,HOU,L 14-19,30,70,2.3,0,20,32,62.5,215,1,1,3,1,79.6,285,1,2,1,1,2,2,0
255,CLE,12/24/2022,2,8,39,244,1,Sat,15,16,,NOR,L 10-17,39,152,3.9,2,8,15,53.3,92,0,0,0,1,44.3,244,1,2,2,2,1,1,0
256,MIN,12/24/2022,2,30,21,445,2,Sat,15,16,,NYG,W 27-24,21,126,6,1,30,42,71.4,319,1,3,15,1,91.3,445,2,2,1,1,3,3,0
257,HOU,12/24/2022,2,14,31,272,3,Sat,15,16,@,TEN,W 19-14,31,184,5.9,2,14,23,60.9,88,0,4,11,2,32.5,272,3,2,2,2,0,0,0
258,NOR,12/18/2022,2,13,39,320,1,Sun,14,15,,ATL,W 21-18,39,231,5.9,2,13,26,50,89,0,4,8,0,58,320,1,2,1,1,1,1,0
259,NYJ,12/18/2022,2,23,28,359,0,Sun,14,15,,DET,L 17-20,28,107,3.8,0,23,38,60.5,252,1,0,0,0,88.9,359,0,2,2,2,3,2,0
260,LVR,12/18/2022,2,13,32,318,1,Sun,14,15,,NWE,W 30-24,32,206,6.4,1,13,31,41.9,112,0,0,0,0,52.1,318,1,2,1,1,3,3,0
261,WAS,12/18/2022,2,21,30,288,0,Sun,14,15,,NYG,L 12-20,30,128,4.3,1,21,32,65.6,160,0,0,0,0,77.6,288,0,2,2,2,2,2,0
262,DET,12/18/2022,2,18,22,337,1,Sun,14,15,@,NYJ,W 20-17,22,50,2.3,0,18,35,51.4,287,2,4,30,1,86.3,337,1,2,2,2,2,1,0
263,LAC,12/18/2022,2,18,27,284,1,Sun,14,15,,TEN,W 17-14,27,127,4.7,2,18,26,69.2,157,0,4,28,1,68.9,284,1,2,2,2,1,0,0
264,TEN,12/18/2022,2,28,24,365,2,Sun,14,15,@,LAC,L 14-17,24,74,3.1,2,28,42,66.7,291,0,3,22,2,66.7,365,2,2,2,2,1,1,0
265,MIN,12/17/2022,2,19,43,341,1,Sat,14,15,,IND,W 39-36 (OT),43,171,4,0,19,33,57.6,170,1,3,12,0,81.6,341,1,2,3,3,5,5,0
266,NYJ,12/11/2022,2,16,24,232,0,Sun,13,14,@,BUF,L 12-20,24,102,4.3,1,16,27,59.3,130,1,3,17,0,83.9,232,0,2,2,2,2,2,0
267,DAL,12/11/2022,2,20,37,327,2,Sun,13,14,,HOU,W 27-23,37,114,3.1,1,20,27,74.1,213,1,0,0,1,93.6,327,2,2,2,2,3,3,0
268,LAC,12/11/2022,2,10,19,219,0,Sun,13,14,,MIA,W 23-17,19,92,4.8,0,10,28,35.7,127,1,2,18,0,62.6,219,0,2,2,2,1,1,0
269,BAL,12/11/2022,2,22,20,329,3,Sun,13,14,@,PIT,W 16-14,20,65,3.3,1,22,31,71,264,1,2,12,3,67.9,329,3,2,2,2,1,0,0
270,MIA,12/11/2022,2,39,23,432,0,Sun,13,14,@,LAC,L 17-23,23,82,3.6,1,39,51,76.5,350,1,4,17,0,100.9,432,0,2,2,2,3,3,0
271,LVR,12/8/2022,2,22,22,282,1,Thu,13,14,@,LAR,L 16-17,22,71,3.2,1,22,35,62.9,211,1,4,19,0,89.1,282,1,2,2,2,2,1,0
272,NOR,12/5/2022,2,36,20,350,2,Mon,13,13,@,TAM,L 16-17,20,76,3.8,0,36,54,66.7,274,2,1,7,1,83.4,350,2,2,2,2,1,1,0
273,GNB,12/4/2022,2,20,25,409,3,Sun,13,13,@,CHI,W 28-19,25,155,6.2,2,20,25,80,254,0,0,0,2,75.7,409,3,2,2,1,3,2,0
274,DAL,12/4/2022,2,21,30,309,5,Sun,12,13,,IND,W 54-19,30,106,3.5,0,21,37,56.8,203,2,3,30,3,56.5,309,5,2,1,1,2,2,0
275,SFO,12/4/2022,2,18,8,308,4,Sun,12,13,,MIA,W 33-17,8,33,4.1,0,18,34,52.9,275,2,3,20,3,62.7,308,4,2,2,2,1,1,0
276,WAS,12/4/2022,2,25,30,316,1,Sun,13,13,@,NYG,T 20-20 (OT),30,134,4.5,1,25,31,80.6,182,1,4,18,0,101.9,316,1,2,2,2,3,2,0
277,SEA,12/4/2022,2,14,33,319,2,Sun,12,13,@,LAR,W 27-23,33,171,5.2,2,14,26,53.8,148,0,4,30,2,38.6,319,2,2,2,2,3,3,0
278,LVR,12/4/2022,2,28,22,386,1,Sun,12,13,,LAC,W 27-20,22,72,3.3,0,28,47,59.6,314,1,5,21,0,86.7,386,1,2,2,2,3,2,0
279,NYG,12/4/2022,2,27,36,411,1,Sun,12,13,,WAS,T 20-20 (OT),36,165,4.6,0,27,41,65.9,246,2,5,29,0,98.2,411,1,2,2,2,3,2,0
280,PIT,11/28/2022,2,22,25,290,2,Mon,11,12,@,IND,W 24-17,25,110,4.4,1,22,34,64.7,180,1,3,19,1,75.6,290,2,2,2,2,2,1,0
281,IND,11/28/2022,2,20,36,323,0,Mon,12,12,,PIT,L 17-24,36,172,4.8,2,20,28,71.4,151,0,3,23,0,84.1,323,0,2,1,1,3,3,0
282,DEN,11/27/2022,2,11,46,349,1,Sun,11,12,@,CAR,L 10-23,46,185,4,1,11,19,57.9,164,1,0,0,0,103.8,349,1,2,2,2,3,3,0
283,TEN,11/27/2022,2,22,28,374,0,Sun,11,12,,CIN,L 16-20,28,108,3.9,1,22,37,59.5,266,1,1,4,0,90.6,374,0,2,2,2,2,2,0
284,MIA,11/27/2022,2,26,14,210,3,Sun,11,12,,HOU,W 30-15,14,36,2.6,1,26,39,66.7,174,1,5,41,2,63.4,210,3,2,0,0,1,1,0
285,LAR,11/27/2022,2,27,30,437,2,Sun,11,12,@,KAN,L 10-26,30,117,3.9,1,27,42,64.3,320,1,0,0,1,85.4,437,2,2,2,2,4,4,0
286,JAX,11/27/2022,2,16,35,415,2,Sun,11,12,,BAL,W 28-27,35,162,4.6,1,16,32,50,253,1,1,1,0,87.1,415,2,2,1,1,5,4,0
287,CLE,11/27/2022,2,29,20,325,0,Sun,11,12,,TAM,W 23-17 (OT),20,96,4.8,0,29,43,67.4,229,2,3,17,0,96,325,0,2,2,2,1,1,0
288,ATL,11/27/2022,2,14,37,314,1,Sun,12,12,@,WAS,L 13-19,37,176,4.8,0,14,23,60.9,138,2,0,0,1,88.7,314,1,2,2,1,2,2,0
289,MIN,11/24/2022,2,28,13,409,0,Thu,11,12,,NWE,W 33-26,13,45,3.5,0,28,39,71.8,364,2,3,18,0,117.9,409,0,2,2,2,4,4,0
290,DAL,11/24/2022,2,21,21,300,0,Thu,11,12,,NYG,W 28-20,21,90,4.3,1,21,35,60,210,1,3,18,0,86.6,300,0,2,2,2,2,2,0
291,CLE,11/20/2022,2,18,33,357,0,Sun,10,11,@,BUF,L 23-31,33,171,5.2,1,18,27,66.7,186,1,2,11,0,98.7,357,0,2,1,1,6,6,0
292,IND,11/20/2022,2,18,33,314,2,Sun,11,11,,PHI,L 16-17,33,141,4.3,1,18,25,72,173,1,3,17,0,104.2,314,2,2,2,2,1,1,0
293,DEN,11/20/2022,2,23,24,407,0,Sun,10,11,,LVR,L 16-22 (OT),24,109,4.5,0,23,37,62.2,298,2,1,9,0,105.5,407,0,2,1,1,4,3,0
294,NOR,11/20/2022,2,16,30,336,0,Sun,11,11,,LAR,W 27-20,30,148,4.9,0,16,28,57.1,188,2,4,35,0,101.5,336,0,2,2,2,2,2,0
295,HOU,11/20/2022,2,15,40,344,0,Sun,10,11,,WAS,L 10-23,40,153,3.8,1,15,27,55.6,191,0,0,0,0,77.9,344,0,2,2,2,3,3,0
296,TEN,11/17/2022,2,24,19,271,0,Thu,10,11,@,GNB,W 27-17,19,56,2.9,0,24,39,61.5,215,2,1,12,0,93.4,271,0,2,1,0,1,1,0
297,MIA,11/13/2022,2,22,24,297,1,Sun,10,10,,CLE,W 39-17,24,112,4.7,1,22,35,62.9,185,1,3,27,0,86,297,1,2,2,2,1,1,0
298,KAN,11/13/2022,2,29,16,315,0,Sun,9,10,,JAX,W 27-17,16,75,4.7,0,29,40,72.5,240,2,5,19,0,104.2,315,0,2,2,2,3,1,0
299,DEN,11/13/2022,2,19,23,307,1,Sun,9,10,@,TEN,L 10-17,23,63,2.7,0,19,36,52.8,244,2,1,11,0,92.8,307,1,2,2,2,1,1,0
300,NOR,11/13/2022,2,18,43,379,0,Sun,10,10,@,PIT,L 10-20,43,217,5,2,18,30,60,162,0,6,37,0,74.6,379,0,2,2,2,4,2,0
301,ARI,11/13/2022,2,25,20,256,2,Sun,10,10,@,LAR,W 27-17,20,66,3.3,1,25,37,67.6,190,1,3,19,1,77.5,256,2,2,2,2,1,1,0
302,TAM,11/13/2022,2,23,14,283,1,Sun,10,10,,SEA,W 21-16,14,39,2.8,0,23,33,69.7,244,2,3,31,0,111.2,283,1,2,1,1,1,1,0
