Rk,Team,Date,TD,Pts,Cmp,Att,Tot,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
430,JAX,2023-01-01,0,31,22,29,337,4,Sun,16,17,@,HOU,W 31-3,22,29,7,75.9,168,0,2,0.0,6.9,62.6,2,13,6.45,5.8,5.42,2.69,2.52,7.6,31,3,28,34,29,169,5.8,3,337,60,5.62,67,4.13,2,29:30,2:54,4,4,4,1,1,0,0,0
431,NOR,2023-01-01,0,20,20,35,313,2,Sun,16,17,@,PHI,W 20-10,20,24,4,83.3,184,0,1,0.0,4.2,89.1,7,45,22.58,7.7,5.94,5.79,4.48,9.2,20,10,10,30,35,129,3.7,1,313,66,4.74,53,5.91,1,37:04,2:53,2,2,2,2,2,0,0,0
432,LAR,2023-01-01,0,10,11,26,277,1,Sun,16,17,@,LAC,L 10-31,11,19,8,57.9,111,0,0,0.0,0.0,79.3,3,21,13.64,5.8,5.05,5.84,5.05,10.1,10,31,-21,41,26,166,6.4,1,277,48,5.77,62,6.95,1,28:08,2:38,1,1,1,1,1,0,0,0
433,NYJ,2023-01-01,0,6,23,17,279,0,Sun,16,17,@,SEA,L 6-23,23,46,23,50.0,204,0,2,0.0,4.3,47.4,4,36,8.00,4.4,4.08,2.48,2.28,8.9,6,23,-17,29,17,75,4.4,0,279,67,4.16,71,4.87,3,26:22,3:04,0,0,0,3,2,0,0,0
434,WAS,2023-01-01,0,10,16,37,260,1,Sun,16,17,,CLE,L 10-24,16,28,12,57.1,124,0,3,0.0,10.7,31.4,3,19,9.68,4.4,4.00,-0.39,-0.35,7.8,10,24,-14,34,37,136,3.7,1,260,68,3.82,53,5.68,3,33:32,2:49,1,1,1,1,1,0,0,0
435,IND,2022-12-26,0,3,17,14,173,0,Mon,15,16,,LAC,L 3-20,17,29,12,58.6,104,0,3,0.0,10.3,31.9,7,39,19.44,3.6,2.89,-1.07,-0.86,6.1,3,20,-17,23,14,69,4.9,0,173,50,3.46,67,4.69,3,26:06,2:48,0,0,0,1,1,0,0,0
436,LAC,2022-12-26,0,20,24,32,314,2,Mon,15,16,@,IND,W 20-3,24,31,7,77.4,213,0,1,0.0,3.2,84.7,4,22,11.43,6.9,6.09,5.42,4.80,8.9,20,3,17,23,32,101,3.2,2,314,67,4.69,50,3.46,2,33:54,2:48,2,2,2,2,2,0,0,0
437,ARI,2022-12-25,0,16,25,27,325,1,Sun,15,16,,TAM,L 16-19 (OT),25,46,21,54.3,204,0,1,0.0,2.2,58.3,1,17,2.13,4.4,4.34,3.46,3.38,8.2,16,19,-3,35,27,121,4.5,1,325,74,4.39,78,5.08,3,29:22,3:31,1,1,1,3,3,0,0,0
438,CLE,2022-12-24,0,10,15,34,249,1,Sat,15,16,,NOR,L 10-17,15,31,16,48.4,125,0,1,0.0,3.2,47.1,2,10,6.06,4.0,3.79,2.58,2.42,8.3,10,17,-7,27,34,124,3.6,1,249,67,3.72,54,4.52,1,30:46,2:48,1,1,1,1,1,0,0,0
439,NOR,2022-12-24,0,17,8,39,244,2,Sat,15,16,@,CLE,W 17-10,8,15,7,53.3,92,0,1,0.0,6.7,44.3,0,0,0.00,6.1,6.13,3.13,3.13,11.5,17,10,7,27,39,152,3.9,2,244,54,4.52,67,3.72,1,29:14,2:48,2,2,2,1,1,0,0,0
440,TEN,2022-12-24,0,14,14,31,272,2,Sat,15,16,,HOU,L 14-19,14,23,9,60.9,88,0,2,0.0,8.7,34.5,4,11,14.81,3.8,3.26,-0.09,-0.07,6.3,14,19,-5,33,31,184,5.9,2,272,58,4.69,63,4.52,3,26:57,2:42,2,2,2,0,0,0,0,0
441,ATL,2022-12-24,0,9,22,33,327,0,Sat,15,16,@,BAL,L 9-17,22,33,11,66.7,212,0,0,0.0,0.0,85.2,2,6,5.71,6.4,6.06,6.42,6.06,9.6,9,17,-8,26,33,115,3.5,0,327,68,4.81,51,5.86,1,32:44,2:57,0,0,0,3,3,0,0,0
442,JAX,2022-12-22,0,19,20,39,365,1,Thu,15,16,@,NYJ,W 19-3,20,31,11,64.5,218,0,0,0.0,0.0,86.6,1,11,3.13,7.0,6.81,7.03,6.81,10.9,19,3,16,22,39,147,3.8,1,365,71,5.14,56,4.05,1,34:52,2:53,1,1,1,5,4,0,0,0
443,NYJ,2022-12-22,0,3,19,20,227,0,Thu,15,16,,JAX,L 3-19,19,33,14,57.6,161,0,1,0.0,3.0,60.4,3,21,8.33,4.9,4.47,3.52,3.22,8.5,3,19,-16,22,20,66,3.3,0,227,56,4.05,71,5.14,2,25:08,2:53,0,0,0,1,1,0,0,0
444,PIT,2022-12-18,0,24,17,45,325,3,Sun,14,15,@,CAR,W 24-16,17,22,5,77.3,169,0,0,0.0,0.0,100.4,1,10,4.35,7.7,7.35,7.68,7.35,9.9,24,16,8,40,45,156,3.5,3,325,68,4.78,43,4.86,0,36:11,2:52,3,3,3,1,1,0,0,0
445,PHI,2022-12-18,0,25,22,33,421,3,Sun,14,15,@,CHI,W 25-20,22,37,15,59.5,309,0,2,0.0,5.4,64.6,1,6,2.63,8.4,8.13,5.92,5.76,14.0,25,20,5,45,33,112,3.4,3,421,71,5.93,58,4.28,3,29:53,3:10,3,2,2,2,1,1,1,0
446,ARI,2022-12-18,0,15,20,20,240,1,Sun,14,15,@,DEN,L 15-24,20,36,16,55.6,167,0,3,0.0,8.3,33.7,3,6,7.69,4.6,4.28,0.89,0.82,8.4,15,24,-9,39,20,73,3.7,1,240,59,4.07,67,4.84,3,27:02,2:58,1,0,0,3,3,1,0,0
447,ATL,2022-12-18,0,18,13,39,320,2,Sun,14,15,@,NOR,L 18-21,13,26,13,50.0,89,0,0,0.0,0.0,59.3,4,8,13.33,3.4,2.97,3.42,2.97,6.8,18,21,-3,39,39,231,5.9,2,320,69,4.64,55,6.33,1,30:56,2:52,2,1,1,1,1,1,1,0
448,NWE,2022-12-18,0,24,13,32,318,2,Sun,14,15,@,LVR,L 24-30,13,31,18,41.9,112,0,0,0.0,0.0,52.1,0,0,0.00,3.6,3.61,3.61,3.61,8.6,24,30,-6,54,32,206,6.4,1,318,63,5.05,64,4.81,1,26:44,3:19,2,1,1,3,3,1,1,0
449,TEN,2022-12-18,0,14,18,27,284,2,Sun,14,15,@,LAC,L 14-17,18,26,8,69.2,157,0,1,0.0,3.8,73.4,4,28,13.33,6.0,5.23,4.31,3.73,8.7,14,17,-3,31,27,127,4.7,2,284,57,4.98,69,5.29,1,30:12,3:02,2,2,2,1,0,0,0,0
450,LAC,2022-12-18,0,17,28,24,365,2,Sun,14,15,,TEN,W 17-14,28,42,14,66.7,291,0,2,0.0,4.8,68.8,3,22,6.67,6.9,6.47,4.79,4.47,10.4,17,14,3,31,24,74,3.1,2,365,69,5.29,57,4.98,2,29:48,3:02,2,2,2,1,1,0,0,0
451,NYG,2022-12-18,0,20,21,30,288,2,Sun,14,15,@,WAS,W 20-12,21,32,11,65.6,160,0,0,0.0,0.0,77.6,0,0,0.00,5.0,5.00,5.00,5.00,7.6,20,12,8,32,30,128,4.3,1,288,62,4.65,58,6.67,0,30:30,3:07,2,2,2,2,2,0,0,0
452,BAL,2022-12-17,0,3,17,28,324,0,Sat,14,15,@,CLE,L 3-13,17,30,13,56.7,126,0,1,0.0,3.3,54.6,3,12,9.09,4.2,3.82,2.70,2.45,7.4,3,13,-10,16,28,198,7.1,0,324,61,5.31,64,4.42,2,26:52,2:43,0,0,0,3,1,0,0,0
453,ARI,2022-12-12,0,13,28,22,323,1,Mon,13,14,,NWE,L 13-27,28,41,13,68.3,210,0,1,0.0,2.4,74.7,6,45,12.77,5.1,4.47,4.02,3.51,7.5,13,27,-14,40,22,113,5.1,1,323,69,4.68,57,5.75,2,33:31,3:14,1,1,1,3,2,0,0,0
454,NWE,2022-12-12,0,27,24,21,328,3,Mon,13,14,@,ARI,W 27-13,24,35,11,68.6,225,0,1,0.0,2.9,75.3,1,10,2.78,6.4,6.25,5.14,5.00,9.4,27,13,14,40,21,103,4.9,2,328,57,5.75,69,4.68,1,26:29,3:14,3,3,3,2,2,0,0,0
455,NYJ,2022-12-11,0,12,28,22,309,1,Sun,13,14,@,BUF,L 12-20,28,47,19,59.6,233,0,0,0.0,0.0,75.6,4,36,7.84,5.0,4.57,4.96,4.57,8.3,12,20,-8,32,22,76,3.5,1,309,73,4.23,54,4.30,2,34:25,3:06,1,1,1,1,1,0,0,1
456,BAL,2022-12-11,0,16,11,42,309,1,Sun,13,14,@,PIT,W 16-14,11,17,6,64.7,94,0,0,0.0,0.0,81.5,2,10,10.53,5.5,4.95,5.53,4.95,8.5,16,14,2,30,42,215,5.1,1,309,61,5.07,53,6.21,0,32:59,2:46,1,1,1,3,3,0,0,0
457,LVR,2022-12-08,0,16,11,38,302,1,Thu,13,14,@,LAR,L 16-17,11,20,9,55.0,137,0,2,0.0,10.0,36.9,0,0,0.00,6.9,6.85,2.35,2.35,12.5,16,17,-1,33,38,165,4.3,1,302,58,5.21,61,4.62,2,30:21,3:03,1,1,1,3,3,0,0,0
458,CHI,2022-12-04,0,19,20,25,409,2,Sun,13,13,,GNB,L 19-28,20,25,5,80.0,254,0,2,0.0,8.0,75.7,0,0,0.00,10.2,10.16,6.56,6.56,12.7,19,28,-9,47,25,155,6.2,2,409,50,8.18,63,5.67,3,27:32,2:55,2,2,1,3,2,0,0,0
459,CLE,2022-12-04,0,27,12,38,304,3,Sun,12,13,@,HOU,W 27-14,12,22,10,54.5,130,0,1,0.0,4.5,53.4,1,1,4.35,5.9,5.65,3.86,3.70,10.8,27,14,13,41,38,174,4.6,0,304,61,4.98,61,4.64,2,32:16,3:11,3,3,3,2,2,0,0,0
460,NYJ,2022-12-04,0,22,31,24,486,1,Sun,12,13,@,MIN,L 22-27,31,58,27,53.4,366,0,2,0.0,3.4,58.8,1,3,1.69,6.3,6.20,4.76,4.68,11.8,22,27,-5,49,24,120,5.0,1,486,83,5.86,66,4.35,2,31:38,3:17,1,1,1,5,5,0,0,0
461,LAR,2022-12-04,0,23,14,33,319,2,Sun,12,13,,SEA,L 23-27,14,26,12,53.8,148,0,2,0.0,7.7,43.4,4,30,13.33,5.7,4.93,2.23,1.93,10.6,23,27,-4,50,33,171,5.2,2,319,63,5.06,65,6.74,2,29:07,3:03,2,2,2,3,3,0,0,0
462,DEN,2022-12-04,0,9,17,28,272,0,Sun,12,13,@,BAL,L 9-10,17,22,5,77.3,184,0,0,0.0,0.0,102.3,2,5,8.33,8.4,7.67,8.36,7.67,10.8,9,10,-1,19,28,88,3.1,0,272,52,5.23,69,4.13,0,27:31,2:56,0,0,0,4,3,0,0,0
463,BAL,2022-12-04,0,10,30,28,285,1,Sun,12,13,,DEN,W 10-9,30,37,7,81.1,182,0,2,0.0,5.4,66.4,4,16,9.76,4.9,4.44,2.49,2.24,6.1,10,9,1,19,28,103,3.7,1,285,69,4.13,52,5.23,2,32:29,2:56,1,1,1,1,1,0,0,0
464,PIT,2022-11-28,0,24,20,36,323,2,Mon,11,12,@,IND,W 24-17,20,28,8,71.4,151,0,0,0.0,0.0,87.5,3,23,9.68,5.4,4.87,5.39,4.87,7.6,24,17,7,41,36,172,4.8,2,323,67,4.82,62,4.68,0,34:22,2:58,2,1,1,3,3,1,1,0
465,TEN,2022-11-27,0,16,22,21,344,1,Sun,11,12,,CIN,L 16-20,22,34,12,64.7,281,0,0,0.0,0.0,91.7,1,10,2.86,8.3,8.03,8.26,8.03,12.8,16,20,-4,36,21,63,3.0,0,344,56,6.14,66,5.67,0,28:14,2:58,1,1,1,4,3,0,0,0
466,NOR,2022-11-27,0,0,18,22,260,0,Sun,12,12,@,SFO,L 0-13,18,30,12,60.0,197,0,0,0.0,0.0,80.4,1,7,3.23,6.6,6.35,6.57,6.35,10.9,0,13,-13,13,22,63,2.9,0,260,53,4.91,67,4.73,2,25:10,2:58,0,0,0,1,0,0,0,0
467,ARI,2022-11-21,0,10,30,24,314,1,Mon,11,11,,SFO,L 10-38,30,44,14,68.2,247,0,2,0.0,4.5,66.2,3,30,6.38,5.6,5.26,3.57,3.34,8.2,10,38,-28,48,24,67,2.8,1,314,71,4.42,57,6.79,2,30:51,2:59,1,1,1,1,1,0,0,0
468,IND,2022-11-20,0,16,23,26,284,1,Sun,11,11,,PHI,L 16-17,23,32,9,71.9,185,0,0,0.0,0.0,89.7,4,28,11.11,5.8,5.14,5.78,5.14,8.0,16,17,-1,33,26,99,3.8,1,284,62,4.58,61,5.15,1,30:38,2:56,1,1,1,4,3,0,0,0
469,DEN,2022-11-20,0,16,24,28,320,1,Sun,10,11,,LVR,L 16-22 (OT),24,31,7,77.4,226,0,0,0.0,0.0,99.8,3,21,8.82,7.3,6.65,7.29,6.65,9.4,16,22,-6,38,28,94,3.4,1,320,62,5.16,62,6.56,0,28:57,3:11,1,1,1,4,3,0,0,0
470,HOU,2022-11-20,0,10,19,16,148,1,Sun,10,11,,WAS,L 10-23,19,33,14,57.6,127,0,2,0.0,6.1,46.1,5,42,13.16,3.8,3.34,1.12,0.97,6.7,10,23,-13,33,16,21,1.3,1,148,54,2.74,67,5.13,2,25:04,2:54,1,1,1,1,1,0,0,0
471,WAS,2022-11-20,0,23,15,40,344,2,Sun,11,11,@,HOU,W 23-10,15,27,12,55.6,191,0,0,0.0,0.0,77.9,0,0,0.00,7.1,7.07,7.07,7.07,12.7,23,10,13,33,40,153,3.8,1,344,67,5.13,54,2.74,0,34:56,2:54,2,2,2,3,3,0,0,0
472,MIN,2022-11-20,0,3,17,17,183,0,Sun,10,11,,DAL,L 3-40,17,30,13,56.7,110,0,0,0.0,0.0,71.4,7,49,18.92,3.7,2.97,3.67,2.97,6.5,3,40,-37,43,17,73,4.3,0,183,54,3.39,70,6.54,1,22:36,3:03,0,0,0,1,1,0,0,0
473,NWE,2022-11-20,0,10,23,26,297,1,Sun,10,11,,NYJ,W 10-3,23,27,4,85.2,198,0,0,0.0,0.0,104.6,6,48,18.18,7.3,6.00,7.33,6.00,8.6,10,3,7,13,26,99,3.8,0,297,59,5.03,49,2.10,0,35:30,2:59,1,1,1,3,1,0,0,0
474,NYJ,2022-11-20,0,3,9,23,103,0,Sun,10,11,@,NWE,L 3-10,9,22,13,40.9,44,0,0,0.0,0.0,50.8,4,33,15.38,2.0,1.69,2.00,1.69,4.9,3,10,-7,13,23,59,2.6,0,103,49,2.10,59,5.03,0,24:30,2:59,0,0,0,1,1,0,0,0
475,DET,2022-11-20,0,31,17,37,325,4,Sun,10,11,@,NYG,W 31-18,17,26,9,65.4,165,0,0,0.0,0.0,83.0,0,0,0.00,6.3,6.35,6.35,6.35,9.7,31,18,13,49,37,160,4.3,4,325,63,5.16,72,5.74,0,31:48,3:06,4,4,4,1,1,0,0,0
476,CAR,2022-11-20,0,3,21,17,205,0,Sun,11,11,@,BAL,L 3-13,21,33,12,63.6,169,0,2,0.0,6.1,54.6,4,27,10.81,5.1,4.57,2.39,2.14,8.0,3,13,-10,16,17,36,2.1,0,205,54,3.80,66,4.67,3,26:46,3:12,0,0,0,1,1,0,0,0
477,BAL,2022-11-20,0,13,24,30,308,1,Sun,10,11,,CAR,W 13-3,24,33,9,72.7,193,0,1,0.0,3.0,76.5,3,16,8.33,5.8,5.36,4.48,4.11,8.0,13,3,10,16,30,115,3.8,1,308,66,4.67,54,3.80,1,33:14,3:12,1,1,1,2,2,0,0,0
478,WAS,2022-11-14,0,32,17,49,330,3,Mon,10,10,@,PHI,W 32-21,17,29,12,58.6,178,0,1,0.0,3.4,66.9,3,33,9.38,6.1,5.56,4.59,4.16,10.5,32,21,11,53,49,152,3.1,2,330,81,4.07,47,5.62,2,40:24,2:54,3,2,2,4,4,0,0,0
479,PIT,2022-11-13,0,20,18,43,379,2,Sun,9,10,,NOR,W 20-10,18,30,12,60.0,162,0,0,0.0,0.0,79.7,6,37,16.67,5.4,4.50,5.40,4.50,9.0,20,10,10,30,43,217,5.0,2,379,79,4.80,45,4.13,0,38:56,2:50,2,2,2,4,2,0,0,0
480,SFO,2022-11-13,0,22,19,41,387,2,Sun,9,10,,LAC,W 22-16,19,28,9,67.9,230,0,0,0.0,0.0,94.3,1,10,3.45,8.2,7.93,8.21,7.93,12.1,22,16,6,38,41,157,3.8,2,387,70,5.53,56,4.25,1,36:59,2:59,2,2,1,3,3,0,0,0
481,CAR,2022-11-10,0,25,10,47,333,2,Thu,10,10,,ATL,W 25-15,10,16,6,62.5,101,0,0,0.0,0.0,82.3,1,7,5.88,6.3,5.94,6.31,5.94,10.1,25,15,10,40,47,232,4.9,2,333,64,5.20,60,4.85,0,34:12,3:00,2,2,1,4,4,0,0,0
482,ATL,2022-11-06,0,17,12,35,315,2,Sun,9,9,,LAC,L 17-20,12,23,11,52.2,114,0,0,0.0,0.0,68.9,2,15,8.00,5.0,4.56,4.96,4.56,9.5,17,20,-3,37,35,201,5.7,2,315,60,5.25,67,5.01,2,31:49,2:55,2,2,2,2,1,0,0,0
483,TEN,2022-11-06,0,17,5,29,229,2,Sun,8,9,@,KAN,L 17-20 (OT),5,16,11,31.3,57,0,0,0.0,0.0,49.0,3,23,15.79,3.6,3.00,3.56,3.00,11.4,17,20,-3,37,29,172,5.9,2,229,48,4.77,91,5.48,0,26:23,3:29,2,2,2,1,1,0,0,0
484,IND,2022-11-06,0,3,15,22,121,0,Sun,9,9,@,NWE,L 3-26,15,29,14,51.7,43,0,1,0.0,3.4,45.6,9,60,23.68,1.5,1.13,-0.07,-0.05,2.9,3,26,-23,29,22,78,3.5,0,121,60,2.02,62,3.27,1,28:54,3:00,0,0,0,2,1,0,0,0
485,BUF,2022-11-06,0,17,18,22,317,2,Sun,8,9,@,NYJ,L 17-20,18,34,16,52.9,183,0,2,0.0,5.9,46.8,5,22,12.82,5.4,4.69,2.74,2.38,10.2,17,20,-3,37,22,134,6.1,2,317,61,5.20,61,5.08,2,27:16,3:04,2,2,2,2,1,0,0,0
486,IND,2022-10-30,0,16,17,29,324,1,Sun,8,8,,WAS,L 16-17,17,23,6,73.9,189,0,0,0.0,0.0,100.1,2,12,8.00,8.2,7.56,8.22,7.56,11.1,16,17,-1,33,29,135,4.7,1,324,54,6.00,61,5.93,2,29:20,2:50,1,1,1,3,3,0,0,0
487,TEN,2022-10-30,0,17,6,45,354,2,Sun,7,8,@,HOU,W 17-10,6,10,4,60.0,40,0,1,0.0,10.0,35.4,3,15,23.08,4.0,3.08,-0.50,-0.38,6.7,17,10,7,27,45,314,7.0,2,354,58,6.10,51,3.16,2,34:48,2:51,2,2,2,2,1,0,0,0
488,LVR,2022-10-30,0,0,23,13,183,0,Sun,7,8,@,NOR,L 0-24,23,39,16,59.0,145,0,1,0.0,2.6,59.0,4,28,9.30,3.7,3.37,2.56,2.33,6.3,0,24,-24,24,13,38,2.9,0,183,56,3.27,63,5.83,1,25:09,2:46,0,0,0,0,0,0,0,0
489,NYG,2022-10-30,0,13,17,28,225,1,Sun,8,8,@,SEA,L 13-27,17,31,14,54.8,147,0,0,0.0,0.0,71.4,5,29,13.89,4.7,4.08,4.74,4.08,8.6,13,27,-14,40,28,78,2.8,1,225,64,3.52,62,4.47,2,33:34,3:01,1,1,1,2,2,0,0,0
490,TAM,2022-10-23,0,3,32,16,322,0,Sun,7,7,@,CAR,L 3-21,32,49,17,65.3,276,0,0,0.0,0.0,81.2,1,14,2.00,5.6,5.52,5.63,5.52,8.6,3,21,-18,24,16,46,2.9,0,322,66,4.88,50,6.86,0,30:36,2:44,0,0,0,1,1,0,0,0
491,DET,2022-10-23,0,6,21,25,312,0,Sun,6,7,@,DAL,L 6-24,21,26,5,80.8,195,0,2,0.0,7.7,71.2,5,33,16.13,7.5,6.29,4.04,3.39,9.3,6,24,-18,30,25,117,4.7,0,312,56,5.57,59,5.59,5,31:14,2:48,0,0,0,2,2,0,0,0
492,DEN,2022-10-23,0,9,24,28,324,1,Sun,7,7,,NYJ,L 9-16,24,46,22,52.2,219,0,1,0.0,2.2,56.9,1,6,2.13,4.8,4.66,3.78,3.70,9.1,9,16,-7,25,28,105,3.8,1,324,75,4.32,53,4.91,1,32:23,3:18,1,1,0,2,1,0,0,0
493,NYJ,2022-10-23,0,16,16,24,260,1,Sun,7,7,@,DEN,W 16-9,16,26,10,61.5,105,0,0,0.0,0.0,72.8,3,16,10.34,4.0,3.62,4.04,3.62,6.6,16,9,7,25,24,155,6.5,1,260,53,4.91,75,4.32,0,27:37,3:18,1,1,1,3,3,0,0,0
494,JAX,2022-10-23,0,17,22,21,452,2,Sun,7,7,,NYG,L 17-23,22,44,22,50.0,310,0,0,0.0,0.0,73.1,0,0,0.00,7.0,7.05,7.05,7.05,14.1,17,23,-6,40,21,142,6.8,2,452,65,6.95,70,6.23,1,25:50,3:29,2,1,0,1,1,1,1,0
495,TEN,2022-10-23,0,19,13,35,254,1,Sun,6,7,,IND,W 19-10,13,20,7,65.0,116,0,0,0.0,0.0,83.7,2,16,9.09,5.8,5.27,5.80,5.27,8.9,19,10,9,29,35,138,3.9,0,254,57,4.46,64,4.56,1,31:33,2:51,1,1,1,4,4,0,0,0
496,CLE,2022-10-23,0,20,22,24,336,2,Sun,7,7,@,BAL,L 20-23,22,27,5,81.5,223,0,0,0.0,0.0,106.5,5,35,15.63,8.3,6.97,8.26,6.97,10.1,20,23,-3,43,24,113,4.7,2,336,56,6.00,63,4.03,2,25:56,2:55,2,2,2,3,2,0,0,0
497,BAL,2022-10-23,0,23,9,44,254,2,Sun,7,7,,CLE,W 23-20,9,16,7,56.3,94,0,0,0.0,0.0,80.2,3,26,15.79,5.9,4.95,5.88,4.95,10.4,23,20,3,43,44,160,3.6,2,254,63,4.03,56,6.00,1,34:04,2:55,2,2,2,3,3,0,0,0
498,LAC,2022-10-17,0,19,37,24,297,1,Mon,6,6,,DEN,W 19-16 (OT),37,57,20,64.9,224,0,1,0.0,1.8,66.3,2,14,3.39,3.9,3.80,3.14,3.03,6.1,19,16,3,35,24,73,3.0,1,297,83,3.58,55,4.69,1,38:49,3:19,1,1,1,4,4,0,0,0
499,NYJ,2022-10-16,0,27,10,33,278,3,Sun,6,6,@,GNB,W 27-10,10,18,8,55.6,99,0,0,0.0,0.0,73.8,2,11,10.00,5.5,4.95,5.50,4.95,9.9,27,10,17,37,33,179,5.4,2,278,53,5.25,69,4.03,0,28:48,3:05,3,3,3,3,2,0,0,0
500,CAR,2022-10-16,0,10,13,21,203,1,Sun,6,6,@,LAR,L 10-24,13,21,8,61.9,110,0,1,0.0,4.8,57.4,2,9,8.70,5.2,4.78,3.10,2.83,8.5,10,24,-14,34,21,93,4.4,0,203,44,4.61,63,5.71,1,22:55,2:58,1,1,1,1,1,0,0,0
501,ARI,2022-10-16,0,9,23,28,315,1,Sun,6,6,@,SEA,L 9-19,23,37,14,62.2,171,0,1,0.0,2.7,67.6,6,51,13.95,4.6,3.98,3.41,2.93,7.4,9,19,-10,28,28,144,5.1,0,315,71,4.44,66,4.48,2,30:44,3:08,1,1,0,1,1,0,0,0
502,SEA,2022-10-16,0,19,20,30,296,1,Sun,6,6,,ARI,W 19-9,20,31,11,64.5,160,0,0,0.0,0.0,82.3,5,37,13.89,5.2,4.44,5.16,4.44,8.0,19,9,10,28,30,136,4.5,1,296,66,4.48,71,4.44,1,29:16,3:08,1,1,1,4,4,0,0,0
503,WAS,2022-10-13,0,12,12,28,214,1,Thu,6,6,@,CHI,W 12-7,12,22,10,54.5,86,0,0,0.0,0.0,66.3,3,13,12.00,3.9,3.44,3.91,3.44,7.2,12,7,5,19,28,128,4.6,1,214,53,4.04,69,5.67,0,27:48,2:51,1,0,0,3,2,1,0,0
504,PIT,2022-10-09,0,3,34,17,364,0,Sun,5,5,@,BUF,L 3-38,34,52,18,65.4,310,0,1,0.0,1.9,74.8,3,17,5.45,6.0,5.64,5.10,4.82,9.1,3,38,-35,41,17,54,3.2,0,364,72,5.06,54,10.22,2,36:08,3:10,0,0,0,3,1,0,0,0
505,CAR,2022-10-09,0,15,25,17,308,1,Sun,5,5,,SFO,L 15-37,25,42,17,59.5,244,0,1,0.0,2.4,69.0,6,31,12.50,5.8,5.08,4.74,4.15,9.8,15,37,-22,52,17,64,3.8,1,308,65,4.74,61,6.51,1,29:42,3:07,1,0,0,4,3,1,0,0
506,PHI,2022-10-09,0,20,26,33,357,2,Sun,5,5,@,ARI,W 20-17,26,36,10,72.2,218,0,0,0.0,0.0,89.9,2,21,5.26,6.1,5.74,6.06,5.74,8.4,20,17,3,37,33,139,4.2,2,357,71,5.03,69,5.26,0,34:39,2:53,2,2,2,2,2,0,0,0
507,NYG,2022-10-09,0,27,21,31,338,3,Sun,5,5,@,GNB,W 27-22,21,27,6,77.8,213,0,0,0.0,0.0,100.2,1,4,3.57,7.9,7.61,7.89,7.61,10.1,27,22,5,49,31,125,4.0,3,338,59,5.73,61,4.93,0,32:11,2:59,3,3,3,2,2,0,0,0
508,HOU,2022-10-09,0,13,16,31,248,1,Sun,5,5,@,JAX,W 13-6,16,24,8,66.7,132,0,0,0.0,0.0,81.9,1,8,4.00,5.5,5.28,5.50,5.28,8.3,13,6,7,19,31,116,3.7,1,248,56,4.43,73,5.78,0,31:47,2:58,1,1,1,2,2,0,0,0
509,JAX,2022-10-09,0,6,25,26,422,0,Sun,5,5,,HOU,L 6-13,25,47,22,53.2,286,0,2,0.0,4.3,54.0,0,0,0.00,6.1,6.09,4.17,4.17,11.4,6,13,-7,19,26,136,5.2,0,422,73,5.78,56,4.43,2,28:13,2:58,0,0,0,2,2,0,0,0
510,DET,2022-10-09,0,0,19,27,312,0,Sun,5,5,@,NWE,L 0-29,19,35,16,54.3,211,0,1,0.0,2.9,62.7,2,18,5.41,6.0,5.70,4.74,4.49,11.1,0,29,-29,29,27,101,3.7,0,312,64,4.88,56,6.50,2,28:31,2:55,0,0,0,0,0,0,0,0
511,MIA,2022-10-09,0,17,19,26,295,2,Sun,5,5,@,NYJ,L 17-40,19,34,15,55.9,158,0,1,0.0,2.9,56.7,2,8,5.56,4.6,4.39,3.32,3.14,8.3,17,40,-23,57,26,137,5.3,2,295,62,4.76,56,5.75,2,29:02,3:09,2,2,2,2,1,0,0,0
512,NYJ,2022-10-09,0,40,14,33,322,5,Sun,5,5,,MIA,W 40-17,14,21,7,66.7,187,0,0,0.0,0.0,99.3,2,23,8.70,8.9,8.13,8.90,8.13,13.4,40,17,23,57,33,135,4.1,5,322,56,5.75,62,4.76,0,30:58,3:09,5,5,5,1,1,0,0,1
513,DAL,2022-10-09,0,22,10,34,239,2,Sun,5,5,@,LAR,W 22-10,10,16,6,62.5,76,0,0,0.0,0.0,80.7,3,26,15.79,4.8,4.00,4.75,4.00,7.6,22,10,12,32,34,163,4.8,1,239,53,4.51,64,5.05,0,29:30,2:56,2,1,1,3,3,1,0,0
514,IND,2022-10-06,0,12,26,26,306,0,Thu,5,5,@,DEN,W 12-9 (OT),26,41,15,63.4,200,0,2,0.0,4.9,60.1,6,51,12.77,4.9,4.26,2.68,2.34,7.7,12,9,3,21,26,106,4.1,0,306,73,4.19,71,5.28,2,34:48,3:30,0,0,0,4,4,0,0,0
515,DEN,2022-10-06,0,9,21,28,375,0,Thu,5,5,,IND,L 9-12 (OT),21,39,18,53.8,250,0,2,0.0,5.1,54.9,4,24,9.30,6.4,5.81,4.10,3.72,11.9,9,12,-3,21,28,125,4.5,0,375,71,5.28,73,4.19,2,32:39,3:30,0,0,0,4,3,0,0,0
