Rk,Team,Date,TD,Pts,Cmp,Att,Tot,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
416,MIA,2022-09-11,1,20,23,23,307,2,Sun,1,1,,NWE,W 20-7,23,33,10,69.7,242,1,0,3.0,0.0,104.4,3,28,8.33,7.3,6.72,7.94,7.28,10.5,20,7,13,27,23,65,2.8,0,307,59,5.20,54,5.02,0,32:30,2:50,2,2,2,2,2,0,0,0
417,NWE,2022-09-11,1,7,21,22,271,1,Sun,1,1,@,MIA,L 7-20,21,30,9,70.0,193,1,1,3.3,3.3,87.2,2,20,6.25,6.4,6.03,5.60,5.25,9.2,7,20,-13,27,22,78,3.5,0,271,54,5.02,59,5.20,3,27:30,2:50,1,1,1,0,0,0,0,0
418,NYJ,2022-09-11,1,9,37,17,380,1,Sun,1,1,,BAL,L 9-24,37,59,22,62.7,297,1,1,1.7,1.7,74.8,3,12,4.84,5.0,4.79,4.61,4.39,8.0,9,24,-15,33,17,83,4.9,0,380,79,4.81,53,5.17,2,32:30,3:03,1,1,0,2,1,0,0,0
419,JAX,2022-09-11,1,22,24,18,383,2,Sun,1,1,@,WAS,L 22-28,24,42,18,57.1,260,1,1,2.4,2.4,75.0,2,15,4.55,6.2,5.91,5.60,5.34,10.8,22,28,-6,50,18,123,6.8,1,383,62,6.18,70,5.57,1,26:27,3:19,2,1,1,4,3,1,0,0
420,LAR,2022-09-08,1,10,29,18,243,1,Thu,1,1,,BUF,L 10-31,29,41,12,70.7,191,1,3,2.4,7.3,63.1,7,49,14.58,4.7,3.98,1.85,1.58,6.6,10,31,-21,41,18,52,2.9,0,243,66,3.68,58,7.12,3,28:46,2:46,1,1,1,1,1,0,0,0
421,BAL,2023-01-08,0,16,19,27,386,1,Sun,17,18,@,CIN,L 16-27,19,44,25,43.2,276,0,2,0.0,4.5,46.2,4,10,8.33,6.3,5.75,4.23,3.88,14.5,16,27,-11,43,27,110,4.1,1,386,75,5.15,64,4.02,4,28:41,3:22,1,1,1,3,3,0,0,0
422,DET,2023-01-08,0,20,23,25,323,2,Sun,17,18,@,GNB,W 20-16,23,34,11,67.6,219,0,0,0.0,0.0,85.9,1,5,2.86,6.4,6.26,6.44,6.26,9.5,20,16,4,36,25,104,4.2,2,323,60,5.38,57,5.11,0,27:45,2:59,2,2,2,3,2,0,0,0
423,MIA,2023-01-08,0,11,20,32,302,0,Sun,17,18,,NYJ,W 11-6,20,31,11,64.5,140,0,0,0.0,0.0,76.3,1,12,3.13,4.5,4.38,4.52,4.38,7.0,11,6,5,17,32,162,5.1,0,302,64,4.72,53,3.53,0,35:25,2:59,0,0,0,3,3,0,0,1
424,NYJ,2023-01-08,0,6,18,20,187,0,Sun,17,18,@,MIA,L 6-11,18,33,15,54.5,149,0,0,0.0,0.0,66.4,0,0,0.00,4.5,4.52,4.52,4.52,8.3,6,11,-5,17,20,38,1.9,0,187,53,3.53,64,4.72,0,24:35,2:59,0,0,0,3,2,0,0,0
425,CAR,2023-01-08,0,10,5,41,203,1,Sun,17,18,@,NOR,W 10-7,5,15,10,33.3,32,0,2,0.0,13.3,2.8,2,11,11.76,2.1,1.88,-3.87,-3.41,6.4,10,7,3,17,41,171,4.2,0,203,58,3.50,58,5.24,2,30:55,2:43,1,1,1,1,1,0,0,0
426,PHI,2023-01-08,0,22,20,34,342,1,Sun,17,18,,NYG,W 22-16,20,35,15,57.1,207,0,1,0.0,2.9,65.1,3,22,7.89,5.9,5.45,4.63,4.26,10.4,22,16,6,38,34,135,4.0,1,342,72,4.75,63,4.51,1,31:26,2:57,1,1,1,5,5,0,0,0
427,LAR,2023-01-08,0,16,13,28,269,1,Sun,17,18,@,SEA,L 16-19 (OT),13,26,13,50.0,123,0,1,0.0,3.8,51.3,5,24,16.13,4.7,3.97,3.00,2.52,9.5,16,19,-3,35,28,146,5.2,1,269,59,4.56,70,5.74,1,29:55,3:07,1,1,1,3,3,0,0,0
428,ATL,2023-01-01,0,20,19,34,298,2,Sun,16,17,,ARI,W 20-19,19,26,7,73.1,166,0,0,0.0,0.0,90.1,1,3,3.70,6.4,6.15,6.38,6.15,8.7,20,19,1,39,34,132,3.9,2,298,61,4.89,69,4.91,1,32:24,2:56,2,2,2,2,2,0,0,0
429,HOU,2023-01-01,0,3,25,21,277,0,Sun,16,17,,JAX,L 3-31,25,44,19,56.8,193,0,0,0.0,0.0,69.4,2,18,4.35,4.4,4.20,4.39,4.20,7.7,3,31,-28,34,21,84,4.0,0,277,67,4.13,60,5.62,1,30:30,2:54,0,0,0,1,1,0,0,0
