player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Tyler Kroft,TE,MIA,2,1,0,0,0,0,0,0.003717584848009818,0.003732499783394683,0.004124044309369985,0.0038858249562256668,0,0.01283127189834944,NA
Raheem Mostert,RB,MIA,2,2,116,3,0.5659379230296372,0.6519031478851933,0.7467020758366992,0.0778601219037638,0.07660716895333049,0.06593486333920819,0.07326704575896956,0,0.01001991078841093,NA
Tyreek Hill,WR,MIA,2,2,62,0,0,0,0,0.3022380055365809,0.2983011504056654,0.3357298160168954,0.3291920763024562,0,0.01187140304219961,NA
Robbie Anderson,WR,MIA,1,0,1,0,0,0,0,0.014775109895609066,0.014360289774820113,0.016365088913566566,0.015451421327072607,0,0.01415347488989263,NA
Durham Smythe,TE,MIA,2,2,14,0,0,0,0,0.048882441446289344,0.052239788275454536,0.050333094358949435,0.043815724855116187,0,0.01255139516231162,Q
Cedrick Wilson,WR,MIA,2,2,8,0,0,0,0,0.04268437621630049,0.04440419981922646,0.05357930700111713,0.06588268802543241,0,0.01263751108109249,NA
Braxton Berrios,WR,MIA,2,2,21,0,0,0,0,0.07176064871050478,0.07281060272879714,0.06222450916987995,0.06316743357811695,0,0.01400277203202611,Q
Alec Ingold,RB,MIA,2,1,6,0,0,0,0,0.0172955259597964,0.016026594136835763,0.014662915717782011,0.013794175779675295,0,0.01246527924353075,NA
Chase Claypool,WR,MIA,2,2,5,0,0,0,0,0.06363506855427144,0.06078608450992415,0.061712701202803866,0.05968455635761601,0,0.01426111978836872,NA
Salvon Ahmed,RB,MIA,2,2,27,0,0.10202312707715376,0.034724900951363234,0.05355664580128527,0.056584464118107816,0.05983560621033407,0.03687911442937076,0.04159312926497007,0,0.01263751108109249,NA
Jaylen Waddle,WR,MIA,2,2,38,0,0,0,0,0.22078299251599173,0.22034175396462133,0.23606113238921958,0.2239105985960124,0,0.01290479406757004,NA
Julian Hill,TE,MIA,2,0,1,0,0,0,0,0.010408381771292587,0.00868110264196384,0.00506717509872757,0.005914085795405282,0.21,0.007,NA
Travis Kelce,TE,KC,2,2,54,0,4.67544331980642e-6,5.394649226553467e-6,8.054822272784025e-6,0.25959769472187794,0.26882969967104675,0.2744283350876599,0.26235117229806115,0,0.01217280875793265,NA
Jerick McKinnon,RB,KC,2,2,26,0,0.10089558745618234,0.017476457492861627,0.06241572731613254,0.07753904933295278,0.07534323473794725,0.0697491964229449,0.0741923111202714,0,0.01182834508280918,NA
Blake Bell,TE,KC,2,2,3,1,3.319322757890097e-5,3.0916186811207386e-5,5.180383263772388e-5,0.016683184334015975,0.01366718138535099,0.011462402925208977,0.01390777926270477,0,0.01287432985773988,NA
Justin Watson,WR,KC,2,2,12,1,0,0,0,0.06755711618667107,0.06546698759681285,0.09270614865217695,0.07243469571609296,0,0.01259445312170205,NA
Marquez Valdes Scantling,WR,KC,2,2,12,1,4.2193507621994364e-8,4.529140725073885e-8,7.040712337161062e-8,0.08860261670542646,0.08105724222634306,0.09417425155624497,0.0915125969132808,0,0.01199164169023597,NA
