Team,week,games,cum_def_cmp,cum_def_pas_att,cum_def_pas_yds,cum_def_pas_tds,cum_def_int,cum_def_fmb,cum_def_rus_att,cum_def_rus_yds,cum_def_rus_tds
TEN,3,3,70,106,769,8,2,1,75,435,1
WAS,3,3,66,111,822,8,1,0,72,386,1
ARI,2,2,55,78,604,7,0,2,48,208,1
ATL,2,2,50,70,506,5,2,2,45,216,2
BAL,2,2,73,109,758,7,3,1,35,169,0
BUF,2,2,41,65,298,1,5,2,45,132,1
CAR,2,2,40,68,300,2,0,0,72,320,1
CHI,2,2,32,53,366,2,1,2,75,379,2
CIN,2,2,40,69,422,2,0,1,49,182,1
CLE,2,2,43,72,516,5,1,1,39,147,2
DAL,2,2,42,63,360,2,1,0,58,241,0
DEN,2,2,42,66,331,2,0,1,37,156,0
DET,2,2,48,78,547,3,1,0,60,304,5
GNB,2,2,30,43,317,2,1,0,55,306,1
HOU,2,2,46,81,541,2,2,1,69,326,1
IND,2,2,48,67,457,4,0,1,65,173,1
JAX,2,2,43,71,469,4,5,1,41,139,0
KAN,2,2,57,86,505,5,1,0,46,178,1
LAC,2,2,46,72,482,4,3,0,31,157,0
LAR,2,2,43,57,463,5,4,3,52,211,1
LVR,2,2,57,83,549,4,1,0,59,219,2
MIA,2,2,42,59,511,4,1,2,47,233,1
MIN,2,2,52,70,550,1,2,1,52,274,3
NOR,2,2,38,67,403,1,0,3,68,273,2
NWE,2,2,44,66,394,2,1,1,45,156,0
NYG,2,2,34,62,395,3,0,3,49,239,0
NYJ,2,2,39,57,432,4,2,0,58,247,3
PHI,2,2,48,83,407,3,4,0,39,243,3
PIT,2,2,54,88,551,3,5,1,65,257,1
SEA,2,2,44,66,514,2,0,2,65,292,2
SFO,2,2,32,48,285,2,3,1,51,135,1
TAM,2,2,46,82,381,1,4,2,38,171,0
TEN,2,2,43,61,469,6,1,1,56,339,1
WAS,2,2,44,76,494,5,1,0,42,314,1
ARI,1,1,30,39,360,5,0,1,27,128,1
ATL,1,1,23,34,234,2,0,1,19,151,1
BAL,1,1,37,59,297,1,1,1,17,83,0
BUF,1,1,29,41,191,1,3,0,18,52,0
CAR,1,1,18,34,138,1,0,0,39,217,1
CHI,1,1,13,28,155,0,1,1,37,176,1
CIN,1,1,21,38,192,1,0,0,22,75,0
CLE,1,1,16,27,207,1,1,0,19,54,2
DAL,1,1,18,27,195,1,1,0,33,152,0
DEN,1,1,23,28,177,2,0,1,19,76,0
DET,1,1,18,32,239,0,0,0,39,216,4
GNB,1,1,23,32,269,2,0,0,28,126,0
HOU,1,1,32,50,340,1,1,1,38,177,1
IND,1,1,23,37,222,2,0,1,28,77,0
JAX,1,1,27,41,305,4,2,1,28,85,0
KAN,1,1,24,38,179,2,0,0,22,103,1
LAC,1,1,22,37,256,2,3,0,13,64,0
LAR,1,1,26,31,292,3,2,2,25,121,1
LVR,1,1,26,34,279,3,0,0,31,76,0
MIA,1,1,21,30,193,1,1,2,22,78,0
MIN,1,1,26,39,227,0,1,1,18,111,1
NOR,1,1,20,33,215,0,0,2,38,201,2
NWE,1,1,23,33,242,1,0,0,23,65,0
NYG,1,1,20,33,266,2,0,1,26,93,0
NYJ,1,1,17,30,211,3,1,0,21,63,0
PHI,1,1,21,37,205,2,1,0,28,181,3
PIT,1,1,33,53,299,2,4,1,34,133,0
SEA,1,1,29,42,330,1,0,2,20,103,0
SFO,1,1,8,17,105,2,1,0,37,99,1
TAM,1,1,21,42,173,0,1,0,18,71,0
TEN,1,1,17,21,156,2,1,1,32,238,1
WAS,1,1,24,42,260,1,1,0,18,123,1
