Team,week,games,cum_off_cmp,cum_off_pas_att,cum_off_pas_yds,cum_off_pas_tds,cum_off_int,cum_off_fmb,cum_off_rus_att,cum_off_rus_yds,cum_off_rus_tds
HOU,3,3,62,107,613,3,2,1,70,249,1
IND,3,3,75,117,681,3,4,2,78,313,1
JAX,3,3,77,111,757,6,1,0,91,370,3
KAN,3,3,74,110,843,8,1,2,68,279,2
LAC,3,3,84,127,891,7,2,1,67,177,0
LAR,3,3,74,102,702,4,5,2,64,217,3
LVR,3,3,74,121,800,6,4,1,53,240,0
MIA,3,3,72,103,874,8,2,0,58,192,2
MIN,3,3,74,119,721,5,3,1,64,311,2
NOR,3,3,73,115,784,4,5,4,61,335,2
NWE,3,3,64,97,747,2,5,3,81,347,4
NYG,3,3,59,92,487,3,2,1,90,508,2
NYJ,3,3,92,156,858,5,3,4,57,252,0
PHI,3,3,66,98,890,4,1,0,103,451,6
PIT,3,3,62,103,548,2,1,2,66,270,2
SEA,3,3,79,103,665,4,3,2,56,224,0
SFO,3,3,46,81,518,2,2,3,101,453,3
TAM,3,3,67,103,634,3,1,3,77,258,0
TEN,3,3,51,84,625,3,3,3,80,282,3
WAS,3,3,82,130,766,7,3,2,71,260,2
ARI,2,2,55,87,449,3,1,0,50,246,3
ATL,2,2,37,59,386,2,2,3,65,291,2
BAL,2,2,38,59,529,6,1,0,46,218,1
BUF,2,2,52,71,605,7,2,2,49,222,1
CAR,2,2,30,56,336,2,1,2,42,200,2
CHI,2,2,15,28,153,2,2,0,64,279,2
CIN,2,2,57,89,464,3,4,1,59,222,0
CLE,2,2,40,61,359,2,1,0,76,401,4
DAL,2,2,40,73,403,1,1,1,45,178,1
DEN,2,2,43,73,531,2,1,2,51,252,0
DET,2,2,41,71,439,6,1,0,52,372,3
GNB,2,2,45,64,438,2,1,2,56,314,2
HOU,2,2,42,75,376,2,0,1,46,157,0
IND,2,2,48,80,504,1,4,1,51,231,1
JAX,2,2,49,72,495,3,1,0,55,219,2
KAN,2,2,54,74,586,7,0,1,45,221,1
LAC,2,2,59,82,605,6,1,0,55,151,0
LAR,2,2,56,77,463,4,5,1,44,117,1
LVR,2,2,47,76,500,4,3,1,34,144,0
MIA,2,2,59,83,703,7,2,0,41,151,0
MIN,2,2,50,78,471,3,3,0,39,188,0
NOR,2,2,48,74,442,3,3,3,39,251,1
NWE,2,2,42,65,445,2,2,2,53,202,1
NYG,2,2,39,55,318,3,1,1,65,341,1
NYJ,2,2,64,104,606,5,1,2,37,176,0
PHI,2,2,44,63,562,1,1,0,73,379,6
PIT,2,2,42,71,344,2,1,1,44,166,0
SEA,2,2,47,59,357,2,2,2,33,112,0
SFO,2,2,28,52,339,1,1,1,82,365,3
TAM,2,2,36,61,383,2,1,1,63,224,0
TEN,2,2,32,57,373,2,2,3,53,173,1
WAS,2,2,57,87,613,7,3,1,49,173,1
ARI,1,1,24,38,179,2,0,0,22,103,1
ATL,1,1,20,33,215,0,0,2,38,201,2
BAL,1,1,17,30,211,3,1,0,21,63,0
BUF,1,1,26,31,292,3,2,2,25,121,1
CAR,1,1,16,27,207,1,1,0,19,54,2
CHI,1,1,8,17,105,2,1,0,37,99,1
CIN,1,1,33,53,299,2,4,1,34,133,0
CLE,1,1,18,34,138,1,0,0,39,217,1
DAL,1,1,21,42,173,0,1,0,18,71,0
DEN,1,1,29,42,330,1,0,2,20,103,0
DET,1,1,21,37,205,2,1,0,28,181,3
GNB,1,1,26,39,227,0,1,1,18,111,1
HOU,1,1,23,37,222,2,0,1,28,77,0
IND,1,1,32,50,340,1,1,1,38,177,1
JAX,1,1,24,42,260,1,1,0,18,123,1
KAN,1,1,30,39,360,5,0,1,27,128,1
LAC,1,1,26,34,279,3,0,0,31,76,0
LAR,1,1,29,41,191,1,3,0,18,52,0
LVR,1,1,22,37,256,2,3,0,13,64,0
MIA,1,1,23,33,242,1,0,0,23,65,0
MIN,1,1,23,32,269,2,0,0,28,126,0
NOR,1,1,23,34,234,2,0,1,19,151,1
NWE,1,1,21,30,193,1,1,2,22,78,0
NYG,1,1,17,21,156,2,1,1,32,238,1
NYJ,1,1,37,59,297,1,1,1,17,83,0
PHI,1,1,18,32,239,0,0,0,39,216,4
PIT,1,1,21,38,192,1,0,0,22,75,0
SEA,1,1,23,28,177,2,0,1,19,76,0
SFO,1,1,13,28,155,0,1,1,37,176,1
TAM,1,1,18,27,195,1,1,0,33,152,0
TEN,1,1,20,33,266,2,0,1,26,93,0
WAS,1,1,27,41,305,4,2,1,28,85,0
