Team,week,games,cum_off_cmp,cum_off_pas_att,cum_off_pas_yds,cum_off_pas_tds,cum_off_int,cum_off_fmb,cum_off_rus_att,cum_off_rus_yds,cum_off_rus_tds
KAN,15,14,372,555,4333,35,11,10,351,1679,13
LAC,15,14,407,605,3839,21,9,6,319,1172,11
LAR,15,14,299,458,2644,14,14,7,321,1191,10
LVR,15,14,298,486,3246,23,11,3,352,1767,11
MIA,15,14,308,488,3830,27,10,5,313,1356,10
MIN,15,14,364,556,3629,24,11,6,327,1335,16
NOR,15,14,295,448,3255,23,12,10,359,1558,9
NWE,15,14,291,434,2905,12,11,8,365,1568,12
NYG,15,14,274,414,2506,13,5,8,441,2047,17
NYJ,15,14,297,515,3209,15,11,7,348,1507,13
PHI,15,14,288,429,3297,22,5,8,466,2220,30
PIT,15,14,310,476,2825,9,13,4,395,1625,14
SEA,15,14,337,473,3381,26,9,11,320,1514,12
SFO,15,14,286,435,3212,23,7,8,414,1868,14
TAM,15,14,411,624,3758,20,8,10,311,1040,4
TEN,15,14,231,365,2441,14,7,9,393,1703,14
WAS,15,14,292,473,2920,20,11,6,427,1777,7
ARI,14,13,344,515,2848,15,10,5,340,1492,12
ATL,14,13,184,300,2024,15,9,8,418,2066,12
BAL,14,13,241,376,2403,17,9,5,409,2108,13
BUF,14,13,302,477,3424,26,11,9,345,1738,12
CAR,14,13,210,360,2200,11,10,6,361,1624,13
CHI,14,13,171,279,1828,14,11,7,455,2459,16
CIN,14,13,326,477,3485,27,9,4,334,1347,13
CLE,14,13,274,434,2851,13,9,9,413,1943,18
DAL,14,13,262,412,2797,19,12,3,400,1878,21
DEN,14,13,266,448,2761,12,8,6,330,1341,6
DET,14,13,291,445,3235,22,7,7,371,1658,19
GNB,14,13,284,441,2863,23,9,8,335,1630,7
HOU,14,13,269,434,2510,14,16,6,296,1169,6
IND,14,13,322,480,2832,13,14,12,322,1302,7
JAX,14,13,305,462,3059,20,6,9,339,1589,12
KAN,14,13,336,514,4020,33,11,8,318,1490,11
LAC,14,13,379,563,3548,21,7,6,295,1098,9
LAR,14,13,287,437,2560,13,13,7,304,1119,10
LVR,14,13,278,448,3035,20,10,3,329,1670,11
MIA,14,13,291,458,3613,25,10,5,288,1168,9
MIN,14,13,330,501,3203,20,9,5,303,1243,15
NOR,14,13,282,429,3041,20,12,9,325,1424,9
NWE,14,13,278,403,2793,12,11,7,333,1362,11
NYG,14,13,253,382,2346,13,5,8,411,1919,16
NYJ,14,13,279,480,2922,13,10,7,326,1457,13
PHI,14,13,266,392,2988,22,3,7,433,2108,27
PIT,14,13,293,454,2656,9,13,4,350,1469,11
SEA,14,13,306,429,3174,25,9,10,306,1444,12
SFO,14,13,269,409,3001,21,7,8,380,1698,13
TAM,14,13,381,580,3454,17,6,8,286,948,4
TEN,14,13,213,339,2284,14,6,9,366,1576,12
WAS,14,13,275,444,2692,19,11,4,401,1618,7
ARI,13,12,316,474,2638,15,9,4,318,1379,11
ATL,13,13,184,300,2024,15,9,8,418,2066,12
BAL,13,12,230,359,2309,17,9,5,367,1893,12
BUF,13,12,286,450,3294,25,11,9,321,1636,11
CAR,13,12,196,336,2095,10,10,6,315,1401,11
CHI,13,13,171,279,1828,14,11,7,455,2459,16
CIN,13,12,308,444,3258,25,8,4,308,1211,12
CLE,13,12,248,391,2578,12,8,9,388,1872,18
DAL,13,12,238,373,2520,18,10,2,369,1751,19
DEN,13,12,239,404,2547,8,6,6,311,1235,6
DET,13,12,264,406,2905,19,7,7,341,1524,18
GNB,13,13,284,441,2863,23,9,8,335,1630,7
HOU,13,12,249,407,2297,13,15,5,259,1055,5
IND,13,13,322,480,2832,13,14,12,322,1302,7
JAX,13,12,275,420,2691,17,6,9,314,1529,11
KAN,13,12,308,472,3678,30,8,8,295,1401,11
LAC,13,12,340,512,3198,20,7,6,272,1016,8
LAR,13,12,265,402,2349,12,13,6,282,1048,9
LVR,13,12,267,428,2898,20,8,3,291,1505,10
MIA,13,12,281,430,3486,24,10,5,269,1076,9
MIN,13,12,299,460,2809,18,9,3,286,1221,14
NOR,13,13,282,429,3041,20,12,9,325,1424,9
NWE,13,12,254,368,2568,12,10,7,312,1259,9
NYG,13,12,230,350,2165,11,5,7,387,1796,15
NYJ,13,12,251,433,2689,13,10,5,304,1381,12
PHI,13,12,245,361,2804,20,3,7,402,1855,23
PIT,13,12,271,423,2392,8,10,4,330,1404,10
SEA,13,12,285,393,2933,22,7,10,292,1398,12
SFO,13,12,252,386,2806,19,7,7,344,1489,10
TAM,13,12,347,525,3201,16,4,7,267,879,4
TEN,13,12,188,301,2057,12,5,6,346,1439,11
WAS,13,13,275,444,2692,19,11,4,401,1618,7
ARI,12,12,316,474,2638,15,9,4,318,1379,11
ATL,12,12,171,276,1864,14,8,8,390,1920,12
BAL,12,11,200,322,2127,17,7,5,339,1790,11
BUF,12,11,264,417,3071,23,11,8,284,1504,10
CAR,12,12,196,336,2095,10,10,6,315,1401,11
CHI,12,12,151,254,1574,14,9,6,430,2304,14
CIN,12,11,283,413,2979,23,8,4,274,1059,11
CLE,12,11,236,369,2448,12,7,8,350,1698,18
DAL,12,11,218,343,2355,15,9,2,335,1531,15
DEN,12,11,222,382,2363,8,6,6,283,1147,6
DET,12,11,233,365,2568,17,7,7,310,1424,16
GNB,12,12,266,410,2681,22,9,8,303,1455,5
HOU,12,11,229,368,2096,12,13,3,237,973,5
IND,12,12,301,443,2629,11,11,10,292,1196,7
JAX,12,11,256,386,2520,16,6,8,295,1434,11
KAN,12,11,292,445,3467,29,8,7,270,1263,9
LAC,12,11,312,465,2884,19,7,5,250,944,8
LAR,12,11,251,376,2201,12,11,6,249,877,7
LVR,12,11,251,398,2648,18,7,2,262,1351,9
MIA,12,11,263,396,3211,22,7,4,261,1043,9
MIN,12,11,278,425,2650,17,9,3,257,1093,12
NOR,12,12,261,400,2809,19,12,9,300,1358,9
NWE,12,11,232,332,2386,11,10,7,298,1199,9
NYG,12,11,205,319,1983,10,5,6,357,1662,14
NYJ,12,11,220,375,2323,13,8,5,280,1261,11
PHI,12,11,215,320,2418,17,3,7,378,1788,21
PIT,12,11,255,395,2195,7,10,4,293,1250,10
SEA,12,11,257,354,2585,19,6,9,270,1308,12
SFO,12,11,225,345,2576,17,6,7,310,1368,10
TAM,12,11,311,471,2927,14,3,6,247,803,4
TEN,12,11,172,275,1935,11,5,6,325,1352,11
WAS,12,12,248,403,2446,17,11,3,365,1453,7
ARI,11,11,298,445,2453,13,8,3,284,1198,10
ATL,11,11,156,251,1699,13,7,8,361,1753,12
BAL,11,10,184,290,1874,16,7,3,304,1628,10
BUF,11,10,240,375,2834,21,10,8,255,1340,9
CAR,11,11,185,317,1931,9,10,5,269,1216,10
CHI,11,11,137,229,1409,13,8,6,401,2177,14
CIN,11,10,261,376,2713,22,8,4,246,951,10
CLE,11,10,213,332,2270,11,6,8,316,1509,16
DAL,11,10,197,313,2094,13,7,2,296,1362,13
DEN,11,10,203,347,2238,7,6,4,264,1026,6
DET,11,10,210,328,2338,15,7,5,282,1328,15
GNB,11,11,249,385,2445,19,7,8,282,1349,4
HOU,11,10,203,329,1922,11,11,2,223,937,4
IND,11,11,279,409,2449,10,10,9,267,1086,6
JAX,11,10,227,349,2226,13,6,7,275,1396,11
KAN,11,10,265,403,3147,28,7,6,240,1146,8
LAC,11,10,277,418,2638,16,7,5,237,879,8
LAR,11,10,237,352,2119,11,9,6,221,761,7
LVR,11,10,226,362,2355,15,5,2,222,1068,7
MIA,11,10,240,355,2938,21,7,3,235,977,8
MIN,11,10,247,387,2349,14,8,3,230,1036,12
NOR,11,11,243,370,2612,19,12,7,278,1295,9
NWE,11,10,204,293,2022,9,10,7,285,1154,9
NYG,11,10,184,284,1773,9,5,6,336,1572,13
NYJ,11,10,198,346,2015,10,8,5,248,1103,10
PHI,11,10,199,292,2281,15,3,6,329,1425,18
PIT,11,10,235,367,2044,7,10,4,257,1078,8
SEA,11,10,230,317,2278,17,5,8,247,1243,10
SFO,11,10,199,308,2355,16,6,7,281,1272,10
TAM,11,10,282,428,2698,12,3,6,227,707,4
TEN,11,10,150,241,1654,11,5,6,304,1289,11
WAS,11,11,234,380,2308,15,10,3,328,1277,7
ARI,10,10,268,401,2206,13,6,3,260,1131,9
ATL,10,10,143,231,1568,12,7,6,328,1604,11
BAL,10,9,160,257,1681,16,6,3,274,1513,9
BUF,10,9,222,348,2648,20,10,8,222,1169,8
CAR,10,10,164,284,1762,9,8,4,252,1180,10
CHI,10,10,123,208,1281,12,7,6,360,2017,12
CIN,10,9,237,337,2367,18,6,4,222,889,10
CLE,10,9,185,291,1954,8,6,7,290,1429,16
DAL,10,9,171,283,1787,11,7,2,256,1211,11
DEN,10,9,179,316,2012,7,6,4,236,932,5
DET,10,9,193,302,2173,15,7,5,245,1168,11
GNB,10,10,225,346,2230,17,7,8,263,1293,4
