Player,Team,REC,YDS,TDS,FL,FPTS
Ross Dwelley,SF,3.6,79.2,0.6,0,13.2
Quintin Morris,BUF,5.5,78.1,0.4,0.1,13.1
Luke Farrell,JAC,6.5,70.4,0.4,0,12.8
Curtis Hodges,WAS,6.3,60.1,0.6,0,12.8
Will Mallory,IND,5.1,72.2,0.5,0,12.6
Jesper Horsted,LV,5.8,65.4,0.5,0,12.2
Mitchell Wilcox,CIN,6.3,74.7,0.3,0,12.1
Chris Manhertz,DEN,5.6,66.5,0.4,0,12.1
Devin Asiasi,CIN,5.6,64.7,0.4,0,11.8
Armani Rogers,WAS,7.3,57.3,0.4,0,11.7
Shane Zylstra,DET,3.9,72.1,0.3,0.1,10.9
Anthony Firkser,NE,5.8,54.3,0.4,0,10.4
Giovanni Ricci,CAR,2.7,69.6,0.4,0.1,10.4
Grant Calcaterra,PHI,3.4,69.8,0.3,0.1,10.4
Eric Tomlinson,HOU,5.5,49.9,0.4,0,9.9
Kevin Rader,TEN,4.8,47,0.4,0,9.4
Tommy Sweeney,NYG,3.7,56.8,0.3,0.1,8.8
Chris Myarick,NYG,3.7,51,0.3,0,8.5
Dominique Dafney,TB,3.9,39.8,0.3,0,7.7
MyCole Pruitt,ATL,3.2,40.9,0.3,0,7.7
David Wells,TB,3.2,31.7,0.4,0,7.5
Tanner Conner,MIA,4,37.7,0.3,0,7.4
Mason Schreck,HOU,3.6,35.2,0.2,0,6.8
Dalton Keene,HOU,3.6,35.1,0.2,0,6.8
Charlie Woerner,SF,3.2,32,0.3,0,6.6
Jacob Hollister,LV,3.7,30.7,0.2,0,6.2
Noah Togiai,ARI,3,31.7,0.2,0,6.2
Parker Hesse,ATL,2.2,42.7,0.1,0,6.1
Pharaoh Brown,IND,1.9,45.1,0.1,0.1,5.8
Feleipe Franks,ATL,3.1,29,0.2,0,5.8
Kaden Smith,WAS,3.2,29.2,0.2,0,5.5
Tyler Mabry,SEA,2.8,24.5,0.2,0,5.2
Tyler Davis,GB,2.5,21.2,0.3,0,5
Matt Sokol,NE,1.7,17.2,0.3,0,4.5
Nick Vannett,HOU,2.1,19.3,0.1,0,3.7
Sean McKeon,DAL,1,11.4,0.3,0,3.3
Hunter Kampmoyer,LAC,0.5,3.9,0.1,0,1
Ben Mason,BAL,0.3,2,0,0,0.3
Kendall Blanton,KC,0,35,0.3,0,0
Stephen Carlson,CHI,0,14,0.2,0,0
Tyree Jackson,PHI,0,35,0.3,0,0
