player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Cordarrelle Patterson,RB,ATL,2,2,54,1,0.09606068287951927,0.06879297091567808,0.08947045513201439,0.04681154060533712,0.04584877256655146,0.03387029337251125,0.04711761281990246,0,0.01103177283408614,NA
MyCole Pruitt,TE,ATL,2,2,8,1,0,0,0,0.02105035932120718,0.02761018008408828,0.030031845657083736,0.021909717724567977,0,0.01257292414200684,NA
Jonnu Smith,TE,ATL,2,2,48,1,2.236518765212477e-4,1.5087339718079524e-4,2.608385997983927e-4,0.126022795408491,0.11256690969195526,0.1174565856471815,0.11168126962768443,0,0.01398124305233089,NA
Mack Hollins,WR,ATL,2,2,18,0,1.9932424193163017e-6,3.1476728280706706e-6,3.284087595137377e-6,0.04386734384089312,0.04481248256306882,0.045247010450659285,0.044250438940098454,0,0.01160412005572206,NA
KhaDarel Hodge,WR,ATL,2,1,15,1,1.4434285485062584e-05,1.2041264483308163e-5,1.8216737119214747e-5,0.04487820572008045,0.0385995829256808,0.036678612272948434,0.037821429202465735,0,0.01263751108109249,NA
Scott Miller,WR,ATL,2,2,9,0,6.808550573337995e-11,8.507024327577941e-11,1.0244089557510936e-10,0.027999648111246698,0.027033058423532385,0.026636467522629305,0.02640451562988142,0,0.0124006923044451,NA
Van Jefferson,WR,ATL,2,2,19,0,5.4179401787586045e-6,6.008627369526393e-6,7.712235258079383e-6,0.07651626934849223,0.07911593441475427,0.06097550108222933,0.05910547703965381,0,0.0124006923044451,NA
Kyle Pitts,TE,ATL,2,2,52,0,1.0361160885455514e-5,8.947417415263052e-6,1.3268893704750779e-5,0.1753795344497511,0.16742887388619965,0.1723087192497319,0.18592718626956548,0,0.01231457638566423,NA
Drake London,WR,ATL,2,2,65,0,0,0,0,0.22446971175126523,0.22586019538296026,0.23823321530013322,0.2034206127386623,0,0.01636730127907467,NA
Tyler Allgeier,RB,ATL,2,2,195,0,0.2713719776192858,0.34514231811581314,0.3690588905688735,0.03234044321926725,0.03995793141891174,0.08740243351487999,0.10822610657356746,0,0.00805183840601122,NA
John FitzPatrick,TE,ATL,1,0,0,0,0,0,0,7.011466538792686e-4,6.987269796286978e-4,6.998484489537118e-4,7.002980590900144e-4,0,0.01291738781713031,NA
