Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Aaron Rodgers,13,1,0,0,0,74.5,Mon,1,1,2024-09-09,40-282,NYJ,@,SFO,L 19-32,13,21,8,61.9,167,1,1,0,4.8,4.8,82.8,1,5,4.55,8.0,6.76,6.23,12.8,50.0,1,-1,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,38,74.5,0,0.0,0,0.0,QB,RodgAa00
2,Marcedes Lewis,0,0,0,0,0,16.1,Sun,1,1,2024-09-08,40-112,CHI,,TEN,W 24-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,9,16.1,0,0.0,4,13.8,TE,LewiMa00
3,Andy Dalton,0,0,0,0,0,8.5,Sun,1,1,2024-09-08,36-315,CAR,@,NOR,L 10-47,0,1,1,0.0,0,0,0,0,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,5,8.5,0,0.0,0,0.0,QB,DaltAn00
4,Matthew Stafford,34,0,0,0,0,100.0,Sun,1,1,2024-09-08,36-214,LAR,@,DET,L 20-26 (OT),34,49,15,69.4,317,1,1,0,2.0,2.0,85.2,2,13,3.92,6.5,5.96,5.47,9.3,51.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0,QB,StafMa00
5,Kirk Cousins,16,1,0,0,0,100.0,Sun,1,1,2024-09-08,36-020,ATL,,PIT,L 10-18,16,26,10,61.5,155,1,2,0,3.8,7.7,59.0,2,18,7.14,6.0,3.27,2.39,9.7,46.4,1,0,0.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0,QB,CousKi00
6,Tyrod Taylor,6,1,0,0,0,25.5,Mon,1,1,2024-09-09,35-037,NYJ,@,SFO,L 19-32,6,8,2,75.0,36,1,0,0,12.5,0.0,122.9,0,0,0.00,4.5,7.00,7.00,6.0,75.0,1,7,7.0,0,0,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13,25.5,0,0.0,0,0.0,QB,TaylTy00
7,Travis Kelce,0,0,4,0,0,88.9,Thu,1,1,2024-09-05,34-336,KAN,,BAL,W 27-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,34,11.3,0,75.0,8.5,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,48,88.9,0,0.0,0,0.0,TE,KelcTr00
8,Adam Thielen,0,0,4,0,0,69.5,Sun,1,1,2024-09-08,34-017,CAR,@,NOR,L 10-47,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,49,16.3,0,75.0,12.3,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,41,69.5,0,0.0,0,0.0,WR,ThieAd00
9,Taysom Hill,0,5,2,0,0,31.8,Sun,1,1,2024-09-08,34-016,NOR,,CAR,W 47-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,5,35,7.0,0,4,100.0,2,1,1,1.0,0,50.0,0.5,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,21,31.8,0,0.0,9,30.0,TE,HillTa00
10,Geno Smith,18,4,0,1,0,100.0,Sun,1,1,2024-09-08,33-334,SEA,,DEN,W 26-20,18,25,7,72.0,171,1,1,0,4.0,4.0,87.2,2,13,7.41,6.8,5.84,4.93,9.5,48.1,4,30,7.5,1,1,25.0,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,0,0,0,0,0,67,100.0,0,0.0,0,0.0,QB,SmitGe00
