rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
12,Marcedes Lewis,25,Sun,6,6,2024-10-13,40-147,CHI,NA,JAX,W 35-16,13,19.7,0,0,6,25,TE,LewiMa00
65,Michael Burton,70.4,Sun,6,6,2024-10-13,32-255,DEN,NA,LAC,L 16-23,4,7.3,0,0,19,70.4,FB,BurtMi00
101,Chris Manhertz,31.8,Sun,6,6,2024-10-13,32-186,NYG,NA,CIN,L 7-17,19,24.1,0,0,7,31.8,TE,ManhCh00
106,Jordan Akins,37,Sun,6,6,2024-10-13,32-177,CLE,@,PHI,L 16-20,5,8.8,0,0,10,37,TE,AkinJo00
108,Eric Tomlinson,51.9,Sun,5,6,2024-10-13,32-174,LAC,@,DEN,W 23-16,28,35.9,0,0,14,51.9,TE,TomlEr01
144,Chris Conley,43.3,Thu,6,6,2024-10-10,31-351,SFO,@,SEA,W 36-24,6,9.2,0,0,13,43.3,WR,ConlCh00
170,Nick Vannett,30.8,Sun,5,6,2024-10-13,31-221,TEN,NA,IND,L 17-20,19,32.8,0,0,8,30.8,TE,VannNi00
183,DeAndre Carter,33.3,Sun,6,6,2024-10-13,31-186,CHI,NA,JAX,W 35-16,4,6.1,0,0,8,33.3,WR,CartDe02
206,Ameer Abdullah,60,Sun,6,6,2024-10-13,31-122,LVR,NA,PIT,L 13-32,19,30.2,0,0,15,60,RB,AbduAm00
245,Mack Hollins,32,Mon,6,6,2024-10-14,31-028,BUF,@,NYJ,W 23-20,46,66.7,0,0,8,32,WR,HollMa00
246,Geoff Swaim,51.9,Sun,6,6,2024-10-13,31-027,CLE,@,PHI,L 16-20,19,33.3,0,0,14,51.9,TE,SwaiGe00
247,Mo Alie-Cox,15.4,Sun,6,6,2024-10-13,31-024,IND,@,TEN,W 20-17,34,48.6,0,0,4,15.4,TE,AlieMo00
302,Dare Ogunbowale,66.7,Sun,6,6,2024-10-13,30-162,HOU,@,NWE,W 41-21,18,27.3,0,0,22,66.7,RB,OgunDa00
303,Eric Saubert,56.7,Thu,6,6,2024-10-10,30-162,SFO,@,SEA,W 36-24,18,27.7,0,0,17,56.7,TE,SaubEr00
304,Pharaoh Brown,53.3,Thu,6,6,2024-10-10,30-159,SEA,NA,SFO,L 24-36,10,12.8,0,0,16,53.3,TE,BrowPh01
322,Gerald Everett,25,Sun,6,6,2024-10-13,30-110,CHI,NA,JAX,W 35-16,18,27.3,0,0,6,25,TE,EverGe00
332,Kalif Raymond,21.4,Sun,5,6,2024-10-13,30-066,DET,@,DAL,W 47-9,24,35.3,0,0,6,21.4,WR,RaymKa00
340,Evan Engram,4.2,Sun,6,6,2024-10-13,30-041,JAX,@,CHI,L 16-35,38,61.3,0,0,1,4.2,TE,EngrEv00
377,Austin Hooper,18.2,Sun,6,6,2024-10-13,29-350,NWE,NA,HOU,L 21-41,37,56.1,0,0,6,18.2,TE,HoopAu00
392,Tanner Hudson,72.7,Sun,6,6,2024-10-13,29-336,CIN,@,NYG,W 17-7,4,7.5,0,0,16,72.7,TE,HudsTa00
423,Zach Pascal,63,Sun,6,6,2024-10-13,29-300,ARI,@,GNB,L 13-34,8,13.8,0,0,17,63,WR,PascZa00
436,KhaDarel Hodge,63,Sun,6,6,2024-10-13,29-284,ATL,@,CAR,W 38-20,8,11.4,0,0,17,63,WR,HodgKh00
445,David Moore,7.4,Sun,6,6,2024-10-13,29-272,CAR,NA,ATL,L 20-38,6,9.1,0,0,2,7.4,WR,MoorDa03
454,Ross Dwelley,29.6,Sun,6,6,2024-10-13,29-261,ATL,@,CAR,W 38-20,9,12.9,0,0,8,29.6,TE,DwelRo00
467,Anthony Firkser,52,Mon,6,6,2024-10-14,29-238,NYJ,NA,BUF,L 20-23,6,9.5,0,0,13,52,TE,FirkAn00
476,Jamaal Williams,16.2,Sun,6,6,2024-10-13,29-193,NOR,NA,TAM,L 27-51,3,4.3,0,0,6,16.2,RB,WillJa06
493,Austin Ekeler,24.1,Sun,6,6,2024-10-13,29-149,WAS,@,BAL,L 23-30,44,74.6,0,0,7,24.1,RB,EkelAu00
498,Parker Hesse,46.4,Sun,5,6,2024-10-13,29-140,DET,@,DAL,W 47-9,23,33.8,0,0,13,46.4,TE,HessPa00
614,Cedrick Wilson Jr.,40.5,Sun,6,6,2024-10-13,28-328,NOR,NA,TAM,L 27-51,36,51.4,0,0,15,40.5,WR,WilsCe01
638,Jeremy McNichols,44.8,Sun,6,6,2024-10-13,28-292,WAS,@,BAL,L 23-30,22,37.3,0,0,13,44.8,RB,McNiJe00
647,Deebo Samuel,13.3,Thu,6,6,2024-10-10,28-269,SFO,@,SEA,W 36-24,53,81.5,0,0,4,13.3,WR,SamuDe00
673,D'Ernest Johnson,29.2,Sun,6,6,2024-10-13,28-229,JAX,@,CHI,L 16-35,35,56.5,0,0,7,29.2,RB,JohnDE04
705,Drew Sample,50,Sun,6,6,2024-10-13,28-180,CIN,@,NYG,W 17-7,26,49.1,0,0,11,50,TE,SampDr00
736,Andrew Beck,18.5,Sun,6,6,2024-10-13,28-151,GNB,NA,ARI,W 34-13,7,9.6,0,0,5,18.5,FB,BeckAn01
750,Alex Bachman,56,Sun,6,6,2024-10-13,28-137,LVR,NA,PIT,L 13-32,27,42.9,0,0,14,56,WR,BachAl00
761,Craig Reynolds,57.1,Sun,5,6,2024-10-13,28-120,DET,@,DAL,W 47-9,11,16.2,0,0,16,57.1,RB,ReynCr00
