Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Aaron Rodgers,23,0,0,0,0,100.0,Sun,17,18,2025-01-05,41-034,NYJ,,MIA,W 32-20,23,36,13,63.9,274,4,1,0,11.1,2.8,112.5,3,17,7.69,7.6,8.58,7.49,11.9,46.2,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0,QB,RodgAa00
2,Marcedes Lewis,0,0,0,0,0,19.4,Sun,17,18,2025-01-05,40-231,CHI,@,GNB,W 24-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,12,19.4,0,0.0,4,14.8,TE,LewiMa00
3,Joe Flacco,23,0,0,0,0,100.0,Sun,17,18,2025-01-05,39-355,IND,,JAX,W 26-23 (OT),23,40,17,57.5,264,1,0,0,2.5,0.0,85.8,3,12,6.98,6.6,7.10,6.33,11.5,44.2,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0,QB,FlacJo00
4,Josh Johnson,0,0,0,0,0,4.3,Sat,17,18,2025-01-04,38-234,BAL,,CLE,W 35-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,3,4.3,0,0.0,0,0.0,QB,JohnJo05
5,Russell Wilson,17,4,0,0,0,100.0,Sat,17,18,2025-01-04,36-036,PIT,,CIN,L 17-19,17,31,14,54.8,148,1,0,0,3.2,0.0,78.4,4,29,11.43,4.8,5.42,3.97,8.7,34.3,4,16,4.0,0,2,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0,QB,WilsRu00
6,Adam Thielen,0,0,6,0,0,76.1,Sun,17,18,2025-01-05,34-136,CAR,@,ATL,W 44-38 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,5,44,8.8,0,83.3,7.3,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,51,76.1,0,0.0,0,0.0,WR,ThieAd00
7,Geno Smith,20,2,0,0,0,100.0,Sun,17,18,2025-01-05,34-087,SEA,@,LAR,W 30-25,20,27,7,74.1,223,4,0,0,14.8,0.0,137.8,2,13,6.90,8.3,11.22,10.00,11.2,51.7,2,14,7.0,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0,QB,SmitGe00
8,Zach Ertz,0,0,5,1,0,91.4,Sun,17,18,2025-01-05,34-056,WAS,@,DAL,W 23-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,5,44,8.8,1,100.0,8.8,3,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,53,91.4,0,0.0,0,0.0,TE,ErtzZa00
9,Cordarrelle Patterson,0,1,0,0,0,13.1,Sat,17,18,2025-01-04,33-293,PIT,,CIN,L 17-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,13.1,0,0.0,6,23.1,RB,PattCo00
10,Kyle Juszczyk,0,0,3,1,0,42.1,Sun,17,18,2025-01-05,33-257,SFO,@,ARI,L 24-47,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,49,24.5,1,66.7,16.3,2,66.7,1,0,0,,0,0,,0,0,6,0,0,0,0,0,32,42.1,0,0.0,0,0.0,FB,JuszKy00
11,Jimmy Garoppolo,27,2,0,0,0,100.0,Sun,17,18,2025-01-05,33-064,LAR,,SEA,L 25-30,27,41,14,65.9,334,2,1,0,4.9,2.4,97.0,3,15,6.82,8.1,8.02,7.14,12.4,50.0,2,5,2.5,0,0,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0,QB,GaroJi00
12,Michael Burton,0,1,0,0,0,32.4,Sun,17,18,2025-01-05,32-339,DEN,,KAN,W 38-0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,3,3.0,0,0,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,24,32.4,0,0.0,4,17.4,FB,BurtMi00
