Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Aaron Rodgers,28,1,0,0,1,100.0,Sun,15,16,2024-12-22,41-020,NYJ,,LAR,L 9-19,28,42,14,66.7,256,1,0,0,2.4,0.0,91.0,1,10,2.33,6.1,6.57,6.19,9.1,48.8,1,6,6.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,69,100.0,0,0.0,0,0.0,QB,RodgAa00
2,Marcedes Lewis,0,0,0,0,0,18.8,Sun,15,16,2024-12-22,40-217,CHI,,DET,L 17-34,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,12,18.8,0,0.0,3,12.0,TE,LewiMa00
3,Matthew Stafford,14,3,0,0,0,100.0,Sun,15,16,2024-12-22,36-319,LAR,@,NYJ,W 19-9,14,19,5,73.7,110,1,1,0,5.3,5.3,83.2,0,0,0.00,5.8,4.47,4.47,7.9,42.1,3,-4,-1.3,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0,QB,StafMa00
4,Russell Wilson,22,3,0,0,1,100.0,Sat,15,16,2024-12-21,36-022,PIT,@,BAL,L 17-34,22,33,11,66.7,217,2,1,1,6.1,3.0,92.6,3,19,8.33,6.6,6.42,5.36,9.9,47.2,3,27,9.0,0,0,66.7,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,60,100.0,0,0.0,0,0.0,QB,WilsRu00
5,Travis Kelce,0,0,7,0,0,87.8,Sat,15,16,2024-12-21,35-077,KAN,,HOU,W 27-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,30,6.0,0,71.4,4.3,2,57.1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,65,87.8,0,0.0,0,0.0,TE,KelcTr00
6,Adam Thielen,0,0,6,1,0,58.8,Sun,15,16,2024-12-22,34-122,CAR,,ARI,W 36-30 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,5,43,8.6,1,83.3,7.2,4,66.7,1,0,0,,0,0,,0,0,6,0,0,0,0,0,40,58.8,0,0.0,0,0.0,WR,ThieAd00
7,Geno Smith,31,1,0,0,0,100.0,Sun,15,16,2024-12-22,34-073,SEA,,MIN,L 24-27,31,43,12,72.1,314,3,2,0,7.0,4.7,96.5,2,12,4.44,7.3,6.60,6.04,10.1,51.1,1,8,8.0,0,0,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0,QB,SmitGe00
8,Zach Ertz,0,0,2,0,0,70.6,Sun,15,16,2024-12-22,34-042,WAS,,PHI,W 36-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,12,12.0,0,50.0,6.0,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,48,70.6,0,0.0,0,0.0,TE,ErtzZa00
9,Cordarrelle Patterson,0,0,1,1,0,5.0,Sat,15,16,2024-12-21,33-279,PIT,@,BAL,L 17-34,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,12,12.0,1,100.0,12.0,1,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,3,5.0,0,0.0,7,25.9,RB,PattCo00
10,Kyle Juszczyk,0,1,3,0,0,34.4,Sun,15,16,2024-12-22,33-243,SFO,@,MIA,L 17-29,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,6,6.0,0,0,0.0,3,1,20,20.0,0,33.3,6.7,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,34.4,0,0.0,0,0.0,FB,JuszKy00
