Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Aaron Rodgers,21,2,0,0,0,100.0,Sun,12,13,2024-12-01,40-365,NYJ,,SEA,L 21-26,21,39,18,53.8,185,2,1,1,5.1,2.6,73.1,2,16,4.88,4.7,4.62,4.00,8.8,34.1,2,6,3.0,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0,QB,RodgAa00
2,Marcedes Lewis,0,0,0,0,0,22.4,Thu,12,13,2024-11-28,40-193,CHI,@,DET,L 20-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,15,22.4,0,0.0,2,8.3,TE,LewiMa00
3,Matthew Stafford,14,4,0,0,0,100.0,Sun,12,13,2024-12-01,36-298,LAR,@,NOR,W 21-14,14,24,10,58.3,183,2,0,0,8.3,0.0,110.2,2,17,7.69,7.6,9.29,7.92,13.1,38.5,4,3,0.8,0,2,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0,QB,StafMa00
4,Kirk Cousins,24,1,0,0,1,100.0,Sun,12,13,2024-12-01,36-104,ATL,,LAC,L 13-17,24,39,15,61.5,245,0,4,1,0.0,10.3,40.0,1,11,2.50,6.3,1.67,1.35,10.2,47.5,1,3,3.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,81,100.0,0,0.0,0,0.0,QB,CousKi00
5,Russell Wilson,29,3,0,0,0,97.1,Sun,12,13,2024-12-01,36-002,PIT,@,CIN,W 44-38,29,38,9,76.3,414,3,1,1,7.9,2.6,126.4,2,4,5.00,10.9,11.29,10.63,14.3,67.5,3,3,1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,67,97.1,0,0.0,0,0.0,QB,WilsRu00
6,Travis Kelce,0,0,13,0,0,90.1,Fri,12,13,2024-11-29,35-055,KAN,,LVR,W 19-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,13,7,68,9.7,0,53.8,5.2,5,46.2,0,0,0,,0,0,,0,0,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0,TE,KelcTr00
7,Adam Thielen,0,0,10,1,0,72.9,Sun,12,13,2024-12-01,34-101,CAR,,TAM,L 23-26 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,8,99,12.4,1,80.0,9.9,4,60.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,51,72.9,0,0.0,0,0.0,WR,ThieAd00
8,Taysom Hill,0,5,7,0,0,58.6,Sun,12,13,2024-12-01,34-100,NOR,,LAR,L 14-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,5,10,2.0,0,1,20.0,7,5,37,7.4,0,71.4,5.3,2,42.9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,41,58.6,0,0.0,11,52.4,TE,HillTa00
9,Geno Smith,20,2,0,0,0,100.0,Sun,12,13,2024-12-01,34-052,SEA,@,NYJ,W 26-21,20,31,11,64.5,206,1,0,0,3.2,0.0,94.3,3,31,8.82,6.6,7.29,5.74,10.3,29.4,2,2,1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0,QB,SmitGe00
10,Zach Ertz,0,0,6,1,0,66.3,Sun,13,13,2024-12-01,34-021,WAS,,TEN,W 42-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,3,35,11.7,1,50.0,5.8,2,50.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,55,66.3,0,0.0,0,0.0,TE,ErtzZa00
