rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
7,Marcedes Lewis,12.9,Sun,11,12,2024-11-24,40-189,CHI,NA,MIN,L 27-30 (OT),16,21.1,0,0,4,12.9,TE,LewiMa00
34,Cordarrelle Patterson,25,Thu,11,12,2024-11-21,33-249,PIT,@,CLE,L 19-24,8,11.6,0,0,5,25,RB,PattCo00
50,Michael Burton,55.9,Sun,12,12,2024-11-24,32-297,DEN,@,LVR,W 29-19,8,11.8,0,0,19,55.9,FB,BurtMi00
81,Raheem Mostert,10.7,Sun,11,12,2024-11-24,32-229,MIA,NA,NWE,W 34-15,21,30.9,0,0,3,10.7,RB,MostRa00
82,Chris Manhertz,25,Sun,11,12,2024-11-24,32-228,NYG,NA,TAM,L 7-30,12,20.3,0,0,5,25,TE,ManhCh00
83,Robert Woods,14.3,Sun,12,12,2024-11-24,32-228,HOU,NA,TEN,L 27-32,13,23.2,0,0,5,14.3,WR,WoodRo02
89,Jordan Akins,50,Thu,11,12,2024-11-21,32-216,CLE,NA,PIT,W 24-19,24,41.4,0,0,10,50,TE,AkinJo00
139,Chris Conley,68,Sun,11,12,2024-11-24,32-030,SFO,@,GNB,L 10-38,4,8.2,0,0,17,68,WR,ConlCh00
160,Nick Vannett,37.1,Sun,11,12,2024-11-24,31-263,TEN,@,HOU,W 32-27,31,46.3,0,0,13,37.1,TE,VannNi00
167,DeAndre Carter,35.5,Sun,11,12,2024-11-24,31-228,CHI,NA,MIN,L 27-30 (OT),4,5.3,0,0,11,35.5,WR,CartDe02
205,C.J. Ham,64.5,Sun,11,12,2024-11-24,31-125,MIN,@,CHI,W 30-27 (OT),19,26.8,0,0,20,64.5,FB,HamxC.00
229,Mo Alie-Cox,33.3,Sun,12,12,2024-11-24,31-066,IND,NA,DET,L 6-24,23,41.8,0,0,8,33.3,TE,AlieMo00
283,Eric Saubert,64,Sun,11,12,2024-11-24,30-207,SFO,@,GNB,L 10-38,13,26.5,0,0,16,64,TE,SaubEr00
284,Pharaoh Brown,50,Sun,11,12,2024-11-24,30-204,SEA,NA,ARI,W 16-6,29,45.3,0,0,12,50,TE,BrowPh01
285,Dare Ogunbowale,65.7,Sun,12,12,2024-11-24,30-204,HOU,NA,TEN,L 27-32,13,23.2,0,0,23,65.7,RB,OgunDa00
323,Kalif Raymond,25,Sun,11,12,2024-11-24,30-108,DET,@,IND,W 24-6,10,13.9,0,0,6,25,WR,RaymKa00
349,Austin Hooper,7.1,Sun,12,12,2024-11-24,30-026,NWE,@,MIA,L 15-34,26,37.7,0,0,2,7.1,TE,HoopAu00
350,River Cracraft,35.7,Sun,11,12,2024-11-24,30-023,MIA,NA,NWE,W 34-15,16,23.5,0,0,10,35.7,WR,CracRi00
360,Tyler Boyd,2.9,Sun,11,12,2024-11-24,30-009,TEN,@,HOU,W 32-27,38,56.7,0,0,1,2.9,WR,BoydTy00
366,Johnny Mundt,32.3,Sun,11,12,2024-11-24,30-001,MIN,@,CHI,W 30-27 (OT),33,46.5,0,0,10,32.3,TE,MundJo00
387,Zach Pascal,66.7,Sun,11,12,2024-11-24,29-342,ARI,@,SEA,L 6-16,1,1.7,0,0,16,66.7,WR,PascZa00
389,Calvin Ridley,2.9,Sun,11,12,2024-11-24,29-340,TEN,@,HOU,W 32-27,53,79.1,0,0,1,2.9,WR,RidlCa00
400,Dallas Goedert,7.1,Sun,11,12,2024-11-24,29-326,PHI,@,LAR,W 37-20,55,75.3,0,0,2,7.1,TE,GoedDa00
477,Austin Ekeler,18.4,Sun,12,12,2024-11-24,29-191,WAS,NA,DAL,L 26-34,44,62.9,0,0,7,18.4,RB,EkelAu00
512,Durham Smythe,28.6,Sun,11,12,2024-11-24,29-107,MIA,NA,NWE,W 34-15,25,36.8,0,0,8,28.6,TE,SmytDu00
527,Mark Andrews,3.7,Mon,12,12,2024-11-25,29-080,BAL,@,LAC,W 30-23,27,41.5,0,0,1,3.7,TE,AndrMa00
532,Brandon Powell,22.6,Sun,11,12,2024-11-24,29-073,MIN,@,CHI,W 30-27 (OT),6,8.5,0,0,7,22.6,WR,PoweBr00
535,Samaje Perine,29.6,Sun,11,12,2024-11-24,29-069,KAN,@,CAR,W 30-27,24,32.4,0,0,8,29.6,RB,PeriSa00
608,Jeremy McNichols,44.7,Sun,12,12,2024-11-24,28-334,WAS,NA,DAL,L 26-34,17,24.3,0,0,17,44.7,RB,McNiJe00
622,Deebo Samuel,12,Sun,11,12,2024-11-24,28-314,SFO,@,GNB,L 10-38,33,67.3,0,0,3,12,WR,SamuDe00
645,Trent Sherfield,54.8,Sun,11,12,2024-11-24,28-273,MIN,@,CHI,W 30-27 (OT),11,15.5,0,0,17,54.8,WR,SherTr00
672,Justin Watson,7.4,Sun,11,12,2024-11-24,28-234,KAN,@,CAR,W 30-27,48,64.9,0,0,2,7.4,WR,WatsJu01
721,Craig Reynolds,75,Sun,11,12,2024-11-24,28-162,DET,@,IND,W 24-6,3,4.2,0,0,18,75,RB,ReynCr00
749,Alec Ingold,10.7,Sun,11,12,2024-11-24,28-138,MIA,NA,NWE,W 34-15,9,13.2,0,0,3,10.7,FB,IngoAl01
764,KaVontae Turpin,26.3,Sun,11,12,2024-11-24,28-114,DAL,@,WAS,W 34-26,14,21.2,0,0,10,26.3,WR,TurpKa00
791,Jamycal Hasty,39.3,Sun,12,12,2024-11-24,28-073,NWE,@,MIA,L 15-34,11,15.9,0,0,11,39.3,RB,HastJa02
840,Shane Zylstra,70.8,Sun,11,12,2024-11-24,28-008,DET,@,IND,W 24-6,6,8.3,0,0,17,70.8,TE,ZylsSh00
844,Tyler Mabry,8.3,Sun,11,12,2024-11-24,28-003,SEA,NA,ARI,W 16-6,3,4.7,0,0,2,8.3,TE,MabrTy00
886,DJ Turner,61.8,Sun,11,12,2024-11-24,27-311,LVR,NA,DEN,L 19-29,48,62.3,0,0,21,61.8,WR,TurnDJ00
896,Adam Trautman,14.7,Sun,12,12,2024-11-24,27-293,DEN,@,LVR,W 29-19,36,52.9,0,0,5,14.7,TE,TrauAd00
914,Dan Chisena,29.6,Sun,11,12,2024-11-24,27-273,CAR,NA,KAN,L 27-30,1,1.6,0,0,8,29.6,WR,ChisDa00
932,Britain Covey,14.3,Sun,11,12,2024-11-24,27-251,PHI,@,LAR,W 37-20,3,4.1,0,0,4,14.3,WR,CoveBr00
937,Nick Westbrook-Ikhine,2.9,Sun,11,12,2024-11-24,27-248,TEN,@,HOU,W 32-27,60,89.6,0,0,1,2.9,WR,WestNi00
995,Ashton Dulin,58.3,Sun,12,12,2024-11-24,27-193,IND,NA,DET,L 6-24,10,18.2,0,0,14,58.3,WR,DuliAs00
1042,A.J. Brown,7.1,Sun,11,12,2024-11-24,27-147,PHI,@,LAR,W 37-20,65,89,0,0,2,7.1,WR,BrowAJ00
1043,Ben Skowronek,60,Thu,11,12,2024-11-21,27-147,PIT,@,CLE,L 19-24,2,2.9,0,0,12,60,WR,SkowBe00
1046,T.J. Hockenson,3.2,Sun,11,12,2024-11-24,27-144,MIN,@,CHI,W 30-27 (OT),48,67.6,0,0,1,3.2,TE,HockTJ00
1061,Olamide Zaccheaus,15.8,Sun,12,12,2024-11-24,27-124,WAS,NA,DAL,L 26-34,24,34.3,0,0,6,15.8,WR,ZaccOl01
1121,Xavier Smith,46.4,Sun,11,12,2024-11-24,27-064,LAR,NA,PHI,L 20-37,0,0,0,0,13,46.4,WR,SmitXa00
1123,Collin Johnson,41.9,Sun,11,12,2024-11-24,27-062,CHI,NA,MIN,L 27-30 (OT),0,0,0,0,13,41.9,WR,JohnCo01
1176,John Bates,47.4,Sun,12,12,2024-11-24,27-018,WAS,NA,DAL,L 26-34,29,41.4,0,0,18,47.4,TE,BateJo00
1187,Justice Hill,18.5,Mon,12,12,2024-11-25,27-011,BAL,@,LAC,W 30-23,26,40,0,0,5,18.5,RB,HillJu00
1241,Feleipe Franks,70.4,Sun,11,12,2024-11-24,26-338,CAR,NA,KAN,L 27-30,14,22.6,0,0,19,70.4,TE,FranFe00
1269,Ko Kieft,90,Sun,11,12,2024-11-24,26-309,TAM,@,NYG,W 30-7,5,7.7,0,0,18,90,TE,KiefKo00
1309,Mecole Hardman,22.2,Sun,11,12,2024-11-24,26-257,KAN,@,CAR,W 30-27,4,5.4,0,0,6,22.2,WR,HardMe00
