Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,0,0,0,0,0,21.1,Sun,11,12,2024-11-24,40-189,CHI,,MIN,L 27-30 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,16,21.1,0,0.0,4,12.9,TE,LewiMa00
2,Matthew Stafford,24,1,0,0,1,100.0,Sun,11,12,2024-11-24,36-291,LAR,,PHI,L 20-37,24,36,12,66.7,243,2,0,0,5.6,0.0,104.3,5,45,12.20,6.8,7.86,5.80,10.1,51.2,1,15,15.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,64,100.0,0,0.0,0,0.0,QB,StafMa00
3,Russell Wilson,21,3,0,0,1,89.9,Thu,11,12,2024-11-21,35-358,PIT,@,CLE,L 19-24,21,28,7,75.0,270,1,0,0,3.6,0.0,116.7,4,22,12.50,9.6,10.36,8.38,12.9,50.0,3,10,3.3,0,0,33.3,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,62,89.9,0,0.0,0,0.0,QB,WilsRu00
4,Travis Kelce,0,0,8,0,0,89.2,Sun,11,12,2024-11-24,35-050,KAN,@,CAR,W 30-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,6,62,10.3,0,75.0,7.8,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,66,89.2,0,0.0,0,0.0,TE,KelcTr00
5,Adam Thielen,0,0,4,0,0,61.3,Sun,11,12,2024-11-24,34-094,CAR,,KAN,L 27-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,57,19.0,0,75.0,14.3,2,75.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,38,61.3,0,0.0,0,0.0,WR,ThieAd00
6,Geno Smith,22,3,0,0,1,100.0,Sun,11,12,2024-11-24,34-045,SEA,,ARI,W 16-6,22,31,9,71.0,254,1,1,0,3.2,3.2,92.7,5,34,13.89,8.2,7.39,5.42,11.5,41.7,3,2,0.7,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,64,100.0,0,0.0,0,0.0,QB,SmitGe00
7,Zach Ertz,0,0,8,1,0,75.7,Sun,12,12,2024-11-24,34-014,WAS,,DAL,L 26-34,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,6,38,6.3,1,75.0,4.8,3,62.5,1,0,0,,0,0,,0,0,6,0,0,0,0,0,53,75.7,0,0.0,0,0.0,TE,ErtzZa00
8,Cordarrelle Patterson,0,1,0,0,0,11.6,Thu,11,12,2024-11-21,33-249,PIT,@,CLE,L 19-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,-2,-2.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,11.6,0,0.0,5,25.0,RB,PattCo00
9,Kyle Juszczyk,0,0,1,0,0,40.8,Sun,11,12,2024-11-24,33-215,SFO,@,GNB,L 10-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,14,14.0,0,100.0,14.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,20,40.8,0,0.0,0,0.0,FB,JuszKy00
10,Michael Burton,0,1,1,0,0,11.8,Sun,12,12,2024-11-24,32-297,DEN,@,LVR,W 29-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,3,3.0,0,1,100.0,1,1,8,8.0,0,100.0,8.0,0,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,11.8,0,0.0,19,55.9,FB,BurtMi00
11,MyCole Pruitt,0,0,0,0,0,46.4,Thu,11,12,2024-11-21,32-242,PIT,@,CLE,L 19-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,32,46.4,0,0.0,0,0.0,TE,PruiMy00
12,Raheem Mostert,0,2,1,0,0,30.9,Sun,11,12,2024-11-24,32-229,MIA,,NWE,W 34-15,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,5,2.5,0,0,0.0,1,1,-3,-3.0,0,100.0,-3.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,21,30.9,0,0.0,3,10.7,RB,MostRa00
13,Chris Manhertz,0,0,0,0,0,20.3,Sun,11,12,2024-11-24,32-228,NYG,,TAM,L 7-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,12,20.3,0,0.0,5,25.0,TE,ManhCh00
14,Robert Woods,0,0,1,0,0,23.2,Sun,12,12,2024-11-24,32-228,HOU,,TEN,L 27-32,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,8,8.0,0,100.0,8.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13,23.2,0,0.0,5,14.3,WR,WoodRo02
15,Jordan Akins,0,0,4,0,1,41.4,Thu,11,12,2024-11-21,32-216,CLE,,PIT,W 24-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,38,12.7,0,75.0,9.5,2,75.0,0,0,0,,0,0,,0,0,0,1,1,0,0,0,24,41.4,0,0.0,10,50.0,TE,AkinJo00
16,Keenan Allen,0,0,15,1,1,89.5,Sun,11,12,2024-11-24,32-211,CHI,,MIN,L 27-30 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,15,9,86,9.6,1,60.0,5.7,4,40.0,1,0,0,,0,0,,0,0,6,1,1,0,0,0,68,89.5,0,0.0,0,0.0,WR,AlleKe00
17,DeAndre Hopkins,0,0,6,1,0,44.6,Sun,11,12,2024-11-24,32-171,KAN,@,CAR,W 30-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,5,35,7.0,1,83.3,5.8,4,66.7,1,0,0,,0,0,,0,0,6,0,0,0,0,0,33,44.6,0,0.0,0,0.0,WR,HopkDe00
18,Brandon Allen,17,2,0,0,2,100.0,Sun,11,12,2024-11-24,32-080,SFO,@,GNB,L 10-38,17,29,12,58.6,199,1,1,0,3.4,3.4,76.7,2,2,6.45,6.9,6.00,5.55,11.7,38.7,2,5,2.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,1,0,0,0,49,100.0,0,0.0,0,0.0,QB,AlleBr00
19,Tyler Lockett,0,0,3,0,0,64.1,Sun,11,12,2024-11-24,32-057,SEA,,ARI,W 16-6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,20,10.0,0,66.7,6.7,1,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,41,64.1,0,0.0,0,0.0,WR,LockTy00
20,Chris Conley,0,0,1,0,0,8.2,Sun,11,12,2024-11-24,32-030,SFO,@,GNB,L 10-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,0,0,,0,0.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,1,0,0,0,4,8.2,0,0.0,17,68.0,WR,ConlCh00
21,Odell Beckham Jr.,0,0,3,0,0,25.0,Sun,11,12,2024-11-24,32-019,MIA,,NWE,W 34-15,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,0,0,,0,0.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,17,25.0,0,0.0,0,0.0,WR,BeckOd00
22,C.J. Uzomah,0,0,0,0,0,21.9,Sun,11,12,2024-11-24,31-315,PHI,@,LAR,W 37-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,16,21.9,0,0.0,0,0.0,TE,UzomC.00
23,Sterling Shepard,0,0,7,0,0,53.8,Sun,11,12,2024-11-24,31-288,TAM,@,NYG,W 30-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,16,3.2,0,71.4,2.3,0,14.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,35,53.8,0,0.0,0,0.0,WR,ShepSt00
24,Nick Vannett,0,0,1,0,0,46.3,Sun,11,12,2024-11-24,31-263,TEN,@,HOU,W 32-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,0,0,,0,0.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,31,46.3,0,0.0,13,37.1,TE,VannNi00
25,DeAndre Carter,0,0,0,0,1,5.3,Sun,11,12,2024-11-24,31-228,CHI,,MIN,L 27-30 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,4,5.3,0,0.0,11,35.5,WR,CartDe02
26,Nelson Agholor,0,0,0,0,0,44.6,Mon,12,12,2024-11-25,31-185,BAL,@,LAC,W 30-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,29,44.6,0,0.0,0,0.0,WR,AghoNe00
