Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Aaron Rodgers,18,2,0,0,0,100.0,Sun,2,2,2024-09-15,40-288,NYJ,@,TEN,W 24-17,18,30,12,60.0,176,2,0,0,6.7,0.0,98.7,2,12,6.25,5.9,7.20,6.38,9.8,43.8,2,1,0.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0,QB,RodgAa00
2,Marcedes Lewis,0,0,0,0,0,14.3,Sun,2,2,2024-09-15,40-119,CHI,@,HOU,L 13-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,14.3,0,0.0,3,10.0,TE,LewiMa00
3,Matthew Stafford,19,0,0,0,1,100.0,Sun,2,2,2024-09-15,36-221,LAR,@,ARI,L 10-41,19,27,8,70.4,216,0,0,0,0.0,0.0,94.1,5,24,15.63,8.0,8.00,6.00,11.4,40.6,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,52,100.0,0,0.0,0,0.0,QB,StafMa00
4,Kirk Cousins,20,4,0,0,1,100.0,Mon,2,2,2024-09-16,36-028,ATL,@,PHI,W 22-21,20,29,9,69.0,241,2,0,0,6.9,0.0,117.2,1,8,3.33,8.3,9.69,9.10,12.1,53.3,4,-1,-0.3,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,-1,0,0,61,100.0,0,0.0,0,0.0,QB,CousKi00
5,Travis Kelce,0,1,3,0,0,90.8,Sun,2,2,2024-09-15,34-346,KAN,,CIN,W 26-25,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,1.0,0,0,100.0,3,1,5,5.0,0,33.3,1.7,0,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,59,90.8,0,0.0,0,0.0,TE,KelcTr00
6,Adam Thielen,0,0,3,0,0,93.8,Sun,2,2,2024-09-15,34-024,CAR,,LAC,L 3-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,20,10.0,0,66.7,6.7,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,45,93.8,0,0.0,0,0.0,WR,ThieAd00
7,Taysom Hill,0,3,1,0,0,47.5,Sun,2,2,2024-09-15,34-023,NOR,@,DAL,W 44-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,3,18,6.0,0,1,66.7,1,1,1,1.0,0,100.0,1.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,28,47.5,0,0.0,5,18.5,TE,HillTa00
8,Geno Smith,33,5,0,0,0,100.0,Sun,2,2,2024-09-15,33-341,SEA,@,NWE,W 23-20 (OT),33,44,11,75.0,327,1,0,0,2.3,0.0,103.1,3,15,6.38,7.4,7.89,7.06,9.9,48.9,5,8,1.6,0,3,60.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0,QB,SmitGe00
9,Zach Ertz,0,0,4,0,0,65.3,Sun,2,2,2024-09-15,33-310,WAS,,NYG,W 21-18,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,4,62,15.5,0,100.0,15.5,3,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,47,65.3,0,0.0,0,0.0,TE,ErtzZa00
10,Cordarrelle Patterson,0,2,0,0,0,6.1,Sun,2,2,2024-09-15,33-182,PIT,@,DEN,W 13-6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,3,1.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,4,6.1,0,0.0,5,20.0,RB,PattCo00
