rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
15,Marcedes Lewis,13,Sun,3,3,2024-09-22,40-126,CHI,@,IND,L 16-21,21,23.3,0,0,3,13,TE,LewiMa00
26,Zach Ertz,3.8,Mon,3,3,2024-09-23,33-318,WAS,@,CIN,W 38-33,38,64.4,0,0,1,3.8,TE,ErtzZa00
38,Cordarrelle Patterson,11.5,Sun,3,3,2024-09-22,33-189,PIT,NA,LAC,W 20-10,23,33.8,0,0,3,11.5,RB,PattCo00
77,Michael Burton,63.6,Sun,3,3,2024-09-22,32-234,DEN,@,TAM,W 26-7,13,19.1,0,0,14,63.6,FB,BurtMi00
113,Chris Manhertz,53.8,Sun,3,3,2024-09-22,32-165,NYG,@,CLE,W 21-15,27,37.5,0,0,14,53.8,TE,ManhCh00
114,Robert Woods,11.5,Sun,3,3,2024-09-22,32-165,HOU,@,MIN,L 7-34,13,19.4,0,0,3,11.5,WR,WoodRo02
119,Jordan Akins,15.4,Sun,3,3,2024-09-22,32-156,CLE,NA,NYG,L 15-21,45,67.2,0,0,4,15.4,TE,AkinJo00
120,Eric Tomlinson,26.9,Sun,3,3,2024-09-22,32-153,LAC,@,PIT,L 10-20,4,8.7,0,0,7,26.9,TE,TomlEr01
148,Chris Conley,51.9,Sun,3,3,2024-09-22,31-333,SFO,@,LAR,L 24-27,20,28.2,0,0,14,51.9,WR,ConlCh00
176,Nick Vannett,42.9,Sun,3,3,2024-09-22,31-200,TEN,NA,GNB,L 14-30,15,27.8,0,0,12,42.9,TE,VannNi00
192,DeAndre Carter,39.1,Sun,3,3,2024-09-22,31-165,CHI,@,IND,L 16-21,57,63.3,0,0,9,39.1,WR,CartDe02
213,Ameer Abdullah,56.7,Sun,3,3,2024-09-22,31-101,LVR,NA,CAR,L 22-36,22,34.4,0,0,17,56.7,RB,AbduAm00
215,Jamison Crowder,3.8,Mon,3,3,2024-09-23,31-098,WAS,@,CIN,W 38-33,9,15.3,0,0,1,3.8,WR,CrowJa00
230,C.J. Ham,61.5,Sun,3,3,2024-09-22,31-062,MIN,NA,HOU,W 34-7,12,19,0,0,16,61.5,FB,HamxC.00
255,Mack Hollins,48,Mon,3,3,2024-09-23,31-007,BUF,NA,JAX,W 47-10,46,71.9,0,0,12,48,WR,HollMa00
