rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
11,Marcedes Lewis,3.8,Sun,7,8,2024-10-27,40-161,CHI,@,WAS,L 15-18,10,15.9,0,0,1,3.8,TE,LewiMa00
22,Taysom Hill,47.1,Sun,8,8,2024-10-27,34-065,NOR,@,LAC,L 8-26,29,39.7,0,0,16,47.1,TE,HillTa00
57,Michael Burton,66.7,Sun,8,8,2024-10-27,32-269,DEN,NA,CAR,W 28-14,11,15.1,0,0,16,66.7,FB,BurtMi00
94,Chris Manhertz,26.7,Mon,8,8,2024-10-28,32-201,NYG,@,PIT,L 18-26,11,15.3,0,0,8,26.7,TE,ManhCh00
95,Robert Woods,21.2,Sun,8,8,2024-10-27,32-200,HOU,NA,IND,W 23-20,24,33.8,0,0,7,21.2,WR,WoodRo02
99,Jordan Akins,34.5,Sun,8,8,2024-10-27,32-191,CLE,NA,BAL,W 29-24,15,21.7,0,0,10,34.5,TE,AkinJo00
100,Eric Tomlinson,44.1,Sun,7,8,2024-10-27,32-188,LAC,NA,NOR,W 26-8,25,37.9,0,0,15,44.1,TE,TomlEr01
142,Chris Conley,6.7,Sun,8,8,2024-10-27,32-002,SFO,NA,DAL,W 30-24,52,76.5,0,0,2,6.7,WR,ConlCh00
165,Nick Vannett,51.5,Sun,7,8,2024-10-27,31-235,TEN,@,DET,L 14-52,31,40.8,0,0,17,51.5,TE,VannNi00
175,DeAndre Carter,38.5,Sun,7,8,2024-10-27,31-200,CHI,@,WAS,L 15-18,3,4.8,0,0,10,38.5,WR,CartDe02
201,Ameer Abdullah,54.2,Sun,8,8,2024-10-27,31-136,LVR,NA,KAN,L 20-27,17,29.3,0,0,13,54.2,RB,AbduAm00
203,Cooper Kupp,4,Thu,7,8,2024-10-24,31-131,LAR,NA,MIN,W 30-20,42,58.3,0,0,1,4,WR,KuppCo00
219,C.J. Ham,68,Thu,7,8,2024-10-24,31-094,MIN,@,LAR,L 20-30,8,16,0,0,17,68,FB,HamxC.00
239,Mack Hollins,13,Sun,8,8,2024-10-27,31-041,BUF,@,SEA,W 31-10,35,46.1,0,0,3,13,WR,HollMa00
240,Geoff Swaim,44.8,Sun,8,8,2024-10-27,31-041,CLE,NA,BAL,W 29-24,22,31.9,0,0,13,44.8,TE,SwaiGe00
241,Mo Alie-Cox,18.2,Sun,8,8,2024-10-27,31-038,IND,@,HOU,L 20-23,27,42.2,0,0,6,18.2,TE,AlieMo00
294,Eric Saubert,80,Sun,8,8,2024-10-27,30-179,SFO,NA,DAL,W 30-24,14,20.6,0,0,24,80,TE,SaubEr00
295,Robert Tonyan,16,Thu,7,8,2024-10-24,30-177,MIN,@,LAR,L 20-30,2,4,0,0,4,16,TE,TonyRo00
296,Pharaoh Brown,56.5,Sun,8,8,2024-10-27,30-176,SEA,NA,BUF,L 10-31,15,29.4,0,0,13,56.5,TE,BrowPh01
297,Dare Ogunbowale,69.7,Sun,8,8,2024-10-27,30-176,HOU,NA,IND,W 23-20,13,18.3,0,0,23,69.7,RB,OgunDa00
