"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"97","Will Shipley (PHI)","10","38","3.8","9","0","0","0","0","0","0","0","0","4","3.8","1.0","16.5%"
"98","Jermar Jefferson (FA)","6","22","3.7","8","0","0","1","1","10","10.0","0","0","2","3.7","1.9","0.2%"
"99","D'Ernest Johnson (FA)","2","3","1.5","3","0","0","3","4","19","6.3","0","0","3","3.7","1.2","0.0%"
"100","Hunter Luepke (DAL)","3","4","1.3","2","0","0","3","6","16","5.3","0","0","7","3.5","0.5","0.1%"
"101","Travis Homer (CHI)","3","7","2.3","4","0","0","3","3","11","3.7","0","0","6","3.3","0.6","0.1%"
"102","Carson Steele (KC)","4","9","2.3","6","0","0","2","3","14","7.0","0","0","7","3.3","0.5","0.1%"
"103","Jeff Wilson Jr. (MIA)","6","21","3.5","6","0","0","1","1","7","7.0","0","0","3","3.3","1.1","0.0%"
"104","Raheem Blackshear (FA)","11","33","3.0","8","0","0","0","0","0","0","0","0","6","3.3","0.6","0.1%"
"105","Rasheen Ali (BAL)","10","31","3.1","9","0","0","0","0","0","0","0","0","4","3.1","0.8","0.1%"
"106","Ty Chandler (MIN)","12","31","2.6","8","0","0","0","0","0","0","0","0","8","3.1","0.4","0.2%"
"107","D'Onta Foreman (FA)","15","50","3.3","7","0","0","0","2","0","0","0","1","2","3.0","1.5","0.0%"
"108","Alec Ingold (MIA)","1","4","4.0","4","0","0","2","2","15","7.5","0","0","6","2.9","0.5","0.2%"
"109","Blake Watson (FA)","4","10","2.5","7","0","0","1","2","13","13.0","0","0","1","2.8","2.8","0.0%"
"110","Julius Chestnut (TEN)","4","20","5.0","9","0","0","1","2","2","2.0","0","0","7","2.7","0.4","0.2%"
"111","Mike Boone (FA)","5","26","5.2","9","0","0","0","2","0","0","0","0","3","2.6","0.9","0.0%"
"112","Dameon Pierce (HOU)","7","19","2.7","7","0","0","1","1","1","1.0","0","0","6","2.5","0.4","4.0%"
"113","Eric Gray (NYG)","1","-1","-1.0","0","0","0","3","3","9","3.0","0","0","6","2.3","0.4","0.0%"
"114","Deuce Vaughn (FA)","4","13","3.3","7","0","0","1","2","4","4.0","0","0","1","2.2","2.2","0.1%"
"115","Jase McClellan (FA)","8","15","1.9","8","0","0","0","0","0","0","0","0","2","1.5","0.8","0.0%"
"116","George Holani (SEA)","3","10","3.3","8","0","0","1","1","-1","-1.0","0","0","3","1.4","0.5","0.1%"
"117","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","5","5.0","0","0","7","1.0","0.1","0.1%"
"118","Zamir White (LV)","5","9","1.8","3","0","0","0","0","0","0","0","0","1","0.9","0.9","0.5%"
"119","Tyrion Davis-Price (FA)","3","7","2.3","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"120","Chris Collier (LV)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"121","Miles Sanders (DAL)","2","5","2.5","4","0","0","0","0","0","0","0","0","1","0.5","0.5","2.2%"
"122","Ke'Shawn Vaughn (FA)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"123","Darrynton Evans (FA)","3","3","1.0","4","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"124","Reggie Gilliam (BUF)","2","3","1.5","4","0","0","0","0","0","0","0","0","6","0.3","0.1","0.0%"
"125","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","J.J. Taylor (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"127","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"128","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Zack Moss (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"130","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
