player,team,pos,fpts_pred,fpts_fpros,fpts,rank,bye,pos_rank,RLB,PAR,PAR_PG,PAR Value,A,E,C,EC,Estimated Cost,Team ,Cost,,,,PAR Value Sum,Players Drafted,Total $,Inflation,,,RLB,RL_pg,A,B,C,,PAR_PPD,,,,
Joe Burrow,CIN,QB,328.8,350.1,346.6,38,10,5,187,159.6,9.387522831,34.81873918,56.4,-0.163,,29.13398936,29.13398936,,,,,190.6,190.6,,,,,,,,,,,,,,,,
Marvin Harrison,ARI,WR,134.8,194.4,184.5,39,8,15,85,99.5,5.852099474,22.08230566,57.8,-0.0643,,25.71115975,25.71115975,,,,,186.5,186.5,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,230.1,203.2,207.7,40,8,17,85,122.7,7.215334122,26.99338581,0.0509,-3.9,73.9,26.0358867,26.0358867,,,,,161.2,167.3,,,,,,,,,,,,,,,,
Mike Evans,TB,WR,126.2,207.9,194.2,41,9,16,85,109.2,6.42616503,24.15038834,57.8,-0.0643,,24.10996231,24.10996231,,,,,156.1,161.2,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,152.6,192.4,185.8,42,9,17,85,100.8,5.927591656,22.35426776,57.8,-0.0643,,22.60848162,22.60848162,,,,,136.9,160.3,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,127.7,204.7,191.9,43,12,18,85,106.9,6.287234646,23.64988884,57.8,-0.0643,,21.20050769,21.20050769,,,,,131.6,156.1,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,143.7,211.3,200.1,44,14,18,85,115.1,6.768209927,25.38261194,0.0509,-3.9,73.9,23.5635972,23.5635972,,,,,121.5,154.9,,,,,,,,,,,,,,,,
Davante Adams,LAR,WR,175.3,202.7,198.1,45,8,19,85,113.1,6.652563686,24.96599404,57.8,-0.0643,,19.88021724,19.88021724,,,,,111.1,154.1,,,,,,,,,,,,,,,,
James Conner,ARI,RB,185.6,213.7,209,46,8,19,85,124,7.295261626,27.28132625,0.0509,-3.9,73.9,21.2101083,21.2101083,,,,,110.9,138.1,,,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,185.7,189.9,189.2,47,14,20,85,104.2,6.126592429,23.07117204,0.0509,-3.9,73.9,18.97542,18.97542,,,,,110,136.9,,,,,,,,,,,,,,,,
D K Metcalf,PIT,WR,130.4,198.1,186.9,48,5,20,85,101.9,5.99123046,22.58352783,57.8,-0.0643,,18.64214968,18.64214968,,,,,108,132.4,,,,,,,,,,,,,,,,
D J Moore,CHI,WR,150.8,190.5,183.9,49,5,21,85,98.9,5.816395333,21.95368078,57.8,-0.0643,,17.48118446,17.48118446,,,,,106.1,131.6,,,,,Team,QB,RB,WR,TE,K,DST,IDP,,Salary Remaining,Players Remaining,
Patrick Mahomes,KC,QB,292.9,333.7,326.9,50,10,6,187,139.9,8.230024945,30.64882984,56.4,-0.163,,24.75198064,24.75198064,,,,,90.9,130.7,,,,,LB,0,0,0,0,0,0,0,,200,18,
Courtland Sutton,DEN,WR,120.5,185.7,174.9,51,12,22,85,89.9,5.285435773,20.04088832,57.8,-0.0643,,16.39251993,16.39251993,,,,,90.7,121.5,,,,,AMD,0,0,0,0,0,0,0,,200,18,
RJ Harvey,DEN,RB,174.5,171.9,172.3,52,12,21,85,87.3,5.137059559,19.50636004,0.0509,-3.9,73.9,16.8595323,16.8595323,,,,,89.6,115.8,,,,,AOC,0,0,0,0,0,0,0,,200,18,
Sam LaPorta,DET,TE,124.3,151.5,147,53,8,4,85,62,3.647049089,14.13856745,55.4,-0.253,,23.50036486,23.50036486,,,,,86.2,114.3,,,,,SBB,0,0,0,0,0,0,0,,200,18,
David Montgomery,DET,RB,185.5,184,184.2,54,8,22,85,99.2,5.836618794,22.02653621,0.0509,-3.9,73.9,14.8624452,14.8624452,,,,,81.3,111.1,,,,,D,0,0,0,0,0,0,0,,200,18,
DeVonta Smith,PHI,WR,170.4,181,179.2,55,9,23,85,94.2,5.542505201,20.96698609,57.8,-0.0643,,15.37165346,15.37165346,,,,,64.8,110.9,,,,,UDP,0,0,0,0,0,0,0,,200,18,
Xavier Worthy,KC,WR,92,192,175.4,56,10,24,85,90.4,5.314727708,20.14641311,57.8,-0.0643,,14.41436284,14.41436284,,,,,62.4,110,,,,,FN,0,0,0,0,0,0,0,,200,18,
Tony Pollard,TEN,RB,181.4,194.1,192,57,10,23,85,107,6.2939146,23.67395351,0.0509,-3.9,73.9,12.9841587,12.9841587,,,,,61.8,108,,,,,AI,0,0,0,0,0,0,0,,200,18,
Isiah Pacheco,KC,RB,150.7,168.9,165.9,58,10,24,85,80.9,4.756559818,18.13560209,0.0509,-3.9,73.9,11.2246728,11.2246728,,,,,57.8,106.1,,,,,BFT,0,0,0,0,0,0,0,,200,18,
D Andre Swift,CHI,RB,181,186.8,185.9,59,5,25,85,100.9,5.932378262,22.37151161,0.0509,-3.9,73.9,9.5839875,9.5839875,,,,,53.2,104,,,,,CPB,0,0,0,0,0,0,0,,200,18,
George Pickens,DAL,WR,134.2,176.5,169.4,60,10,25,85,84.4,4.965296139,18.88757888,57.8,-0.0643,,13.51668879,13.51668879,,,,,48.2,103.5,,,,,CFC,0,0,0,0,0,0,0,,200,18,
Tetairoa McMillan,CAR,WR,166.4,184.4,181.4,61,14,26,85,96.4,5.672228513,21.43431692,57.8,-0.0643,,12.67491862,12.67491862,,,,,37.9,95.8,,,,,STB,0,0,0,0,0,0,0,,200,18,
Jameson Williams,DET,WR,137.2,177,170.4,62,8,27,85,85.4,5.021471853,19.08995301,57.8,-0.0643,,11.88557083,11.88557083,,,,,33.2,94.7,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,130.6,150.3,147,63,10,5,85,62,3.646464311,14.13646078,55.4,-0.253,,18.24727853,18.24727853,,,,,28.7,92,,,,,,,,,,,,,,,,
Zay Flowers,BAL,WR,150.1,187.4,181.1,64,7,28,85,96.1,5.654928852,21.37199455,57.8,-0.0643,,11.14538074,11.14538074,,,,,27.8,90.9,,,,,,,,,,,,,,,,
T J Hockenson,MIN,TE,103.6,140.9,134.7,65,6,6,85,49.7,2.920810486,11.52227833,55.4,-0.253,,14.16842571,14.16842571,,,,,24.6,90.8,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,157.5,137.2,140.6,66,10,29,85,55.6,3.269121684,12.7770764,57.8,-0.0643,,10.451287,10.451287,,,,,17.9,90.7,,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,237,184.9,193.6,67,6,26,85,108.6,6.386856627,24.00877903,0.0509,-3.9,73.9,8.0621028,8.0621028,,,,,2.9,89.9,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,118.5,179.6,169.4,68,10,30,85,84.4,4.965921491,18.88983172,57.8,-0.0643,,9.800418893,9.800418893,,,,,2,89.6,,,,,,,,,,,,,,,,
Baker Mayfield,TB,QB,322.8,327.6,326.8,69,9,7,187,139.8,8.22438217,30.62850163,56.4,-0.163,,21.02906465,21.02906465,,,,,,88.6,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,117,170.8,161.8,70,12,31,85,76.8,4.518544989,17.2781489,57.8,-0.0643,,9.190084481,9.190084481,,,,,,87.3,,,,,,,,,,,,,,,,
Bo Nix,DEN,QB,288.4,313.8,309.6,71,12,8,187,122.6,7.211081686,26.97806632,56.4,-0.163,,17.86610803,17.86610803,,,,,,87.1,,,,,,,,,,,,,,,,
Travis Hunter,JAC,WR,175.4,163.4,165.4,72,8,32,85,80.4,4.728803476,18.03560931,57.8,-0.0643,,8.617759473,8.617759473,,,,,,86.2,,,,,,,,,,,,,,,,
Kaleb Johnson,PIT,RB,213.5,161.4,170.1,73,5,27,85,85.1,5.003299256,19.02448587,0.0509,-3.9,73.9,6.6590187,6.6590187,,,,,,85.9,,,,,,,,,,,,,,,,
Mark Andrews,BAL,TE,107.3,145.8,139.4,74,7,7,85,54.4,3.19995652,12.52790751,55.4,-0.253,,11.0013275,11.0013275,,,,,,81.3,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,144.4,166.3,162.6,75,14,28,85,77.6,4.566927763,17.45244881,0.0509,-3.9,73.9,5.3747352,5.3747352,,,,,,77.7,,,,,,,,,,,,,,,,
Jerry Jeudy,CLE,WR,133.5,179.9,172.1,76,9,33,85,87.1,5.125665445,19.46531252,57.8,-0.0643,,8.081076784,8.081076784,,,,,,77,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,94.4,158.7,148,77,11,34,85,63,3.705029132,14.34744172,57.8,-0.0643,,7.577816739,7.577816739,,,,,,75.9,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,91.1,161.8,150,78,5,35,85,65,3.825707868,14.78218929,57.8,-0.0643,,7.105897897,7.105897897,,,,,,75.7,,,,,,,,,,,,,,,,
Joe Mixon,HOU,RB,140.3,125.1,127.7,79,6,29,85,42.7,2.510394605,10.04374689,0.0509,-3.9,73.9,4.2092523,4.2092523,,,,,,75.2,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,118.3,156.9,150.4,80,5,30,85,65.4,3.848770892,14.86527429,0.0509,-3.9,73.9,3.16257,3.16257,,,,,,73.6,,,,,,,,,,,,,,,,
Ricky Pearsall,SF,WR,71.9,167.3,151.4,81,14,36,85,66.4,3.906507052,15.07326996,57.8,-0.0643,,6.663368443,6.663368443,,,,,,72.6,,,,,,,,,,,,,,,,
Evan Engram,DEN,TE,124.8,123.4,123.6,82,12,8,85,38.6,2.271338827,9.182543655,55.4,-0.253,,8.542177459,8.542177459,,,,,,68.8,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,164.2,151.9,153.9,83,9,37,85,68.9,4.05349937,15.60281274,57.8,-0.0643,,6.248398113,6.248398113,,,,,,67.5,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,96,167.3,155.4,84,12,38,85,70.4,4.142479133,15.92336412,57.8,-0.0643,,5.859270624,5.859270624,,,,,,66.7,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,54.7,126.8,114.8,85,6,31,85,29.8,1.754045465,7.318983948,0.0509,-3.9,73.9,2.2346883,2.2346883,,,,,,65.5,,,,,,,,,,,,,,,,
David Njoku,CLE,TE,132.8,141.6,140.2,86,9,9,85,55.2,3.244174789,12.68720471,55.4,-0.253,,6.632726438,6.632726438,,,,,,64.8,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,96.6,157.3,147.2,87,14,39,85,62.2,3.657875654,14.17757037,57.8,-0.0643,,5.494376579,5.494376579,,,,,,64.5,,,,,,,,,,,,,,,,
Jakobi Meyers,LV,WR,119.4,160.1,153.3,88,8,40,85,68.3,4.017649988,15.47366462,57.8,-0.0643,,5.152206806,5.152206806,,,,,,62.4,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,118.2,143.5,139.3,89,6,41,85,54.3,3.193748376,12.50554255,57.8,-0.0643,,4.831346122,4.831346122,,,,,,62.2,,,,,,,,,,,,,,,,
Travis Etienne,JAC,RB,114.1,133,129.8,90,8,32,85,44.8,2.636952261,10.49967338,0.0509,-3.9,73.9,1.4256072,1.4256072,,,,,,61.8,,,,,,,,,,,,,,,,
Kyler Murray,ARI,QB,291.9,324.3,318.9,91,8,9,187,131.9,7.756598317,28.94330092,56.4,-0.163,,15.17888795,15.17888795,,,,,,57.8,,,,,,,,,,,,,,,,
Brian Robinson,SF,RB,81.6,76.9,77.7,92,14,33,85,-7.3,-0.429108074,0,0.0509,-3.9,73.9,0.7353267,1,,,,,,57.5,,,,,,,,,,,,,,,,
Dak Prescott,DAL,QB,284.8,298.8,296.5,93,10,10,187,109.5,6.439698866,24.19914425,56.4,-0.163,,12.89584945,12.89584945,,,,,,56.1,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,135.6,161,156.8,94,5,42,85,71.8,4.222825007,16.21281174,57.8,-0.0643,,4.530467472,4.530467472,,,,,,53.2,,,,,,,,,,,,,,,,
Brock Purdy,SF,QB,300.5,317.6,314.8,95,14,11,187,127.8,7.516598903,28.07869823,56.4,-0.163,,10.95620006,10.95620006,,,,,,53.1,,,,,,,,,,,,,,,,
Tyler Warren,IND,TE,130,128,128.3,96,11,10,85,43.3,2.549638173,10.18512263,55.4,-0.253,,5.150099048,5.150099048,,,,,,52.7,,,,,,,,,,,,,,,,
J K Dobbins,DEN,RB,119.6,135.3,132.7,97,12,34,85,47.7,2.807273078,11.11325754,0.0509,-3.9,73.9,0.1638468,1,,,,,,49.8,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,110.3,139,134.2,98,8,35,85,49.2,2.893015568,11.42214658,0.0509,-3.9,73.9,-0.2888325,1,,,,,,48.7,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,79.7,122.2,115.1,99,5,11,85,30.1,1.769481189,7.374591454,55.4,-0.253,,3.998886499,3.998886499,,,,,,48.2,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,141.5,157.2,154.5,100,8,43,85,69.5,4.090926568,15.73764497,57.8,-0.0643,,4.24832645,4.24832645,,,,,,45.4,,,,,,,,,,,,,,,,
Jared Goff,DET,QB,306.1,292.3,294.6,101,8,12,187,107.6,6.329605759,23.80253163,56.4,-0.163,,9.308291032,9.308291032,,,,,,44.5,,,,,,,,,,,,,,,,
Quinshon Judkins,CLE,NA,NA,109.1,NA,102,9,36,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,43.2,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,161.9,144.1,147.1,103,9,44,85,62.1,3.651581307,14.15489486,57.8,-0.0643,,3.983756144,3.983756144,,,,,,42.9,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,106.6,158.4,149.8,104,14,45,85,64.8,3.808940941,14.72178609,57.8,-0.0643,,3.735662313,3.735662313,,,,,,39.1,,,,,,,,,,,,,,,,
Cam Skattebo,NYG,RB,148.6,108.5,115.2,105,14,37,85,30.2,1.775978442,7.397997939,0.0509,-3.9,73.9,-0.8377893,1,,,,,,38.3,,,,,,,,,,,,,,,,
Jacory Croskey Merritt,WAS,RB,102.9,141.3,134.9,106,12,38,85,49.9,2.936011765,11.57704124,0.0509,-3.9,73.9,-0.9340668,1,,,,,,37.9,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,119.3,145.8,141.3,107,7,46,85,56.3,3.314302814,12.93984233,57.8,-0.0643,,3.503018863,3.503018863,,,,,,34.2,,,,,,,,,,,,,,,,
Tank Bigsby,JAC,RB,82.5,106.2,102.2,108,8,39,85,17.2,1.014655587,4.655317091,0.0509,-3.9,73.9,-0.9115437,1,,,,,,33.2,,,,,,,,,,,,,,,,
Justin Herbert,LAC,QB,286.7,296.4,294.7,109,12,13,187,107.7,6.337919114,23.83248066,56.4,-0.163,,7.90824204,7.90824204,,,,,,33.2,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,88.4,140.4,131.7,110,5,47,85,46.7,2.747735462,10.89877208,57.8,-0.0643,,3.2848636,3.2848636,,,,,,32.5,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,89.1,135.4,127.7,111,10,40,85,42.7,2.512831227,10.05252487,0.0509,-3.9,73.9,-0.77022,1,,,,,,31.8,,,,,,,,,,,,,,,,
Justin Fields,NYJ,QB,343.3,307.4,313.4,112,9,14,187,126.4,7.436401261,27.78978461,56.4,-0.163,,6.718772753,6.718772753,,,,,,30.7,,,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,304.4,299.3,300.2,113,5,15,187,113.2,6.656159886,24.97894942,56.4,-0.163,,5.708210128,5.708210128,,,,,,28.7,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,56.8,87.9,82.7,114,9,41,85,-2.3,-0.135856226,0.510575222,0.0509,-3.9,73.9,-0.5100957,1,,,,,,28.7,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,114.5,130,127.4,115,14,42,85,42.4,2.493940104,9.984469218,0.0509,-3.9,73.9,-0.1311708,1,,,,,,28.7,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,125.7,107.3,110.4,116,5,12,85,25.4,1.494042689,6.382318738,55.4,-0.253,,3.105006929,3.105006929,,,,,,27.8,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,269.9,288.3,285.2,118,14,16,187,98.2,5.776278334,21.80915849,56.4,-0.163,,4.849645026,4.849645026,,,,,,27.2,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,142.1,149.9,148.6,119,12,43,85,63.6,3.740694397,14.47592655,0.0509,-3.9,73.9,0.3665547,1,,,,,,25.4,,,,,,,,,,,,,,,,
Nick Chubb,HOU,RB,72.5,105.9,100.3,120,6,44,85,15.3,0.900945191,4.245673111,0.0509,-3.9,73.9,0.9830808,1,,,,,,24.7,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,130.9,153.3,149.6,121,11,48,85,64.6,3.799879709,14.68914282,57.8,-0.0643,,3.080294253,3.080294253,,,,,,24.6,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,134.3,139.2,138.3,123,11,49,85,53.3,3.137990898,12.30467511,57.8,-0.0643,,2.88846474,2.88846474,,,,,,24.5,,,,,,,,,,,,,,,,
Najee Harris,LAC,RB,96.2,97.3,97.1,124,12,45,85,12.1,0.714451361,3.57382535,0.0509,-3.9,73.9,1.7184075,1,,,,,,23.5,,,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,106,113.1,111.9,125,7,13,85,26.9,1.584417527,6.707895903,55.4,-0.253,,2.410938153,2.410938153,,,,,,22.7,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,93.7,118.9,114.7,126,10,14,85,29.7,1.747799292,7.296481985,55.4,-0.253,,1.872016041,1.872016041,,,,,,21.6,,,,,,,,,,,,,,,,
C J Stroud,HOU,QB,275.3,288.7,286.5,128,6,17,187,99.5,5.851321705,22.07950374,56.4,-0.163,,4.120215681,4.120215681,,,,,,21.5,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,86.3,145.7,135.8,129,7,50,85,50.8,2.985582796,11.75562187,57.8,-0.0643,,2.70858167,2.70858167,,,,,,19.8,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,73.2,116.5,109.3,130,5,15,85,24.3,1.429648993,6.150339156,55.4,-0.253,,1.45356033,1.45356033,,,,,,18.6,,,,,,,,,,,,,,,,
Jaydon Blue,DAL,RB,130,103,107.5,131,10,46,85,22.5,1.320763613,5.758077392,0.0509,-3.9,73.9,2.5725348,1,,,,,,18.5,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,279.1,283.3,282.6,133,5,18,187,95.6,5.624745529,21.26325852,56.4,-0.163,,3.500498937,3.500498937,,,,,,17.9,,,,,,,,,,,,,,,,
J J McCarthy,MIN,QB,280,301.2,297.7,134,6,19,187,110.7,6.510399872,24.45384604,56.4,-0.163,,2.973993052,2.973993052,,,,,,16.7,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,118.2,101.8,104.5,135,5,16,85,19.5,1.147149067,5.132627509,55.4,-0.253,,1.128642911,1.128642911,,,,,,16.1,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,74.1,115.9,108.9,136,9,17,85,23.9,1.406027226,6.065241265,55.4,-0.253,,0.87635497,1,,,,,,13.7,,,,,,,,,,,,,,,,
