"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","Olamide Zaccheaus (CHI)","22","30","231","10.5","49","1","3","1","8","0","1","7","50.9","7.3","0.4%"
"56","Jayden Reed (GB)","17","26","189","11.1","37","2","3","6","50","0","0","7","50.4","7.2","72.1%"
"57","Tim Patrick (JAC)","19","27","202","10.6","30","2","3","0","0","0","0","8","49.7","6.2","0.2%"
"58","Tank Dell (HOU)","21","34","312","14.9","39","5","1","3","13","0","0","6","49.0","8.2","1.1%"
"59","Tre Tucker (LV)","19","33","258","13.6","58","4","2","4","15","0","0","7","48.8","7.0","0.8%"
"60","Ricky Pearsall (SF)","18","29","272","15.1","46","4","2","2","6","0","0","8","48.8","6.1","84.2%"
"61","Andrei Iosivas (CIN)","19","27","268","14.1","32","4","2","0","0","0","0","7","48.3","6.9","1.1%"
"62","Jalen Tolbert (DAL)","15","30","159","10.6","36","1","4","0","0","0","0","8","47.4","5.9","0.6%"
"63","Kayshon Boutte (NE)","23","39","269","11.7","31","5","1","0","0","0","0","7","46.4","6.6","0.3%"
"64","Devaughn Vele (NO)","19","28","249","13.1","33","3","2","0","0","0","0","7","46.4","6.6","0.4%"
"65","Christian Watson (GB)","13","25","387","29.8","60","9","0","3","27","0","1","6","45.9","7.7","1.8%"
"66","David Moore (CAR)","20","36","239","12.0","21","2","2","1","0","0","0","7","45.9","6.6","0.1%"
"67","Ray-Ray McCloud III (ATL)","26","35","315","12.1","60","5","0","5","29","0","1","7","45.4","6.5","4.0%"
"68","Mack Hollins (NE)","16","21","242","15.1","44","3","2","0","0","0","0","7","44.2","6.3","0.2%"
"69","Elijah Moore (BUF)","25","47","253","10.1","44","3","1","1","1","0","0","7","43.9","6.3","0.3%"
"70","KaVontae Turpin (DAL)","11","19","186","16.9","64","2","1","10","73","0","0","8","43.4","5.4","1.6%"
"71","Michael Wilson (ARI)","20","31","265","13.3","41","5","1","1","7","0","0","7","43.2","6.2","7.9%"
