"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"58","Nick Vannett (MIN)","5","7","31","6.2","8","0","1","0","0","0","0","6","11.6","1.9","0.0%"
"59","Elijah Higgins (ARI)","8","11","69","8.6","19","0","0","0","0","0","0","7","10.9","1.6","0.1%"
"60","Brevyn Spann-Ford (DAL)","7","8","68","9.7","18","0","0","0","0","0","0","8","10.3","1.3","0.0%"
"61","MyCole Pruitt (FA)","4","7","21","5.3","18","0","1","0","0","0","0","4","10.1","2.5","0.0%"
"62","Tyler Higbee (LAR)","3","5","20","6.7","11","0","1","0","0","0","0","2","9.5","4.8","2.7%"
"63","Drew Sample (CIN)","8","9","53","6.6","12","0","0","1","-4","0","0","7","8.9","1.3","0.0%"
"64","Eric Saubert (SEA)","3","4","13","4.3","7","0","1","0","0","0","0","7","8.8","1.3","0.0%"
"65","Jeremy Ruckert (NYJ)","7","12","50","7.1","12","0","0","0","0","0","0","7","8.5","1.2","0.1%"
"66","Kenny Yeboah (DET)","2","5","15","7.5","11","0","1","0","0","0","0","5","8.5","1.7","0.0%"
"67","Julian Hill (MIA)","5","8","55","11.0","17","0","0","0","0","0","0","8","8.0","1.0","0.1%"
"68","Tucker Fisk (LAC)","7","8","39","5.6","10","0","0","0","0","0","0","8","7.4","0.9","0.0%"
"69","Mo Alie-Cox (IND)","5","8","47","9.4","15","0","0","0","0","0","0","7","7.2","1.0","0.1%"
"70","Durham Smythe (CHI)","6","8","38","6.3","8","0","0","0","0","0","0","7","6.8","1.0","0.0%"
"71","Devin Culp (TB)","3","4","52","17.3","26","1","0","0","0","0","0","2","6.7","3.4","0.0%"
"72","Davis Allen (LAR)","5","8","34","6.8","13","0","0","0","0","0","0","8","5.9","0.7","0.0%"
"73","John Bates (WAS)","5","7","50","10.0","14","0","0","0","0","0","1","7","5.5","0.8","0.1%"
"74","Charlie Woerner (ATL)","5","9","29","5.8","11","0","0","0","0","0","0","6","5.4","0.9","0.0%"
"75","Luke Farrell (SF)","5","8","27","5.4","9","0","0","0","0","0","0","4","5.2","1.3","0.1%"
"76","Pharaoh Brown (FA)","5","7","46","9.2","17","0","0","0","0","0","1","6","5.1","0.9","0.0%"
"77","Tip Reiman (ARI)","4","5","31","7.8","14","0","0","0","0","0","0","7","5.1","0.7","0.0%"
"78","Blake Whiteheart (CLE)","2","5","37","18.5","29","1","0","0","0","0","0","6","4.7","0.8","0.0%"
"79","Drew Ogletree (IND)","3","6","32","10.7","22","1","0","0","0","0","0","7","4.7","0.7","0.0%"
"80","Cam Grandy (CIN)","4","4","19","4.8","9","0","0","0","0","0","0","7","3.9","0.6","0.0%"
"81","Hunter Long (JAC)","2","4","17","8.5","9","0","0","0","0","0","0","5","2.7","0.5","0.0%"
"82","Shane Zylstra (DET)","1","1","22","22.0","22","1","0","0","0","0","0","8","2.7","0.3","0.0%"
"83","Peyton Hendershot (FA)","2","2","17","8.5","11","0","0","0","0","0","0","2","2.7","1.4","0.0%"
"84","Will Mallory (IND)","2","3","17","8.5","10","0","0","0","0","0","0","4","2.7","0.7","0.0%"
"85","Connor Heyward (PIT)","2","2","11","5.5","8","0","0","0","0","0","0","8","2.1","0.3","0.0%"
"86","Charlie Kolar (BAL)","2","2","10","5.0","6","0","0","0","0","0","0","3","2.0","0.7","0.1%"
"87","Ben Sinnott (WAS)","2","2","10","5.0","7","0","0","0","0","0","0","7","2.0","0.3","0.3%"
"88","Quintin Morris (JAC)","1","3","14","14.0","14","0","0","0","0","0","0","5","1.9","0.4","0.0%"
"89","Chris Manhertz (NYG)","1","1","12","12.0","12","0","0","0","0","0","0","7","1.7","0.2","0.0%"
"90","Dallin Holker (FA)","1","1","10","10.0","10","0","0","0","0","0","0","7","1.5","0.2","0.0%"
"91","Hayden Hurst (FA)","1","2","8","8.0","8","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"92","Gerald Everett (FA)","1","2","6","6.0","6","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"93","David Martin-Robinson (TEN)","1","2","6","6.0","6","0","0","0","0","0","0","4","1.1","0.3","0.0%"
"94","Ross Dwelley (FA)","1","1","5","5.0","5","0","0","0","0","0","0","3","1.0","0.3","0.0%"
"95","Zach Davidson (FA)","1","2","5","5.0","5","0","0","0","0","0","0","3","1.0","0.3","0.0%"
"96","Luke Musgrave (GB)","1","2","4","4.0","4","0","0","0","0","0","0","2","0.9","0.5","0.4%"
"97","Josiah Deguara (ARI)","1","1","4","4.0","4","0","0","0","0","0","0","4","0.9","0.2","0.0%"
"98","Ian Thomas (LV)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"99","Ben Sims (GB)","1","1","2","2.0","2","0","0","0","0","0","0","7","0.7","0.1","0.0%"
"100","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","6","0.7","0.1","0.0%"
"101","Patrick Herbert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"102","Caleb Lohner (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Nick Kallerup (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"104","Harrison Bryant (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Maximilian Mang (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"106","Stephen Sullivan (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"107","Ben Yurosek (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"108","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Tre Watson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"111","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0",""
"113","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"114","Bryce Pierre (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"115","Zach Horton (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"116","JJ Galbreath (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"117","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Feleipe Franks (ATL)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"119","Keleki Latu (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"120","CJ Dippre (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"121","Mitchell Evans (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"122","Zack Kuntz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"124","Patrick Murtagh (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"125","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"126","E.J. Jenkins (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"127","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Leroy Watson IV (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"129","Jaheim Bell (FA)","0","1","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"130","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"131","Zaire Mitchell-Paden (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"132","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"134","Tyler Warren (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.2%"
"135","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Brenden Bates (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"139","Mason Pline (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"140","Thomas Yassmin (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"141","Qadir Ismail (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"142","Gunnar Helm (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
