team,off_rus_att_rat,off_rus_yds_rat,off_rus_tds_rat,off_pas_att_rat,off_cmp_rat,off_pas_yds_rat,off_pas_tds_rat,off_int_rat
ARI,27.250838893838285,143.77688004857492,0.8005875318484059,30.811054575873282,22.089065505592593,193.29398304069886,1.2718734188932581,0.817107674643332
ATL,26.11058078058381,116.49404894881505,0.6441520503478566,30.769349119534787,20.205444609717656,229.94487226297628,1.3925844211588434,1.3520573677640157
BAL,32.17765676594575,197.41241856808165,1.2141958024065271,30.75033865098053,20.898860801502074,250.80270135918275,1.7085156686532528,0.7011423347857197
BUF,28.54876936409356,124.03638946063931,1.3196081257129408,27.53967377801821,18.578999079889964,215.5968849980278,1.6452127204546572,1.5642294115138904
CAR,22.019210222375293,92.28844379345092,0.6341707908810296,31.302064525356897,18.593349668361018,156.58197429462433,1.007563255793839,1.0745360460790996
CHI,27.768675213880062,114.63712854332383,0.9413334215355363,31.226282374909214,19.48907737384372,186.79982482537773,1.2404593984127739,0.8388996855825241
CIN,20.805689605393564,78.40479407108198,0.7840387612781305,33.9229590862722,24.401642543867133,240.62117225122117,1.6118777518443224,1.1766090190668865
CLE,23.110882562939363,92.18628882077884,0.6327721978216383,40.276958077862474,24.968608216108876,225.4905467532127,1.2555683015195835,1.5097067146255072
DAL,23.147457812455183,82.59090779871873,0.6706023958631424,37.37360849634068,23.903990897569113,240.9957739212027,1.4079984174851632,1.4530848302494992
DEN,25.685669638369056,108.36931987541014,0.7212897850508486,33.64160577665502,23.087078459344056,199.84738553088155,1.21126126615849,0.8722546388124286
DET,30.052335629050173,154.43728829831755,1.4276074862791603,29.249104112955695,20.992489356480004,243.4086091628242,1.7457562980669432,1.0674221249177627
GB,30.304418136672776,151.63815020166788,0.6474118720931472,31.016681359954568,20.792052778697567,247.58248939690748,1.9439743725481395,1.1450499511303365
HOU,26.652920701617454,112.42507395260355,0.7847115721966685,35.57555788477787,24.224519560613906,249.35501592346475,1.4441359248261973,0.6372713841505699
IND,26.208156771093655,125.25148829977432,1.0415095818591438,30.653417665051524,18.172137073525786,207.69827080520815,1.2840921798836895,1.2699529093061352
JAC,23.54328030115926,110.68067742452055,0.8561781993771067,31.219421456719562,20.633490048544285,230.34420971887863,1.3761348119273988,1.0067379967745098
KC,28.141460462087657,109.27652654677821,1.0241505217343716,32.241825576419906,22.682780822824103,232.12922360820068,1.3892627557354658,1.9864821440850156
LAC,27.337783188079058,111.45930043832193,0.6913949795401125,29.846031884589358,20.709517159868508,215.18743400864332,1.2985051499410256,0.8518856867937697
LAR,25.915690730959938,98.40188888131046,1.0111815421224055,34.86179419620365,25.050280440589063,236.74330261165082,1.0963362593186714,1.4265564253641925
LV,21.285517968253465,67.8367496242869,0.6732145692285272,36.72608309018992,24.915804205613767,231.6996120729322,1.2215243382136505,1.8050150844850363
MIA,28.207154631745766,123.66899081690788,0.8866502553452162,34.13845537389471,22.294632652109286,251.11824322159717,1.1998554045149425,1.2511857228374752
MIN,24.8065337539895,100.79101243017395,0.5857831778912234,32.04242902229016,24.43368216233625,283.7313820330414,1.898602766739055,1.4794522423171987
NE,25.170123508633214,105.53424704287598,0.6806847482043614,31.052657274314736,20.178907912396127,166.2556504703299,0.9918642106660119,1.2163336971737277
NO,27.33249444747718,113.69873645471928,1.0934103723426578,29.234175287915132,20.01098091586431,212.29799873823885,1.4913444331536871,1.1354900736684415
NYG,24.93849900044787,101.81171479989362,0.5807326757337973,36.47645758394993,23.08043146435359,212.27607804670538,0.9729774093521526,0.7056824422614478
NYJ,21.535127433676088,83.28826412256556,0.6512338352713832,37.635487057006294,22.999729231190436,224.73770041160492,1.2819664259162973,1.0394401785879142
PHI,32.97172475854008,155.75396151955283,1.344373822023909,30.042296341149704,21.02968257218712,234.26700393071812,1.3409383389657143,1.1414946325476425
PIT,32.18216169779179,127.80478942183832,0.8107390506571,29.778573396777315,21.12658510231114,215.9205972621027,1.0019497164986821,0.7036359224563346
SEA,20.86029282419225,85.25130240221696,1.0940857704813038,36.94940935571039,25.459439460600798,261.35273902130126,1.208535872899989,1.4103546760343628
SF,30.673824004725326,160.13186043244372,1.1388868969169688,32.37730228249487,23.003200753774053,273.20890777443714,1.4328294308238354,1.1576473134686094
TB,25.052856136819425,114.55715427707752,0.6313213127221815,37.51011819197868,28.27021203786429,283.8500820517966,2.140720239664652,1.3013098926309004
TEN,25.643964628806955,112.31181338381445,0.8281038420432546,29.3929208804027,18.399220323881313,166.75389831786921,1.0297236960345537,1.3162684317880853
WAS,29.211104000963992,150.31897022510535,1.3169530949738277,32.23895797434292,24.460942406831137,254.34956868709367,1.2974358959822934,0.8980194547872232
