player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Mo Alie Cox,TE,IND,2,2,5,0,0,0,0,0.028271323245676088,0.02848064811083722,0.02650387685787514,0.02602057258662306,0,0.01417500386958785,NA
Isaiah McKenzie,WR,IND,2,2,9,2,0.0034644310374660706,0.004802348862193968,0.004854841011135882,0.056282345098786823,0.05456707496507656,0.050380010128285496,0.042881552928696144,0,0.01181940985267423,NA
Juwann Winfree,WR,IND,2,2,0,0,0,0,0,0.00789254283246985,0.005295290099921504,0.004505332036152561,0.006092472144855641,0,0.01291738781713031,NA
Michael Pittman,WR,IND,2,2,58,1,1.8709194077753e-7,9.38788071502003e-8,1.9324488691466844e-7,0.2975146439566531,0.31120824517895995,0.31722084795766126,0.27491943726983037,0,0.01405476522155149,NA
Jonathan Taylor,RB,IND,2,2,77,0,0.5454055492404596,0.5521278109968969,0.47377546775191326,0.12854576627478764,0.14242079352256196,0.11660110645101919,0.20009423634676154,0,0.01318101228418253,NA
Zack Moss,RB,IND,2,2,148,0,0.339622140898769,0.3713577424382311,0.4212451497364208,0.05231468356226919,0.05320219641354387,0.04793021571363601,0.048989914636167656,0,0.01234504059549439,NA
Trey Sermon,RB,IND,2,0,9,0,0.0010002338536403731,9.102536492809495e-4,0.0012678392524811564,0.00430567933814144,0.0037252905352752543,0.003206727263889488,0.0038581923769613453,0,0.01287432985773988,NA
Kylen Granson,TE,IND,2,2,16,0,1.5213395311437975e-7,5.381597833811251e-8,1.410568783053273e-7,0.11294428496166371,0.09617257788671481,0.10223714946985654,0.09955806607355977,0,0.01389512713355003,NA
Alec Pierce,WR,IND,2,2,17,0,0,0,0,0.11315188159105882,0.09920922035010774,0.10707693013749948,0.09982981538768279,0,0.01370136631629307,Q
Josh Downs,WR,IND,2,0,41,0,0,0,0,0.17479960417930165,0.18540887789144023,0.2060644762794938,0.1775508621419189,0.21,0.007,Q
Will Mallory,TE,IND,1,0,3,0,0,0,0,0.023977244959191676,0.020309785045560875,0.01827332770463102,0.020204878106942832,0.21,0.007,NA
Matthew Slater,WR,NE,1,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031,Q
Ty Montgomery,WR,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Ezekiel Elliott,RB,NE,2,2,89,1,0.35687458711349773,0.2916581162339211,0.27178079086246165,0.07159150712062029,0.07423647798967539,0.06095979581553055,0.057912382876838864,0,0.00757820085271645,NA
Hunter Henry,TE,NE,2,2,27,0,0,0,0,0.14072164197293602,0.14730617365294416,0.15610808205457252,0.23045845265338435,0,0.01203469964962641,NA
JuJu Smith Schuster,WR,NE,2,2,21,0,0,0,0,0.15559433133588305,0.17312351313250396,0.1553612730925718,0.15200230350376795,0,0.01623812740090337,NA
Pharaoh Brown,TE,NE,2,1,7,0,0,0,0,0.03525920100538034,0.03964851625707462,0.06746451572151153,0.04350563570151613,0,0.0126590400607877,NA
Mike Gesicki,TE,NE,2,2,19,0,0,0,0,0.10002531822915993,0.09314913922144333,0.08633452592575926,0.09425278879116107,0,0.01222846046688336,NA
Rhamondre Stevenson,RB,NE,2,2,135,0,0.48346150146743727,0.6325081938891755,0.6376216274842985,0.1674956835851024,0.17034461988490976,0.1632623817724437,0.14557582802674926,0,0.01357746914883138,NA
Tyquan Thornton,WR,NE,2,2,3,0,2.490002698717514e-9,2.0056035478011065e-7,1.0441911780495061e-7,0.09090604601294337,0.08003290630335448,0.07751201499802135,0.07948485116273969,0,0.01237916332474988,NA
Demario Douglas,WR,NE,2,0,28,1,0.04633183204655125,0.03450199117792406,0.030726555749915497,0.16112346291275215,0.16873555122764408,0.18097508626300524,0.14098988236133314,0.21,0.007,Q
Kayshon Boutte,WR,NE,1,0,0,0,0,0,0,0.011749124499103685,0.011799209995587558,0.01191834723426488,0.012230955917748226,0.21,0.007,NA
Jalen Reagor,WR,NE,2,0,2,0,8.626785829541739e-4,6.808825971149107e-4,8.789525667665892e-4,0.0655336833261187,0.04162389233486272,0.0401039771223191,0.04358691900476129,0,0.01932570672745437,NA
Adam Thielen,WR,CAR,2,2,63,0,2.144566331782262e-4,4.630701316638081e-4,4.26156649748465e-4,0.3063705916832173,0.32301231784197226,0.3238497110949636,0.3146134923066705,0,0.01138883025876989,NA
