Player,Pos,Team,Opp,Salary,FPTS,ppd,min_sal,rep_points,PAR_PD
Sam Darnold,QB,SEA,ARI,32,14.974309553337548,0.4679,20,14.812740000017158,0.013464129443365872
Kyler Murray,QB,ARI,SEA,34,18.120000087453747,0.5329,20,14.812740000017158,0.23623286338832777
Carson Wentz,QB,MIN,PIT,24,14.43345711923657,0.6014,20,14.812740000017158,-0.09482072019514698
Aaron Rodgers,QB,PIT,MIN,33,13.54182143778942,0.4104,20,14.812740000017158,-0.09776296632521063
Spencer Rattler,QB,NO,BUF,26,13.275145525479058,0.5106,20,14.812740000017158,-0.25626574575634997
Josh Allen,QB,BUF,NO,45,22.267423587552305,0.4948,20,14.812740000017158,0.29818734350140585
Cam Ward,QB,TEN,HOU,20,12.025354376029119,0.6013,20,14.812740000017158,0
C J Stroud,QB,HOU,TEN,26,15.996007270947587,0.6152,20,14.812740000017158,0.19721121182173817
Joe Flacco,QB,CLE,DET,22,13.894147457392577,0.6316,20,14.812740000017158,-0.4592962713122901
Jared Goff,QB,DET,CLE,36,17.048477172103887,0.4736,20,14.812740000017158,0.13973357325542057
Marcus Mariota,QB,WAS,ATL,20,12.577541101010423,0.6289,20,14.812740000017158,0
Michael Penix,QB,ATL,WAS,27,14.54992285728713,0.5389,20,14.812740000017158,-0.03754530610428957
Jalen Hurts,QB,PHI,TB,40,20.626670254174158,0.5157,20,14.812740000017158,0.29069651270785
Baker Mayfield,QB,TB,PHI,37,17.50774644352982,0.4732,20,14.812740000017158,0.1585297907948624
Bryce Young,QB,CAR,NE,30,14.44197328309616,0.4814,20,14.812740000017158,-0.037076671692099696
Drake Maye,QB,NE,CAR,34,19.112295566679443,0.5621,20,14.812740000017158,0.3071111119044489
Justin Herbert,QB,LAC,NYG,38,19.94764501429972,0.5249,20,14.812740000017158,0.2852725007934757
Jaxson Dart,QB,NYG,LAC,20,14.812740000017158,0.7406,20,14.812740000017158,0
Trevor Lawrence,QB,JAC,SF,28,14.710374729374989,0.5254,20,14.812740000017158,-0.012795658830271117
Brock Purdy,QB,SF,JAC,34,17.61569500014454,0.5181,20,14.812740000017158,0.20021107143767022
Daniel Jones,QB,IND,LAR,35,17.865440553081275,0.5104,20,14.812740000017158,0.20351337020427446
Matthew Stafford,QB,LAR,IND,32,16.306573265933537,0.5096,20,14.812740000017158,0.12448610549303159
Caleb Williams,QB,CHI,LV,37,19.007622879595402,0.5137,20,14.812740000017158,0.2467578164457791
Geno Smith,QB,LV,CHI,35,17.149268974493072,0.49,20,14.812740000017158,0.15576859829839432
Lamar Jackson,QB,BAL,KC,45,22.362370467729495,0.4969,20,14.812740000017158,0.3019852187084935
Patrick Mahomes,QB,KC,BAL,38,18.861539442934237,0.4964,20,14.812740000017158,0.22493330238428222
Jordan Love,QB,GB,DAL,31,18.143426872180633,0.5853,20,14.812740000017158,0.3027897156512251
Dak Prescott,QB,DAL,GB,33,15.439931366545114,0.4679,20,14.812740000017158,0.048245489732919714
Justin Fields,QB,NYJ,MIA,27,17.20560636524023,0.6372,20,14.812740000017158,0.34183805217472446
Tua Tagovailoa,QB,MIA,NYJ,28,15.049139699368911,0.5375,20,14.812740000017158,0.029549962418969233
Jake Browning,QB,CIN,DEN,24,14.392514471837817,0.5997,20,14.812740000017158,-0.10505638204483514
Bo Nix,QB,DEN,CIN,34,18.479180285180206,0.5435,20,14.812740000017158,0.2618885917973606
Tyrod Taylor,QB,NYJ,MIA,20,7.35,0.3675,20,14.812740000017158,0
Mac Jones,QB,SF,vs. JAC,20,3.78,0.189,20,14.812740000017158,0
Russell Wilson,QB,NYG,vs. LAC,28,0.9799999999999999,0.035,20,14.812740000017158,-1.7290925000021447
Tyler Shough,QB,NO,BUF,20,0.7,0.035,20,14.812740000017158,0
Jalen Milroe,QB,SEA,ARI,20,0.48999999999999994,0.0245,20,14.812740000017158,0
Zach Wilson,QB,MIA,vs. NYJ,20,0.35,0.0175,20,14.812740000017158,0
Jimmy Garoppolo,QB,LAR,vs. IND,20,0.35,0.0175,20,14.812740000017158,0
Anthony Richardson,QB,IND,LAR,20,0.35,0.0175,20,14.812740000017158,0
Malik Willis,QB,GB,DAL,20,0.35,0.0175,20,14.812740000017158,0
Mitchell Trubisky,QB,BUF,vs. NO,20,0.35,0.0175,20,14.812740000017158,0
