Player,Pos,Team,Opp,Salary,FPTS,ppd,min_sal,rep_points,PAR_PD
Dak Prescott,QB,DAL,PHI,24,16.928319764482183,0.7053,20,17.522939072021426,-0.1486548268848109
Jalen Hurts,QB,PHI,DAL,39,22.33459147745026,0.5727,20,17.522939072021426,0.25324486344362285
Patrick Mahomes,QB,KC,LAC,35,18.548435863770155,0.53,20,17.522939072021426,0.06836645278324861
Justin Herbert,QB,LAC,KC,29,16.63392819014686,0.5736,20,17.522939072021426,-0.0987789868749517
Baker Mayfield,QB,TB,ATL,34,20.070217172488338,0.5903,20,17.522939072021426,0.18194843574763656
Michael Penix,QB,ATL,TB,22,15.541614623320598,0.7064,20,17.522939072021426,-0.9906622243504142
Justin Fields,QB,NYJ,PIT,20,17.522939072021426,0.8761,20,17.522939072021426,0
Aaron Rodgers,QB,PIT,NYJ,28,14.662483494428512,0.5237,20,17.522939072021426,-0.35755694719911424
Tua Tagovailoa,QB,MIA,IND,26,16.040965276177168,0.617,20,17.522939072021426,-0.24699563264070967
Daniel Jones,QB,IND,MIA,20,15.907967995134026,0.7954,20,17.522939072021426,0
Bryce Young,QB,CAR,JAC,29,15.825078646546235,0.5457,20,17.522939072021426,-0.1886511583861324
Trevor Lawrence,QB,JAC,CAR,27,17.34254737750414,0.6423,20,17.522939072021426,-0.025770242073898077
Russell Wilson,QB,NYG,WAS,26,15.056817935748523,0.5791,20,17.522939072021426,-0.41102018937881724
Jayden Daniels,QB,WAS,NYG,37,21.67524130485531,0.5858,20,17.522939072021426,0.24425307251964015
Kyler Murray,QB,ARI,NO,31,18.50133827316687,0.5968,20,17.522939072021426,0.088945381922313
Spencer Rattler,QB,NO,ARI,20,14.389570363530849,0.7195,20,17.522939072021426,0
Joe Burrow,QB,CIN,CLE,36,20.543798575074778,0.5707,20,17.522939072021426,0.18880371894083448
Joe Flacco,QB,CLE,CIN,21,15.561466756046322,0.741,20,17.522939072021426,-1.9614723159751044
Geno Smith,QB,LV,NE,25,15.43572532687953,0.6174,20,17.522939072021426,-0.41744274902837936
Drake Maye,QB,NE,LV,25,17.63350237828961,0.7053,20,17.522939072021426,0.022112661253636645
Brock Purdy,QB,SF,SEA,32,17.638867725621633,0.5512,20,17.522939072021426,0.009660721133350592
Sam Darnold,QB,SEA,SF,28,15.501641793291311,0.5536,20,17.522939072021426,-0.2526621598412644
Bo Nix,QB,DEN,TEN,33,19.060288184002424,0.5776,20,17.522939072021426,0.11825762399853829
