Player,Pos,Team,Opp,Salary,FPTS,ppd,min_sal,rep_points,PAR_PD
Jayden Daniels,QB,WAS,GB,39,20.495760084939135,0.5255,20,13.53435572177628,0.3663897033243608
Jordan Love,QB,GB,WAS,21,17.006902768791367,0.8099,20,13.53435572177628,3.4725470470150874
Matthew Stafford,QB,LAR,TEN,24,15.851739197227957,0.6605,20,13.53435572177628,0.5793458688629194
Cam Ward,QB,TEN,LAR,20,13.125921632713093,0.6563,20,13.53435572177628,0
Sam Darnold,QB,SEA,PIT,25,14.461501574070097,0.5785,20,13.53435572177628,0.18542917045876345
Aaron Rodgers,QB,PIT,SEA,25,16.264593024754916,0.6506,20,13.53435572177628,0.5460474605957273
Josh Allen,QB,BUF,NYJ,41,23.18571767075825,0.5655,20,13.53435572177628,0.45958866423723677
Justin Fields,QB,NYJ,BUF,23,19.363026563512207,0.8419,20,13.53435572177628,1.9428902805786425
Caleb Williams,QB,CHI,DET,24,17.752576923913654,0.7397,20,13.53435572177628,1.0545553005343438
Jared Goff,QB,DET,CHI,29,16.79682407122399,0.5792,20,13.53435572177628,0.362496483271968
Russell Wilson,QB,NYG,DAL,24,13.241554621473261,0.5517,20,13.53435572177628,-0.07320027507575455
Dak Prescott,QB,DAL,NYG,24,17.274820178908136,0.7198,20,13.53435572177628,0.9351161142829643
Joe Flacco,QB,CLE,BAL,23,15.580713303310013,0.6774,20,13.53435572177628,0.6821191938445779
Lamar Jackson,QB,BAL,CLE,39,21.91474070042454,0.5619,20,13.53435572177628,0.44107289361306645
Mac Jones,QB,SF,NO,20,5.413273936439333,0.2707,20,13.53435572177628,0
Spencer Rattler,QB,NO,SF,20,13.53435572177628,0.6767,20,13.53435572177628,0
Drake Maye,QB,NE,MIA,24,17.643201806868927,0.7351,20,13.53435572177628,1.0272115212731618
Tua Tagovailoa,QB,MIA,NE,25,14.896683497867949,0.5959,20,13.53435572177628,0.27246555521833393
Trevor Lawrence,QB,JAC,CIN,25,16.895886440403668,0.6758,20,13.53435572177628,0.6723061437254778
Joe Burrow,QB,CIN,JAC,35,19.630348751975355,0.5609,20,13.53435572177628,0.406399535346605
Bryce Young,QB,CAR,ARI,29,15.46155557517034,0.5332,20,13.53435572177628,0.21413331704378458
Kyler Murray,QB,ARI,CAR,33,18.797745439744816,0.5696,20,13.53435572177628,0.40487613215142587
Bo Nix,QB,DEN,IND,31,17.277671800119812,0.5573,20,13.53435572177628,0.3403014616675939
Daniel Jones,QB,IND,DEN,27,16.220078438457517,0.6007,20,13.53435572177628,0.3836746738116053
Jalen Hurts,QB,PHI,KC,37,21.47288172359593,0.5803,20,13.53435572177628,0.466972117754097
Patrick Mahomes,QB,KC,PHI,34,18.86488028999454,0.5548,20,13.53435572177628,0.380751754872733
Michael Penix,QB,ATL,MIN,25,16.78713145390262,0.6715,20,13.53435572177628,0.6505551464252683
J J McCarthy,QB,MIN,ATL,22,17.612380028079443,0.8006,20,13.53435572177628,2.0390121531515817
Baker Mayfield,QB,TB,HOU,33,18.713678126080705,0.5671,20,13.53435572177628,0.398409415715725
C J Stroud,QB,HOU,TB,23,16.51936267695907,0.7182,20,13.53435572177628,0.9950023183942633
Justin Herbert,QB,LAC,LV,31,19.43716984582098,0.627,20,13.53435572177628,0.5366194658222454
Geno Smith,QB,LV,LAC,28,16.520765661828463,0.59,20,13.53435572177628,0.37330124250652297
Brock Purdy,QB,SF,NO,31,10.149999999999999,0.3274,20,13.53435572177628,-0.3076687019796619
Jaxson Dart,QB,NYG,DAL,20,6.089999999999999,0.3045,20,13.53435572177628,0
Jalen Milroe,QB,SEA,PIT,20,0.9799999999999999,0.049,20,13.53435572177628,0
Anthony Richardson,QB,IND,vs. DEN,20,0.35,0.0175,20,13.53435572177628,0
Tyler Shough,QB,NO,vs. SF,20,0.35,0.0175,20,13.53435572177628,0
Jimmy Garoppolo,QB,LAR,TEN,22,0.35,0.0159,20,13.53435572177628,-6.59217786088814
Zach Wilson,QB,MIA,vs. NE,20,0.35,0.0175,20,13.53435572177628,0
Dillon Gabriel,QB,CLE,BAL,20,0.35,0.0175,20,13.53435572177628,0
Joe Milton,QB,DAL,vs. NYG,20,0.35,0.0175,20,13.53435572177628,0
Kirk Cousins,QB,ATL,MIN,20,0.35,0.0175,20,13.53435572177628,0
Tyrod Taylor,QB,NYJ,vs. BUF,20,0.35,0.0175,20,13.53435572177628,0
Kenny Pickett,QB,LV,vs. LAC,20,0.35,0.0175,20,13.53435572177628,0
Mason Rudolph,QB,PIT,vs. SEA,20,0.35,0.0175,20,13.53435572177628,0
Malik Willis,QB,GB,vs. WAS,20,0.35,0.0175,20,13.53435572177628,0
Jake Browning,QB,CIN,vs. JAC,20,0.27999999999999997,0.014,20,13.53435572177628,0
Marcus Mariota,QB,WAS,GB,20,0.27999999999999997,0.014,20,13.53435572177628,0
Mitchell Trubisky,QB,BUF,NYJ,20,0.27999999999999997,0.014,20,13.53435572177628,0
Jarrett Stidham,QB,DEN,IND,20,0.27999999999999997,0.014,20,13.53435572177628,0
Cooper Rush,QB,BAL,vs. CLE,20,0.27999999999999997,0.014,20,13.53435572177628,0
Trey Lance,QB,LAC,LV,20,0.27999999999999997,0.014,20,13.53435572177628,0
Andy Dalton,QB,CAR,ARI,20,0.27999999999999997,0.014,20,13.53435572177628,0
Sam Howell,QB,PHI,KC,20,0.27999999999999997,0.014,20,13.53435572177628,0
Joshua Dobbs,QB,NE,MIA,20,0.27999999999999997,0.014,20,13.53435572177628,0
Tyson Bagent,QB,CHI,DET,20,0.27999999999999997,0.014,20,13.53435572177628,0
Nick Mullens,QB,JAC,CIN,20,0.27999999999999997,0.014,20,13.53435572177628,0
Drew Lock,QB,SEA,PIT,20,0.27999999999999997,0.014,20,13.53435572177628,0
Brandon Allen,QB,TEN,vs. LAR,20,0.27999999999999997,0.014,20,13.53435572177628,0
Gardner Minshew,QB,KC,vs. PHI,20,0.21,0.0105,20,13.53435572177628,0
Jacoby Brissett,QB,ARI,vs. CAR,20,0.13999999999999999,0.007,20,13.53435572177628,0
Davis Mills,QB,HOU,vs. TB,20,0.13999999999999999,0.007,20,13.53435572177628,0
Riley Leonard,QB,IND,vs. DEN,20,0,0,20,13.53435572177628,0
Jeremy McNichols,RB,WAS,GB,10,2.456309419762141,0.2456,10,6.392119890977474,0
Noah Brown,WR,WAS,GB,11,4.5962436821086285,0.4178,10,6.392119890977474,-1.7958762088688456
Austin Ekeler,RB,WAS,GB,17,8.334905404953023,0.4903,10,6.392119890977474,0.2775407877107927
Deebo Samuel,WR,WAS,GB,25,9.386704123698092,0.3755,10,6.392119890977474,0.19963894884804118
Terry McLaurin,WR,WAS,GB,28,10.499221026292226,0.375,10,6.392119890977474,0.22817228529526398
Chris Rodriguez,RB,WAS,GB,10,1.7517392703985006,0.1752,10,6.392119890977474,0
Luke McCaffrey,WR,WAS,GB,10,0.9183640265645658,0.0918,10,6.392119890977474,0
Jaylin Lane,WR,WAS,GB,10,2.601800894844887,0.2602,10,6.392119890977474,0
Jacory Croskey Merritt,RB,WAS,GB,24,8.988840899894306,0.3745,10,6.392119890977474,0.18548007206548803
Josh Jacobs,RB,GB,WAS,35,15.474628285184798,0.4421,10,6.392119890977474,0.36330033576829296
Romeo Doubs,WR,GB,WAS,15,7.343157063962291,0.4895,10,6.392119890977474,0.1902074345969634
Jayden Reed,WR,GB,WAS,16,7.538128630414377,0.4711,10,6.392119890977474,0.19100145657281717
Dontayvion Wicks,WR,GB,WAS,10,6.392119890977474,0.6392,10,6.392119890977474,0
Malik Heath,WR,GB,WAS,10,0.6136418792620039,0.0614,10,6.392119890977474,0
Chris Brooks,RB,GB,WAS,10,1.793339908227257,0.1793,10,6.392119890977474,0
