player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Marcedes Lewis,TE,CHI,2,2,1,0,0,0,0,0.006881868975225202,0.006318039500065007,0.005141842049732713,0.006484680364634452,0,0.01175345109721814,NA
Keenan Allen,WR,CHI,2,2,39,1,2.7861574815607993e-11,3.1989204571365906e-11,3.407812232386324e-11,0.2476282397553553,0.23537733992297827,0.2307387407350342,0.2561668463996838,0,0.01299640554413348,NA
DeAndre Carter,WR,CHI,2,2,9,1,0,0,0,0.020489469142388937,0.022232652120992763,0.021181132542582522,0.021544876104883617,0,0.01502762276395474,NA
Gerald Everett,TE,CHI,2,2,7,0,1.1115061739838374e-5,1.7466438501774017e-5,1.6084390858789572e-5,0.027264480022267678,0.02778901809231075,0.024207858524391133,0.02734702162201735,0,0.01576742332060588,NA
D J Moore,WR,CHI,2,2,61,0,0.037942325447196265,0.07868721225680791,0.03347289195914303,0.2120255928556582,0.22379502560352382,0.2342495755046184,0.2427450035187814,0,0.01152694443278927,NA
Travis Homer,RB,CHI,1,0,0,0,0.003007839117204228,0.0069506270025131815,0.00528869227743053,2.1129485908377038e-4,2.1358056363308492e-4,2.186813191644227e-4,2.2741908824654307e-4,0,0.01183233331934712,NA
D Andre Swift,RB,CHI,2,2,199,2,0.5816463014977138,0.4964796355182852,0.43509022853830776,0.08875867893900288,0.095892878971886,0.09170825905853015,0.08408850109576728,0,0.01154722443670541,NA
Cole Kmet,TE,CHI,2,2,39,0,1.0412725009589125e-7,1.5024940580943323e-7,1.4368253156000408e-7,0.12754479499284102,0.13080270555502346,0.1344252250493564,0.11459806048335838,0,0.01200023776556315,NA
Tyler Scott,WR,CHI,1,2,0,0,2.0714475785727563e-6,2.1181496578478356e-6,2.399601133518045e-6,0.00484952292127874,0.0048811051463315165,0.0048816629715876915,0.005149446539826896,0,0.0130257066532399,NA
Roschon Johnson,RB,CHI,2,2,59,0,0.1428864754605551,0.08355382677521712,0.3420346507857246,0.042502122783495855,0.044116622299566616,0.039677330383115494,0.03961263525874902,0,0.01123113609980559,NA
Rome Odunze,WR,CHI,2,0,42,1,0.002021654001162836,0.002756067322399784,0.002558935606661818,0.2195802097885807,0.20615562386335778,0.21109781667930694,0.1996540330536542,0.21,0.007,NA
Allen Robinson,WR,DET,2,0,2,0,0,0,0,0.036724234067819925,0.033631724495953905,0.02762487902750966,0.034053987350385354,0,0.01116183443125078,NA
Tim Patrick,WR,DET,2,0,16,0,0,0,0,0.09895970245794443,0.10143432536139682,0.10247011682708497,0.09249694896482605,0,0.01183233331934712,NA
David Montgomery,RB,DET,2,2,169,2,0.32455570434134534,0.32793065989617776,0.37086345037922214,0.08753689934731378,0.09139052230498818,0.08834238817216972,0.08260651385962631,0,0.01053133610260283,Q
Craig Reynolds,RB,DET,2,2,12,1,0.03297752860497916,0.0468695512355584,0.026074106418073263,2.9731802338701615e-4,2.9642212934859733e-4,2.971021476399855e-4,3.1834840245593537e-4,0,0.01425852109819718,NA
Amon Ra St Brown,WR,DET,2,2,72,0,0.005810591101183769,5.329074259470356e-4,0.0022572583615430063,0.2760327506616925,0.28645198101742053,0.27091213477333026,0.28359546864679575,0,0.01107337165554763,Q
Brock Wright,TE,DET,2,2,12,0,0,0,0,0.04409264361870565,0.046536494989580075,0.043359086567864046,0.04716708808079984,0,0.01157596609742793,NA
Shane Zylstra,TE,DET,2,0,1,0,0,0,0,0.02020040843711497,0.020450043579845093,0.02053514847098392,0.02075632380255276,0,0.01183233331934712,NA
Jameson Williams,WR,DET,2,2,35,0,0.022382584541425457,0.018848278320814073,0.012543183839742308,0.1597715048743881,0.15326182412757186,0.1738721012678775,0.15908473850252774,0,0.01296654498664317,NA
Jahmyr Gibbs,RB,DET,2,2,180,0,0.5179069872288135,0.5541196672960395,0.5314552528159716,0.09180857498675063,0.0945889834079757,0.09059922310417022,0.08935741526197759,0,0.01055105665813507,NA
Sam LaPorta,TE,DET,2,2,28,0,3.1194492253055314e-6,3.0306870443676018e-6,3.0708334787520996e-6,0.1839016997746029,0.1712714318997432,0.1811478196429903,0.18976923633051793,0,0.01011664498804179,NA
Sione Vaki,RB,DET,2,0,7,0,0.029458585476699,0.015142249320896951,0.017549420520769996,6.742637502801402e-4,6.862466861761148e-4,8.39999998379391e-4,7.939307975346905e-4,0.21,0.007,NA
Collin Johnson,WR,CHI,1,0,0,0,0,0,0,0.0022637249648217567,0.0024254083603309226,0.0024718751825799105,0.002381476470397045,0,0.01181261276381488,NA
Chris Manhertz,TE,NYG,2,2,1,0,0,0,0,0.007398248256357474,0.007255488194440677,0.00459192314260842,0.011378398575132722,0,0.01179289220828263,NA
Devin Singletary,RB,NYG,2,2,96,2,0.2214617549909348,0.2005931479822361,0.45085052316774615,0.05041462009893445,0.0555890491798207,0.04332668991300806,0.04798062069185699,0,0.00864774332508147,NA
Darius Slayton,WR,NYG,2,2,33,1,0.009478336935839401,0.018022970273540346,0.00910499389692186,0.13526183091577515,0.12614833978676124,0.15707474849005665,0.14701845313189976,0,0.01084630554273486,NA
Ihmir Smith Marsette,WR,NYG,1,2,0,1,0,0,0,0.0037521949527092946,0.003768791523635517,0.0037038751748758973,0.004270383185801275,0,0.01485013776416453,NA
Wan Dale Robinson,WR,NYG,2,2,64,0,0.03211698173125031,0.0030234994164255167,0.009566491956468859,0.19692656608945214,0.2048075339639531,0.19506517894800451,0.1954948664842389,0,0.0104716149876222,NA
Daniel Bellinger,TE,NYG,2,2,3,0,0,0,0,0.008607718694651266,0.008925838101971187,0.010226754181861952,0.010530101634880312,0,0.01133931943104099,NA
Jalin Hyatt,WR,NYG,2,2,5,0,0,0,0,0.03586157918742826,0.0392177892178292,0.040763580974066196,0.03839952403363534,0,0.01304542720877215,NA
Eric Gray,RB,NYG,2,2,21,2,0.03635538990685962,5.6714597362048064e-5,0.011970340984124613,0.026440917378786233,0.03038461836433175,0.022229051718477454,0.02299166284883595,0,0.01637876054210548,NA
Bryce Ford Wheaton,WR,NYG,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007,NA
Malik Nabers,WR,NYG,2,0,71,1,0.010103893157265485,9.26663357970206e-4,0.004393811015995603,0.3292777167998548,0.3218279658367878,0.31948588342374307,0.32675773734485813,0.21,0.007,NA
Theo Johnson,TE,NYG,2,0,24,0,0,0,0,0.12898025280218486,0.11748972591397344,0.13434582331555034,0.12603904440480446,0.21,0.007,NA
Tyrone Tracy,RB,NYG,2,0,138,4,0.6159464726498257,0.6811607387925708,0.4388297568425275,0.07707835482386612,0.08458485991649531,0.0691864907177475,0.06913920766405611,0.21,0.007,NA
Ezekiel Elliott,RB,DAL,2,2,68,1,0.13384808435740664,0.11801845844440709,0.15485448659728684,0.02804564421471616,0.03190259907651566,0.027342750701303285,0.02704985511765414,0,0.01053133610260283,NA
CeeDee Lamb,WR,DAL,2,2,90,1,0.04607115716237984,0.05984784154207111,0.05869410978360613,0.29623293156833097,0.3131084612517422,0.298259721989766,0.26715639825556237,0,0.01389397054504259,NA
Rico Dowdle,RB,DAL,2,2,141,2,0.6055974769604979,0.6995016460282757,0.5891128542075545,0.08115016583229424,0.08990118395765524,0.0663462844008349,0.06958335182154159,0,0.00974195443292913,NA
Jalen Tolbert,WR,DAL,2,2,37,0,0,0,0,0.11528928914179623,0.11085965766320939,0.11578072937676052,0.14628866267279075,0,0.01306514776430439,NA
KaVontae Turpin,WR,DAL,2,2,26,2,0.003848236620708296,0.006080835096455742,0.008722564769115409,0.05363099041936619,0.05898949623594995,0.07536503191545746,0.08159351145284317,0,0.01304542720877215,NA
