Rk,Team,Date,TD,Pts,Cmp,Att,Tot,Sfty,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
474,PHI,2021-11-28,0,7,14,33,332,0,Sun,12,12,@,NYG,L 7-13,14,31,17,45.2,124,0,3,0.0,9.7,17.5,1,5,3.13,4.0,3.88,-0.35,-0.34,8.9,7,13,-6,20,33,208,6.3,1,332,65,5.11,58,4.55,4,27:58,2:57,1,1,1,0,0,0,0,0
475,BAL,2021-11-21,0,16,26,34,299,0,Sun,10,11,@,CHI,W 16-13,26,36,10,72.2,176,0,1,0.0,2.8,76.0,6,43,14.29,4.9,4.19,3.64,3.12,6.8,16,13,3,29,34,123,3.6,1,299,76,3.93,57,6.19,1,38:50,3:11,1,1,1,3,3,0,0,0
476,DET,2021-11-21,0,10,15,23,245,0,Sun,10,11,@,CLE,L 10-13,15,23,8,65.2,77,0,2,0.0,8.7,34.1,0,0,0.00,3.3,3.35,-0.57,-0.57,5.1,10,13,-3,23,23,168,7.3,1,245,46,5.33,66,5.29,2,25:04,3:02,1,1,1,1,1,0,0,0
477,JAX,2021-11-21,0,10,16,16,200,0,Sun,10,11,,SFO,L 10-30,16,25,9,64.0,146,0,0,0.0,0.0,81.7,3,12,10.71,5.8,5.21,5.84,5.21,9.1,10,30,-20,40,16,54,3.4,1,200,44,4.55,66,5.05,2,21:38,2:45,1,1,1,1,1,0,0,0
478,DAL,2021-11-21,0,9,28,16,276,0,Sun,10,11,@,KAN,L 9-19,28,43,15,65.1,194,0,2,0.0,4.7,57.9,5,22,10.42,4.5,4.04,2.42,2.17,6.9,9,19,-10,28,16,82,5.1,0,276,64,4.31,66,5.61,3,29:13,3:01,0,0,0,3,3,0,0,0
479,KAN,2021-11-21,0,19,23,26,370,0,Sun,11,11,,DAL,W 19-9,23,37,14,62.2,244,0,1,0.0,2.7,71.9,3,16,7.50,6.6,6.10,5.38,4.98,10.6,19,9,10,28,26,126,4.8,2,370,66,5.61,64,4.31,2,30:47,3:01,2,2,1,3,2,0,0,0
480,HOU,2021-11-21,0,22,14,38,190,0,Sun,10,11,@,TEN,W 22-13,14,24,10,58.3,107,0,0,0.0,0.0,69.3,0,0,0.00,4.5,4.46,4.46,4.46,7.6,22,13,9,35,38,83,2.2,2,190,62,3.06,79,5.32,0,29:38,3:06,2,2,1,3,3,0,0,0
481,PHI,2021-11-21,0,40,13,50,380,0,Sun,11,11,,NOR,W 40-29,13,24,11,54.2,138,0,0,0.0,0.0,72.7,3,9,11.11,5.8,5.11,5.75,5.11,10.6,40,29,11,69,50,242,4.8,3,380,77,4.94,62,5.21,1,37:01,3:14,4,4,4,4,4,0,0,0
482,SEA,2021-11-21,0,13,14,19,266,0,Sun,10,11,,ARI,L 13-23,14,26,12,53.8,180,0,0,0.0,0.0,80.1,4,27,13.33,6.9,6.00,6.92,6.00,12.9,13,23,-10,36,19,86,4.5,1,266,49,5.43,79,5.23,0,19:38,3:05,1,1,1,2,2,0,0,0
483,ATL,2021-11-18,0,0,20,16,165,0,Thu,10,11,,NWE,L 0-25,20,32,12,62.5,125,0,4,0.0,12.5,35.2,4,33,11.11,3.9,3.47,-1.72,-1.53,6.3,0,25,-25,25,16,40,2.5,0,165,52,3.17,59,5.22,4,27:17,2:50,0,0,0,1,0,0,0,0
