Rk,Team,Date,TD,Pts,Cmp,Att,Tot,Sfty,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
484,IND,2021-11-14,0,23,22,27,295,0,Sun,10,10,,JAX,W 23-17,22,34,12,64.7,168,0,0,0.0,0.0,78.1,1,12,2.86,4.9,4.80,4.94,4.80,7.6,23,17,6,40,27,127,4.7,1,295,62,4.76,62,5.34,0,32:16,3:16,2,2,2,3,3,0,0,0
485,JAX,2021-11-14,0,17,16,24,331,0,Sun,9,10,@,IND,L 17-23,16,35,19,45.7,152,0,0,0.0,0.0,59.5,3,10,7.89,4.3,4.00,4.34,4.00,9.5,17,23,-6,40,24,179,7.5,2,331,62,5.34,62,4.76,1,27:44,3:16,2,1,0,2,1,1,1,0
486,ARI,2021-11-14,0,10,17,20,169,0,Sun,10,10,,CAR,L 10-34,17,29,12,58.6,104,0,1,0.0,3.4,57.1,4,39,12.12,3.6,3.15,2.03,1.79,6.1,10,34,-24,44,20,65,3.3,1,169,53,3.19,70,4.87,2,22:18,3:02,1,1,1,1,1,0,0,0
487,ATL,2021-11-14,0,3,10,24,214,0,Sun,9,10,@,DAL,L 3-43,10,27,17,37.0,111,0,3,0.0,11.1,13.6,2,20,6.90,4.1,3.83,-0.89,-0.83,11.1,3,43,-40,46,24,103,4.3,0,214,53,4.04,72,5.99,3,22:19,2:56,0,0,0,1,1,0,0,0
488,DEN,2021-11-14,0,13,22,18,308,0,Sun,10,10,,PHI,L 13-30,22,36,14,61.1,212,0,0,0.0,0.0,79.2,1,14,2.70,5.9,5.73,5.89,5.73,9.6,13,30,-17,43,18,96,5.3,1,308,55,5.60,64,6.03,1,25:02,3:01,1,1,1,3,2,0,0,0
489,GNB,2021-11-14,0,17,23,32,393,0,Sun,10,10,,SEA,W 17-0,23,37,14,62.2,287,0,1,0.0,2.7,75.5,1,5,2.63,7.8,7.55,6.54,6.37,12.5,17,0,17,17,32,106,3.3,2,393,70,5.61,59,3.53,1,39:09,3:03,2,2,2,2,1,0,0,0
490,SEA,2021-11-14,0,0,20,16,208,0,Sun,9,10,@,GNB,L 0-17,20,40,20,50.0,133,0,2,0.0,5.0,39.7,3,28,6.98,3.3,3.09,1.08,1.00,6.7,0,17,-17,17,16,75,4.7,0,208,59,3.53,70,5.61,2,20:51,3:03,0,0,0,0,0,0,0,0
491,DET,2021-11-14,0,16,14,39,306,0,Sun,9,10,@,PIT,T 16-16 (OT),14,25,11,56.0,77,0,0,0.0,0.0,67.7,4,37,13.79,3.1,2.66,3.08,2.66,5.5,16,16,0,32,39,229,5.9,2,306,68,4.50,81,4.78,0,33:12,3:40,2,2,1,2,1,0,0,0
492,MIA,2021-11-11,0,22,19,22,350,0,Thu,10,10,,BAL,W 22-10,19,36,17,52.8,290,0,0,0.0,0.0,82.4,4,24,10.00,8.1,7.25,8.06,7.25,15.3,22,10,12,32,22,60,2.7,1,350,62,5.65,70,4.34,0,28:12,3:24,2,1,1,3,3,1,0,0
493,CAR,2021-11-07,0,6,16,23,240,0,Sun,9,9,,NWE,L 6-24,16,33,17,48.5,162,0,3,0.0,9.1,26.3,1,10,2.94,4.9,4.76,0.82,0.79,10.1,6,24,-18,30,23,78,3.4,0,240,57,4.21,59,4.63,3,27:31,2:54,0,0,0,2,2,0,0,0
494,CIN,2021-11-07,0,16,29,23,348,0,Sun,9,9,,CLE,L 16-41,29,42,13,69.0,263,0,2,0.0,4.8,68.4,5,25,10.64,6.3,5.60,4.12,3.68,9.1,16,41,-25,57,23,85,3.7,2,348,70,4.97,46,7.85,3,35:22,3:07,2,1,1,1,1,1,0,0
495,BUF,2021-11-07,0,6,31,14,301,0,Sun,8,9,@,JAX,L 6-9,31,47,16,66.0,229,0,2,0.0,4.3,62.7,4,35,7.84,4.9,4.49,2.96,2.73,7.4,6,9,-3,15,14,72,5.1,0,301,65,4.63,57,3.82,3,30:38,3:10,0,0,0,2,2,0,0,0
496,JAX,2021-11-07,0,9,17,27,218,0,Sun,8,9,,BUF,W 9-6,17,28,11,60.7,139,0,0,0.0,0.0,75.1,2,12,6.67,5.0,4.63,4.96,4.63,8.2,9,6,3,15,27,79,2.9,0,218,57,3.82,65,4.63,1,29:22,3:10,0,0,0,4,3,0,0,0
497,HOU,2021-11-07,0,9,24,18,272,0,Sun,9,9,@,MIA,L 9-17,24,44,20,54.5,199,0,3,0.0,6.8,41.9,5,41,10.20,4.5,4.06,1.45,1.31,8.3,9,17,-8,26,18,73,4.1,0,272,67,4.06,72,3.64,4,29:42,3:14,0,0,0,3,3,0,0,0
498,CAR,2021-10-31,0,19,13,47,332,0,Sun,8,8,@,ATL,W 19-13,13,25,12,52.0,129,0,0,0.0,0.0,66.9,0,0,0.00,5.2,5.16,5.16,5.16,9.9,19,13,6,32,47,203,4.3,1,332,72,4.61,50,4.26,1,35:23,2:54,1,1,1,4,4,0,0,0
499,MIA,2021-10-31,0,11,21,23,262,0,Sun,8,8,@,BUF,L 11-26,21,39,18,53.8,194,0,1,0.0,2.6,58.2,2,11,4.88,5.0,4.73,3.82,3.63,9.2,11,26,-15,37,23,68,3.0,1,262,64,4.09,66,5.32,2,29:13,3:11,1,0,0,2,1,1,1,0
500,SFO,2021-10-31,0,33,17,26,467,0,Sun,7,8,@,CHI,W 33-22,17,28,11,60.7,322,0,0,0.0,0.0,100.6,0,0,0.00,11.5,11.50,11.50,11.50,18.9,33,22,11,55,26,145,5.6,3,467,54,8.65,67,4.84,0,23:11,3:02,3,2,1,5,4,1,1,0
501,CLE,2021-10-31,0,10,20,23,306,0,Sun,8,8,,PIT,L 10-15,20,31,11,64.5,210,0,0,0.0,0.0,86.1,4,15,11.43,6.8,6.00,6.77,6.00,10.5,10,15,-5,25,23,96,4.2,1,306,58,5.28,69,5.36,1,28:15,3:01,1,1,1,1,1,0,0,0
502,DET,2021-10-31,0,6,25,18,228,0,Sun,8,8,,PHI,L 6-44,25,34,9,73.5,171,0,0,0.0,0.0,90.6,6,51,15.00,5.0,4.28,5.03,4.28,6.8,6,44,-38,50,18,57,3.2,1,228,58,3.93,62,5.65,1,25:00,2:48,1,0,0,1,0,1,0,0
503,PHI,2021-10-31,0,44,11,46,350,0,Sun,8,8,@,DET,W 44-6,11,16,5,68.8,114,0,0,0.0,0.0,89.1,0,0,0.00,7.1,7.13,7.13,7.13,10.4,44,6,38,50,46,236,5.1,4,350,62,5.65,58,3.93,0,35:00,2:48,5,5,5,3,3,0,0,0
504,NWE,2021-10-31,0,27,18,39,352,0,Sun,8,8,@,LAC,W 27-24,18,35,17,51.4,210,0,0,0.0,0.0,70.8,1,7,2.78,6.0,5.83,6.00,5.83,11.7,27,24,3,51,39,142,3.6,1,352,75,4.69,58,6.36,1,35:24,3:07,2,1,1,4,4,1,1,0
505,ARI,2021-10-28,0,21,22,20,334,0,Thu,8,8,,GNB,L 21-24,22,33,11,66.7,260,0,2,0.0,6.1,67.0,2,14,5.71,7.9,7.43,5.15,4.86,11.8,21,24,-3,45,20,74,3.7,3,334,55,6.07,72,4.65,3,22:25,3:12,3,3,3,0,0,0,0,0
506,HOU,2021-10-24,0,5,23,15,160,1,Sun,7,7,@,ARI,L 5-31,23,32,9,71.9,118,0,0,0.0,0.0,79.6,2,17,5.88,3.7,3.47,3.69,3.47,5.1,5,31,-26,36,15,42,2.8,0,160,49,3.27,69,5.75,1,25:57,2:59,0,0,0,1,1,0,0,1
507,CAR,2021-10-24,0,3,19,17,173,0,Sun,7,7,@,NYG,L 3-25,19,39,20,48.7,117,0,1,0.0,2.6,47.5,6,28,13.33,3.0,2.60,1.85,1.60,6.2,3,25,-22,28,17,56,3.3,0,173,62,2.79,67,4.51,1,25:25,3:01,0,0,0,1,1,0,0,0
508,KAN,2021-10-24,0,3,31,13,334,0,Sun,7,7,@,TEN,L 3-27,31,51,20,60.8,257,0,1,0.0,2.0,68.1,4,31,7.27,5.0,4.67,4.16,3.85,8.3,3,27,-24,30,13,77,5.9,0,334,68,4.91,64,5.77,3,23:39,2:58,0,0,0,2,1,0,0,0
509,CHI,2021-10-24,0,3,22,29,311,0,Sun,7,7,@,TAM,L 3-38,22,32,10,68.8,168,0,3,0.0,9.4,44.3,4,16,11.11,5.3,4.67,1.03,0.92,7.6,3,38,-35,41,29,143,4.9,0,311,65,4.78,70,5.83,5,28:55,2:56,0,0,0,1,1,0,0,0
510,TEN,2021-10-18,0,34,18,22,362,0,Mon,6,6,,BUF,W 34-31,18,29,11,62.1,216,0,1,0.0,3.4,70.5,0,0,0.00,7.4,7.45,5.90,5.90,12.0,34,31,3,65,22,146,6.6,4,362,51,7.10,73,5.71,1,27:10,3:08,4,4,4,2,2,0,0,0
511,HOU,2021-10-17,0,3,29,29,353,0,Sun,6,6,@,IND,L 3-31,29,43,14,67.4,229,0,2,0.0,4.7,62.5,2,14,4.44,5.3,5.09,3.23,3.09,7.9,3,31,-28,34,29,124,4.3,0,353,74,4.77,48,8.08,3,34:33,2:55,0,0,0,1,1,0,0,0
512,DET,2021-10-17,0,11,28,18,228,0,Sun,6,6,,CIN,L 11-34,28,42,14,66.7,192,0,1,0.0,2.4,67.8,1,10,2.33,4.6,4.47,3.50,3.42,6.9,11,34,-23,45,18,36,2.0,1,228,61,3.74,68,5.85,1,24:08,2:57,1,0,0,1,1,1,1,0
513,NYG,2021-10-17,0,11,29,18,261,0,Sun,6,6,,LAR,L 11-38,29,51,22,56.9,201,0,3,0.0,5.9,44.7,4,41,7.27,3.9,3.65,1.29,1.20,6.9,11,38,-27,49,18,60,3.3,1,261,73,3.58,66,5.53,4,27:38,3:02,1,0,0,1,1,1,1,0
514,NYJ,2021-10-10,0,20,19,18,230,0,Sun,5,5,@,ATL,L 20-27,19,32,13,59.4,166,0,1,0.0,3.1,63.5,2,26,5.88,5.2,4.88,3.78,3.56,8.7,20,27,-7,47,18,64,3.6,2,230,52,4.42,75,6.00,1,24:06,2:56,2,1,0,2,2,1,1,0
515,PHI,2021-10-10,0,21,22,22,273,0,Sun,5,5,@,CAR,W 21-18,22,37,15,59.5,182,0,1,0.0,2.7,62.7,2,16,5.13,4.9,4.67,3.70,3.51,8.3,21,18,3,39,22,91,4.1,2,273,61,4.48,70,3.81,2,24:57,3:10,2,1,1,2,2,1,1,0
516,SFO,2021-10-10,0,10,15,28,338,0,Sun,5,5,@,ARI,L 10-17,15,29,14,51.7,186,0,1,0.0,3.4,58.4,2,6,6.45,6.4,6.00,4.86,4.55,12.4,10,17,-7,27,28,152,5.4,1,338,59,5.73,60,5.07,1,31:54,3:03,1,1,1,1,1,0,0,0
517,DET,2021-10-10,0,17,21,24,288,0,Sun,5,5,@,MIN,L 17-19,21,35,14,60.0,180,0,1,0.0,2.9,64.3,4,23,10.26,5.1,4.62,3.86,3.46,8.6,17,19,-2,36,24,108,4.5,1,288,63,4.57,64,6.00,2,27:54,2:55,1,0,0,3,3,1,1,0
518,LVR,2021-10-10,0,9,22,22,259,0,Sun,5,5,,CHI,L 9-20,22,35,13,62.9,188,0,1,0.0,2.9,67.1,3,18,7.89,5.4,4.95,4.09,3.76,8.5,9,20,-11,29,22,71,3.2,1,259,60,4.32,60,4.20,1,27:58,3:07,1,0,0,1,1,1,0,0
519,WAS,2021-10-10,0,22,20,33,373,0,Sun,5,5,,NOR,L 22-33,20,41,21,48.8,242,0,2,0.0,4.9,47.6,2,6,4.65,5.9,5.63,3.71,3.53,12.1,22,33,-11,55,33,131,4.0,2,373,76,4.91,55,6.71,2,36:26,3:15,2,1,1,3,3,1,0,0
520,HOU,2021-10-03,0,0,11,18,109,0,Sun,4,4,@,BUF,L 0-40,11,21,10,52.4,61,0,4,0.0,19.0,23.4,3,26,12.50,2.9,2.54,-5.67,-4.96,5.5,0,40,-40,40,18,48,2.7,0,109,42,2.60,72,6.25,5,21:45,2:58,0,0,0,0,0,0,0,0
521,CHI,2021-10-03,0,24,11,39,373,0,Sun,4,4,,DET,W 24-14,11,17,6,64.7,185,0,1,0.0,5.9,82.7,1,24,5.56,10.9,10.28,8.24,7.78,16.8,24,14,10,38,39,188,4.8,3,373,57,6.54,67,5.24,1,28:43,2:57,3,3,3,1,1,0,0,0
522,CLE,2021-10-03,0,14,15,38,327,0,Sun,4,4,@,MIN,W 14-7,15,33,18,45.5,143,0,0,0.0,0.0,59.5,3,12,8.33,4.3,3.97,4.33,3.97,9.5,14,7,7,21,38,184,4.8,1,327,74,4.42,63,4.05,0,35:32,3:10,1,0,0,2,2,1,1,0
523,TAM,2021-10-03,0,19,22,30,381,0,Sun,4,4,@,NWE,W 19-17,22,43,21,51.2,261,0,0,0.0,0.0,70.8,1,8,2.27,6.1,5.93,6.07,5.93,11.9,19,17,2,36,30,120,4.0,1,381,74,5.15,54,5.44,0,33:55,3:17,1,1,1,5,4,0,0,0
524,JAX,2021-09-30,0,21,17,30,341,0,Thu,4,4,@,CIN,L 21-24,17,24,7,70.8,202,0,0,0.0,0.0,96.5,1,2,4.00,8.4,8.08,8.42,8.08,11.9,21,24,-3,45,30,139,4.6,3,341,55,6.20,55,7.64,0,28:45,2:59,3,3,3,0,0,0,0,0
525,CHI,2021-09-26,0,6,6,13,47,0,Sun,3,3,@,CLE,L 6-26,6,20,14,30.0,1,0,0,0.0,0.0,41.2,9,67,31.03,0.1,0.03,0.05,0.03,0.2,6,26,-20,32,13,46,3.5,0,47,42,1.12,78,5.36,0,20:26,3:01,0,0,0,2,2,0,0,0
526,DEN,2021-09-26,0,26,19,37,343,0,Sun,3,3,,NYJ,W 26-0,19,25,6,76.0,223,0,0,0.0,0.0,104.6,2,12,7.41,8.9,8.26,8.92,8.26,11.7,26,0,26,26,37,120,3.2,2,343,64,5.36,53,3.06,1,35:47,2:54,2,2,2,4,4,0,0,0
527,NYJ,2021-09-26,0,0,19,13,162,0,Sun,3,3,@,DEN,L 0-26,19,35,16,54.3,119,0,2,0.0,5.7,42.6,5,41,12.50,3.4,2.98,0.83,0.73,6.3,0,26,-26,26,13,43,3.3,0,162,53,3.06,64,5.36,2,24:13,2:54,0,0,0,0,0,0,0,0
528,DET,2021-09-26,0,17,22,27,285,0,Sun,3,3,,BAL,L 17-19,22,31,9,71.0,192,0,0,0.0,0.0,90.4,2,25,6.06,6.2,5.82,6.19,5.82,8.7,17,19,-2,36,27,93,3.4,2,285,60,4.75,57,6.79,0,32:33,3:07,2,2,2,1,1,0,0,0
529,ARI,2021-09-26,0,31,28,30,407,0,Sun,3,3,@,JAX,W 31-19,28,34,6,82.4,316,0,1,0.0,2.9,93.1,0,0,0.00,9.3,9.29,7.97,7.97,11.3,31,19,12,50,30,91,3.0,3,407,64,6.36,66,5.47,1,32:54,3:03,4,4,4,2,1,0,0,0
530,NYG,2021-09-26,0,14,24,27,346,0,Sun,3,3,,ATL,L 14-17,24,35,11,68.6,246,0,0,0.0,0.0,90.9,2,20,5.41,7.0,6.65,7.03,6.65,10.3,14,17,-3,31,27,100,3.7,1,346,64,5.41,59,5.02,1,31:51,2:59,1,0,0,2,2,1,1,0
531,IND,2021-09-26,0,16,19,18,265,0,Sun,3,3,@,TEN,L 16-25,19,37,18,51.4,178,0,0,0.0,0.0,66.7,2,16,5.13,4.8,4.56,4.81,4.56,9.4,16,25,-9,41,18,87,4.8,1,265,57,4.65,65,5.66,0,25:54,3:01,1,1,1,4,3,0,0,0
532,MIA,2021-09-26,0,28,32,27,330,0,Sun,3,3,@,LVR,L 28-31 (OT),32,49,17,65.3,197,0,0,0.0,0.0,74.8,2,18,3.92,4.0,3.86,4.02,3.86,6.2,28,31,-3,59,27,133,4.9,2,330,78,4.23,81,6.14,0,31:13,3:44,3,2,2,3,2,1,1,0
533,CAR,2021-09-23,0,24,23,33,407,0,Thu,3,3,@,HOU,W 24-9,23,34,11,67.6,290,0,0,0.0,0.0,95.7,3,14,8.11,8.5,7.84,8.53,7.84,12.6,24,9,15,33,33,117,3.5,3,407,70,5.81,49,3.94,0,35:45,2:52,3,3,3,1,1,0,0,0
534,NOR,2021-09-19,0,7,11,17,128,0,Sun,2,2,@,CAR,L 7-26,11,22,11,50.0,80,0,2,0.0,9.1,26.9,4,31,15.38,3.6,3.08,-0.45,-0.38,7.3,7,26,-19,33,17,48,2.8,1,128,43,2.98,73,5.25,2,21:28,3:08,1,1,1,0,0,0,0,0
535,MIA,2021-09-19,0,0,25,20,216,0,Sun,2,2,,BUF,L 0-35,25,44,19,56.8,145,0,1,0.0,2.3,57.2,6,37,12.00,3.3,2.90,2.27,2.00,5.8,0,35,-35,35,20,71,3.6,0,216,70,3.09,64,4.91,3,31:34,3:18,0,0,0,0,0,0,0,0
536,NWE,2021-09-19,0,25,22,24,260,0,Sun,2,2,@,NYJ,W 25-6,22,30,8,73.3,159,0,0,0.0,0.0,89.0,3,27,9.09,5.3,4.82,5.30,4.82,7.2,25,6,19,31,24,101,4.2,2,260,57,4.56,68,4.94,0,27:52,2:58,2,2,1,4,4,0,0,0
537,NYJ,2021-09-19,0,6,19,31,336,0,Sun,2,2,,NWE,L 6-25,19,33,14,57.6,184,0,4,0.0,12.1,37.0,4,26,10.81,5.6,4.97,0.12,0.11,9.7,6,25,-19,31,31,152,4.9,0,336,68,4.94,57,4.56,4,32:08,2:58,0,0,0,3,2,0,0,0
538,PHI,2021-09-19,0,11,12,29,328,0,Sun,2,2,,SFO,L 11-17,12,24,12,50.0,177,0,0,0.0,0.0,76.7,2,13,7.69,7.4,6.81,7.38,6.81,14.8,11,17,-6,28,29,151,5.2,1,328,55,5.96,68,4.50,0,25:06,3:01,1,0,0,2,1,1,1,0
539,DAL,2021-09-19,0,20,23,31,419,0,Sun,2,2,@,LAC,W 20-17,23,27,4,85.2,221,0,1,0.0,3.7,87.8,2,16,6.90,8.2,7.62,6.52,6.07,9.6,20,17,3,37,31,198,6.4,2,419,60,6.98,62,6.58,1,29:03,2:53,2,2,2,2,2,0,0,0
540,TEN,2021-09-19,0,33,27,40,532,0,Sun,2,2,@,SEA,W 33-30 (OT),27,40,13,67.5,320,0,0,0.0,0.0,94.5,3,27,6.98,8.0,7.44,8.00,7.44,11.9,33,30,3,63,40,212,5.3,3,532,83,6.41,52,7.63,1,42:33,3:27,3,3,3,5,4,0,0,0
541,ATL,2021-09-12,0,6,21,26,260,0,Sun,1,1,,PHI,L 6-32,21,35,14,60.0,136,0,0,0.0,0.0,71.6,3,28,7.89,3.9,3.58,3.89,3.58,6.5,6,32,-26,38,26,124,4.8,0,260,64,4.06,67,6.48,0,28:58,3:08,0,0,0,2,2,0,0,0
542,CLE,2021-09-12,0,29,21,26,457,0,Sun,1,1,@,KAN,L 29-33,21,28,7,75.0,304,0,1,0.0,3.6,97.5,2,17,6.67,10.9,10.13,9.25,8.63,14.5,29,33,-4,62,26,153,5.9,4,457,56,8.16,61,6.51,2,27:13,3:02,4,3,3,0,0,1,1,0
543,GNB,2021-09-12,0,3,20,15,229,0,Sun,1,1,@,NOR,L 3-38,20,35,15,57.1,186,0,2,0.0,5.7,49.8,2,15,5.41,5.3,5.03,2.74,2.59,9.3,3,38,-35,41,15,43,2.9,0,229,52,4.40,60,5.37,3,25:24,2:51,0,0,0,1,1,0,0,0
544,CHI,2021-09-12,0,14,29,26,322,0,Sun,1,1,@,LAR,L 14-34,29,40,11,72.5,188,0,1,0.0,2.5,74.6,3,28,6.98,4.7,4.37,3.58,3.33,6.5,14,34,-20,48,26,134,5.2,2,322,69,4.67,50,7.72,2,35:14,2:48,2,2,2,0,0,0,0,0
