team,QB
PHI,Jalen Hurts
DAL,Dak Prescott
BUF,Josh Allen
BAL,Lamar Jackson
SF,Brock Purdy
KC,Patrick Mahomes
CHI,Justin Fields
HOU,C J Stroud
LAR,Matthew Stafford
ARI,Kyler Murray
TB,Baker Mayfield
DET,Jared Goff
GB,Jordan Love
SEA,Geno Smith
MIA,Tua Tagovailoa
NO,Derek Carr
IND,Gardner Minshew
MIN,Jaren Hall
CIN,Jake Browning
NYG,Tyrod Taylor
CLE,Joe Flacco
LAC,Easton Stick
DEN,Jarrett Stidham
LV,Aidan O Connell
ATL,Taylor Heinicke
WAS,Sam Howell
PIT,Mason Rudolph
CAR,Bryce Young
TEN,Will Levis
JAC,C J Beathard
NE,Bailey Zappe
NYJ,Trevor Siemian
