team,QB
PHI,Jalen Hurts
DAL,Dak Prescott
KC,Patrick Mahomes
MIA,Tua Tagovailoa
HOU,C J Stroud
SF,Brock Purdy
JAC,Trevor Lawrence
LAC,Justin Herbert
WAS,Sam Howell
DEN,Russell Wilson
ARI,Kyler Murray
DET,Jared Goff
GB,Jordan Love
TB,Baker Mayfield
IND,Gardner Minshew
NO,Derek Carr
PIT,Kenny Pickett
SEA,Geno Smith
LAR,Matthew Stafford
TEN,Will Levis
CIN,Jake Browning
CAR,Bryce Young
ATL,Desmond Ridder
NE,Bailey Zappe
NYJ,Tim Boyle
CLE,Joe Flacco
