team,QB
PHI,Jalen Hurts
DAL,Dak Prescott
BUF,Josh Allen
KC,Patrick Mahomes
MIA,Tua Tagovailoa
BAL,Lamar Jackson
CHI,Justin Fields
SF,Brock Purdy
LAC,Justin Herbert
GB,Jordan Love
DEN,Russell Wilson
MIN,Joshua Dobbs
HOU,C J Stroud
DET,Jared Goff
IND,Gardner Minshew
TB,Baker Mayfield
CIN,Jake Browning
SEA,Drew Lock
ATL,Desmond Ridder
TEN,Will Levis
LAR,Matthew Stafford
CLE,Joe Flacco
LV,Aidan O Connell
NYG,Tommy DeVito
CAR,Bryce Young
NO,Jameis Winston
PIT,Mitchell Trubisky
NYJ,Zach Wilson
JAC,Trevor Lawrence
NE,Bailey Zappe
