team,QB
PHI,Jalen Hurts
KC,Patrick Mahomes
BAL,Lamar Jackson
BUF,Josh Allen
LAC,Justin Herbert
MIA,Tua Tagovailoa
DET,Jared Goff
JAC,Trevor Lawrence
HOU,C J Stroud
DAL,Dak Prescott
CIN,Joe Burrow
MIN,Kirk Cousins
DEN,Russell Wilson
GB,Jordan Love
LAR,Matthew Stafford
WAS,Sam Howell
NO,Derek Carr
IND,Gardner Minshew
CAR,Bryce Young
ATL,Desmond Ridder
SEA,Geno Smith
PIT,Kenny Pickett
TB,Baker Mayfield
LV,Jimmy Garoppolo
ARI,Joshua Dobbs
NE,Mac Jones
NYG,Tyrod Taylor
NYJ,Zach Wilson
CHI,Tyson Bagent
SF,Brock Purdy
CLE,P J Walker
TEN,Will Levis
