team,QB
PHI,Jalen Hurts
BAL,Lamar Jackson
KC,Patrick Mahomes
BUF,Josh Allen
DAL,Dak Prescott
HOU,C J Stroud
CHI,Justin Fields
ARI,Kyler Murray
SF,Brock Purdy
JAC,Trevor Lawrence
MIN,Joshua Dobbs
DET,Jared Goff
LAC,Justin Herbert
MIA,Tua Tagovailoa
WAS,Sam Howell
TB,Baker Mayfield
GB,Jordan Love
IND,Gardner Minshew
LAR,Matthew Stafford
NO,Derek Carr
DEN,Russell Wilson
SEA,Geno Smith
ATL,Desmond Ridder
TEN,Will Levis
CAR,Bryce Young
PIT,Kenny Pickett
CLE,Dorian Thompson Robinson
NYG,Tommy DeVito
NE,Mac Jones
CIN,Jake Browning
LV,Aidan O Connell
NYJ,Tim Boyle
