Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF, ,Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
15208229,231738394, , , , , , , , , , ,1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time, , , , , , , , , , , , , 
 , , , , , , , , , , , ,2. The Entry ID column lists all of your contest entries for this contest, , , , , , , , , , , , , 
 , , , , , , , , , , , ,3. Your current lineup is listed next to each entry (blank for reserved entries), , , , , , , , , , , , , 
 , , , , , , , , , , , ,4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry, , , , , , , , , , , , , 
 , , , , , , , , , , , ,"5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)", , , , , , , , , , , , , 
 , , , , , , , , , , , ,6. For faster processing only include entries you are changing in the file you upload, , , , , , , , , , , , , 
 , , , , , , , , , , , ,"Note: For each entry, the salary cap is 200", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,nfl.p.30115$nfl.g.13553480,Mitchell,Trubisky,nfl.p.30115$nfl.g.13553480 - Mitchell Trubisky,QB,BUF,HOU,BUF@HOU,8:15PM EST,20,0.8, , 
 , , , , , , , , , , , , ,nfl.p.30153$nfl.g.13553480,Curtis,Samuel,nfl.p.30153$nfl.g.13553480 - Curtis Samuel,WR,BUF,HOU,BUF@HOU,8:15PM EST,10,2.9,O, 
 , , , , , , , , , , , , ,nfl.p.30977$nfl.g.13553480,Josh,Allen,nfl.p.30977$nfl.g.13553480 - Josh Allen,QB,BUF,HOU,BUF@HOU,8:15PM EST,45,24, , 
 , , , , , , , , , , , , ,nfl.p.31928$nfl.g.13553480,Dawson,Knox,nfl.p.31928$nfl.g.13553480 - Dawson Knox,TE,BUF,HOU,BUF@HOU,8:15PM EST,10,3.4, , 
 , , , , , , , , , , , , ,nfl.p.32018$nfl.g.13553480,Ty,Johnson,nfl.p.32018$nfl.g.13553480 - Ty Johnson,RB,BUF,HOU,BUF@HOU,8:15PM EST,10,3.9, , 
 , , , , , , , , , , , , ,nfl.p.33357$nfl.g.13553480,Reggie,Gilliam,nfl.p.33357$nfl.g.13553480 - Reggie Gilliam,RB,BUF,HOU,BUF@HOU,8:15PM EST,10,0.1, , 
 , , , , , , , , , , , , ,nfl.p.33422$nfl.g.13553480,Elijah,Moore,nfl.p.33422$nfl.g.13553480 - Elijah Moore,WR,BUF,HOU,BUF@HOU,8:15PM EST,10,2.7, , 
 , , , , , , , , , , , , ,nfl.p.33465$nfl.g.13553480,Joshua,Palmer,nfl.p.33465$nfl.g.13553480 - Joshua Palmer,WR,BUF,HOU,BUF@HOU,8:15PM EST,12,4.5, , 
 , , , , , , , , , , , , ,nfl.p.34019$nfl.g.13553480,James,Cook III,nfl.p.34019$nfl.g.13553480 - James Cook III,RB,BUF,HOU,BUF@HOU,8:15PM EST,36,17.5, , 
 , , , , , , , , , , , , ,nfl.p.34104$nfl.g.13553480,Khalil,Shakir,nfl.p.34104$nfl.g.13553480 - Khalil Shakir,WR,BUF,HOU,BUF@HOU,8:15PM EST,21,9.1, , 
 , , , , , , , , , , , , ,nfl.p.40048$nfl.g.13553480,Dalton,Kincaid,nfl.p.40048$nfl.g.13553480 - Dalton Kincaid,TE,BUF,HOU,BUF@HOU,8:15PM EST,17,10.4,O, 
 , , , , , , , , , , , , ,nfl.p.40630$nfl.g.13553480,Tyrell,Shavers,nfl.p.40630$nfl.g.13553480 - Tyrell Shavers,WR,BUF,HOU,BUF@HOU,8:15PM EST,10,3.6, , 
 , , , , , , , , , , , , ,nfl.p.40911$nfl.g.13553480,Keon,Coleman,nfl.p.40911$nfl.g.13553480 - Keon Coleman,WR,BUF,HOU,BUF@HOU,8:15PM EST,12,7.2,O, 
 , , , , , , , , , , , , ,nfl.p.40980$nfl.g.13553480,Ray,Davis,nfl.p.40980$nfl.g.13553480 - Ray Davis,RB,BUF,HOU,BUF@HOU,8:15PM EST,10,1.8, , 
 , , , , , , , , , , , , ,nfl.p.41959$nfl.g.13553480,Jackson,Hawes,nfl.p.41959$nfl.g.13553480 - Jackson Hawes,TE,BUF,HOU,BUF@HOU,8:15PM EST,10,3.9, , 
 , , , , , , , , , , , , ,nfl.p.30860$nfl.g.13553480,Dare,Ogunbowale,nfl.p.30860$nfl.g.13553480 - Dare Ogunbowale,RB,HOU,BUF,BUF@HOU,8:15PM EST,10,0.7, , 
 , , , , , , , , , , , , ,nfl.p.31005$nfl.g.13553480,Nick,Chubb,nfl.p.31005$nfl.g.13553480 - Nick Chubb,RB,HOU,BUF,BUF@HOU,8:15PM EST,14,6.1, , 
 , , , , , , , , , , , , ,nfl.p.31017$nfl.g.13553480,Christian,Kirk,nfl.p.31017$nfl.g.13553480 - Christian Kirk,WR,HOU,BUF,BUF@HOU,8:15PM EST,13,5.2, , 
 , , , , , , , , , , , , ,nfl.p.31107$nfl.g.13553480,Dalton,Schultz,nfl.p.31107$nfl.g.13553480 - Dalton Schultz,TE,HOU,BUF,BUF@HOU,8:15PM EST,16,7.4, , 
 , , , , , , , , , , , , ,nfl.p.31180$nfl.g.13553480,Braxton,Berrios,nfl.p.31180$nfl.g.13553480 - Braxton Berrios,WR,HOU,BUF,BUF@HOU,8:15PM EST,10,1.7,O, 
 , , , , , , , , , , , , ,nfl.p.32785$nfl.g.13553480,Harrison,Bryant,nfl.p.32785$nfl.g.13553480 - Harrison Bryant,TE,HOU,BUF,BUF@HOU,8:15PM EST,10,0.3,IR, 
 , , , , , , , , , , , , ,nfl.p.33455$nfl.g.13553480,Davis,Mills,nfl.p.33455$nfl.g.13553480 - Davis Mills,QB,HOU,BUF,BUF@HOU,8:15PM EST,20,13.4, , 
 , , , , , , , , , , , , ,nfl.p.33477$nfl.g.13553480,Nico,Collins,nfl.p.33477$nfl.g.13553480 - Nico Collins,WR,HOU,BUF,BUF@HOU,8:15PM EST,34,12, , 
 , , , , , , , , , , , , ,nfl.p.34063$nfl.g.13553480,Dameon,Pierce,nfl.p.34063$nfl.g.13553480 - Dameon Pierce,RB,HOU,BUF,BUF@HOU,8:15PM EST,10,0.6, , 
 , , , , , , , , , , , , ,nfl.p.40030$nfl.g.13553480,C.J.,Stroud,nfl.p.40030$nfl.g.13553480 - C.J. Stroud,QB,HOU,BUF,BUF@HOU,8:15PM EST,28,15.7,O, 
 , , , , , , , , , , , , ,nfl.p.40097$nfl.g.13553480,Tank,Dell,nfl.p.40097$nfl.g.13553480 - Tank Dell,WR,HOU,BUF,BUF@HOU,8:15PM EST,14,8.2,PUP, 
 , , , , , , , , , , , , ,nfl.p.40232$nfl.g.13553480,Xavier,Hutchinson,nfl.p.40232$nfl.g.13553480 - Xavier Hutchinson,WR,HOU,BUF,BUF@HOU,8:15PM EST,11,5.8, , 
