"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dallas Cowboys",DAL,"vs. HOU","5 out of 5 stars","A+","12.6"
"2","Buffalo Bills",BUF,"vs. NYJ","3 out of 5 stars","A","8.2"
"3","Philadelphia Eagles",PHI,"at NYG","3 out of 5 stars","A","7.8"
"4","Kansas City Chiefs",KC,"at DEN","5 out of 5 stars","A","7.8"
"5","Baltimore Ravens",BAL,"at PIT","4 out of 5 stars","B+","7.8"
"6","Seattle Seahawks",SEA,"vs. CAR","4 out of 5 stars","B","7.7"
"7","San Francisco 49ers",SF,"vs. TB","2 out of 5 stars","B","7.7"
"8","Pittsburgh Steelers",PIT,"vs. BAL","3 out of 5 stars","B","7.6"
"9","Tampa Bay Buccaneers",TB,"at SF","3 out of 5 stars","B","7.4"
"10","Las Vegas Raiders",LV,"at LAR","5 out of 5 stars","B","7.3"
"11","New England Patriots",NE,"at ARI","3 out of 5 stars","B-","7.1"
"12","Cincinnati Bengals",CIN,"vs. CLE","2 out of 5 stars","C+","6.9"
"13","Tennessee Titans",TEN,"vs. JAC","3 out of 5 stars","C+","6.4"
"14","Arizona Cardinals",ARI,"vs. NE","4 out of 5 stars","C","6.4"
"15","New York Jets",NYJ,"at BUF","3 out of 5 stars","C","6.4"
"16","Carolina Panthers",CAR,"at SEA","4 out of 5 stars","C-","6.2"
"17","Cleveland Browns",CLE,"at CIN","2 out of 5 stars","C-","6.0"
"18","Miami Dolphins",MIA,"at LAC","3 out of 5 stars","D+","6.0"
"19","Detroit Lions",DET,"vs. MIN","2 out of 5 stars","D+","5.9"
"20","Minnesota Vikings",MIN,"at DET","2 out of 5 stars","D","5.7"
"21","Denver Broncos",DEN,"vs. KC","1 out of 5 stars","D","5.7"
"22","Jacksonville Jaguars",JAC,"at TEN","3 out of 5 stars","D","5.6"
"23","Los Angeles Rams",LAR,"vs. LV","3 out of 5 stars","D-","5.6"
"24","New York Giants",NYG,"vs. PHI","2 out of 5 stars","D-","5.5"
"25","Los Angeles Chargers",LAC,"vs. MIA","2 out of 5 stars","F","5.4"
"26","Houston Texans",HOU,"at DAL","1 out of 5 stars","F","5.1"
