"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Josh Jacobs",LV,"at LAR","3 out of 5 stars","A+","18.2"
"2","Austin Ekeler",LAC,"vs. MIA","2 out of 5 stars","A+","18.1"
"3","Derrick Henry",TEN,"vs. JAC","4 out of 5 stars","A+","17.4"
"4","Christian McCaffrey",SF,"vs. TB","3 out of 5 stars","A","16.6"
"5","Rhamondre Stevenson",NE,"at ARI","4 out of 5 stars","A","16.4"
"6","Dalvin Cook",MIN,"at DET","4 out of 5 stars","A","16.2"
"7","Nick Chubb",CLE,"at CIN","3 out of 5 stars","A","15.9"
"8","Tony Pollard",DAL,"vs. HOU","4 out of 5 stars","A","15.5"
"9","Saquon Barkley",NYG,"vs. PHI","4 out of 5 stars","A","15.2"
"10","Joe Mixon",CIN,"vs. CLE","4 out of 5 stars","A","14.1"
"11","D'Andre Swift",DET,"vs. MIN","3 out of 5 stars","A-","13.6"
"12","Ezekiel Elliott",DAL,"vs. HOU","4 out of 5 stars","A-","13.5"
"13","Travis Etienne Jr.",JAC,"at TEN","2 out of 5 stars","B+","13.5"
"14","Miles Sanders",PHI,"at NYG","3 out of 5 stars","B+","13.1"
"15","James Conner",ARI,"vs. NE","2 out of 5 stars","B+","12.3"
"16","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","B","11.6"
"17","Dameon Pierce",HOU,"at DAL","3 out of 5 stars","B","11.6"
"18","Najee Harris",PIT,"vs. BAL","3 out of 5 stars","B","11.3"
"19","D'Onta Foreman",CAR,"at SEA","5 out of 5 stars","B","10.6"
"20","Jamaal Williams",DET,"vs. MIN","3 out of 5 stars","B","10.6"
"21","Jeff Wilson Jr.",MIA,"at LAC","4 out of 5 stars","B","10.3"
"22","Latavius Murray",DEN,"vs. KC","3 out of 5 stars","B-","9.2"
"23","Raheem Mostert",MIA,"at LAC","4 out of 5 stars","B-","9.1"
"24","Rachaad White",TB,"at SF","1 out of 5 stars","C+","8.9"
"25","Zonovan Knight",NYJ,"at BUF","3 out of 5 stars","C+","8.7"
"26","James Cook",BUF,"vs. NYJ","3 out of 5 stars","C+","8.4"
"27","Devin Singletary",BUF,"vs. NYJ","3 out of 5 stars","C","8.3"
"28","Cam Akers",LAR,"vs. LV","3 out of 5 stars","C","8.2"
"29","Leonard Fournette",TB,"at SF","1 out of 5 stars","C","7.3"
"30","Samaje Perine",CIN,"vs. CLE","4 out of 5 stars","C","7.0"
"31","Kareem Hunt",CLE,"at CIN","3 out of 5 stars","C","6.7"
"32","Jerick McKinnon",KC,"at DEN","3 out of 5 stars","C","6.3"
"33","Travis Homer",SEA,"vs. CAR","4 out of 5 stars","C","6.2"
"34","Gus Edwards",BAL,"at PIT","2 out of 5 stars","C-","6.1"
"35","Kyren Williams",LAR,"vs. LV","3 out of 5 stars","C-","5.9"
"36","Chuba Hubbard",CAR,"at SEA","5 out of 5 stars","C-","5.8"
"37","Dontrell Hilliard",TEN,"vs. JAC","4 out of 5 stars","D+","5.4"
"38","Michael Carter",NYJ,"at BUF","3 out of 5 stars","C-","5.3"
"39","Kenneth Gainwell",PHI,"at NYG","3 out of 5 stars","D+","4.9"
"40","Kenyan Drake",BAL,"at PIT","2 out of 5 stars","D+","4.7"
"41","Jaylen Warren",PIT,"vs. BAL","3 out of 5 stars","D","4.5"
"42","Jordan Mason",SF,"vs. TB","3 out of 5 stars","D","4.4"
