Team,QB,adj_rus_att_rat,adj_rus_yds_rat,adj_rus_tds_rat,adj_pas_att_rat,adj_cmp_rat,adj_pas_yds_rat,adj_pas_tds_rat,adj_int_rat
DAL,Dak Prescott,25.261078769167643,112.32601051618262,0.845774456596591,34.63528598051399,23.906846769128197,255.75065226618864,2.055020460093401,0.6176470588235294
TB,Tom Brady,22.353830419848578,97.62286318553038,0.8662606300880429,41.546486386642705,27.8368723570579,302.62860401403714,2.387616086416135,0.7058823529411766
BUF,Josh Allen,23.814097256187814,107.29392543238079,0.8638315360417372,37.65728936262267,23.773260714962575,255.1017000950041,2.0357504800215467,0.8823529411764707
KC,Patrick Mahomes,22.998858163499833,102.98848360910831,0.8436628552968477,37.55651157289337,24.74857821387444,274.08276941012116,2.0684511501715104,0.7647058823529412
LAC,Justin Herbert,23.753878300149015,104.17173736833522,0.8646236415032793,39.09468790245036,25.6476108019333,287.76494977432935,2.139518740803199,0.8823529411764707
NE,Mac Jones,24.820682886893298,110.2737095784992,0.9045847649227646,27.307423604777878,18.400445467633624,203.45652812459082,1.192978805383631,0.7647058823529412
CIN,Joe Burrow,24.00842301048012,100.68179151713733,0.8550396711162188,32.403197537351744,22.666464656399857,280.9841629100575,2.041513003925281,0.8647058823529412
LAR,Matthew Stafford,23.46725478959647,98.08237298945195,0.7980673527771185,35.12582408749509,23.506249268117898,280.7555724916151,2.295339890575019,1
IND,Matt Ryan,25.47027996822261,121.97470835300815,0.9022181984154112,32.656470824105284,21.779736631694487,230.46259550778015,1.227071243116035,0.7058823529411766
GB,Aaron Rodgers,24.354566604485235,105.1600701774807,0.8268354922222682,33.12688621154161,22.695311995814638,253.33772016640387,2.2042335880540107,0.24705882352941178
ARI,Kyler Murray,25.37949940976638,108.91461503721013,0.9042093153221648,29.09279744220525,20.471396124058064,229.12201039621723,1.3256767830415555,0.6890756302521008
PHI,Jalen Hurts,25.183933633043083,118.70437719109712,0.9269084097544487,28.386207977898444,17.540291553002923,206.48032486231062,1.0572592768732718,0.5858823529411765
SF,Trey Lance,24.432777448256328,106.12149197454868,0.8906685586529272,25.991014020060994,15.33900647591366,214.23932953371212,1.7144855826036323,1.0714630467571644
MIN,Kirk Cousins,24.020592905957237,102.99403385300484,0.79930414320076,34.86125514041798,23.030876783797222,259.32736400051823,1.985560687601828,0.4323529411764706
TEN,Ryan Tannehill,24.959280395108067,108.85327446215815,0.883014134867518,30.105532370730902,20.378053765991037,213.23529522702296,1.2500643151205855,0.8235294117647058
SEA,Geno Smith,21.29992288330636,99.76647323545333,0.823944927423236,29.49430107800873,20.09155866694113,217.18817742332735,1.5514684707645383,1.0714630467571644
BAL,Lamar Jackson,25.19386977205452,113.00662057824897,0.8562453512492345,30.130499866470625,19.41395238220966,225.84062044285153,1.2772971930115788,1.0196078431372548
LV,Derek Carr,23.02302257681741,95.84166480275532,0.8274575966795575,36.45208844120923,24.788969842924814,276.0144742320955,1.3647191486732637,0.8235294117647058
NO,Jameis Winston,25.09094725988045,103.42623437198633,0.8131344360186784,23.92151604093949,14.273376150418775,172.45670584851828,1.9184654470040585,1.0714630467571644
CLE,Jacoby Brissett,24.75448905818101,117.00601331849208,0.8693725040581525,34.75768420815203,21.75453129633821,205.36325107244298,0.9010383842824498,1.0714630467571644
PIT,Mitchell Trubisky,20.57189055696123,84.06698794161396,0.6931942571963168,17.182411166672072,10.387796915292126,119.82535778007046,0.5309679220052195,1.0714630467571644
MIA,Tua Tagovailoa,24.197312663883885,96.83768035048102,0.8220605303156924,31.190367734304598,20.95828930846031,212.17434464431278,1.314769515093145,0.7733847637415622
DEN,Russell Wilson,24.55255490969335,108.00539134874712,0.8428053235615375,22.531752396412458,14.859507519782813,175.54659996642724,1.3254313263975863,0.4134453781512605
WAS,Carson Wentz,20.591312426723807,88.30040731138499,0.6384780270997885,28.42917540266824,17.880561959549237,198.73664896743986,1.4775124345822184,0.4117647058823529
DET,Jared Goff,22.66013088654799,99.2450341792014,0.8120244582498685,34.75315470986172,23.31197291302627,228.45834112065745,1.3604426560776108,0.5512605042016807
ATL,Marcus Mariota,22.91655712952558,92.09585092878518,0.8076071916104015,18.86336598152852,11.518807563999102,130.99568846111606,0.5705112218475469,1.0714630467571644
CHI,Justin Fields,24.442173065745383,105.87641659300012,0.8264178409691246,24.99659429658324,14.892787794598133,175.23087289312932,0.7595087749280283,0.8868778280542987
NYJ,Zach Wilson,21.689662052376878,95.52620098483143,0.8317445101347075,29.803885864973203,16.800705378326903,183.51964962896997,0.8033416291284098,0.8063348416289593
CAR,Baker Mayfield,23.54529090296133,99.05629251601594,0.8533500467484529,30.182852105505265,18.253819428503355,213.69543661816124,1.2287446488886007,0.895798319327731
HOU,Davis Mills,23.47415875946703,92.60444776043515,0.7884689364875256,33.044240174546445,22.011475825399515,224.48851711425962,1.3638006460906653,0.8194014447884417
NYG,Daniel Jones,22.40298049148813,93.96850309847368,0.7746351625515405,32.56867198412233,20.842398139942535,217.8385403341179,0.9731600927040446,0.5914438502673798
JAC,Trevor Lawrence,21.74507475515865,95.34442628306984,0.823633035919385,35.08252848279208,21.012013156698806,213.8891290547743,0.8004548647548879,1
