Short_Name,Games,Def_Rus_Att,Def_Rus_Yds,Def_Rus_Tds,Def_Cmp,Def_Pas_Att,Def_Pas_Yds,Def_Pas_Tds,Def_Int
BUF,17,26.32077205882353,111.40919117647059,0.9567095588235295,21.800183823529412,33.752941176470586,221.78290441176472,1.460294117647059,1.1176470588235294
NE,17,26.967830882352942,121.16801470588236,0.8684742647058824,21.929595588235294,33.847058823529416,224.19466911764707,1.513235294117647,1.3529411764705883
DEN,17,26.291360294117645,112.47977941176471,0.8684742647058824,22.059007352941176,34.129411764705885,226.96525735294117,1.5191176470588237,0.7647058823529411
NO,17,25.850183823529413,100.00330882352941,0.8949448529411765,22.223713235294117,34.48235294117647,227.959375,1.5073529411764706,1.0588235294117647
TB,17,24.08547794117647,99.34448529411765,0.8861213235294118,22.67077205882353,35.51764705882353,229.3770220588235,1.5426470588235295,1
TEN,17,24.144301470588236,93.78566176470589,0.9125919117647059,22.376654411764704,34.90588235294118,230.00643382352942,1.5308823529411766,0.9411764705882353
DAL,17,25.938419117647058,113.55036764705883,0.9037683823529412,22.194301470588236,34.71764705882353,229.30055147058823,1.5308823529411766,1.5294117647058822
KC,17,25.644301470588236,116.88566176470589,0.9214154411764706,22.411948529411767,34.694117647058825,230.61819852941176,1.548529411764706,0.8823529411764706
SF,17,26.232536764705884,107.04448529411765,0.9390625,22.241360294117648,33.92941176470588,226.12996323529413,1.536764705882353,0.5294117647058824
IND,17,25.673713235294116,110.91507352941177,0.8772977941176471,22.347242647058824,34.54117647058823,228.89466911764706,1.5779411764705884,1.1176470588235294
ARI,17,25.850183823529413,114.95036764705883,0.8772977941176471,22.211948529411764,34.11764705882353,226.92408088235294,1.5661764705882353,0.7647058823529411
SEA,17,28.291360294117645,114.12683823529412,0.9302389705882353,22.659007352941178,35.258823529411764,232.02996323529413,1.5308823529411766,0.6470588235294118
GB,17,24.938419117647058,110.95625000000001,0.9037683823529412,22.28253676470588,34.61176470588235,227.38878676470588,1.5720588235294117,1.0588235294117647
CLE,17,26.173713235294116,111.03860294117646,0.9037683823529412,22.211948529411764,34.294117647058826,225.71231617647058,1.5602941176470588,0.7647058823529411
LAR,17,26.350183823529413,106.79742647058823,0.9478860294117647,22.50018382352941,34.87058823529412,229.6534926470588,1.4897058823529412,1.1176470588235294
MIA,17,25.82077205882353,111.45036764705883,0.9302389705882353,22.247242647058822,34.67058823529412,228.25349264705883,1.5250000000000001,0.8235294117647058
CIN,17,25.291360294117645,106.30330882352942,0.9214154411764706,22.523713235294117,34.88235294117647,230.31819852941177,1.5426470588235295,0.7647058823529411
PHI,17,26.791360294117645,110.09154411764706,0.9478860294117647,22.459007352941178,34.44705882352941,227.57702205882353,1.5544117647058824,0.7058823529411765
BAL,17,24.438419117647058,93.70330882352941,0.9037683823529412,22.388419117647057,34.82352941176471,233.3770220588235,1.5720588235294117,0.5294117647058824
PIT,17,27.967830882352942,136.81507352941176,0.9390625,22.141360294117646,34.141176470588235,226.98878676470588,1.5308823529411766,0.7647058823529411
CAR,17,27.261948529411764,114.25036764705882,0.9302389705882353,22.03547794117647,33.576470588235296,224.69466911764707,1.5426470588235295,0.5294117647058824
CHI,17,27.526654411764703,122.15625,0.9125919117647059,21.90018382352941,33.129411764705885,224.64172794117647,1.5720588235294117,0.47058823529411764
NYG,17,27.791360294117645,124.87389705882353,0.9214154411764706,22.41783088235294,34.705882352941174,228.06525735294116,1.548529411764706,0.8823529411764706
MIN,17,27.291360294117645,126.06801470588236,0.9214154411764706,22.411948529411767,34.88235294117647,230.77702205882352,1.5602941176470588,0.9411764705882353
WAS,17,25.967830882352942,107.66213235294117,0.9125919117647059,22.40606617647059,34.54117647058823,230.97113970588236,1.5897058823529413,0.6470588235294118
LV,17,26.909007352941174,114.5797794117647,0.9478860294117647,22.40606617647059,34.64705882352941,227.77113970588235,1.5602941176470588,0.35294117647058826
HOU,17,28.703125,134.1386029411765,1.0096507352941178,22.188419117647058,33.94117647058824,229.70055147058824,1.548529411764706,1
JAC,17,27.82077205882353,122.15625,0.9831801470588236,22.27077205882353,33.90588235294118,228.27702205882352,1.5308823529411766,0.4117647058823529
ATL,17,28.58547794117647,126.89154411764706,0.9567095588235295,22.353125,34.305882352941175,228.72996323529412,1.5720588235294117,0.7058823529411765
LAC,17,28.291360294117645,131.79154411764705,0.9831801470588236,22.153125,34.09411764705882,227.60643382352941,1.548529411764706,0.6470588235294118
DET,17,28.556066176470587,129.11507352941177,0.9567095588235295,22.164889705882352,33.91764705882353,229.95349264705882,1.5720588235294117,0.6470588235294118
NYJ,17,28.761948529411764,131.3797794117647,1.0361213235294118,22.411948529411767,34.423529411764704,231.41819852941177,1.5544117647058824,0.4117647058823529
