Team,Team_s,Games,QB_Games,QB,Off_Rus_Att_Rat,Off_Rus_Yds_Rat,Off_Rus_Tds_Rat,Off_Cmp_Rat,Off_Pas_Att_Rat,Off_Pas_Yds_Rat,Off_Pas_Tds_Rat,Off_Int_Rat
Dallas Cowboys,DAL,17,16,Dak Prescott,25.36457756846564,113.079270974167,0.8483761763065303,23.889748464378734,35.82742972701769,252.58336836324406,1.7959673556883935,0.5882352941176471
Tampa Bay Buccaneers,TB,17,17,Tom Brady,22.353830419848578,97.62286318553038,0.8662606300880429,25.066714726465946,38.555961344978215,262.319490658421,1.8204333732571465,0.7058823529411765
Buffalo Bills,BUF,17,17,Josh Allen,23.814097256187818,107.2939254323808,0.8638315360417372,22.631009457165796,36.28644681311332,238.56732400443215,1.7081641648136172,0.8823529411764706
Kansas City Chiefs,KC,17,17,Patrick Mahomes,23.1203821466772,103.28069285604151,0.8463217098823493,23.98272078338887,37.068574628877826,255.47721428697696,1.7393610119043001,0.7647058823529411
Los Angeles Chargers,LAC,17,17,Justin Herbert,23.753878300149015,104.17173736833522,0.8646236415032793,24.002759892019462,37.35579245342822,259.0600429892937,1.7564172334277601,0.8823529411764706
New England Patriots,NE,17,17,Mac Jones,24.8206828868933,110.27370957849921,0.9045847649227646,20.462487452838754,30.60818925372602,219.63211726638914,1.414360469269927,0.7647058823529411
Cincinnati Bengals,CIN,17,16,Joe Burrow,24.00842301048012,100.6817915171373,0.8550396711162188,21.83232328199929,32.01598768675876,252.1708145502875,1.7075650196264067,0.8235294117647058
Los Angeles Rams,LAR,17,17,Matthew Stafford,23.467254789596474,98.08237298945195,0.7980673527771185,22.472422811177697,34.2173557315931,254.1308036345461,1.8296406293456824,1
Indianapolis Colts,IND,17,17,Matt Ryan,25.47027996822261,121.97470835300817,0.9022181984154112,20.66338904082536,31.517648238173493,218.66591871537125,1.4294738626389996,0.7058823529411765
Green Bay Packers,GB,17,16,Aaron Rodgers,24.354566604485235,105.1600701774807,0.8268354922222682,21.976559979073194,32.88443105770806,237.9386008320194,1.7711679402700522,0.23529411764705882
Arizona Cardinals,ARI,17,14,Kyler Murray,25.379499409766385,108.91461503721013,0.9042093153221649,22.387156246254023,33.242986839951946,240.9990855911755,1.5157012234369796,0.5882352941176471
Philadelphia Eagles,PHI,17,15,Jalen Hurts,25.183933633043083,118.70437719109712,0.9269084097544488,18.435024113417732,28.98945003796282,210.1250206346249,1.3312563601927516,0.5294117647058824
San Francisco 49ers,SF,17,4,Trey Lance,24.432777448256328,106.12149197454869,0.8906685586529273,18.123603808139723,28.526498671733524,209.76807623998926,1.429570770161019,1.0137254901960784
Minnesota Vikings,MIN,17,16,Kirk Cousins,24.020592905957237,102.99403385300485,0.7993041432007602,22.154383918986102,34.056275702089884,241.38682000259143,1.6778034380091382,0.4117647058823529
Tennessee Titans,TEN,17,17,Ryan Tannehill,24.959280395108067,108.85327446215817,0.883014134867518,20.206528529245194,30.361777496424057,212.18903418613073,1.3883036351984297,0.8235294117647058
Seattle Seahawks,SEA,17,3.5,Geno Smith,22.232341894971125,102.61911100727684,0.8441919125401115,19.207793334705645,28.721505390043664,208.44088711663667,1.5073423538226915,1.0137254901960784
Baltimore Ravens,BAL,17,12,Lamar Jackson,25.19386977205452,113.00662057824898,0.8562453512492346,21.12689103420242,33.14710285930023,230.0415658610155,1.4019299469438233,0.7647058823529411
Las Vegas Raiders,LV,17,17,Derek Carr,23.02302257681741,95.84166480275533,0.8274575966795575,23.2389668616829,34.96632455898732,249.7194299840073,1.4118310374839649,0.8235294117647058
New Orleans Saints,NO,17,7,Jameis Winston,25.09094725988045,103.42623437198631,0.8131344360186784,17.0811664663796,27.60758020469747,193.71210067116291,1.592327235020292,1.0137254901960784
Cleveland Browns,CLE,17,NA,Deshaun Watson,24.754489058181015,117.00601331849207,0.8693725040581525,17.804914546207172,28.6271307181795,199.07431987834372,1.2793854697993463,1.0137254901960784
Pittsburgh Steelers,PIT,17,NA,Kenny Pickett,23.478181322384508,94.82638074660531,0.8039497057182949,19.50528701305383,31.977021966374455,205.14093893333848,1.2884220880830233,1.0137254901960784
Miami Dolphins,MIA,17,12.5,Tua Tagovailoa,24.197312663883885,96.83768035048102,0.8220605303156925,21.522321015618235,32.938318619294364,218.02957134230556,1.4132496690350616,0.5882352941176471
Denver Broncos,DEN,17,14,Russell Wilson,24.55255490969335,108.00539134874711,0.8428053235615375,19.47587621838943,30.04669174693486,216.66756311587062,1.4743990327070269,0.35294117647058826
Washington Commanders,WAS,17,17,Carson Wentz,25.185816015390273,109.10607927117357,0.8225435982908359,19.434193493575368,30.583730296628023,208.37128628374987,1.4203478166135803,0.4117647058823529
Detroit Lions,DET,17,14,Jared Goff,22.66013088654799,99.24503417920141,0.8120244582498685,21.702721707988495,32.62291640645145,215.14884846043026,1.3736418518166271,0.47058823529411764
Atlanta Falcons,ATL,17,5,Marcus Mariota,22.91655712952558,92.09585092878518,0.8076071916104015,18.72911941101742,29.957826428725827,204.87142651430915,1.2550743329744132,1.0137254901960784
Chicago Bears,CHI,17,11,Justin Fields,24.442173065745386,105.87641659300013,0.8264178409691246,17.45812963048153,28.476327888831392,193.97818638307095,1.2154632657712598,0.5882352941176471
New York Jets,NYJ,17,13,Zach Wilson,21.68966205237688,95.52620098483143,0.8317445101347075,18.465065353172974,31.17327547871218,199.44440199100364,1.2474773764112794,0.6470588235294118
Carolina Panthers,CAR,17,14,Baker Mayfield,23.54529090296133,99.05629251601594,0.8533500467484529,18.983382856802486,31.485689098954907,208.47718309080614,1.286580387300146,0.7647058823529411
Houston Texans,HOU,17,12,Davis Mills,23.474158759467034,92.60444776043515,0.7884689364875257,20.96882260603083,31.905944679959106,214.1323944820881,1.3801895533449688,0.5882352941176471
New York Giants,NYG,17,11,Daniel Jones,22.40298049148813,93.96850309847369,0.7746351625515405,19.848354336076323,31.570632647884377,206.2836107614985,1.2294368271565859,0.4117647058823529
Jacksonville Jaguars,JAC,17,17,Trevor Lawrence,21.74507475515865,95.34442628306985,0.823633035919385,20.589477548199916,33.765583590431014,212.73976292093005,1.178744912009733,1
