player,Position,Team,player_games,pl_rus_att,pl_rus_yds,pl_rus_tds,rus_att_per,rus_yds_per,rus_tds_per,Pick,tot_rus_att_per,tot_rus_yds_per,tot_rus_tds_per,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per
Jameis Winston,QB,NO,7,32,166,1,0.15238095238095237,0.20248260027265552,0.18239111717012269,NA,1.5723477136005117,1.534924638823462,1.5444878030248443,0.09691301171037793,0.13191696527059518,0.11809165265851489
Marcus Mariota,QB,ATL,10,13,87,1,0.0533816425120773,0.09146567717996287,0.09121351043711293,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.05326743536748772,0.08240872196391785,0.0761861577315045
Josh Allen,QB,BUF,17,122,763,6,0.2646420824295011,0.3454051607062019,0.29039734904242065,NA,2.009789392614672,2.179898489979948,2.1793785881290515,0.13167652461595003,0.1584501123762782,0.13324777559263826
Matthew Stafford,QB,LAR,17,32,43,0,0.07619047619047618,0.0255496137849079,0.033031151854681265,NA,0.844272888623535,0.8784702544385479,0.9053315140939252,0.09024389769840147,0.029084210485006454,0.036485145320208516
Tom Brady,QB,TB,17,28,81,2,0.07272727272727272,0.04844497607655502,0.08949096225412013,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.05841024597270263,0.037380411914378,0.07040584590925995
Dak Prescott,QB,DAL,16,48,146,1,0.10782241014799154,0.07320670127418594,0.08586630085328188,NA,0.9460981612080747,0.9780385423781127,0.9205486742765967,0.11396535218957923,0.07485052797222382,0.09327730651587651
Aaron Rodgers,QB,GB,16,33,101,3,0.07861547085201794,0.05648026315789473,0.1596903685027505,NA,1.040635899352267,1.0640211988304094,1.084568872786341,0.07554560716284275,0.05308189650730532,0.14723856871578256
Kirk Cousins,QB,MIN,16,29,115,1,0.06862472160356348,0.06330958549222798,0.0869058471906482,NA,1.4508203670078468,1.4538264428374765,1.451958597435671,0.047300632913704004,0.04354686613669288,0.059854218532218555
Derek Carr,QB,LV,17,40,108,0,0.09661835748792272,0.0667903525046382,0.04532637824563291,NA,1.6654261327100885,1.6012579270639826,1.6002732181815242,0.05801419564054703,0.04171117680404115,0.02832414973309351
Justin Herbert,QB,LAC,17,63,302,3,0.14893617021276595,0.16466739367502728,0.15937454078594246,NA,1.9266684803474319,1.8960762030961156,1.8684889256689252,0.0773024377218797,0.08684640069114352,0.085295951502033035
Matt Ryan,QB,IND,17,40,82,1,0.10178117048346055,0.05651274982770502,0.09181828863070017,NA,1.2690429282944669,1.1830577230707329,1.2436494415493777,0.08020309495774866,0.0477683791125771,0.07382971886057381
Davis Mills,QB,HOU,13,18,44,0,0.05604395604395604,0.04046305312128097,0.026463887729710516,NA,1.152103341403808,1.0390108013532147,0.9869728570882043,0.04864490365566333,0.03894382336408978,0.026813186948002846
Russell Wilson,QB,DEN,14,43,183,2,0.12642684192320996,0.10714285714285714,0.12874533994388715,NA,1.1206940669462488,1.151534667861866,1.2104052999138926,0.11281119946294291,0.0930435358423005,0.1063654793588941
Geno Smith,QB,SEA,4,9,42,1,0.09261501210653754,0.0860655737704918,0.16370811777521976,NA,1.4095979455629395,1.5295040094500867,1.4955969154266537,0.06570314067076101,0.05627025051175614,0.10946005309760767
Trevor Lawrence,QB,JAC,17,73,334,2,0.18622448979591835,0.1903133903133903,0.17044421187278327,NA,1.3281660317876955,1.489886601451088,1.3305690911200574,0.1402117546593647,0.12773682918420295,0.12809873084403708
Carson Wentz,QB,WAS,17,57,215,1,0.11422845691382766,0.08464566929133858,0.07688322242193765,NA,1.5050234400208995,1.4397697194433463,1.5774538622507814,0.0758981248240502,0.05879111648775672,0.048738808951430915
Daniel Jones,QB,NYG,11,62,298,2,0.2286830114992406,0.27283498492029296,0.3119385212735437,NA,0.8650166064490532,0.8248994666243109,0.8323621681076312,0.2643683483002697,0.3307493772990302,0.37476297364971967
Ryan Tannehill,QB,TEN,17,55,270,7,0.0998185117967332,0.11231281198003328,0.20333259896017486,NA,1.5102671426264194,1.6154734952990653,1.7235694436606335,0.06609328176414175,0.06952315361833981,0.11797180537636089
Jalen Hurts,QB,PHI,15,139,784,10,0.28642424242424247,0.32726826273787596,0.3739631899101512,NA,1.5065756311660743,1.4608531300411118,1.2733115250665006,0.19011607283369705,0.22402543829212035,0.2936933991001302
Jared Goff,QB,DET,14,17,87,0,0.04834392773502843,0.05601424026662627,0.024938995120674,NA,1.7663047680861224,1.7621466297700583,1.6718086092834938,0.027370094113153214,0.03178750242477582,0.014917374502193999
Patrick Mahomes,QB,KC,17,66,381,2,0.1531322505800464,0.19488491048593348,0.14324139128061192,NA,1.313235795727831,1.3446380751717173,1.2856308928926485,0.11660682040362473,0.14493484461314668,0.11141719763619022
Kyler Murray,QB,ARI,14,88,423,5,0.2154377880184332,0.24741948802642444,0.24290464164976727,NA,1.4083393132805777,1.3158616231959073,1.522886071541694,0.15297292775033994,0.18802850061505919,0.15950283227941187
Mac Jones,QB,NE,17,44,129,0,0.08997955010224949,0.0599721059972106,0.04198903064062086,NA,1.6721233954154289,1.6383695723493512,1.747823081275147,0.05381154904533503,0.036604748409245165,0.02402361605728837
Tua Tagovailoa,QB,MIA,13,42,128,3,0.1242603550295858,0.10675039246467818,0.2238407197198406,NA,1.0638891145777885,1.0953926908394274,0.9294214896084807,0.11679822015934373,0.09745399376626535,0.24083876069417506
Trey Lance,QB,SF,6,38,168,1,0.21576486305945225,0.21975992613111728,0.17267587723083203,NA,1.7257382891642308,1.7872657208510587,1.61364410166681,0.12502756902029824,0.12295873163531172,0.10700988963580438
Justin Fields,QB,CHI,12,72,420,2,0.21473684210526311,0.29484638255698714,0.21656985128828019,NA,1.2588220028266015,1.2685094714791738,1.2621726660211434,0.17058554872975348,0.2324353023656772,0.17158496386313937
Baker Mayfield,QB,CAR,14,37,134,1,0.0926362297496318,0.06584956928947217,0.07399659168594279,NA,1.5094143108980946,1.482796128437174,1.1553282808151828,0.061372301216962535,0.044409051269155786,0.06404810902207975
Lamar Jackson,QB,BAL,12,133,767,2,0.36444229529335914,0.4383151808524943,0.26831213990629676,NA,0.9393808942270534,1.0109273762119595,0.7931197722270469,0.38796008896181733,0.43357731837760966,0.3382996481765769
Zach Wilson,QB,NYJ,13,29,185,4,0.09979757085020244,0.1451248211896082,0.24124469727222864,NA,1.8071477490677816,1.8429647739744883,1.7724418463065614,0.05522380275861953,0.07874530389239938,0.13610866713338868
Kenny Pickett,QB,PIT,NA,NA,NA,NA,0.1,0.1,0.1,20,1.0764358958264861,1.1030628775612525,0.9408806460867197,0.0928991688104382,0.09065666339990401,0.10628340631292264
Joe Burrow,QB,CIN,16,40,118,2,0.09747706422018348,0.07197187141216992,0.11259426282929039,NA,1.128337975098296,1.1356702066590125,1.0961522107052197,0.08638995263071926,0.06337391875754264,0.10271772636106058
Mark Ingram,RB,NO,14,160,554,2,0.4289755645582597,0.34336391270069133,0.28287145443425,NA,1.5723477136005117,1.534924638823462,1.5444878030248443,0.2728248725442228,0.2237008280510005,0.18314903742214905
Alvin Kamara,RB,NO,13,240,898,4,0.6153846153846153,0.5898079820731754,0.5230833623098816,NA,1.5723477136005117,1.534924638823462,1.5444878030248443,0.39137947036883397,0.38425859299859194,0.3386775611211916
Taysom Hill,TE,NO,12,70,374,5,0.19444444444444445,0.26611418047882135,0.3995280847145488,NA,1.5723477136005117,1.534924638823462,1.5444878030248443,0.12366504098459685,0.17337279873414568,0.25867998693941263
Tony Jones,RB,NO,11,54,142,0,0.16363636363636364,0.11022327747591432,0.07647687320213689,NA,1.5723477136005117,1.534924638823462,1.5444878030248443,0.10407135916625813,0.07181022096329222,0.049516009807496486
Cordarrelle Patterson,RB,ATL,16,153,618,6,0.41364503816793896,0.4525327360441075,0.5004840161443136,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.41276006692202577,0.40772282646368985,0.41802967579409395
Damien Williams,RB,ATL,12,40,164,2,0.1192982456140351,0.11513049223653782,0.16042282365974403,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.11904301345284707,0.10373024085988294,0.1339932920957037
Keith Smith,RB,ATL,17,9,31,0,0.02290076335877862,0.02136457615437629,0.011296762958949077,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.022851768410907993,0.01924905024995147,0.009435630319691413
Qadree Ollison,RB,ATL,8,21,105,1,0.1135496183206107,0.15377325982081322,0.15738808240123467,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.11330668503741884,0.1385465915167878,0.13145852202614802
Olamide Zaccheaus,WR,ATL,17,1,2,0,0.00254452926208651,0.00137835975189524,0.001155647680024128,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.0025390853789897735,0.0012418742096742845,9.652556513880426e-4
Tyler Allgeier,RB,ATL,NA,NA,NA,NA,0.2742577707438795,0.2742577707438795,0.2742577707438795,151,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.2736710110376552,0.2471006947360958,0.22907402292547221
Jarvis Landry,WR,NO,12,6,40,2,0.01752577319587629,0.02293268582220423,0.08013691119390427,NA,1.5723477136005117,1.534924638823462,1.5444878030248443,0.01114624522571035,0.014940593982374538,0.051885752051235336
Bryan Edwards,WR,ATL,16,1,0,0,0.00256642512077294,0,0.001026570048309176,NA,1.0021440331001796,1.1099028719315724,1.1972451840735672,0.002560934392667672,0,8.574434559981461e-4
Duke Johnson,RB,BUF,5,71,330,3,0.5461538461538461,0.715561224489796,0.715017660910518,NA,2.009789392614672,2.179898489979948,2.1793785881290515,0.2717468049939886,0.32825437871484475,0.32808327328036424
Isaiah McKenzie,WR,BUF,15,9,47,1,0.02212581344902386,0.02411347517730496,0.03959500623067337,NA,2.009789392614672,2.179898489979948,2.1793785881290515,0.011009020910513853,0.011061742227055157,0.018168025714460568
Devin Singletary,RB,BUF,17,188,870,7,0.4078091106290672,0.39384336803983705,0.37750798105561056,NA,2.009789392614672,2.179898489979948,2.1793785881290515,0.20291136580162789,0.1806705082141049,0.17321817471818554
Zack Moss,RB,BUF,13,96,345,4,0.272317703987986,0.20423442560156008,0.26011975492458117,NA,2.009789392614672,2.179898489979948,2.1793785881290515,0.13549564197555514,0.09368987892800401,0.11935501080052743
James Cook,RB,BUF,NA,NA,NA,NA,0.49674083596524776,0.49674083596524776,0.49674083596524776,63,2.009789392614672,2.179898489979948,2.1793785881290515,0.24716064170236454,0.22787337953971293,0.22792773989382398
Cooper Kupp,WR,LAR,17,4,18,0,0.00952380952380952,0.0106951871657754,0.004879042526101348,NA,0.844272888623535,0.8784702544385479,0.9053315140939252,0.011280487212300178,0.012174785784421306,0.005389233060095557
Darrell Henderson,RB,LAR,12,149,688,5,0.5025793650793651,0.5791245791245792,0.6131108706108707,NA,0.844272888623535,0.8784702544385479,0.9053315140939252,0.5952807105990909,0.6592421043268131,0.6772224992349735
Van Jefferson,WR,LAR,17,2,20,0,0.00476190476190476,0.011883541295306,0.0030931160342925037,NA,0.844272888623535,0.8784702544385479,0.9053315140939252,0.005640243606150089,0.013527539760468117,0.0034165562406033765
Kyren Williams,RB,LAR,NA,NA,NA,NA,0.25121733306797944,0.25121733306797944,0.25121733306797944,164,0.844272888623535,0.8784702544385479,0.9053315140939252,0.2975546608840573,0.2859713596432911,0.2774865661441191
Giovani Bernard,RB,TB,12,8,58,0,0.02943722943722943,0.04914274322169058,0.01668916609706083,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.023642242417522486,0.03791881290902953,0.013129983486456623
Mike Evans,WR,TB,16,1,10,0,0.00275974025974026,0.00635466507177033,0.001739362611073137,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.002216460226642734,0.004903294772719333,0.001368420820281271
Breshad Perriman,WR,TB,6,1,-3,0,0.00735930735930735,-0.00508373205741626,0.0024353497379813144,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.005910560604380616,-0.003922635818175463,0.0019159796036227663
Cyril Grayson,WR,TB,5,1,14,0,0.00883116883116883,0.0284688995215311,0.006379357484620643,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.007092672725256747,0.021966760581782627,0.005018876194300914
Leonard Fournette,RB,TB,14,180,812,8,0.5677179962894249,0.5897129186602871,0.5558997602230685,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.45595753233793385,0.45502575490835445,0.4373468769742499
Chris Godwin,WR,TB,14,4,21,1,0.01261595547309833,0.0152511961722488,0.040301660536622944,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.01013238960750964,0.011767907454526405,0.0317068051360476
Ke Shawn Vaughn,RB,TB,12,36,180,2,0.13246753246753246,0.15251196172248804,0.14694191286296548,NA,1.2451115641810684,1.295998989725449,1.2710728931438071,0.10639009087885122,0.11767907454526408,0.11560463106055768
Rachaad White,RB,TB,NA,NA,NA,NA,0.4111953613362942,0.4111953613362942,0.4111953613362942,91,1.2451115641810684,1.295998989725449,1.2710728931438071,0.3302478052292001,0.31728061873212104,0.3235025808152233
Ezekiel Elliott,RB,DAL,17,237,1002,10,0.5010570824524313,0.4728645587541293,0.5810426221897188,NA,0.9460981612080747,0.9780385423781127,0.9205486742765967,0.5296036954692211,0.48348254006877206,0.631191634322134
