player,team,pos,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Josh Allen,BUF,QB,17,17,22.647058823529413,34.05882352941177,253.2941176470588,1.7058823529411764,6.529411764705882,30.823529411764707,0.8823529411764706,0,0,0,0,1.0588235294117647,0.4117647058823529,0.21156764213222978,6.588235294117647,0.03211294568078488
Jalen Hurts,PHI,QB,17,17,20.705882352941178,31.647058823529413,226.94117647058823,1.3529411764705883,9.235294117647058,35.588235294117645,0.8823529411764706,0,0,0,0,0.8823529411764706,0.5294117647058824,0.26949453148093405,9.294117647058824,0.028996247058075183
Dak Prescott,DAL,QB,17,17,24.11764705882353,34.705882352941174,265.6470588235294,2.1176470588235294,3.235294117647059,14.235294117647058,0.11764705882352941,0,0,0,0,0.5294117647058824,0.23529411764705882,0.11585377869740861,3.2941176470588234,0.03516989710457047
Lamar Jackson,BAL,QB,16,16,19.1875,28.5625,229.875,1.5,9.25,51.3125,0.3125,0,0,0,0,0.4375,0.6875,0.34788525963149075,9.3125,0.03735680640338156
Christian McCaffrey,SFO,RB,16,16,0,0,0,0,17,91.1875,0.875,5.1875,4.1875,35.25,0.4375,0,0.1875,0.10169597989949747,21.25,0.004785693171741058
Jordan Love,GNB,QB,17,17,21.88235294117647,34.05882352941177,244.64705882352942,1.8823529411764706,2.9411764705882355,14.529411764705882,0.23529411764705882,0,0,0,0,0.6470588235294118,0.5294117647058824,0.23420041383387524,3,0.07806680461129174
Brock Purdy,SFO,QB,16,16,19.25,27.75,267.5,1.9375,2.4375,9,0.125,0,0,0,0,0.6875,0.375,0.16589195979899496,2.5,0.06635678391959798
Jared Goff,DET,QB,17,17,23.941176470588236,35.588235294117645,269.11764705882354,1.7647058823529411,1.8823529411764706,1.2352941176470589,0.11764705882352941,0,0,0,0,0.7058823529411765,0.35294117647058826,0.1914277268696423,1.9411764705882353,0.09861428353890664
Patrick Mahomes,KAN,QB,16,16,25.0625,37.3125,261.4375,1.6875,4.6875,24.3125,0,0,0,0,0,0.875,0.3125,0.1632432998324958,4.75,0.03436701049105175
C J Stroud,HOU,QB,15,15,21.266666666666666,33.266666666666666,273.8666666666667,1.5333333333333334,2.6,11.133333333333333,0.2,0.06666666666666667,0.06666666666666667,0,0,0.3333333333333333,0.5333333333333333,0.26260189838079284,2.7333333333333334,0.09607386526126567
Baker Mayfield,TAM,QB,17,17,21.41176470588235,33.294117647058826,237.88235294117646,1.6470588235294117,3.6470588235294117,9.588235294117647,0.058823529411764705,0,0,0,0,0.5882352941176471,0.47058823529411764,0.2140604985712878,3.7058823529411766,0.05776235675733163
Tua Tagovailoa,MIA,QB,17,17,22.823529411764707,32.94117647058823,272,1.7058823529411764,2.0588235294117645,4.352941176470588,0,0,0,0,0,0.8235294117647058,0.7647058823529411,0.3500541925312839,2.1176470588235294,0.1653033686953285
CeeDee Lamb,DAL,WR,17,17,0,0,0,0,0.8235294117647058,6.647058823529412,0.11764705882352941,10.647058823529411,7.9411764705882355,102.88235294117646,0.7058823529411765,0,0.17647058823529413,0.09571386343482115,8.823529411764707,0.01084757118927973
Trevor Lawrence,JAX,QB,16,16,23.125,35.25,251,1.3125,4.375,21.1875,0.25,0,0,0,0,0.875,0.75,0.38803391959798994,4.4375,0.08744426357137801
Tyreek Hill,MIA,WR,16,16,0,0,0,0,0.375,0.9375,0,10.6875,7.4375,112.4375,0.8125,0,0.0625,0.04014865996649916,7.875,0.005098242535428465
Sam Howell,WAS,QB,17,17,22.823529411764707,36,232.11764705882354,1.2352941176470589,2.823529411764706,15.470588235294118,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.23529411764705882,0,1.2352941176470589,0.23529411764705882,0.11585377869740861,2.9411764705882355,0.03939028475711893
Russell Wilson,DEN,QB,15,15,19.8,29.8,204.66666666666666,1.7333333333333334,5.333333333333333,22.733333333333334,0.2,0,0,0,0,0.5333333333333333,0.6666666666666666,0.3282523729759911,5.4,0.06078747647703538
Raheem Mostert,MIA,RB,15,15,0,0,0,0,13.933333333333334,67.46666666666667,1.2,2.1333333333333333,1.6666666666666667,11.666666666666666,0.2,0,0.26666666666666666,0.11130094919039643,15.666666666666666,0.007104315905769985
Matthew Stafford,LAR,QB,15,15,21.733333333333334,34.733333333333334,264.3333333333333,1.6,1.4,4.333333333333333,0,0,0,0,0,0.7333333333333333,0,0,1.4666666666666666,0
Derek Carr,NOR,QB,17,17,22.058823529411764,32.23529411764706,228.11764705882354,1.4705882352941178,1.8823529411764706,2.3529411764705883,0,0,0,0,0,0.47058823529411764,0.4117647058823529,0.19392058330870035,1.9411764705882353,0.0998984823105426
Justin Herbert,LAC,QB,13,13,22.846153846153847,35.07692307692308,241.07692307692307,1.5384615384615385,4,17.53846153846154,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.7692307692307693,0,0.5384615384615384,0.3076923076923077,0.1284241721427651,4.153846153846154,0.030916930330665674
Justin Fields,CHI,QB,13,13,17.46153846153846,28.46153846153846,197.07692307692307,1.2307692307692308,9.538461538461538,50.53846153846154,0.3076923076923077,0,0,0,0,0.6923076923076923,0.7692307692307693,0.3556758149722974,9.615384615384615,0.03699028475711893
Geno Smith,SEA,QB,15,15,21.533333333333335,33.266666666666666,241.6,1.3333333333333333,2.466666666666667,10.333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,-0.13333333333333333,0,0.6,0.3333333333333333,0.17412618648799552,2.6,0.06697161018769059
Travis Etienne,JAX,RB,17,17,0,0,0,0,15.705882352941176,59.294117647058826,0.6470588235294118,4.294117647058823,3.411764705882353,28,0.058823529411764705,0,0,0,19.176470588235293,0
Kyren Williams,LAR,RB,12,11,0,0,0,0,19,95.33333333333333,1,4,2.6666666666666665,17.166666666666668,0.25,0,0.25,0.13559463986599662,21.75,0.006234236315678006
Derrick Henry,TEN,RB,17,17,0.11764705882352941,0.17647058823529413,0.8235294117647058,0.11764705882352941,16.470588235294116,68.6470588235294,0.7058823529411765,2.1176470588235294,1.6470588235294117,12.588235294117647,0,0,0,0,18.176470588235293,0
Joe Mixon,CIN,RB,17,17,0,0,0,0,15.117647058823529,60.8235294117647,0.5294117647058824,3.764705882352941,3.0588235294117645,22.11764705882353,0.17647058823529413,0,0,0,18.235294117647058,0
Breece Hall,NYJ,RB,17,16,0,0,0,0,13.117647058823529,58.470588235294116,0.29411764705882354,5.588235294117647,4.470588235294118,34.76470588235294,0.23529411764705882,0,0.11764705882352941,0.04027983052517489,17.647058823529413,0.0022825237297599108
Amon Ra St Brown,DET,WR,16,16,0,0,0,0,0.25,1.5,0,10.25,7.4375,94.6875,0.625,0,0.0625,0.04014865996649916,7.75,0.005180472253741827
Mike Evans,TAM,WR,17,17,0,0,0,0,0,0,0,8,4.647058823529412,73.82352941176471,0.7647058823529411,0,0,0,4.705882352941177,0
Rachaad White,TAM,RB,17,17,0,0,0,0,16,58.23529411764706,0.35294117647058826,4.117647058823529,3.764705882352941,32.294117647058826,0.17647058823529413,0,0.17647058823529413,0.09571386343482115,19.823529411764707,0.004828295781578514
Joshua Dobbs,2TM,QB,12.200000000000001,12,21.475409836065573,34.18032786885246,201.9672131147541,1.0655737704918031,6.311475409836065,34.50819672131147,0.4918032786885245,0,0,0,0,0.8196721311475409,1.1475409836065573,0.5650245764340829,6.393442622950819,0.08837563887815143
Gardner Minshew,IND,QB,13.8,13,22.101449275362317,35.507246376811594,239.4927536231884,1.0869565217391304,2.463768115942029,7.246376811594202,0.21739130434782608,0,0,0,0,0.6521739130434783,0.5797101449275363,0.30717597650086176,2.5362318840579707,0.12111509930605406
Puka Nacua,LAR,WR,17,17,0,0,0,0,0.7058823529411765,5.235294117647059,0,9.411764705882353,6.176470588235294,87.41176470588235,0.35294117647058826,0,0.058823529411764705,0.020139915262587446,6.9411764705882355,0.0029015132157964967
D J Moore,CHI,WR,17,17,0,0,0,0,0.23529411764705882,1.2352941176470589,0.058823529411764705,8,5.647058823529412,80.23529411764706,0.47058823529411764,0,0.058823529411764705,0.03778697408611686,5.9411764705882355,0.006360183757069174
David Montgomery,DET,RB,14,14,0,0,0,0,15.642857142857142,72.5,0.9285714285714286,1.7142857142857142,1.1428571428571428,8.357142857142858,0,0,0.14285714285714285,0.07033979420914094,16.857142857142858,0.004172699656474463
Jahmyr Gibbs,DET,RB,15,3,0,0,0,0,12.133333333333333,63,0.6666666666666666,4.733333333333333,3.466666666666667,21.066666666666666,0.06666666666666667,0,0.13333333333333333,0.06565047459519821,15.666666666666666,0.0041904558252254176
James Cook,BUF,RB,17,13,0,0,0,0,13.941176470588236,66,0.11764705882352941,3.176470588235294,2.588235294117647,26.176470588235293,0.23529411764705882,0,0.23529411764705882,0.11585377869740861,16.58823529411765,0.006984093042042363
Bijan Robinson,ATL,RB,17,16,0,0,0,0,12.588235294117647,57.411764705882355,0.23529411764705882,5.0588235294117645,3.411764705882353,28.647058823529413,0.23529411764705882,0,0.23529411764705882,0.13350083752093803,16.058823529411764,0.008313238966505298
A J Brown,PHI,WR,17,17,0,0,0,0,0,0,0,9.294117647058824,6.235294117647059,85.6470588235294,0.4117647058823529,0,0.11764705882352941,0.07557394817223372,6.294117647058823,0.012007075877831525
Deebo Samuel,SFO,WR,15,15,0,0.06666666666666667,0,0,2.466666666666667,15,0.3333333333333333,5.933333333333334,4,59.46666666666667,0.4666666666666667,0,0.06666666666666667,0.022825237297599107,6.533333333333333,0.0034936587700406794
Saquon Barkley,NYG,RB,14,14,0,0,0,0,17.642857142857142,68.71428571428571,0.42857142857142855,4.285714285714286,2.9285714285714284,20,0.2857142857142857,0,0.14285714285714285,0.09176836563771237,20.642857142857142,0.004445526363072571
Nico Collins,HOU,WR,15,10,0,0,0,0,0.06666666666666667,0.4666666666666667,0,7.266666666666667,5.333333333333333,86.46666666666667,0.5333333333333333,0,0.06666666666666667,0.022825237297599107,5.466666666666667,0.004175348286146178
