player,Position,Team,player_games,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,tgt_per,rec_per,rec_yds_per,rec_tds_per,Pick,rep,tot_tgt_per,tot_rec_per,tot_rec_yds_per,tot_rec_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per
Nelson Agholor,WR,BAL,17,45,35,381,4,0.09109311740890688,0.10670731707317072,0.1048143053645117,0.12333488152372758,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.07672735638075316,0.08358347226979097,0.08313807996439027,0.09761005607467249
Derrick Henry,RB,BAL,17,36,28,214,0,0.07287449392712551,0.09210526315789472,0.06977502445386372,0.03901191540085196,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.06138188510460254,0.072145733959188,0.055345131968281044,0.030874925266985005
Patrick Ricard,RB,BAL,17,7,5,52,1,0.01417004048582996,0.01524390243902439,0.01430536451169188,0.025778150456998855,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.011935366548117159,0.01194049603854157,0.01134692954894565,0.02040141994318879
Mark Andrews,TE,BAL,10,61,45,544,6,0.20991902834008097,0.2332317073170732,0.2544154057771664,0.3017949426491867,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.1768139301485356,0.18268958938968605,0.20180077782432573,0.2388474445436785
Justice Hill,RB,BAL,16,39,28,206,1,0.08388157894736842,0.09070121951219512,0.06021320495185695,0.060272824084782996,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.07065310733394353,0.07104595142932234,0.04776075394279768,0.04770129638923521
Deonte Harty,WR,BAL,16,21,15,150,1,0.03853626943005181,0.04139610389610389,0.03836663456909003,0.037999111916078916,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.0324589405022953,0.03242542495661093,0.0304321850121189,0.030073369342821725
Rashod Bateman,WR,BAL,16,56,32,367,1,0.12044534412955464,0.10365853658536586,0.10727303988995876,0.07606334643511534,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.10145061565899584,0.08119537306208267,0.08508833348061531,0.06019827820834683
Tylan Wallace,WR,BAL,11,2,1,11,0,0.00625690099374309,0.00471175166297117,0.0046767537826685,0.002738663376148298,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.005270161852415361,0.0036906987755492087,0.0037095731217706937,0.002167441054897832
Charlie Kolar,TE,BAL,15,9,7,87,1,0.02064777327935222,0.0241869918699187,0.0271251719394773,0.03249016361526125,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.01739153411297071,0.018945587047819294,0.021515524106270025,0.025713461213734704
Isaiah Likely,TE,BAL,17,40,30,411,5,0.08097165991902834,0.09146341463414634,0.11306740027510316,0.13786175979498194,NA,NA,1.1872312784616847,1.2766557092620001,1.2607255954119436,1.263546877069463,0.06820209456066947,0.07164297623124942,0.08968438547339737,0.10910696096588354
