Team,Games,Def_Rus_Att,Def_Rus_Yds,Def_Rus_Tds,Def_Cmp,Def_Pas_Att,Def_Pas_Yds,Def_Pas_Tds,Def_Int
Baltimore Ravens,17,25.63051470588235,110.38621323529411,0.7873161764705883,21.794117647058826,34.39264705882353,216.2262867647059,1.3533088235294117,1.0588235294117647
Kansas City Chiefs,17,26.13051470588235,113.06268382352941,0.8226102941176471,21.53529411764706,33.474999999999994,214.68511029411766,1.3591911764705882,0.47058823529411764
San Francisco 49ers,17,24.277573529411764,96.5920955882353,0.8226102941176471,21.947058823529414,34.239705882352936,218.4556985294118,1.3650735294117646,1.2941176470588236
Buffalo Bills,17,25.454044117647058,111.20974264705883,0.8579044117647059,21.67058823529412,33.42794117647058,216.69099264705883,1.3533088235294117,1.0588235294117647
Dallas Cowboys,17,26.924632352941174,112.44503676470589,0.8579044117647059,21.347058823529412,32.92205882352941,215.76746323529412,1.370955882352941,1
Pittsburgh Steelers,17,26.777573529411764,114.33915441176471,0.8137867647058824,21.58235294117647,33.675,219.73805147058823,1.3827205882352942,0.9411764705882353
Tampa Bay Buccaneers,17,25.83639705882353,100.50386029411764,0.8314338235294118,21.911764705882355,34.12205882352941,221.92628676470588,1.3827205882352942,0.7647058823529411
New Orleans Saints,17,27.012867647058822,117.71562499999999,0.8226102941176471,21.494117647058825,33.4985294117647,217.76158088235294,1.3768382352941175,1.0588235294117647
Las Vegas Raiders,17,27.512867647058822,116.76856617647059,0.8667279411764706,21.747058823529414,33.569117647058825,218.26746323529412,1.370955882352941,0.7647058823529411
Green Bay Packers,17,27.924632352941174,123.60386029411764,0.8667279411764706,21.54705882352941,33.08676470588235,217.70863970588238,1.370955882352941,0.4117647058823529
Houston Texans,17,27.189338235294116,101.45091911764706,0.9020220588235295,21.78235294117647,33.580882352941174,220.43805147058825,1.3474264705882353,0.8235294117647058
New York Jets,17,28.63051470588235,120.59797794117647,0.8579044117647059,21.376470588235296,33.074999999999996,213.86158088235294,1.3591911764705882,1
Minnesota Vikings,17,26.542279411764703,102.89209558823529,0.8579044117647059,22.041176470588237,34.063235294117646,220.47922794117648,1.3827205882352942,0.6470588235294118
Cleveland Browns,17,25.777573529411764,107.62738970588235,0.8667279411764706,21.341176470588238,33.22794117647059,213.5027573529412,1.3827205882352942,1.0588235294117647
New England Patriots,17,27.542279411764703,99.02150735294117,0.8579044117647059,21.711764705882352,33.6985294117647,217.8733455882353,1.3591911764705882,0.5882352941176471
Tennessee Titans,17,27.542279411764703,109.19209558823529,0.8226102941176471,21.811764705882354,33.65147058823529,219.77334558823532,1.3650735294117646,0.35294117647058826
Jacksonville Jaguars,17,25.806985294117645,105.9391544117647,0.8667279411764706,21.911764705882355,34.192647058823525,221.00863970588236,1.40625,0.9411764705882353
Atlanta Falcons,17,28.10110294117647,116.52150735294117,0.8314338235294118,21.53529411764706,33.39264705882353,217.3204044117647,1.3886029411764707,0.47058823529411764
Los Angeles Rams,17,26.159926470588232,108.57444852941177,0.8579044117647059,21.694117647058825,34.03970588235294,220.13805147058824,1.3886029411764707,0.5882352941176471
Chicago Bears,17,24.83639705882353,94.24503676470589,0.8049632352941177,21.947058823529414,34.192647058823525,220.81452205882354,1.4297794117647058,1.2941176470588236
Cincinnati Bengals,17,26.83639705882353,122.12150735294117,0.884375,21.676470588235293,33.463235294117645,221.8733455882353,1.3827205882352942,1
Miami Dolphins,17,26.159926470588232,101.7391544117647,0.8667279411764706,21.77058823529412,33.616176470588236,219.15569852941178,1.40625,0.8823529411764706
Detroit Lions,17,25.424632352941174,95.93327205882353,0.8667279411764706,21.71764705882353,33.851470588235294,221.76746323529412,1.4121323529411764,0.9411764705882353
Los Angeles Chargers,17,27.159926470588232,113.02150735294117,0.8931985294117647,21.823529411764707,33.96911764705882,222.00863970588236,1.4003676470588236,0.5294117647058824
Seattle Seahawks,17,28.571691176470587,130.64503676470588,0.946139705882353,21.829411764705885,33.81617647058823,220.33216911764708,1.370955882352941,0.6470588235294118
New York Giants,17,27.395220588235293,126.48621323529412,0.946139705882353,21.71764705882353,33.78088235294118,219.96158088235296,1.370955882352941,1.0588235294117647
Denver Broncos,17,27.21875,129.78033088235293,0.8667279411764706,21.78235294117647,33.66323529411765,220.39687500000002,1.418014705882353,0.6470588235294118
Indianapolis Colts,17,28.659926470588232,120.47444852941176,0.9284926470588236,21.711764705882352,33.616176470588236,219.63216911764707,1.370955882352941,0.8823529411764706
Carolina Panthers,17,28.365808823529413,119.48621323529412,0.9549632352941178,21.35294117647059,32.59264705882353,214.18511029411766,1.3591911764705882,0.47058823529411764
Philadelphia Eagles,17,25.483455882352942,106.18621323529412,0.8490808823529412,22.03529411764706,34.60441176470588,222.3027573529412,1.4533088235294116,0.5294117647058824
Arizona Cardinals,17,28.748161764705884,134.02150735294117,0.9020220588235295,21.576470588235296,32.88676470588235,218.28511029411766,1.4356617647058822,0.6470588235294118
Washington Commanders,17,27.542279411764703,122.53327205882353,0.8667279411764706,21.864705882352943,33.96911764705882,223.2498161764706,1.4768382352941176,0.47058823529411764
