Rk,Season,Team,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD
456,2007,CHI,327,423,16,7,9,0,.438,334,348,-14,327,569,242,57.5,3362,18,21,3.2,3.7,72.2,43,339,7.03,5.9,5.49,4.88,4.54,10.3,423,1330,3.1,8
457,2006,CIN,327,435,16,8,8,0,.500,373,331,42,327,523,196,62.5,3833,28,13,5.4,2.5,94.1,36,233,6.44,7.3,6.86,7.28,6.81,11.7,435,1629,3.7,14
458,2001,BUF,327,406,16,3,13,0,.188,265,420,-155,327,557,230,58.7,3451,18,20,3.2,3.6,74.7,46,271,7.63,6.2,5.72,5.23,4.83,10.6,406,1686,4.2,9
459,2001,NYG,327,424,16,7,9,0,.438,294,321,-27,327,568,241,57.6,3558,19,16,3.3,2.8,77.1,36,206,5.96,6.3,5.89,5.67,5.33,10.9,424,1777,4.2,11
460,2007,DEN,326,429,16,7,9,0,.438,320,409,-89,326,515,189,63.3,3584,21,15,4.1,2.9,86.7,32,175,5.85,7.0,6.55,6.46,6.09,11.0,429,1957,4.6,10
461,2006,NWE,326,499,16,12,4,0,.750,385,237,148,326,527,201,61.9,3400,25,12,4.7,2.3,88.3,29,190,5.22,6.5,6.12,6.38,6.04,10.4,499,1969,3.9,20
462,2016,DAL,325,499,16,13,3,0,.813,421,306,115,325,483,158,67.3,3631,25,6,5.2,1.2,103.0,28,168,5.48,7.5,7.11,7.99,7.56,11.2,499,2396,4.8,24
463,2014,JAX,325,360,16,3,13,0,.188,249,412,-163,325,557,232,58.3,3001,15,18,2.7,3.2,72.0,71,450,11.31,5.4,4.78,4.47,3.97,9.2,360,1633,4.5,9
464,2013,MIN,325,423,16,5,10,1,.344,391,480,-89,325,546,221,59.5,3427,18,19,3.3,3.5,76.0,44,218,7.46,6.3,5.81,5.37,4.97,10.5,423,2081,4.9,23
465,2013,NYG,325,381,16,7,9,0,.438,294,383,-89,325,567,242,57.3,3588,18,29,3.2,5.1,67.6,40,287,6.59,6.3,5.91,4.66,4.35,11.0,381,1332,3.5,11
466,2006,CAR,325,423,16,8,8,0,.500,270,305,-35,325,539,214,60.3,3264,19,17,3.5,3.2,77.9,32,222,5.60,6.1,5.72,5.34,5.04,10.0,423,1659,3.9,7
467,2004,SFO,325,413,16,2,14,0,.125,259,452,-193,325,561,236,57.9,3136,16,21,2.9,3.7,69.9,52,319,8.48,5.6,5.12,4.48,4.10,9.6,413,1449,3.5,10
468,2021,IND,324,499,17,9,8,0,.529,451,365,86,324,521,197,62.2,3361,27,8,5.2,1.5,93.5,32,227,5.79,6.5,6.08,6.80,6.40,10.4,499,2540,5.1,22
469,2021,SEA,324,413,17,7,10,0,.412,395,366,29,324,495,171,65.5,3432,30,7,6.1,1.4,103.1,46,383,8.50,6.9,6.34,7.51,6.87,10.6,413,2074,5.0,18
470,2010,SEA,324,385,16,7,9,0,.438,310,407,-97,324,544,220,59.6,3341,14,20,2.6,3.7,72.1,35,195,6.04,6.1,5.77,5.00,4.70,10.3,385,1424,3.7,13
471,2004,CIN,324,437,16,8,8,0,.500,374,372,2,324,536,212,60.4,3301,23,22,4.3,4.1,77.0,31,219,5.47,6.2,5.82,5.17,4.89,10.2,437,1839,4.2,14
472,2003,CIN,324,481,16,8,8,0,.500,346,384,-38,324,520,196,62.3,3342,26,15,5.0,2.9,87.4,37,249,6.64,6.4,6.00,6.13,5.72,10.3,481,1987,4.1,12
473,2002,SDG,324,466,16,8,8,0,.500,333,367,-34,324,538,214,60.2,3188,17,16,3.2,3.0,76.5,24,180,4.27,5.9,5.67,5.22,5.00,9.8,466,2137,4.6,19
474,2023,PIT,323,487,17,10,7,0,.588,304,324,-20,323,506,183,63.8,3163,13,9,2.6,1.8,84.6,36,258,6.64,6.3,5.84,5.96,5.57,9.8,487,2010,4.1,16
475,2019,NYJ,323,383,16,7,9,0,.438,276,359,-83,323,521,198,62.0,3111,19,16,3.6,3.1,80.6,52,332,9.08,6.0,5.43,5.32,4.84,9.6,383,1257,3.3,6
476,2017,NYJ,323,427,16,5,11,0,.313,298,382,-84,323,510,187,63.3,3182,19,12,3.7,2.4,86.1,47,319,8.44,6.2,5.71,5.93,5.43,9.9,427,1702,4.0,13
477,2014,CIN,323,492,16,10,5,1,.656,365,344,21,323,503,180,64.2,3421,20,17,4.0,3.4,84.2,23,130,4.37,6.8,6.50,6.08,5.81,10.6,492,2147,4.4,19
478,2012,NYG,323,409,16,9,7,0,.563,429,344,85,323,539,216,59.9,3825,26,15,4.8,2.8,87.2,20,142,3.58,7.1,6.84,6.81,6.57,11.8,409,1862,4.6,18
479,2006,PHI,323,416,16,10,6,0,.625,398,328,70,323,544,221,59.4,4119,31,9,5.7,1.7,96.7,28,190,4.90,7.6,7.20,7.97,7.58,12.8,416,1984,4.8,13
480,2005,MIN,323,381,16,9,7,0,.563,306,344,-38,323,510,187,63.3,3146,18,16,3.5,3.1,81.7,54,303,9.57,6.2,5.58,5.46,4.94,9.7,381,1467,3.9,10
481,2015,SFO,322,390,16,5,11,0,.313,238,387,-149,322,526,204,61.2,3316,16,12,3.0,2.3,82.6,53,330,9.15,6.3,5.73,5.89,5.35,10.3,390,1544,4.0,7
482,2014,MIN,322,413,16,7,9,0,.438,325,343,-18,322,517,195,62.3,3244,17,18,3.3,3.5,79.2,51,322,8.98,6.3,5.71,5.37,4.88,10.1,413,1804,4.4,12
483,2006,ARI,322,419,16,5,11,0,.313,314,389,-75,322,545,223,59.1,3662,17,17,3.1,3.1,78.7,35,262,6.03,6.7,6.31,5.94,5.58,11.4,419,1338,3.2,12
