Rk,Season,Team,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD
484,2001,CIN,322,441,16,6,10,0,.375,226,309,-83,322,602,280,53.5,3088,12,26,2.0,4.3,58.1,28,203,4.44,5.1,4.90,3.58,3.43,9.6,441,1712,3.9,11
485,2024,PIT,321,533,17,10,7,0,.588,380,347,33,321,499,178,64.3,3264,21,6,4.2,1.2,94.8,49,343,8.94,6.5,5.96,6.84,6.23,10.2,533,2166,4.1,14
486,2023,CHI,321,534,17,7,10,0,.412,360,379,-19,321,513,192,62.6,3096,19,15,3.7,2.9,82.2,50,325,8.88,6.0,5.50,5.46,4.98,9.6,534,2399,4.5,16
487,2020,NYG,321,399,16,6,10,0,.375,280,357,-77,321,517,196,62.1,3026,12,11,2.3,2.1,79.6,50,310,8.82,5.9,5.34,5.36,4.89,9.4,399,1768,4.4,13
488,2009,BAL,321,468,16,9,7,0,.563,391,261,130,321,510,189,62.9,3419,21,13,4.1,2.5,87.4,36,218,6.59,6.7,6.26,6.38,5.96,10.7,468,2200,4.7,22
489,2001,JAX,321,372,16,6,10,0,.375,294,286,8,321,534,213,60.1,3240,20,14,3.7,2.6,82.4,63,430,10.55,6.1,5.43,5.64,5.04,10.1,372,1600,4.3,11
490,2021,CLE,320,485,17,8,9,0,.471,349,371,-22,320,520,200,61.5,3320,21,14,4.0,2.7,84.6,49,299,8.61,6.4,5.83,5.98,5.47,10.4,485,2471,5.1,20
491,2017,LAR,320,454,16,11,5,0,.688,478,329,149,320,518,198,61.8,3831,28,7,5.4,1.4,98.3,28,192,5.13,7.4,7.02,7.87,7.47,12.0,454,1953,4.3,17
492,2014,ARI,320,397,16,11,5,0,.688,310,299,11,320,568,248,56.3,3808,21,12,3.7,2.1,81.8,28,182,4.70,6.7,6.39,6.49,6.19,11.9,397,1308,3.3,6
493,2014,KAN,320,420,16,9,7,0,.563,353,281,72,320,493,173,64.9,3182,18,6,3.7,1.2,92.2,49,246,9.04,6.5,5.87,6.64,6.04,9.9,420,1918,4.6,18
494,2011,CLE,320,415,16,4,12,0,.250,218,307,-89,320,570,250,56.1,3090,16,13,2.8,2.3,72.8,39,210,6.40,5.4,5.07,4.96,4.64,9.7,415,1531,3.7,4
495,2003,NWE,320,473,16,14,2,0,.875,348,238,110,320,537,217,59.6,3432,23,13,4.3,2.4,84.3,32,219,5.62,6.4,6.03,6.16,5.81,10.7,473,1607,3.4,9
496,2001,BAL,320,483,16,10,6,0,.625,303,265,38,320,557,237,57.5,3314,18,20,3.2,3.6,72.7,40,281,6.70,5.9,5.55,4.98,4.65,10.4,483,1810,3.7,11
497,2019,MIN,319,476,16,10,6,0,.625,407,303,104,319,466,147,68.5,3523,26,8,5.6,1.7,103.9,28,206,5.67,7.6,7.13,7.90,7.46,11.0,476,2133,4.5,19
498,2007,WAS,319,498,16,9,7,0,.563,334,310,24,319,525,206,60.8,3463,18,11,3.4,2.1,84.2,29,159,5.23,6.6,6.25,6.34,6.01,10.9,498,1871,3.8,15
499,2003,DET,319,376,16,5,11,0,.313,270,379,-109,319,588,269,54.3,2924,17,24,2.9,4.1,61.1,11,64,1.84,5.0,4.88,3.71,3.65,9.2,376,1338,3.6,5
500,2024,BAL,318,554,17,12,5,0,.706,518,361,157,318,477,159,66.7,4035,41,4,8.6,0.8,119.4,24,154,4.79,8.5,8.05,9.80,9.33,12.7,554,3189,5.8,21
501,2019,CLE,318,393,16,6,10,0,.375,335,393,-58,318,539,221,59.0,3554,22,21,4.1,3.9,78.4,41,293,7.07,6.6,6.13,5.66,5.26,11.2,393,1901,4.8,15
502,2012,TEN,318,378,16,6,10,0,.375,330,471,-141,318,540,222,58.9,3323,17,16,3.1,3.0,76.9,39,254,6.74,6.2,5.74,5.45,5.08,10.4,378,1687,4.5,10
503,2008,WAS,318,478,16,8,8,0,.500,265,296,-31,318,510,192,62.4,3025,14,6,2.7,1.2,85.2,38,266,6.93,5.9,5.52,5.95,5.54,9.5,478,2095,4.4,12
504,2007,MIA,318,389,16,1,15,0,.063,267,437,-170,318,558,240,57.0,3031,12,16,2.2,2.9,69.6,42,288,7.00,5.4,5.05,4.57,4.25,9.5,389,1569,4.0,14
505,2006,CLE,318,372,16,4,12,0,.250,238,356,-118,318,512,194,62.1,2898,15,25,2.9,4.9,69.7,54,349,9.54,5.7,5.12,4.05,3.66,9.1,372,1335,3.6,7
506,2002,PHI,318,489,16,12,4,0,.750,415,241,174,318,548,230,58.0,3384,27,11,4.9,2.0,85.9,36,222,6.16,6.2,5.79,6.26,5.87,10.6,489,2220,4.5,15
507,2001,SFO,318,509,16,12,4,0,.750,409,282,127,318,506,188,62.8,3445,32,12,6.3,2.4,95.0,26,114,4.89,6.8,6.48,7.01,6.66,10.8,509,2244,4.4,16
508,2020,DEN,317,442,16,5,11,0,.313,323,446,-123,317,556,239,57.0,3451,21,23,3.8,4.1,72.5,32,222,5.44,6.2,5.87,5.10,4.82,10.9,442,1918,4.3,13
509,2005,KAN,317,520,16,10,6,0,.625,403,325,78,317,507,190,62.5,3810,17,10,3.4,2.0,90.1,32,204,5.94,7.5,7.07,7.30,6.86,12.0,520,2382,4.6,26
510,2003,SEA,317,453,16,10,6,0,.625,404,327,77,317,521,204,60.8,3618,27,16,5.2,3.1,88.2,43,254,7.62,6.9,6.41,6.60,6.10,11.4,453,2009,4.4,17
511,2020,TEN,316,521,16,11,5,0,.688,491,439,52,316,485,169,65.2,3653,33,7,6.8,1.4,105.9,25,173,4.90,7.5,7.16,8.24,7.84,11.6,521,2690,5.2,26
512,2017,JAX,316,527,16,10,6,0,.625,417,268,149,316,527,211,60.0,3593,21,13,4.0,2.5,84.4,24,123,4.36,6.8,6.52,6.50,6.22,11.4,527,2262,4.3,18
513,2016,MIA,316,406,16,10,6,0,.625,363,380,-17,316,477,161,66.2,3500,27,15,5.7,3.1,95.5,30,216,5.92,7.3,6.90,7.05,6.64,11.1,406,1824,4.5,14
514,2009,DET,316,409,16,2,14,0,.125,262,494,-232,316,585,269,54.0,3168,16,32,2.7,5.5,58.1,43,303,6.85,5.4,5.04,3.50,3.26,10.0,409,1616,4.0,9
515,2007,TAM,316,449,16,9,7,0,.563,334,270,64,316,490,174,64.5,3357,18,8,3.7,1.6,91.7,36,222,6.84,6.9,6.38,6.85,6.38,10.6,449,1872,4.2,15
516,2005,OAK,316,361,16,4,12,0,.250,290,383,-93,316,591,275,53.5,3582,21,14,3.6,2.4,76.0,45,301,7.08,6.1,5.63,5.71,5.30,11.3,361,1369,3.8,11
517,2000,ARI,316,343,16,3,13,0,.188,210,443,-233,316,554,238,57.0,3250,16,24,2.9,4.3,67.4,35,228,5.94,5.9,5.52,4.49,4.23,10.3,343,1278,3.7,6
518,2020,CLE,315,495,16,11,5,0,.688,408,419,-11,315,501,186,62.9,3539,27,8,5.4,1.6,96.6,26,162,4.93,7.1,6.72,7.42,7.06,11.2,495,2374,4.8,21
519,2019,PIT,315,395,16,8,8,0,.500,289,303,-14,315,510,195,61.8,2981,18,19,3.5,3.7,76.1,32,233,5.90,5.8,5.50,4.87,4.59,9.5,395,1447,3.7,7
520,2011,OAK,315,466,16,8,8,0,.500,359,433,-74,315,524,209,60.1,3962,20,23,3.8,4.4,79.4,25,157,4.55,7.6,7.22,6.35,6.06,12.6,466,2110,4.5,16
521,2009,JAX,315,447,16,7,9,0,.438,290,380,-90,315,519,204,60.7,3356,15,10,2.9,1.9,83.2,44,243,7.82,6.5,5.96,6.18,5.69,10.7,447,2029,4.5,19
522,2003,TEN,315,486,16,12,4,0,.750,435,324,111,315,502,187,62.7,3878,30,9,6.0,1.8,100.3,25,153,4.74,7.7,7.36,8.11,7.73,12.3,486,1623,3.3,11
523,2001,CHI,315,475,16,13,3,0,.813,338,203,135,315,528,213,59.7,2952,20,16,3.8,3.0,76.0,17,120,3.12,5.6,5.42,4.98,4.83,9.4,475,1742,3.7,12
524,2011,BAL,314,459,16,12,4,0,.750,378,266,112,314,544,230,57.7,3423,21,12,3.9,2.2,81.7,33,206,5.72,6.3,5.93,6.07,5.72,10.9,459,1996,4.3,15
525,2003,NOR,314,448,16,8,8,0,.500,340,326,14,314,535,221,58.7,3438,25,8,4.7,1.5,88.7,36,203,6.30,6.4,6.02,6.69,6.27,10.9,448,2000,4.5,11
526,2001,CAR,314,354,16,1,15,0,.063,253,410,-157,314,579,265,54.2,2882,12,22,2.1,3.8,60.6,32,216,5.24,5.0,4.72,3.68,3.49,9.2,354,1372,3.9,9
527,2001,GNB,314,410,16,12,4,0,.750,390,266,124,314,510,196,61.6,3770,32,15,6.3,2.9,94.1,22,151,4.14,7.4,7.09,7.32,7.02,12.0,410,1693,4.1,11
528,2006,NYJ,313,491,16,10,6,0,.625,316,295,21,313,488,175,64.1,3153,17,16,3.5,3.3,82.1,34,199,6.51,6.5,6.04,5.68,5.31,10.1,491,1738,3.5,15
529,2003,CLE,313,412,16,5,11,0,.313,254,322,-68,313,509,196,61.5,2834,17,18,3.3,3.5,75.2,40,282,7.29,5.6,5.16,4.64,4.31,9.1,412,1670,4.1,8
530,2001,NOR,313,419,16,7,9,0,.438,333,409,-76,313,562,249,55.7,3514,27,22,4.8,3.9,76.7,50,330,8.17,6.3,5.74,5.45,5.01,11.2,419,1712,4.1,8
531,2019,DEN,312,409,16,7,9,0,.438,282,316,-34,312,504,192,61.9,3115,16,10,3.2,2.0,84.1,41,286,7.52,6.2,5.72,5.92,5.48,10.0,409,1662,4.1,11
532,2017,CLE,312,384,16,0,16,0,.000,234,410,-176,312,574,262,54.4,3228,15,28,2.6,4.9,61.4,50,309,8.01,5.6,5.17,3.95,3.63,10.3,384,1714,4.5,11
533,2016,LAR,312,375,16,4,12,0,.250,224,394,-170,312,536,224,58.2,2951,14,20,2.6,3.7,69.5,49,362,8.38,5.5,5.04,4.35,3.98,9.5,375,1252,3.3,9
534,2015,TAM,312,455,16,6,10,0,.375,342,417,-75,312,535,223,58.3,3852,22,15,4.1,2.8,84.2,27,190,4.80,7.2,6.85,6.76,6.44,12.3,455,2162,4.8,12
535,2011,CAR,312,445,16,6,10,0,.375,406,429,-23,312,519,207,60.1,3829,21,17,4.0,3.3,84.8,35,260,6.32,7.4,6.91,6.71,6.29,12.3,445,2408,5.4,26
536,2009,STL,312,411,16,1,15,0,.063,175,436,-261,312,543,231,57.5,2686,12,21,2.2,3.9,64.0,44,284,7.50,4.9,4.58,3.65,3.37,8.6,411,1784,4.3,4
537,2009,SFO,312,371,16,8,8,0,.500,330,281,49,312,528,216,59.1,3052,23,14,4.4,2.7,80.8,40,241,7.04,5.8,5.37,5.46,5.07,9.8,371,1600,4.3,12
538,2008,SDG,312,421,16,8,8,0,.500,439,347,92,312,478,166,65.3,3858,34,11,7.1,2.3,105.5,25,151,4.97,8.1,7.67,8.46,8.04,12.4,421,1726,4.1,13
539,2006,PIT,312,469,16,8,8,0,.500,353,315,38,312,523,211,59.7,3733,23,23,4.4,4.4,80.2,49,293,8.57,7.1,6.53,6.04,5.52,12.0,469,1992,4.2,16
540,2003,NYJ,312,409,16,6,10,0,.375,283,299,-16,312,496,184,62.9,3316,20,14,4.0,2.8,85.8,31,208,5.88,6.7,6.29,6.22,5.86,10.6,409,1635,4.0,8
541,2001,DEN,312,481,16,8,8,0,.500,340,339,1,312,511,199,61.1,2940,26,19,5.1,3.7,80.6,42,268,7.59,5.8,5.32,5.10,4.71,9.4,481,1877,3.9,7
542,2000,BUF,312,475,16,8,8,0,.500,315,350,-35,312,546,234,57.1,3576,20,10,3.7,1.8,84.3,59,360,9.75,6.5,5.91,6.46,5.83,11.5,475,1922,4.0,11
543,2018,WAS,311,414,16,7,9,0,.438,281,359,-78,311,509,198,61.1,3021,16,15,3.1,2.9,78.1,44,266,7.96,5.9,5.46,5.24,4.82,9.7,414,1774,4.3,12
544,2016,NYJ,311,418,16,5,11,0,.313,275,409,-134,311,550,239,56.5,3466,16,25,2.9,4.5,67.6,35,179,5.98,6.3,5.92,4.84,4.55,11.1,418,1802,4.3,10
545,2012,TAM,311,416,16,7,9,0,.438,389,394,-5,311,566,255,54.9,3983,27,17,4.8,3.0,81.8,26,161,4.39,7.0,6.73,6.64,6.35,12.8,416,1837,4.4,13
546,2004,CAR,311,422,16,7,9,0,.438,355,339,16,311,536,225,58.0,3643,29,15,5.4,2.8,87.0,33,246,5.80,6.8,6.40,6.62,6.24,11.7,422,1582,3.7,10
547,2000,NYG,311,507,16,12,4,0,.750,328,246,82,311,529,218,58.8,3367,22,13,4.2,2.5,83.1,28,243,5.03,6.4,6.04,6.09,5.78,10.8,507,2009,4.0,16
548,2000,SDG,311,351,16,1,15,0,.063,269,440,-171,311,578,267,53.8,3238,19,30,3.3,5.2,61.8,53,302,8.40,5.6,5.13,3.92,3.59,10.4,351,1062,3.0,7
549,2015,KAN,310,436,16,11,5,0,.688,405,287,118,310,473,163,65.5,3255,20,7,4.2,1.5,95.4,46,238,8.86,6.9,6.27,7.06,6.44,10.5,436,2044,4.7,19
550,2013,PHI,310,500,16,10,6,0,.625,442,382,60,310,508,198,61.0,4110,32,9,6.3,1.8,102.7,46,296,8.30,8.1,7.42,8.55,7.84,13.3,500,2566,5.1,19
551,2011,NYJ,310,443,16,8,8,0,.500,377,363,14,310,547,237,56.7,3297,26,18,4.8,3.3,78.4,40,245,6.81,6.0,5.62,5.50,5.12,10.6,443,1692,3.8,14
552,2008,KAN,310,379,16,2,14,0,.125,291,440,-149,310,541,231,57.3,3129,23,16,4.3,3.0,77.5,37,229,6.40,5.8,5.41,5.30,4.96,10.1,379,1810,4.8,9
553,2007,NYJ,310,446,16,4,12,0,.250,268,355,-87,310,512,202,60.5,3014,15,19,2.9,3.7,73.9,53,316,9.38,5.9,5.33,4.80,4.35,9.7,446,1701,3.8,6
554,2006,DAL,310,472,16,9,7,0,.563,425,350,75,310,506,196,61.3,3836,26,21,5.1,4.2,86.5,37,231,6.81,7.6,7.06,6.74,6.28,12.4,472,1936,4.1,21
555,2003,GNB,310,507,16,10,6,0,.625,442,307,135,310,473,163,65.5,3240,32,21,6.8,4.4,90.5,19,137,3.86,6.8,6.59,6.21,5.97,10.5,507,2558,5.0,18
556,2002,CHI,310,382,16,4,12,0,.250,281,379,-98,310,543,233,57.1,3051,22,18,4.1,3.3,74.8,44,265,7.50,5.6,5.20,4.94,4.57,9.8,382,1344,3.5,8
557,2017,DAL,309,480,16,9,7,0,.563,354,332,22,309,493,184,62.7,3141,22,13,4.5,2.6,86.3,32,185,6.10,6.4,5.98,6.08,5.71,10.2,480,2170,4.5,18
558,2012,BUF,309,442,16,6,10,0,.375,344,435,-91,309,511,202,60.5,3269,24,17,4.7,3.3,82.2,30,161,5.55,6.4,6.04,5.84,5.52,10.6,442,2217,5.0,12
559,2008,BUF,309,439,16,7,9,0,.438,336,342,-6,309,479,170,64.5,3040,14,15,2.9,3.1,81.3,38,262,7.35,6.3,5.88,5.52,5.12,9.8,439,1842,4.2,16
560,2008,SFO,309,397,16,7,9,0,.438,339,381,-42,309,509,200,60.7,3379,21,19,4.1,3.7,81.4,55,345,9.75,6.6,5.99,5.78,5.22,10.9,397,1599,4.0,10
561,2004,MIA,309,384,16,4,12,0,.250,275,354,-79,309,586,277,52.7,3065,19,26,3.2,4.4,62.5,52,326,8.15,5.2,4.80,3.88,3.57,9.9,384,1339,3.5,10
562,2004,NOR,309,406,16,8,8,0,.500,348,405,-57,309,542,233,57.0,3587,21,16,3.9,3.0,79.5,41,223,7.03,6.6,6.15,6.06,5.64,11.6,406,1606,4.0,15
563,2001,SDG,309,435,16,5,11,0,.313,332,321,11,309,548,239,56.4,3505,16,18,2.9,3.3,73.1,27,180,4.70,6.4,6.10,5.50,5.24,11.3,435,1695,3.9,13
564,2024,GNB,308,526,17,11,6,0,.647,460,338,122,308,479,171,64.3,3807,28,11,5.8,2.3,99.8,22,132,4.39,7.9,7.60,8.08,7.73,12.4,526,2496,4.7,23
565,2011,CIN,308,455,16,9,7,0,.563,344,323,21,308,535,227,57.6,3340,21,14,3.9,2.6,79.6,25,167,4.46,6.2,5.96,5.85,5.59,10.8,455,1778,3.9,10
566,2010,BAL,308,487,16,12,4,0,.750,357,270,87,308,491,183,62.7,3335,25,10,5.1,2.0,93.6,40,294,7.53,6.8,6.28,6.89,6.37,10.8,487,1831,3.8,11
567,2005,NOR,308,423,16,3,13,0,.188,235,398,-163,308,553,245,55.7,3343,15,24,2.7,4.3,66.6,41,261,6.90,6.0,5.63,4.63,4.31,10.9,423,1688,4.0,8
568,2004,DAL,308,449,16,6,10,0,.375,293,405,-112,308,519,211,59.3,3428,19,23,3.7,4.4,74.5,36,208,6.49,6.6,6.18,5.34,5.00,11.1,449,1769,3.9,14
569,2000,SEA,308,403,16,6,10,0,.375,320,405,-85,308,507,199,60.7,2960,21,21,4.1,4.1,75.5,46,238,8.32,5.8,5.35,4.80,4.40,9.6,403,1720,4.3,10
570,2021,PHI,307,550,17,9,8,0,.529,444,385,59,307,494,187,62.1,3404,20,10,4.0,2.0,89.2,31,181,5.90,6.9,6.48,6.79,6.39,11.1,550,2715,4.9,25
571,2019,IND,307,471,16,7,9,0,.438,361,373,-12,307,513,206,59.8,3108,22,10,4.3,1.9,85.0,32,206,5.87,6.1,5.70,6.04,5.68,10.1,471,2130,4.5,17
572,2016,TEN,307,476,16,9,7,0,.563,381,378,3,307,504,197,60.9,3541,29,11,5.8,2.2,93.7,28,179,5.26,7.0,6.66,7.19,6.82,11.5,476,2187,4.6,16
573,2011,ARI,307,389,16,8,8,0,.500,312,348,-36,307,550,243,55.8,3567,21,23,3.8,4.2,73.9,54,387,8.94,6.5,5.91,5.37,4.89,11.6,389,1625,4.2,12
574,2005,SEA,307,519,16,13,3,0,.813,452,271,181,307,474,167,64.8,3458,25,10,5.3,2.1,96.8,27,174,5.39,7.3,6.90,7.40,7.00,11.3,519,2457,4.7,29
575,2001,TEN,307,468,16,7,9,0,.438,336,388,-52,307,515,208,59.6,3558,23,17,4.5,3.3,84.2,43,309,7.71,6.9,6.38,6.32,5.83,11.6,468,1794,3.8,12
576,2000,MIN,307,428,16,11,5,0,.688,397,371,26,307,495,188,62.0,3832,33,18,6.7,3.6,94.7,35,187,6.60,7.7,7.23,7.44,6.95,12.5,428,2129,5.0,14
577,2017,TEN,306,443,16,9,7,0,.563,334,356,-22,306,496,190,61.7,3191,14,17,2.8,3.4,77.1,35,203,6.59,6.4,6.01,5.46,5.10,10.4,443,1833,4.1,18
578,2016,CAR,306,453,16,6,10,0,.375,369,402,-33,306,563,257,54.4,3685,21,19,3.7,3.4,75.1,36,277,6.01,6.5,6.15,5.77,5.43,12.0,453,1814,4.0,16
579,2010,TAM,306,431,16,10,6,0,.625,341,318,23,306,494,188,61.9,3361,26,6,5.3,1.2,96.2,30,203,5.73,6.8,6.41,7.31,6.89,11.0,431,2001,4.6,9
580,2003,PIT,306,446,16,6,10,0,.375,300,327,-27,306,532,226,57.5,3304,19,17,3.6,3.2,76.4,42,244,7.32,6.2,5.76,5.49,5.09,10.8,446,1488,3.3,10
581,2002,TEN,306,511,16,11,5,0,.688,367,324,43,306,500,194,61.2,3320,22,15,4.4,3.0,83.9,21,121,4.03,6.6,6.37,6.17,5.92,10.8,511,1952,3.8,16
582,2001,NWE,306,473,16,11,5,0,.688,371,272,99,306,482,176,63.5,3089,21,15,4.4,3.1,85.3,46,237,8.71,6.4,5.85,5.88,5.37,10.1,473,1793,3.8,15
583,2010,MIN,305,441,16,6,10,0,.375,281,348,-67,305,505,200,60.4,3097,14,26,2.8,5.1,67.7,36,230,6.65,6.1,5.72,4.37,4.08,10.2,441,1942,4.4,16
584,2007,CLE,305,440,16,10,6,0,.625,402,382,20,305,545,240,56.0,3726,29,20,5.3,3.7,80.7,19,140,3.37,6.8,6.61,6.25,6.04,12.2,440,1895,4.3,13
585,2004,JAX,305,446,16,9,7,0,.563,261,280,-19,305,513,208,59.5,3159,17,11,3.3,2.1,80.7,32,156,5.87,6.2,5.80,5.86,5.51,10.4,446,1850,4.1,9
586,2023,TEN,304,444,17,6,11,0,.353,305,367,-62,304,494,190,61.5,3067,14,11,2.8,2.2,83.2,64,445,11.47,6.2,5.50,5.77,5.11,10.1,444,1846,4.2,16
587,2017,CIN,304,377,16,7,9,0,.438,290,349,-59,304,510,206,59.6,3122,25,12,4.9,2.4,86.0,40,264,7.27,6.1,5.68,6.04,5.60,10.3,377,1366,3.6,6
588,2008,CHI,304,434,16,9,7,0,.563,375,350,25,304,528,224,57.6,3061,20,14,3.8,2.7,77.1,29,168,5.21,5.8,5.50,5.36,5.08,10.1,434,1673,3.9,15
589,2004,SEA,304,468,16,9,7,0,.563,371,373,-2,304,532,228,57.1,3539,23,18,4.3,3.4,79.1,34,176,6.01,6.7,6.25,5.99,5.63,11.6,468,2095,4.5,17
590,2001,ARI,304,400,16,7,9,0,.438,295,343,-48,304,526,222,57.8,3449,18,14,3.4,2.7,79.5,29,204,5.23,6.6,6.21,6.04,5.73,11.3,400,1449,3.6,10
591,2000,CHI,304,417,16,5,11,0,.313,216,355,-139,304,542,238,56.1,2805,12,16,2.2,3.0,67.0,34,200,5.90,5.2,4.87,4.29,4.04,9.2,417,1736,4.2,6
592,2024,PHI,303,621,17,14,3,0,.824,463,303,160,303,448,145,67.6,3194,24,6,5.4,1.3,103.4,45,323,9.13,7.1,6.48,7.60,6.90,10.5,621,3048,4.9,29
593,2008,CIN,303,420,16,4,11,1,.281,204,364,-160,303,513,210,59.1,2406,11,15,2.1,2.9,68.0,51,271,9.04,4.7,4.27,3.80,3.46,7.9,420,1520,3.6,6
594,2008,PIT,303,460,16,12,4,0,.750,347,223,124,303,506,203,59.9,3301,19,15,3.8,3.0,81.9,49,306,8.83,6.5,5.95,5.94,5.42,10.9,460,1690,3.7,16
595,2005,TAM,303,457,16,11,5,0,.688,300,274,26,303,487,184,62.2,2890,17,14,3.5,2.9,80.7,41,281,7.77,5.9,5.47,5.34,4.92,9.5,457,1826,4.0,13
596,2004,DEN,303,534,16,10,6,0,.625,381,304,77,303,521,218,58.2,3999,27,20,5.2,3.8,84.5,15,90,2.80,7.7,7.46,6.98,6.79,13.2,534,2333,4.4,13
597,2003,ARI,303,403,16,4,12,0,.250,225,452,-227,303,534,231,56.7,2959,18,22,3.4,4.1,68.9,44,306,7.61,5.5,5.12,4.36,4.03,9.8,403,1531,3.8,5
598,2003,JAX,303,481,16,5,11,0,.313,276,331,-55,303,515,212,58.8,3285,17,17,3.3,3.3,76.0,28,136,5.16,6.4,6.05,5.55,5.27,10.8,481,2073,4.3,13
599,2011,IND,302,382,16,2,14,0,.125,243,430,-187,302,534,232,56.6,2995,14,14,2.6,2.6,72.2,35,228,6.15,5.6,5.26,4.95,4.65,9.9,382,1594,4.2,8
600,2007,NYG,302,469,16,10,6,0,.625,373,351,22,302,544,242,55.5,3154,23,20,4.2,3.7,73.0,28,222,4.90,5.8,5.51,4.99,4.74,10.4,469,2148,4.6,15
601,2014,TAM,301,353,16,2,14,0,.125,277,410,-133,301,531,230,56.7,3297,21,20,4.0,3.8,75.2,52,326,8.92,6.2,5.66,5.31,4.83,11.0,353,1375,3.9,7
602,2013,STL,301,426,16,7,9,0,.438,348,364,-16,301,506,205,59.5,3125,22,11,4.3,2.2,84.8,36,235,6.64,6.2,5.77,6.07,5.66,10.4,426,1752,4.1,10
603,2006,NYG,301,455,16,8,8,0,.500,355,362,-7,301,523,222,57.6,3058,24,18,4.6,3.4,76.8,25,186,4.56,5.8,5.58,5.22,4.98,10.2,455,2156,4.7,14
604,2022,BAL,300,526,17,10,7,0,.588,350,315,35,300,488,188,61.5,3040,19,13,3.9,2.7,82.5,38,162,7.22,6.2,5.78,5.81,5.39,10.1,526,2720,5.2,14
605,2015,CAR,300,526,16,15,1,0,.938,500,308,192,300,501,201,59.9,3589,35,10,7.0,2.0,99.2,33,284,6.18,7.2,6.72,7.66,7.19,12.0,526,2282,4.3,19
606,2012,MIN,300,486,16,10,6,0,.625,379,348,31,300,483,183,62.1,2751,18,12,3.7,2.5,81.2,32,184,6.21,5.7,5.34,5.32,4.99,9.2,486,2634,5.4,16
607,2005,DAL,300,521,16,9,7,0,.563,325,308,17,300,500,200,60.0,3341,23,17,4.6,3.4,83.6,50,298,9.09,6.7,6.07,6.07,5.52,11.1,521,1861,3.6,13
608,2002,WAS,300,442,16,7,9,0,.438,307,365,-58,300,559,259,53.7,3254,24,20,4.3,3.6,72.5,38,269,6.37,5.8,5.45,5.07,4.75,10.8,442,1889,4.3,10
609,2001,KAN,300,448,16,6,10,0,.375,320,344,-24,300,528,228,56.8,3665,17,24,3.2,4.5,71.7,39,198,6.88,6.9,6.46,5.54,5.16,12.2,448,2008,4.5,16
610,2001,PHI,300,412,16,11,5,0,.688,343,208,135,300,522,222,57.5,3145,27,14,5.2,2.7,83.4,40,282,7.12,6.0,5.60,5.85,5.44,10.5,412,1778,4.3,6
611,2019,BUF,299,465,16,10,6,0,.625,314,259,55,299,513,214,58.3,3229,21,12,4.1,2.3,82.8,40,247,7.23,6.3,5.84,6.06,5.62,10.8,465,2054,4.4,13
612,2018,NYJ,299,410,16,4,12,0,.250,333,441,-108,299,524,225,57.1,3165,18,19,3.4,3.6,73.0,37,239,6.60,6.0,5.64,5.10,4.76,10.6,410,1622,4.0,11
613,2017,HOU,299,448,16,4,12,0,.250,338,436,-98,299,525,226,57.0,3278,28,17,5.3,3.2,82.7,54,366,9.33,6.2,5.66,5.85,5.31,11.0,448,1842,4.1,8
614,2014,TEN,299,356,16,2,14,0,.125,254,438,-184,299,513,214,58.3,3412,20,16,3.9,3.1,81.0,50,326,8.88,6.7,6.06,6.03,5.49,11.4,356,1447,4.1,6
615,2013,BUF,299,546,16,6,10,0,.375,339,388,-49,299,522,223,57.3,3103,16,15,3.1,2.9,75.0,48,270,8.42,5.9,5.44,5.26,4.82,10.4,546,2307,4.2,15
616,2011,KAN,299,487,16,7,9,0,.438,212,338,-126,299,500,201,59.8,3080,13,18,2.6,3.6,73.0,34,208,6.37,6.2,5.77,5.06,4.74,10.3,487,1893,3.9,5
617,2011,SEA,299,444,16,7,9,0,.438,321,315,6,299,509,210,58.7,3105,15,14,2.9,2.8,77.6,50,339,8.94,6.1,5.55,5.45,4.96,10.4,444,1756,4.0,15
618,2004,ARI,299,475,16,6,10,0,.375,284,322,-38,299,533,234,56.1,2882,14,18,2.6,3.4,68.5,39,320,6.82,5.4,5.04,4.41,4.11,9.6,475,1668,3.5,15
619,2003,SFO,299,499,16,7,9,0,.438,384,337,47,299,511,212,58.5,3408,25,15,4.9,2.9,84.0,28,158,5.19,6.7,6.32,6.33,6.00,11.4,499,2279,4.6,16
620,2019,WAS,298,356,16,3,13,0,.188,266,435,-169,298,479,181,62.2,2812,18,13,3.8,2.7,83.0,50,393,9.45,5.9,5.32,5.40,4.89,9.4,356,1583,4.4,9
621,2013,OAK,298,437,16,4,12,0,.250,322,453,-131,298,519,221,57.4,3340,17,20,3.3,3.9,73.9,44,289,7.82,6.4,5.93,5.36,4.94,11.2,437,2000,4.6,16
622,2010,PIT,298,471,16,12,4,0,.750,375,232,143,298,479,181,62.2,3601,22,9,4.6,1.9,95.2,43,289,8.24,7.5,6.90,7.59,6.97,12.1,471,1924,4.1,15
623,2008,NYG,298,502,16,12,4,0,.750,427,294,133,298,491,193,60.7,3177,23,10,4.7,2.0,88.2,28,176,5.39,6.5,6.12,6.49,6.14,10.7,502,2518,5.0,19
