Rk,Season,Team,Cmp,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Att,Yds,Y/A,TD
25,2012,DAL,434,320,441,16,8,8,0,.500,376,400,-24,434,658,224,66.0,4729,29,19,4.4,2.9,91.3,36,263,5.19,7.2,6.81,6.77,6.42,10.9,320,511,62.6,3684,22,34,211,7,94.7,441,2003,4.5,17
26,2022,ARI,433,414,446,17,4,13,0,.235,340,449,-109,433,664,231,65.2,3626,17,17,2.6,2.6,79.2,46,340,6.48,5.5,5.11,4.82,4.51,8.4,414,593,69.8,3915,29,36,266,11,98.2,446,2016,4.5,21
27,2018,IND,432,384,417,16,10,6,0,.625,433,344,89,432,644,212,67.1,4461,39,15,6.1,2.3,98.2,18,134,2.72,6.9,6.74,7.09,6.90,10.3,384,542,70.8,3805,21,38,228,15,93.5,417,1630,3.9,12
28,2021,LVR,429,400,462,17,10,7,0,.588,374,439,-65,429,628,199,68.3,4567,23,14,3.7,2.2,93.8,40,241,5.99,7.3,6.84,7.00,6.58,10.6,400,606,66.0,3789,29,35,207,6,96.4,462,1943,4.2,18
29,2023,DAL,428,308,459,17,12,5,0,.706,509,315,194,428,614,186,69.7,4397,36,10,5.9,1.6,104.6,40,263,6.12,7.2,6.72,7.60,7.14,10.3,308,509,60.5,3185,21,46,296,17,80.8,459,1910,4.2,14
30,2020,PIT,428,298,414,16,12,4,0,.750,416,312,104,428,656,228,65.2,4003,35,11,5.3,1.7,93.5,14,126,2.09,6.1,5.97,6.41,6.28,9.4,298,526,56.7,3110,22,56,384,18,76.7,414,1783,4.3,13
31,2018,ATL,428,398,409,16,7,9,0,.438,414,423,-9,428,617,189,69.4,4653,36,7,5.8,1.1,108.0,42,296,6.37,7.5,7.06,8.20,7.68,10.9,398,585,68.0,4153,33,37,255,15,98.3,409,1999,4.9,16
32,2015,BAL,426,350,418,16,5,11,0,.313,328,401,-73,426,676,250,63.0,4271,21,21,3.1,3.1,79.4,24,178,3.43,6.3,6.10,5.54,5.35,10.0,350,545,64.2,3737,30,37,220,6,99.6,418,1661,4.0,10
33,2021,PIT,425,355,498,17,9,7,1,.559,343,398,-55,425,664,239,64.0,3778,23,11,3.5,1.7,85.3,38,239,5.41,5.7,5.38,5.64,5.33,8.9,355,563,63.1,3656,24,55,321,13,88.7,498,2483,5.0,17
34,2018,MIN,425,315,440,16,8,7,1,.531,360,341,19,425,606,181,70.1,4036,30,10,5.0,1.7,99.7,40,262,6.19,6.7,6.25,6.91,6.48,9.5,315,503,62.6,3140,15,50,361,12,83.3,440,1815,4.1,13
35,2023,MIN,424,426,446,17,7,10,0,.412,344,362,-18,424,631,207,67.2,4359,30,19,4.8,3.0,92.4,47,341,6.93,6.9,6.43,6.50,6.05,10.3,426,606,70.3,3986,23,43,302,11,95.2,446,1678,3.8,14
36,2012,NOR,423,370,457,16,7,9,0,.438,461,454,7,423,671,248,63.0,4997,43,19,6.4,2.8,96.4,26,190,3.73,7.4,7.17,7.45,7.18,11.8,370,602,61.5,4681,31,30,194,15,93.8,457,2361,5.2,18
37,2011,DET,423,376,410,16,10,6,0,.625,474,387,87,423,666,243,63.5,4814,41,16,6.2,2.4,97.2,36,257,5.13,7.2,6.86,7.38,7.00,11.4,376,604,62.3,3831,26,41,271,21,82.1,410,2050,5.0,10
38,2018,PHI,422,417,332,16,9,7,0,.563,367,348,19,422,599,177,70.5,4275,29,11,4.8,1.8,100.7,40,249,6.26,7.1,6.69,7.28,6.82,10.1,417,626,66.6,4308,22,44,311,10,93.4,332,1551,4.7,14
39,2012,ATL,422,337,411,16,13,3,0,.813,419,299,120,422,615,193,68.6,4509,32,14,5.2,2.3,99.1,28,210,4.35,7.3,7.01,7.35,7.03,10.7,337,551,61.2,3878,14,29,182,20,77.1,411,1971,4.8,16
40,2023,KAN,421,340,432,17,11,6,0,.647,371,294,77,421,635,214,66.3,4188,28,17,4.4,2.7,89.6,28,195,4.22,6.6,6.32,6.27,6.01,9.9,340,556,61.2,3001,19,57,351,8,83.6,432,1925,4.5,10
41,2023,CIN,420,364,456,17,9,8,0,.529,366,384,-18,420,615,195,68.3,3895,27,14,4.4,2.3,93.0,50,362,7.52,6.3,5.86,6.19,5.72,9.3,364,555,65.6,4223,23,44,257,17,91.4,456,2145,4.7,17
42,2020,KAN,420,349,433,16,14,2,0,.875,473,362,111,420,630,210,66.7,4854,40,7,6.3,1.1,107.3,24,151,3.67,7.7,7.42,8.47,8.16,11.6,349,557,62.7,3779,29,32,189,16,89.4,433,1954,4.5,14
43,2015,DET,420,360,428,16,7,9,0,.438,358,400,-42,420,632,212,66.5,4212,33,14,5.2,2.2,95.1,44,251,6.51,6.7,6.23,6.71,6.28,10.0,360,528,68.2,3789,27,43,279,9,100.9,428,1808,4.2,18
44,2005,ARI,419,301,411,16,5,11,0,.313,311,387,-76,419,670,251,62.5,4437,21,21,3.1,3.1,81.0,45,286,6.29,6.6,6.21,5.84,5.47,10.6,301,488,61.7,3097,17,37,217,15,80.6,411,1632,4.0,22
45,2022,CIN,418,329,407,16,12,4,0,.750,418,322,96,418,610,192,68.5,4240,35,12,5.7,2.0,101.0,44,280,6.73,7.0,6.48,7.21,6.73,10.1,329,559,58.9,3665,17,30,163,13,80.1,407,1706,4.2,12
46,2019,NOR,418,371,345,16,13,3,0,.813,458,341,117,418,581,163,71.9,4244,36,6,6.2,1.0,110.2,25,187,4.13,7.3,7.00,8.08,7.75,10.2,371,603,61.5,3868,27,51,333,13,88.3,345,1461,4.2,12
47,2014,ATL,418,359,450,16,6,10,0,.375,381,417,-36,418,632,214,66.1,4553,28,15,4.4,2.4,93.4,31,205,4.68,7.2,6.87,7.02,6.69,10.9,359,566,63.4,4478,20,22,140,16,88.9,450,1894,4.2,21
48,2008,ARI,418,323,445,16,9,7,0,.563,427,426,1,418,630,212,66.3,4674,31,15,4.9,2.4,96.1,28,201,4.26,7.4,7.10,7.33,7.02,11.2,323,517,62.5,3540,36,31,191,13,96.9,445,1764,4.0,13
49,2002,OAK,418,346,384,16,11,5,0,.688,450,304,146,418,619,201,67.5,4475,26,10,4.2,1.6,97.2,36,214,5.50,7.2,6.83,7.34,6.94,10.7,346,570,60.7,3526,21,43,261,21,77.3,384,1453,3.8,14
50,2021,BUF,415,297,442,17,11,6,0,.647,483,289,194,415,655,240,63.4,4284,36,16,5.5,2.4,91.3,27,166,3.96,6.5,6.28,6.54,6.28,10.3,297,530,56.0,2771,12,42,276,19,65.3,442,1866,4.2,19
51,2021,ARI,415,367,426,17,11,6,0,.647,449,366,83,415,591,176,70.2,4276,27,11,4.6,1.9,100.6,39,343,6.19,7.2,6.79,7.31,6.86,10.3,367,561,65.4,3645,30,41,227,13,93.5,426,1952,4.6,10
52,2016,MIN,414,332,404,16,8,8,0,.500,327,307,20,414,588,174,70.4,3836,20,5,3.4,0.9,97.7,38,283,6.07,6.5,6.13,6.82,6.41,9.3,332,548,60.6,3327,22,41,310,14,83.0,404,1711,4.2,9
53,2024,MIA,413,365,405,17,8,9,0,.471,345,364,-19,413,591,178,69.9,3737,22,10,3.7,1.7,94.1,43,299,6.78,6.3,5.89,6.31,5.88,9.0,365,572,63.8,3582,22,35,247,10,88.7,405,1763,4.4,12
54,2024,SEA,413,371,451,17,10,7,0,.588,375,368,7,413,593,180,69.6,4020,21,16,3.5,2.7,91.5,54,359,8.35,6.8,6.21,6.27,5.75,9.7,371,569,65.2,3603,26,45,327,13,90.9,451,2053,4.6,11
55,2020,DAL,413,328,510,16,6,10,0,.375,395,473,-78,413,639,226,64.6,4161,25,13,3.9,2.0,89.9,44,350,6.44,6.5,6.09,6.38,5.97,10.1,328,513,63.9,3642,34,31,178,10,100.4,510,2541,5.0,20
56,2020,LAC,413,340,427,16,7,9,0,.438,384,426,-42,413,627,214,65.9,4329,31,10,4.9,1.6,97.0,34,219,5.14,6.9,6.55,7.18,6.81,10.5,340,543,62.6,3578,29,27,137,12,91.4,427,1917,4.5,17
57,2008,NOR,413,299,445,16,8,8,0,.500,463,393,70,413,636,223,64.9,4977,34,18,5.3,2.8,95.4,13,92,2.00,7.8,7.67,7.62,7.47,12.1,299,526,56.8,3547,21,28,161,15,80.3,445,1885,4.2,14
58,2023,JAX,412,404,421,17,9,8,0,.529,377,371,6,412,620,208,66.5,4126,22,14,3.5,2.3,89.3,41,251,6.20,6.7,6.24,6.35,5.95,10.0,404,617,65.5,4076,27,40,279,16,89.8,421,1752,4.2,15
59,2014,PIT,411,350,368,16,11,5,0,.688,436,368,68,411,612,201,67.2,4825,33,10,5.4,1.6,103.2,33,172,5.12,7.9,7.48,8.23,7.81,11.7,350,543,64.5,4049,30,33,194,11,98.3,368,1605,4.4,9
60,2024,LVR,410,370,454,17,4,13,0,.235,309,434,-125,410,635,225,64.6,3797,19,16,3.0,2.5,82.4,50,320,7.30,6.0,5.54,5.44,5.05,9.3,370,561,66.0,3676,29,38,313,10,96.5,454,1987,4.4,14
61,2020,BUF,410,369,414,16,13,3,0,.813,501,375,126,410,596,186,68.8,4620,40,11,6.7,1.8,107.6,27,166,4.33,7.8,7.42,8.26,7.91,11.3,369,573,64.4,3726,23,38,220,15,86.9,414,1914,4.6,21
62,2020,TAM,410,426,358,16,11,5,0,.688,492,355,137,410,626,216,65.5,4626,42,12,6.7,1.9,102.8,22,150,3.40,7.4,7.14,7.87,7.60,11.3,426,617,69.0,3945,29,48,366,15,94.3,358,1289,3.6,10
63,2015,ATL,410,370,416,16,8,8,0,.500,339,345,-6,410,621,211,66.0,4379,21,17,3.4,2.7,87.8,32,223,4.90,7.1,6.71,6.50,6.18,10.7,370,561,66.0,3882,19,19,117,15,86.9,416,1680,4.0,20
64,2014,IND,410,320,423,16,11,5,0,.688,458,369,89,410,661,251,62.0,4894,42,16,6.4,2.4,96.8,29,168,4.20,7.4,7.09,7.59,7.27,11.9,320,543,58.9,3669,27,41,263,12,88.7,423,1814,4.3,14
65,2023,LAC,409,389,467,17,5,12,0,.294,346,398,-52,409,632,223,64.7,3957,24,8,3.8,1.3,91.8,43,355,6.37,6.3,5.86,6.45,6.04,9.7,389,598,65.1,4246,26,48,334,9,96.4,467,1924,4.1,18
66,2024,TAM,408,418,389,17,10,7,0,.588,502,385,117,408,571,163,71.5,4257,41,16,7.2,2.8,106.8,40,248,6.55,7.5,6.97,7.63,7.13,10.4,418,630,66.3,4147,27,46,317,7,96.6,389,1663,4.3,13
67,2023,DET,408,371,408,17,12,5,0,.706,461,395,66,408,606,198,67.3,4401,30,12,5.0,2.0,98.1,31,205,4.87,7.3,6.91,7.36,7.00,10.8,371,588,63.1,4205,28,41,357,16,91.5,408,1509,3.7,15
68,2020,ATL,408,425,380,16,4,12,0,.250,396,414,-18,408,628,220,65.0,4363,27,11,4.3,1.8,93.9,41,257,6.13,6.9,6.52,7.02,6.59,10.7,425,625,68.0,4697,34,29,221,12,101.7,380,1677,4.4,15
69,2018,TAM,408,387,426,16,5,11,0,.313,396,464,-68,408,625,217,65.3,5125,36,26,5.8,4.2,94.1,41,233,6.16,8.2,7.70,7.48,7.02,12.6,387,534,72.5,4151,34,38,232,9,110.9,426,1983,4.7,19
70,2002,STL,408,292,445,16,7,9,0,.438,316,369,-53,408,635,227,64.3,4154,24,27,3.8,4.3,79.9,46,326,6.75,6.5,6.10,5.38,5.02,10.2,292,461,63.3,3209,15,38,240,12,86.0,445,1816,4.1,15
71,2023,WAS,407,396,480,17,4,13,0,.235,329,518,-189,407,636,229,64.0,3725,24,21,3.8,3.3,81.6,65,449,9.27,5.9,5.31,5.13,4.65,9.2,396,598,66.2,4457,39,39,170,8,105.7,480,2155,4.5,15
72,2016,WAS,407,387,423,16,8,7,1,.531,396,383,13,407,607,200,67.1,4758,25,12,4.1,2.0,97.4,23,190,3.65,7.8,7.55,7.77,7.49,11.7,387,589,65.7,4130,22,38,253,13,91.1,423,1916,4.5,19
73,2023,NOR,406,333,462,17,9,8,0,.529,402,327,75,406,606,200,67.0,3990,28,11,4.6,1.8,94.8,35,235,5.46,6.6,6.22,6.69,6.33,9.8,333,558,59.7,3524,22,34,244,18,79.7,462,2038,4.4,10
