Rk,Season,Team,Cmp,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Att,Yds,Y/A,TD
108,2009,ARI,392,346,402,16,10,6,0,.625,375,325,50,392,594,202,66.0,4016,27,18,4.5,3.0,89.1,26,184,4.19,6.8,6.48,6.31,6.04,10.2,346,593,58.3,3739,22,43,259,21,76.4,402,1804,4.5,13
109,2005,STL,392,314,459,16,6,10,0,.375,363,429,-66,392,599,207,65.4,4036,23,24,3.8,4.0,83.0,46,315,7.13,6.7,6.26,5.70,5.30,10.3,314,507,61.9,3424,26,41,195,13,89.8,459,2178,4.7,22
110,2002,IND,392,288,459,16,10,6,0,.625,349,313,36,392,591,199,66.3,4055,27,19,4.6,3.2,88.8,23,145,3.75,6.9,6.60,6.33,6.09,10.3,288,468,61.5,2917,19,36,243,10,86.1,459,1992,4.3,16
111,2019,PHI,391,348,353,16,9,7,0,.563,385,354,31,391,613,222,63.8,3833,27,8,4.4,1.3,92.1,37,230,5.69,6.3,5.90,6.55,6.17,9.8,348,571,60.9,3865,27,43,271,11,90.8,353,1442,4.1,13
112,2015,PIT,391,402,382,16,10,6,0,.625,423,319,104,391,590,199,66.3,4603,26,21,4.4,3.6,91.2,33,219,5.30,7.8,7.39,7.08,6.71,11.8,402,625,64.3,4350,29,48,311,17,90.9,382,1459,3.8,6
113,2009,NWE,390,300,398,16,10,6,0,.625,427,285,142,390,592,202,65.9,4436,28,13,4.7,2.2,95.6,18,104,2.95,7.5,7.27,7.45,7.23,11.4,300,512,58.6,3355,25,31,229,18,81.7,398,1768,4.4,6
114,2020,WAS,389,330,428,16,7,9,0,.438,335,329,6,389,601,212,64.7,3465,16,16,2.7,2.7,80.1,50,331,7.68,5.8,5.32,5.10,4.71,8.9,330,529,62.4,3068,21,47,325,16,81.4,428,1805,4.2,14
115,2017,NWE,389,367,390,16,13,3,0,.813,458,296,162,389,587,198,66.3,4418,32,8,5.5,1.4,102.6,35,201,5.63,7.5,7.10,8.00,7.55,11.4,367,590,62.2,4020,24,42,299,12,89.5,390,1836,4.7,6
116,2020,SEA,388,450,392,16,12,4,0,.750,459,371,88,388,563,175,68.9,3941,40,13,7.1,2.3,105.0,48,304,7.86,7.0,6.45,7.38,6.80,10.2,450,674,66.8,4560,23,46,251,14,90.2,392,1529,3.9,18
117,2019,DAL,388,370,407,16,8,8,0,.500,434,321,113,388,597,209,65.0,4751,30,11,5.0,1.8,99.5,23,151,3.71,8.0,7.66,8.13,7.83,12.2,370,569,65.0,3576,21,39,303,7,91.9,407,1656,4.1,14
118,2016,DET,388,399,389,16,9,7,0,.563,346,358,-12,388,594,206,65.3,4111,24,10,4.0,1.7,93.3,37,216,5.86,6.9,6.52,6.97,6.56,10.6,399,549,72.7,3975,33,26,161,10,106.5,389,1701,4.4,8
119,2020,ARI,387,365,436,16,8,8,0,.500,410,367,43,387,575,188,67.3,3916,27,13,4.7,2.3,94.1,29,186,4.80,6.8,6.48,6.73,6.41,10.1,365,570,64.0,3623,26,48,326,11,91.5,436,2008,4.6,13
120,2020,JAX,387,370,517,16,1,15,0,.063,306,492,-186,387,616,229,62.8,3699,25,16,4.1,2.6,83.9,44,256,6.67,6.0,5.60,5.65,5.27,9.6,370,533,69.4,4231,34,18,91,12,105.6,517,2452,4.7,23
121,2017,NOR,386,329,406,16,11,5,0,.688,448,326,122,386,536,150,72.0,4189,23,8,4.3,1.5,103.9,20,145,3.60,7.8,7.53,8.00,7.71,10.9,329,554,59.4,3597,22,42,287,20,79.0,406,1787,4.4,11
122,2015,WAS,386,354,406,16,9,7,0,.563,388,379,9,386,555,169,69.5,4095,30,11,5.4,2.0,102.0,27,199,4.64,7.4,7.04,7.57,7.22,10.6,354,566,62.5,4128,30,38,264,11,96.1,406,1962,4.8,10
123,2008,DEN,386,333,469,16,8,8,0,.500,370,448,-78,386,620,234,62.3,4471,25,18,4.0,2.9,85.9,12,74,1.90,7.2,7.07,6.71,6.58,11.6,333,495,67.3,3656,20,26,141,6,98.5,469,2337,5.0,26
124,2024,NYJ,385,327,504,17,5,12,0,.294,338,404,-66,385,607,222,63.4,3714,31,11,5.1,1.8,92.0,40,302,6.18,6.1,5.74,6.32,5.93,9.6,327,521,62.8,3275,18,43,313,7,89.0,504,2059,4.1,22
125,2023,BUF,385,363,409,17,11,6,0,.647,451,311,140,385,579,194,66.5,4154,29,18,5.0,3.1,92.2,24,152,3.98,7.2,6.89,6.78,6.51,10.8,363,552,65.8,3342,18,54,334,18,81.9,409,1880,4.6,14
126,2018,KAN,385,406,425,16,12,4,0,.750,565,421,144,385,583,198,66.0,4955,50,12,8.6,2.1,113.8,26,171,4.27,8.5,8.14,9.29,8.89,12.9,406,632,64.2,4374,30,52,347,15,92.7,425,2114,5.0,19
127,2021,CIN,384,420,407,17,10,7,0,.588,460,376,84,384,555,171,69.2,4403,36,14,6.5,2.5,106.9,55,403,9.02,7.9,7.22,8.10,7.37,11.5,420,626,67.1,4222,26,42,276,13,93.1,407,1742,4.3,15
128,2017,PIT,384,297,385,16,13,3,0,.813,406,308,98,384,590,206,65.1,4380,29,15,4.9,2.5,94.1,24,154,3.91,7.4,7.13,7.26,6.98,11.4,297,499,59.5,3217,20,56,393,16,81.8,385,1693,4.4,14
129,2014,PHI,384,345,473,16,10,6,0,.625,474,400,74,384,621,237,61.8,4356,27,21,4.3,3.4,84.8,32,225,4.90,7.0,6.67,6.36,6.05,11.3,345,591,58.4,4238,30,49,357,12,91.6,473,1771,3.7,14
130,2022,DET,383,353,477,17,9,8,0,.529,453,427,26,383,588,205,65.1,4281,29,7,4.9,1.2,99.3,24,163,3.92,7.3,7.00,7.73,7.43,11.2,353,560,63.0,4179,26,39,267,12,94.2,477,2491,5.2,22
131,2020,HOU,383,377,493,16,4,12,0,.250,384,464,-80,383,546,163,70.1,4538,33,7,6.0,1.3,112.3,50,305,8.39,8.3,7.61,8.94,8.19,11.8,377,541,69.7,4104,30,34,221,3,109.6,493,2564,5.2,24
132,2016,ARI,383,344,424,16,7,8,1,.469,418,362,56,383,646,263,59.3,4136,28,17,4.3,2.6,83.5,41,289,5.97,6.4,6.02,6.09,5.72,10.8,344,547,62.9,3365,21,48,374,14,85.1,424,1518,3.6,16
133,2014,NYG,383,324,438,16,6,10,0,.375,380,400,-20,383,607,224,63.1,4272,30,14,4.9,2.3,92.2,30,198,4.71,7.0,6.71,6.99,6.66,11.2,324,522,62.1,3850,25,47,313,17,89.4,438,2162,4.9,15
134,2010,DET,383,330,443,16,6,10,0,.375,362,369,-7,383,633,250,60.5,3810,26,16,4.1,2.5,82.0,27,191,4.09,6.0,5.77,5.70,5.47,9.9,330,518,63.7,3498,23,44,288,14,89.2,443,1999,4.5,18
135,2007,GNB,383,295,424,16,13,3,0,.813,435,291,144,383,578,195,66.3,4334,30,15,5.2,2.6,95.9,19,127,3.18,7.5,7.26,7.37,7.13,11.3,295,534,55.2,3366,23,36,218,19,75.6,424,1647,3.9,6
136,2005,GNB,383,252,504,16,4,12,0,.250,298,344,-46,383,626,243,61.2,3766,20,30,3.2,4.8,70.1,27,198,4.13,6.0,5.77,4.50,4.31,9.8,252,430,58.6,2680,22,35,196,10,86.2,504,2010,4.0,10
137,2019,CAR,382,347,445,16,5,11,0,.313,340,470,-130,382,633,251,60.3,3650,17,21,2.7,3.3,74.7,58,484,8.39,5.8,5.28,4.81,4.41,9.6,347,544,63.8,3696,21,53,301,14,88.0,445,2296,5.2,31
138,2019,TAM,382,408,362,16,7,9,0,.438,458,449,9,382,630,248,60.6,4845,33,30,5.2,4.8,84.1,47,282,6.94,7.7,7.16,6.60,6.14,12.7,408,664,61.4,4322,30,47,325,12,90.0,362,1181,3.3,11
139,2018,NYG,382,362,444,16,5,11,0,.313,369,412,-43,382,583,201,65.5,4047,23,12,3.9,2.1,92.7,47,358,7.46,6.9,6.42,6.80,6.30,10.6,362,560,64.6,4044,24,30,185,16,89.8,444,1898,4.3,18
140,2018,OAK,382,299,480,16,4,12,0,.250,290,467,-177,382,556,174,68.7,3751,19,10,3.4,1.8,93.6,52,306,8.55,6.7,6.17,6.62,6.05,9.8,299,480,62.3,3853,36,13,80,14,101.0,480,2249,4.7,16
141,2004,GNB,382,314,409,16,10,6,0,.625,424,380,44,382,598,216,63.9,4449,36,19,6.0,3.2,93.8,14,101,2.29,7.4,7.27,7.21,7.05,11.6,314,518,60.6,3663,33,40,280,8,99.1,409,1878,4.6,12
142,2018,NOR,381,384,356,16,13,3,0,.813,504,353,151,381,519,138,73.4,4042,33,7,6.4,1.3,112.3,20,132,3.71,7.8,7.50,8.45,8.14,10.6,384,573,67.0,4302,30,49,321,12,100.3,356,1283,3.6,12
143,2016,PIT,381,381,369,16,11,5,0,.688,399,327,72,381,596,215,63.9,4202,33,15,5.5,2.5,93.9,21,175,3.40,7.1,6.81,7.03,6.79,11.0,381,590,64.6,3882,20,38,259,13,87.3,369,1600,4.3,15
144,2003,IND,381,277,437,16,12,4,0,.750,447,336,111,381,569,188,67.0,4179,29,10,5.1,1.8,99.0,19,110,3.23,7.3,7.11,7.57,7.33,11.0,277,445,62.2,2809,18,31,225,15,81.8,437,1980,4.5,19
145,2016,PHI,380,333,391,16,7,9,0,.438,367,331,36,380,609,229,62.4,3585,16,14,2.6,2.3,79.2,33,213,5.14,5.9,5.58,5.38,5.10,9.4,333,553,60.2,3832,25,34,207,16,85.7,391,1652,4.2,10
146,2014,SDG,380,320,438,16,9,7,0,.563,348,348,0,380,574,194,66.2,4098,31,18,5.4,3.1,93.4,37,198,6.06,7.1,6.71,6.81,6.40,10.8,320,524,61.1,3427,24,26,178,7,91.3,438,1986,4.5,11
147,2013,NWE,380,336,481,16,12,4,0,.750,444,338,106,380,628,248,60.5,4087,25,11,4.0,1.8,87.3,40,256,5.99,6.5,6.12,6.52,6.13,10.8,336,589,57.0,3824,25,48,313,17,81.0,481,2145,4.5,11
148,2004,MIN,380,338,435,16,8,8,0,.500,405,395,10,380,552,172,68.8,4516,39,12,7.1,2.2,109.8,46,238,7.69,8.2,7.55,8.62,7.95,11.9,338,544,62.1,3896,30,39,234,11,95.5,435,2006,4.6,15
149,2000,STL,380,323,383,16,10,6,0,.625,540,471,69,380,587,207,64.7,5232,37,23,6.3,3.9,99.7,44,260,6.97,8.9,8.29,8.41,7.82,13.8,323,534,60.5,3797,32,51,288,19,89.5,383,1697,4.4,18
150,2024,DEN,379,393,424,17,10,7,0,.588,425,311,114,379,570,191,66.5,3610,30,12,5.3,2.1,94.1,24,198,4.04,6.3,6.08,6.44,6.18,9.5,393,606,64.9,3752,22,63,360,15,86.2,424,1639,3.9,10
151,2016,OAK,379,328,421,16,12,4,0,.750,416,385,31,379,596,217,63.6,4051,29,7,4.9,1.2,95.3,18,86,2.93,6.8,6.60,7.24,7.03,10.7,328,541,60.6,4120,27,25,147,16,89.8,421,1881,4.5,18
152,2013,CLE,379,363,462,16,4,12,0,.250,308,406,-98,379,681,302,55.7,4040,26,20,3.8,2.9,75.7,49,332,6.71,5.9,5.53,5.37,5.01,10.7,363,605,60.0,3538,29,40,185,14,84.1,462,1781,3.9,13
153,2010,DAL,379,348,402,16,6,10,0,.375,394,436,-42,379,576,197,65.8,4042,29,19,5.0,3.3,90.4,31,166,5.11,7.0,6.66,6.54,6.21,10.7,348,540,64.4,3894,33,35,257,20,92.8,402,1734,4.3,11
154,2001,STL,379,314,366,16,14,2,0,.875,503,273,230,379,551,172,68.8,4663,37,22,6.7,4.0,102.2,40,240,6.77,8.5,7.89,8.01,7.47,12.3,314,541,58.0,3097,16,45,251,21,69.9,366,1374,3.8,11
155,2019,KAN,378,352,416,16,12,4,0,.750,451,308,143,378,576,198,65.6,4498,30,5,5.2,0.9,104.4,25,192,4.16,7.8,7.48,8.46,8.11,11.9,352,582,60.5,3543,21,45,338,16,80.8,416,2051,4.9,14
156,2019,NWE,378,303,365,16,12,4,0,.750,420,225,195,378,620,242,61.0,3961,25,9,4.0,1.5,88.2,28,192,4.32,6.4,6.11,6.54,6.26,10.5,303,536,56.5,2886,13,47,328,25,62.8,365,1528,4.2,7
157,2018,CAR,378,353,384,16,7,9,0,.438,376,382,-6,378,563,185,67.1,3836,28,16,5.0,2.8,92.9,32,235,5.38,6.8,6.45,6.53,6.18,10.1,353,529,66.7,3847,32,35,215,13,99.6,384,1804,4.7,13
158,2018,NWE,378,370,367,16,11,5,0,.688,436,325,111,378,574,196,65.9,4258,29,11,5.1,1.9,97.8,21,147,3.53,7.4,7.16,7.57,7.30,11.3,370,605,61.2,3943,29,30,238,18,85.4,367,1803,4.9,7
159,2017,TAM,378,371,440,16,5,11,0,.313,335,382,-47,378,605,227,62.5,4366,26,14,4.3,2.3,90.6,40,241,6.20,7.2,6.77,7.03,6.60,11.6,371,549,67.6,4169,22,22,137,13,94.6,440,1880,4.3,17
160,2013,SDG,378,364,376,16,9,7,0,.563,396,348,48,378,544,166,69.5,4328,32,11,5.9,2.0,105.5,30,150,5.23,8.0,7.54,8.22,7.79,11.4,364,548,66.4,4139,23,35,248,11,96.4,376,1725,4.6,14
161,2009,NOR,378,330,435,16,13,3,0,.813,510,341,169,378,544,166,69.5,4355,34,12,6.3,2.2,106.0,20,135,3.55,8.0,7.72,8.26,7.97,11.5,330,574,57.5,3769,15,35,192,26,68.6,435,1955,4.5,19
162,2021,ATL,377,391,519,17,7,10,0,.412,313,459,-146,377,573,196,65.8,3713,20,15,3.5,2.6,86.6,40,274,6.53,6.5,6.06,6.00,5.61,9.8,391,577,67.8,3952,31,18,152,12,97.4,519,2242,4.3,19
163,2016,NYG,377,369,397,16,11,5,0,.688,310,284,26,377,598,221,63.0,3879,26,16,4.3,2.7,86.0,22,148,3.55,6.5,6.26,6.15,5.93,10.3,369,630,58.6,4018,15,35,242,17,75.8,397,1417,3.6,10
164,2013,PIT,377,329,433,16,8,8,0,.500,379,370,9,377,586,209,64.3,4017,28,14,4.8,2.4,92.3,43,289,6.84,6.9,6.39,6.74,6.28,10.7,329,569,57.8,3546,21,34,205,10,82.7,433,1849,4.3,18
165,2009,MIN,377,341,357,16,12,4,0,.750,470,312,158,377,553,176,68.2,4156,34,7,6.1,1.3,107.3,34,247,5.79,7.5,7.08,8.18,7.70,11.0,341,535,63.7,3494,26,48,318,11,92.5,357,1394,3.9,5
166,2003,STL,377,296,412,16,12,4,0,.750,447,328,119,377,600,223,62.8,3961,23,23,3.8,3.8,81.0,43,326,6.69,6.6,6.16,5.64,5.27,10.5,296,510,58.0,3072,23,42,291,24,73.3,412,1980,4.8,9
167,2002,BUF,377,281,473,16,8,8,0,.500,379,397,-18,377,612,235,61.6,3995,24,15,3.9,2.5,86.0,54,369,8.11,6.5,6.00,6.21,5.71,10.6,281,495,56.8,3067,24,31,212,10,84.7,473,2122,4.5,20
168,2019,NYG,376,369,469,16,4,12,0,.250,341,451,-110,376,607,231,61.9,3731,30,17,4.9,2.8,86.4,43,339,6.62,6.1,5.74,5.87,5.49,9.9,369,556,66.4,4225,30,36,246,10,101.4,469,1812,3.9,19
169,2012,OAK,376,347,444,16,4,12,0,.250,290,443,-153,376,629,253,59.8,4084,24,16,3.8,2.5,82.4,27,208,4.12,6.5,6.23,6.11,5.86,10.9,347,526,66.0,3775,28,25,185,11,97.5,444,1897,4.3,18
170,2011,DAL,376,336,385,16,8,8,0,.500,369,347,22,376,570,194,66.0,4201,33,12,5.8,2.1,100.1,39,252,6.40,7.4,6.90,7.58,7.10,11.2,336,545,61.7,3906,24,42,243,15,88.4,385,1585,4.1,10
171,2011,GNB,376,390,383,16,15,1,0,.938,560,359,201,376,552,176,68.1,4924,51,8,9.2,1.4,122.6,41,237,6.91,8.9,8.30,10.12,9.42,13.1,390,637,61.2,4796,29,29,192,31,80.6,383,1789,4.7,10
172,2018,DET,375,323,403,16,6,10,0,.375,324,360,-36,375,574,199,65.3,3576,22,12,3.8,2.1,88.5,41,268,6.67,6.2,5.81,6.06,5.65,9.5,323,496,65.1,3599,29,43,298,7,102.7,403,1761,4.4,11
173,2013,DAL,375,403,437,16,8,8,0,.500,439,432,7,375,586,211,64.0,3954,33,12,5.6,2.0,95.7,35,272,5.64,6.7,6.37,6.95,6.56,10.5,403,623,64.7,4589,33,34,246,15,96.0,437,2056,4.7,17
174,2024,ARI,374,370,465,17,8,9,0,.471,400,379,21,374,543,169,68.9,3639,21,11,3.9,2.0,93.5,30,220,5.24,6.7,6.35,6.56,6.22,9.7,370,539,68.6,3674,20,41,256,9,95.1,465,2149,4.6,18
175,2023,GNB,374,342,493,17,9,8,0,.529,383,350,33,374,581,207,64.4,3968,32,11,5.5,1.9,96.4,30,242,4.91,6.8,6.49,7.08,6.73,10.6,342,523,65.4,3515,21,45,288,7,94.7,493,2181,4.4,15
176,2020,DET,374,383,487,16,5,11,0,.313,377,519,-142,374,582,208,64.3,4104,27,13,4.6,2.2,93.3,42,293,6.73,7.1,6.58,6.97,6.50,11.0,383,557,68.8,4558,38,24,195,7,112.4,487,2158,4.4,27
177,2017,DET,374,366,432,16,9,7,0,.563,410,376,34,374,570,196,65.6,4183,29,11,5.1,1.9,98.4,47,287,7.62,7.3,6.78,7.49,6.92,11.2,366,570,64.2,3892,21,35,228,19,84.1,432,1800,4.2,18
178,2016,ATL,374,422,370,16,11,5,0,.688,540,406,134,374,537,163,69.6,4725,38,7,7.1,1.3,116.8,37,235,6.45,8.8,8.23,9.63,9.01,12.6,422,655,64.4,4267,31,34,228,12,92.5,370,1672,4.5,15
179,2012,GNB,374,313,418,16,11,5,0,.688,433,336,97,374,558,184,67.0,4049,40,8,7.2,1.4,108.3,51,293,8.37,7.3,6.65,8.04,7.37,10.8,313,568,55.1,3492,24,47,309,18,76.8,418,1896,4.5,12
180,2002,NWE,374,314,467,16,9,7,0,.563,381,346,35,374,605,231,61.8,3577,28,14,4.6,2.3,85.3,31,190,4.87,5.9,5.62,5.80,5.51,9.6,314,531,59.1,3179,23,34,199,18,78.2,467,2198,4.7,17
181,2020,CAR,373,398,408,16,5,11,0,.313,350,402,-52,373,550,177,67.8,3888,16,16,2.9,2.9,87.5,36,241,6.14,7.1,6.63,6.34,5.95,10.4,398,585,68.0,3825,28,29,199,7,98.4,408,1936,4.7,17
182,2017,MIA,373,339,431,16,6,10,0,.375,281,393,-112,373,602,229,62.0,3535,24,21,4.0,3.5,78.7,33,257,5.20,5.9,5.57,5.10,4.83,9.5,339,528,64.2,3603,26,30,185,9,94.8,431,1768,4.1,14
183,2017,NYG,373,347,464,16,3,13,0,.188,246,388,-142,373,608,235,61.3,3479,20,14,3.3,2.3,79.8,34,201,5.30,5.7,5.42,5.34,5.06,9.3,347,561,61.9,4038,32,27,161,13,94.2,464,1933,4.2,10
184,2015,OAK,373,404,406,16,7,9,0,.438,359,399,-40,373,605,232,61.7,3879,34,14,5.6,2.3,91.0,33,250,5.17,6.4,6.08,6.49,6.16,10.4,404,641,63.0,4140,25,38,211,14,86.8,406,1678,4.1,12
185,2013,CHI,373,315,483,16,8,8,0,.500,445,478,-33,373,579,206,64.4,4281,32,13,5.5,2.2,96.9,30,169,4.93,7.4,7.03,7.49,7.12,11.5,315,507,62.1,3730,25,31,189,19,86.9,483,2583,5.3,22
186,2007,CIN,373,353,449,16,7,9,0,.438,380,385,-5,373,575,202,64.9,4012,26,20,4.5,3.5,86.7,17,119,2.87,7.0,6.78,6.32,6.14,10.8,353,540,65.4,3687,29,22,128,19,89.2,449,1893,4.2,11
187,2023,HOU,372,382,468,17,10,7,0,.588,377,353,24,372,592,220,62.8,4173,27,8,4.6,1.4,96.2,47,405,7.36,7.0,6.53,7.35,6.81,11.2,382,565,67.6,3979,17,46,355,14,90.1,468,1643,3.5,19
188,2020,CIN,372,340,463,16,4,11,1,.281,311,424,-113,372,581,209,64.0,3448,19,11,3.3,1.9,85.7,48,345,7.63,5.9,5.48,5.74,5.30,9.3,340,541,62.8,3859,32,17,83,11,96.1,463,2368,5.1,13
189,2020,GNB,372,346,397,16,13,3,0,.813,509,369,140,372,526,154,70.7,4106,48,5,9.1,1.0,121.5,21,193,3.84,7.8,7.51,9.20,8.85,11.0,346,536,64.6,3539,23,41,254,11,91.1,397,1805,4.5,16
190,2009,SEA,372,374,428,16,5,11,0,.313,280,390,-110,372,609,237,61.1,3503,20,19,3.3,3.1,76.7,41,268,6.31,5.8,5.39,5.00,4.69,9.4,374,568,65.8,3927,27,28,185,13,93.4,428,1776,4.1,17
191,2006,DET,372,339,492,16,3,13,0,.188,305,398,-93,372,596,224,62.4,3820,21,22,3.5,3.7,79.9,63,388,9.56,6.4,5.80,5.45,4.93,10.3,339,511,66.3,3520,22,30,201,12,92.3,492,2010,4.1,18
192,2006,NOR,372,267,418,16,10,6,0,.625,413,322,91,372,580,208,64.1,4503,27,13,4.7,2.2,94.9,23,123,3.81,7.8,7.47,7.69,7.39,12.1,267,474,56.3,2854,26,38,268,11,85.1,418,2063,4.9,10
193,2004,STL,372,292,480,16,8,8,0,.500,319,392,-73,372,580,208,64.1,4253,23,22,4.0,3.8,86.1,50,362,7.94,7.3,6.75,6.42,5.91,11.4,292,492,59.3,3174,24,34,241,6,91.6,480,2179,4.5,13
194,2023,SEA,371,390,515,17,9,8,0,.529,364,402,-38,371,575,204,64.5,3910,23,12,4.0,2.1,90.7,38,257,6.20,6.8,6.38,6.66,6.25,10.5,390,585,66.7,3961,21,47,298,11,92.1,515,2352,4.6,24
195,2020,IND,371,369,390,16,11,5,0,.688,451,362,89,371,552,181,67.2,4053,24,11,4.3,2.0,95.9,21,133,3.66,7.3,7.07,7.32,7.05,10.9,369,562,65.7,3866,24,40,261,15,90.5,390,1448,3.7,16
196,2020,SFO,371,341,430,16,6,10,0,.375,376,390,-14,371,570,199,65.1,4033,25,17,4.4,3.0,90.1,39,287,6.40,7.1,6.62,6.61,6.19,10.9,341,537,63.5,3327,25,30,199,12,88.6,430,1703,4.0,12
197,2019,CHI,371,362,414,16,8,8,0,.500,280,298,-18,371,580,209,64.0,3291,20,12,3.4,2.1,83.9,45,282,7.20,5.7,5.27,5.43,5.04,8.9,362,571,63.4,3554,17,32,242,10,85.2,414,1632,3.9,16
198,2019,MIA,371,344,485,16,5,11,0,.313,306,494,-188,371,615,244,60.3,3804,22,18,3.6,2.9,80.0,58,313,8.62,6.2,5.65,5.58,5.10,10.3,344,545,63.1,4198,39,23,155,13,101.9,485,2166,4.5,15
199,2015,CLE,371,322,458,16,3,13,0,.188,278,432,-154,371,609,238,60.9,3782,20,12,3.3,2.0,84.0,53,374,8.01,6.2,5.71,5.98,5.50,10.2,322,511,63.0,4012,34,29,157,11,101.8,458,2055,4.5,11
200,2013,DET,371,338,377,16,7,9,0,.438,395,376,19,371,634,263,58.5,4482,29,19,4.6,3.0,84.2,23,168,3.50,7.1,6.82,6.64,6.40,12.1,338,572,59.1,3950,24,33,249,15,85.0,377,1596,4.2,10
201,2013,HOU,371,287,454,16,2,14,0,.125,276,428,-152,371,633,262,58.6,3813,19,22,3.0,3.5,74.0,42,370,6.22,6.0,5.65,5.06,4.75,10.3,287,484,59.3,3123,29,32,187,7,93.9,454,1958,4.3,11
202,2007,SEA,371,333,422,16,10,6,0,.625,393,291,102,371,590,219,62.9,3964,30,13,5.1,2.2,91.8,36,217,5.75,6.7,6.33,6.74,6.36,10.7,333,568,58.6,3505,15,45,303,20,73.0,422,1644,3.9,16
203,2006,STL,371,266,477,16,8,8,0,.500,367,381,-14,371,592,221,62.7,3962,24,8,4.1,1.4,92.7,49,366,7.64,6.7,6.18,6.90,6.37,10.7,266,451,59.0,3035,21,34,214,17,81.1,477,2327,4.9,21
204,2020,MIA,370,343,412,16,10,6,0,.625,404,338,66,370,559,189,66.2,3736,24,13,4.3,2.3,91.2,34,201,5.73,6.7,6.30,6.50,6.12,10.1,343,545,62.9,4024,21,41,349,18,87.0,412,1862,4.5,17
205,2020,NOR,370,333,390,16,12,4,0,.750,482,337,145,370,522,152,70.9,3758,28,8,5.4,1.5,104.1,29,187,5.26,7.2,6.82,7.58,7.18,10.2,333,557,59.8,3472,28,45,287,18,83.3,390,1502,3.9,11
206,2016,IND,370,378,409,16,8,8,0,.500,411,392,19,370,584,214,63.4,4202,32,15,5.5,2.6,94.5,44,289,7.01,7.2,6.69,7.14,6.64,11.4,378,582,64.9,4200,27,33,211,8,97.5,409,1926,4.7,12
207,2004,KAN,370,312,397,16,7,9,0,.438,483,435,48,370,561,191,66.0,4406,27,17,4.8,3.0,94.9,32,227,5.40,7.9,7.43,7.45,7.05,11.9,312,522,59.8,4203,32,41,250,13,97.5,397,1834,4.6,18
208,2023,PHI,369,425,410,17,11,6,0,.647,433,428,5,369,563,194,65.5,3834,24,16,4.3,2.8,89.2,39,233,6.48,6.8,6.37,6.38,5.97,10.4,425,652,65.2,4296,35,43,255,9,97.6,410,1758,4.3,13
209,2020,LVR,369,370,438,16,8,8,0,.500,434,478,-44,369,551,182,67.0,4217,28,10,5.1,1.8,100.4,28,166,4.84,7.7,7.28,7.85,7.47,11.4,370,580,63.8,4212,28,21,129,10,95.3,438,2013,4.6,24
210,2016,JAX,369,345,446,16,3,13,0,.188,318,400,-82,369,626,257,58.9,3728,24,16,3.8,2.6,79.5,34,197,5.15,6.0,5.65,5.57,5.28,10.1,345,551,62.6,3444,20,33,183,7,88.5,446,1703,3.8,17
211,2003,TAM,369,274,451,16,7,9,0,.438,301,264,37,369,592,223,62.3,3805,27,22,4.6,3.7,81.5,23,136,3.74,6.4,6.19,5.67,5.46,10.3,274,475,57.7,2710,16,36,234,20,69.7,451,1756,3.9,6
212,2022,MIA,368,416,422,17,9,8,0,.529,397,399,-2,368,584,216,63.0,4511,30,15,5.1,2.6,95.0,35,254,5.65,7.7,7.29,7.60,7.17,12.3,416,624,66.7,3992,27,40,290,8,95.3,422,1751,4.1,15
213,2018,LAR,368,347,386,16,13,3,0,.813,527,384,143,368,568,200,64.8,4507,32,12,5.6,2.1,100.7,33,223,5.49,7.9,7.50,8.11,7.67,12.2,347,533,65.1,3780,31,41,326,18,93.7,386,1957,5.1,12
214,2016,NWE,368,368,368,16,14,2,0,.875,441,250,191,368,550,182,66.9,4308,32,2,5.8,0.4,109.5,24,148,4.18,7.8,7.51,8.83,8.46,11.7,368,596,61.7,3806,21,34,227,13,84.4,368,1417,3.9,6
215,2016,SEA,368,331,441,16,10,5,1,.656,354,292,62,368,567,199,64.9,4124,23,12,4.1,2.1,93.4,42,298,6.90,7.3,6.77,7.13,6.64,11.2,331,537,61.6,3612,16,42,272,11,85.0,441,1487,3.4,16
216,2015,DEN,368,344,408,16,12,4,0,.750,355,296,59,368,606,238,60.7,3970,19,23,3.1,3.8,76.3,39,246,6.05,6.6,6.16,5.47,5.14,10.8,344,573,60.0,3193,19,52,351,14,78.8,408,1337,3.3,10
217,2007,DET,368,422,448,16,7,9,0,.438,346,444,-98,368,587,219,62.7,3878,19,22,3.2,3.7,79.4,54,338,8.42,6.6,6.05,5.57,5.10,10.5,422,602,70.1,4131,32,37,256,17,96.8,448,1911,4.3,19
218,2024,LAR,367,354,477,17,10,7,0,.588,367,386,-19,367,559,192,65.7,3868,22,9,3.9,1.6,93.7,31,228,5.25,6.9,6.56,6.98,6.62,10.5,354,542,65.3,3793,29,38,308,13,95.9,477,2210,4.6,13
219,2019,OAK,367,337,405,16,7,9,0,.438,313,419,-106,367,523,156,70.2,3926,22,8,4.2,1.5,101.0,29,184,5.25,7.5,7.11,7.66,7.26,10.7,337,526,64.1,4107,33,32,248,9,103.8,405,1570,3.9,15
