Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank▲,OvRank
401,Austin Walter,NYJ,RB,25,4,0,0,0,0,0,0,26,101,3.88,1,3,2,9,4.5,0,0,0,1,,,17,19,22,18,,105,
402,James Washington,PIT,WR,25,15,2,0,0,0,0,0,2,13,6.5,0,44,24,285,11.88,2,0,0,2,,,42,65.8,68.8,53.8,,105,
403,Luke Stocker,MIN,TE,33,12,0,0,0,0,0,0,0,0,,0,2,2,12,6,0,0,0,0,,,1,3.2,3.2,2.2,,106,
404,Jonathan Williams,WAS,RB,27,5,0,0,0,0,0,0,17,79,4.65,1,6,4,28,7,0,0,0,1,,,17,20.7,20.7,18.7,,106,
405,Sterling Shepard,NYG,WR,28,7,6,0,0,0,0,0,1,-9,-9,0,53,36,366,10.17,1,0,0,1,,,42,77.7,80.7,59.7,,106,
406,Richard Rodgers,PHI,TE,29,3,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,107,
407,C.J. Ham,MIN,RB,28,17,8,0,0,0,0,0,7,34,4.86,0,18,17,125,7.35,0,0,0,0,,,16,32.9,35.9,24.4,,107,
408,Calvin Ridley,ATL,WR,27,5,5,0,0,0,0,0,0,0,,0,52,31,281,9.06,2,0,0,2,,,40,71.1,74.1,55.6,,107,
409,Demetrius Harris,ARI,TE,30,14,4,0,0,0,0,0,0,0,,0,6,3,10,3.33,0,0,0,0,,,1,4,4,2.5,,108,
410,Qadree Ollison,ATL,RB,25,8,0,0,0,0,0,0,21,105,5,1,6,4,12,3,0,1,1,1,,,16,19.7,23.7,17.7,,108,
411,Damiere Byrd,CHI,WR,28,17,4,0,0,0,0,0,0,0,,0,38,26,329,12.65,1,1,1,1,1,,39,64.9,68.9,51.9,,108,
412,Brycen Hopkins,LAR,TE,24,5,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,109,
413,Patrick Taylor,GNB,RB,23,9,0,0,0,0,0,0,23,89,3.87,1,2,2,3,1.5,0,0,0,1,,,15,17.2,17.2,16.2,,109,
414,Antoine Wesley,ARI,WR,24,15,4,0,0,0,0,0,0,0,,0,32,19,208,10.95,3,0,0,3,,,39,57.8,60.8,48.3,,109,
415,Johnny Mundt,LAR,TE,27,6,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,110,
416,Alec Ingold,LVR,RB,25,9,3,0,0,0,0,0,2,1,0.5,0,12,10,85,8.5,1,0,0,1,,,15,24.6,24.6,19.6,,110,
417,Ashton Dulin,IND,WR,24,17,1,0,0,0,0,0,3,32,10.67,0,22,13,173,13.31,2,0,0,3,,,39,51.5,54.5,45,,110,
418,Hunter Long,MIA,TE,23,7,2,0,0,0,0,0,0,0,,0,3,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,111,
419,Larry Rountree,LAC,RB,22,12,0,0,0,0,0,0,36,87,2.42,1,2,1,-1,-1,0,0,0,1,,,15,15.6,15.6,15.1,,111,
420,Adam Humphries,WAS,WR,28,17,11,0,0,0,0,0,0,0,,0,62,41,383,9.34,0,0,0,0,,,38,79.3,82.3,58.8,,111,
421,Kevin Rader,PIT,TE,26,6,1,0,0,0,0,0,0,0,,0,3,2,8,4,0,0,0,0,,,1,2.8,2.8,1.8,,112,
422,Marquise Goodwin,CHI,WR,31,14,2,0,0,0,0,0,2,-1,-0.5,0,40,20,313,15.65,1,1,0,1,,,37,57.2,60.2,47.2,,112,
423,J.J. Taylor,NWE,RB,23,5,0,0,0,0,0,0,19,37,1.95,2,4,4,8,2,0,1,1,2,,,15,18.5,19.5,16.5,,112,
424,Ethan Wolf,NOR,TE,26,2,1,0,0,0,0,0,0,0,,0,2,2,8,4,0,0,0,0,,,1,2.8,2.8,1.8,,113,
425,Patrick Ricard,BAL,RB,27,13,11,0,0,0,0,0,2,4,2,0,13,8,63,7.88,1,0,0,1,,,13,20.7,20.7,16.7,,113,
426,Lil'Jordan Humphrey,NOR,WR,23,10,4,0,0,0,0,0,0,0,,0,18,13,249,19.15,2,0,0,2,,,37,49.9,52.9,43.4,,113,
427,Eric Tomlinson,BAL,TE,29,17,7,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,0,,,1,1.7,1.7,1.2,,114,
428,Wayne Gallman,2TM,RB,27,8,0,0,0,0,0,0,28,104,3.71,0,3,1,21,21,0,0,0,0,,,13,13.5,16.5,13,,114,
429,Tyler Johnson,TAM,WR,23,17,3,0,0,0,0,0,0,0,,0,55,36,360,10,0,0,0,0,,,36,72,75,54,,114,
430,Nick Boyle,BAL,TE,28,5,3,0,0,0,0,0,0,0,,0,2,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,115,
431,Joshua Kelley,LAC,RB,24,10,0,0,0,0,0,0,33,102,3.09,0,6,5,38,7.6,0,1,1,0,,,12,17,21,14.5,,115,
432,Chester Rogers,TEN,WR,27,16,2,0,0,0,0,0,1,9,9,0,43,30,301,10.03,1,4,1,1,,,35,65,69,50,,115,
433,Devin Asiasi,NWE,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,
434,Michael Burton,KAN,RB,29,16,0,0,0,0,0,0,8,26,3.25,1,3,3,31,10.33,0,0,0,1,,,12,14.7,14.7,13.2,,116,
435,Chris Moore,HOU,WR,28,12,1,0,0,0,0,0,0,0,,0,22,21,227,10.81,2,0,0,2,,,35,55.7,58.7,45.2,,116,
436,Andrew Beck,DEN,,25,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,
437,Jalen Richard,LVR,RB,28,10,0,0,0,0,0,0,9,40,4.44,0,14,12,72,6,0,0,0,0,,,11,23.2,23.2,17.2,,117,
438,Cyril Grayson,TAM,WR,28,5,3,0,0,0,0,0,1,14,14,0,12,10,212,21.2,2,0,0,2,,,35,44.6,47.6,39.6,,117,
439,Rashod Berry,DET,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,
440,Benny Snell Jr.,PIT,RB,23,17,0,0,0,0,0,0,36,98,2.72,0,4,2,13,6.5,0,0,0,0,,,11,13.1,13.1,12.1,,118,
441,Quintez Cephus,DET,WR,23,5,3,0,0,0,0,0,0,0,,0,22,15,204,13.6,2,0,0,2,1,,34,49.4,52.4,41.9,,118,
442,Marlon Mack,IND,RB,25,6,0,0,0,0,0,0,28,101,3.61,0,5,2,8,4,0,0,0,0,,,11,12.9,15.9,11.9,,119,
443,Cam Sims,WAS,WR,25,14,3,0,0,0,0,0,1,7,7,0,23,15,211,14.07,2,0,0,2,,,34,48.8,51.8,41.3,,119,
444,Darrell Daniels,ARI,TE,27,15,4,0,0,0,0,0,0,0,,0,4,1,0,0,0,0,0,0,,,,1,1,0.5,,120,
445,Jason Cabinda,DET,RB,25,14,4,0,0,0,0,0,3,23,7.67,0,7,4,16,4,1,0,0,1,,,10,13.9,13.9,11.9,,120,
446,Rashard Higgins,CLE,WR,27,15,4,0,0,0,0,0,0,0,,0,47,24,275,11.46,1,0,0,1,,,34,57.5,60.5,45.5,,120,
447,Connor Davis,CLE,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,
448,Ryquell Armstead,JAX,RB,25,2,0,0,0,0,0,0,15,80,5.33,0,4,3,16,5.33,0,0,0,0,,,10,12.6,12.6,11.1,,121,
449,Malik Turner,DAL,WR,25,14,0,0,0,0,0,0,0,0,,0,16,12,149,12.42,3,0,0,3,,,33,44.9,47.9,38.9,,121,
450,Brandon Dillon,MIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,
451,Deon Jackson,IND,RB,22,9,0,0,0,0,0,0,13,31,2.38,1,0,0,0,,0,0,0,1,,,9,9.1,9.1,9.1,,122,
452,Isaiah McKenzie,BUF,WR,26,15,2,0,0,0,0,0,9,47,5.22,1,26,20,178,8.9,1,2,1,2,,,33,52.5,56.5,42.5,,122,
453,Ben Ellefson,MIN,,25,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,123,
454,JaQuan Hardy,DAL,RB,24,3,0,0,0,0,0,0,4,29,7.25,1,0,0,0,,0,0,0,1,,,9,8.9,8.9,8.9,,123,
455,Brandon Zylstra,CAR,WR,28,13,3,0,1,0,0,0,0,0,,0,25,18,250,13.89,1,0,0,1,,,31,49,52,40,,123,
456,Clark Harris,CIN,,37,17,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,
457,Andy Janovich,CLE,RB,28,13,3,0,0,0,0,0,2,0,0,1,4,3,9,3,0,0,0,1,1,,9,11.9,11.9,10.4,,124,
458,John Ross,NYG,WR,26,10,1,0,0,0,0,0,1,16,16,0,20,11,224,20.36,1,1,0,1,,,30,41,44,35.5,,124,
459,Jacob Harris,LAR,,24,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,
460,Keith Smith,ATL,RB,29,17,8,0,0,0,0,0,9,31,3.44,0,10,9,56,6.22,0,0,0,0,,,9,17.7,17.7,13.2,,125,
461,Jakeem Grant,2TM,WR,29,15,0,0,0,0,0,0,5,33,6.6,0,17,11,132,12,2,3,3,3,,,29,39.5,45.5,34,,125,
462,Temarrick Hemingway,WAS,,28,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,
463,Alex Armah,2TM,RB,27,11,2,0,0,0,0,0,5,21,4.2,0,1,1,1,1,1,0,0,1,,,8,9.2,9.2,8.7,,126,
464,Isaiah Ford,MIA,WR,25,13,2,0,0,0,0,0,0,0,,0,17,12,161,13.42,2,0,0,2,,,28,40.1,43.1,34.1,,126,
465,J.P. Holtz,CHI,,28,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,
466,Johnny Stanton,CLE,RB,27,4,0,0,0,0,0,0,3,5,1.67,0,2,2,7,3.5,1,0,0,1,,,7,9.2,9.2,8.2,,127,
467,Greg Ward,PHI,WR,26,17,0,1,2,2,0,0,0,0,,0,11,7,95,13.57,3,0,0,3,,,28,34.6,34.6,31.1,,127,
468,Tanner Hudson,SFO,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,
469,Jonathan Ward,ARI,RB,24,13,0,0,0,0,0,0,9,33,3.67,0,4,3,34,11.33,0,0,0,0,,,7,9.7,9.7,8.2,,128,
470,Tavon Austin,JAX,WR,31,13,3,0,0,0,0,0,3,21,7,0,37,24,213,8.88,1,1,1,1,,,27,51.4,55.4,39.4,,128,
471,Ryan Izzo,TEN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,129,
472,Ito Smith,DAL,RB,26,1,0,0,0,0,0,0,1,4,4,1,0,0,0,,0,0,0,1,,,6,6.4,6.4,6.4,,129,
473,DJ Chark,JAX,WR,25,4,4,0,0,0,0,0,0,0,,0,22,7,154,22,2,0,0,2,,,27,34.4,37.4,30.9,,129,
474,Matt LaCosse,NWE,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,
475,Mike Boone,DEN,RB,26,8,0,0,0,0,0,0,4,35,8.75,0,2,2,22,11,0,0,0,0,,,6,7.7,7.7,6.7,,130,
476,Ray-Ray McCloud,PIT,WR,25,16,5,0,0,0,0,0,2,15,7.5,0,66,39,277,7.1,0,4,1,0,,,27,66.2,70.2,46.7,,130,
477,Tyler Mabry,SEA,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,
478,Trayveon Williams,CIN,RB,24,5,0,0,0,0,0,0,15,51,3.4,0,2,1,4,4,0,0,0,0,,,6,6.5,6.5,6,,131,
479,Ihmir Smith-Marsette,MIN,WR,22,8,1,0,0,0,0,0,0,0,,0,6,5,116,23.2,2,0,0,2,,,24,28.6,31.6,26.1,,131,
480,Matthew Orzech,LAR,,26,17,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,132,
481,Jason Huntley,PHI,RB,23,1,0,0,0,0,0,0,13,51,3.92,0,1,0,0,,0,0,0,0,,,5,5.1,5.1,5.1,,132,
482,Kendall Hinton,DEN,WR,24,16,1,1,1,1,0,0,0,0,,0,23,15,175,11.67,1,0,0,1,,,24,38.5,41.5,31,,132,
483,Giovanni Ricci,CAR,,25,16,1,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,133,
484,Rodney Smith,CAR,RB,25,2,0,0,0,0,0,0,0,0,,0,5,5,48,9.6,0,0,0,0,,,5,9.8,9.8,7.3,,133,
485,Anthony Schwartz,CLE,WR,21,14,2,0,0,0,0,0,6,39,6.5,0,23,10,135,13.5,1,0,0,1,,,23,33.4,36.4,28.4,,133,
486,Mason Schreck,CIN,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,
487,Wendell Smallwood,WAS,RB,27,3,0,0,0,0,0,0,5,25,5,0,5,4,22,5.5,0,0,0,0,,,5,8.7,8.7,6.7,,134,
488,Tajae Sharpe,ATL,WR,27,15,7,0,0,0,0,0,0,0,,0,37,25,230,9.2,0,0,0,0,,,23,48,51,35.5,,134,
489,Nate Solder,NYG,,33,16,16,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,
490,Kalen Ballage,PIT,RB,26,17,0,0,0,0,0,0,12,36,3,0,7,2,8,4,0,0,0,0,,,4,6.4,6.4,5.4,,135,
491,Albert Wilson,MIA,WR,29,14,5,0,1,0,0,0,4,17,4.25,0,39,25,213,8.52,0,0,0,0,,,23,48,51,35.5,,135,
492,Stephen Sullivan,CAR,,25,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,136,
493,Jakob Johnson,NWE,RB,27,17,6,0,0,0,0,0,0,0,,0,5,4,43,10.75,0,0,0,0,,,4,8.3,8.3,6.3,,136,
494,Breshad Perriman,TAM,WR,28,6,0,0,0,0,0,0,1,-3,-3,0,18,11,167,15.18,1,0,0,1,,,22,33.4,36.4,27.9,,136,
495,Tyrone Swoopes,WAS,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,
496,La'Mical Perine,NYJ,RB,23,4,0,0,0,0,0,0,8,31,3.88,0,0,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,137,
497,Parris Campbell,IND,WR,24,6,3,0,0,0,0,0,0,0,,0,20,10,162,16.2,1,0,0,1,,,22,32.2,35.2,27.2,,137,
498,Colin Thompson,CAR,,28,11,2,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,138,
499,Kylin Hill,GNB,RB,23,8,0,0,0,0,0,0,10,24,2.4,0,2,1,5,5,0,0,0,0,,,3,3.9,3.9,3.4,,138,
