player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Marquise Goodwin,WR,SEA,2,14,14,0,3.9264251878353815e-5,1.8193516872185257e-5,4.201530847012732e-5,0.09755240901562896,0.10068124750936713,0.11325309835794327,0.11057379970823994,0,0.00920137130708009,Q
Tyler Lockett,WR,SEA,2,16,51,2,2.221633963556421e-5,2.1144795032488868e-5,2.7355452570150814e-5,0.21782094251531936,0.22126139343487236,0.2311180742779602,0.24688455848120008,0,0.00270647060928084,NA
Will Dissly,TE,SEA,2,15,24,0,0,0,0,0.08811227764521024,0.09140418915898428,0.0860253238872159,0.07735107948645548,0,0.00949659406607096,NA
Noah Fant,TE,SEA,2,16,27,0,0,0,0,0.13437381525631345,0.13566726424210107,0.15097083522097607,0.12176648058140184,0,0.00270647060928084,NA
D K Metcalf,WR,SEA,2,17,42,2,1.522778438043214e-5,1.6310628925946215e-5,1.9045692808145178e-5,0.2252601180542557,0.21763432857725667,0.21023826807615043,0.2449009579248518,0,0.00464650588264945,NA
Penny Hart,WR,SEA,1,0,1,0,0,0,0,0.002206693219593928,0.0024065655808416034,0.003113586654358189,0.00248632321838823,0.21,0.007,NA
Colby Parkinson,TE,SEA,2,14,12,0,0,0,0,0.04003312894105156,0.04383145134845178,0.04007919384830318,0.035618219019619826,0,0.00270647060928084,NA
DeeJay Dallas,RB,SEA,2,17,18,1,0.03980460529429221,0.03692711032849549,0.027805409683249016,0.022087580237679746,0.023427484841943402,0.01851737477607305,0.02023983311607005,0,0.00542251999199689,NA
Tony Jones,RB,SEA,1,11,4,0,8.300421939752634e-5,7.301539584664046e-5,1.4650119367036555e-4,0.004886462714099207,0.004934990204968767,0.004698360296508794,0.0048218963034782954,0,0.00270647060928084,NA
D Wayne Eskridge,WR,SEA,2,0,9,0,3.3118706245540874e-5,6.162898904096646e-5,2.4757386331224906e-4,0.045384033882624644,0.034308681989895284,0.030612858468169787,0.034867290750831094,0.21,0.007,NA
Kenneth Walker,RB,SEA,2,0,123,0,0.7423256965408971,0.6844360011467508,0.7891398799408641,0.06869048642428766,0.06608620050155241,0.051172838283046085,0.0522060684049181,0,0.00649552946227403,NA
Dareke Young,WR,SEA,2,0,0,0,0,0,0,0.00351904507896065,0.003510619949921847,0.003410050776377794,0.0034851025146725775,0,0.00649552946227403,NA
Julio Jones,WR,TB,2,10,11,0,0.019925741691279465,0.010035119582774601,0.01608738329921534,0.11077981611152862,0.10257697260599784,0.11940024599418912,0.12805382711514066,0,0.00270647060928084,NA
Kyle Rudolph,TE,TB,1,16,2,0,0,0,0,0.016109785236042028,0.014705622530715142,0.013783802100731128,0.014867979963576106,0,0.00270647060928084,NA
Mike Evans,WR,TB,2,16,44,0,1.7510467309484693e-4,2.545686621275553e-4,2.81938095668858e-4,0.1851885815007828,0.17564280742511776,0.19745647095952965,0.16872236587506229,0,0.00270647060928084,NA
Cameron Brate,TE,TB,2,17,13,0,0,0,0,0.08964781464052818,0.08462573503806022,0.0726768592803447,0.0745272960718738,0,0.00270647060928084,Q
Breshad Perriman,WR,TB,2,6,10,2,0.004605786587677496,0.0019466174841209398,0.004392446246929155,0.047142639318295626,0.044499351649651894,0.03979397636637102,0.042048151841436295,0,0.00270647060928084,NA
Leonard Fournette,RB,TB,2,14,163,0,0.5426189956635706,0.4868117644481034,0.5940051385755442,0.10783687544778002,0.11631932786551184,0.11046050077569604,0.10041210921835587,0,0.00330400147347837,NA
Chris Godwin,WR,TB,2,14,45,0,0.02678024942889975,0.016614677664121908,0.020194340721655366,0.20029521466128156,0.19794057090577097,0.18686420286283945,0.17602853874333357,0,0.00851972723159896,NA
Scott Miller,WR,TB,2,0,20,0,1.8458353506078148e-4,3.525179223382137e-4,3.4577473710945016e-4,0.06726573687826135,0.07804410943057463,0.0710501167843539,0.05303207130351823,0.21,0.007,NA
Ke Shawn Vaughn,RB,TB,2,12,2,0,0.03750228741513766,0.031201656517251167,0.026021351628659192,0.0050546899316055065,0.0025817574341791814,0.00208029056046619,0.0030485409105175144,0,0.00270647060928084,NA
Jaelon Darden,WR,TB,1,0,3,0,9.302175164614272e-5,7.164657164685722e-5,1.104615255652845e-4,0.0035897430495560206,0.004088919188684828,0.0029512916245302886,0.003265070241420733,0.21,0.007,NA
Rachaad White,RB,TB,2,0,58,1,0.32201285610600316,0.43265785797895945,0.2987293692027437,0.06005631480450181,0.06857417492363019,0.05167503704404708,0.050907203921149786,0,0.00649552946227403,NA
Cade Otton,TE,TB,2,0,23,0,0,0,0,0.08970347567225304,0.09262793667213498,0.113543523008102,0.17101000956043738,0,0.00649552946227403,NA
Ko Kieft,TE,TB,2,0,4,0,0,0,0,0.017329312747583387,0.01777271432997046,0.018263682638799437,0.014076835234177743,0,0.00649552946227403,NA
Travis Homer,RB,SEA,2,14,15,0,0.05330673078091697,0.07837104198044526,0.048391392081324744,0.050073007014974906,0.054845582659843364,0.05679013707691733,0.04479839048987269,0,0.00270647060928084,NA
Nick Bellore,RB,SEA,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007,NA
Ezekiel Elliott,RB,DAL,2,17,115,0,0.5100365130295547,0.49838331181090456,0.5915268561526676,0.04254115808670375,0.04647986613413358,0.041082259371867436,0.04098468314427142,0,0.00375693627962955,Q
Noah Brown,WR,DAL,2,0,25,1,0,0,0,0.14828617549660697,0.14255525430943228,0.1413347266190807,0.11898848913378014,0.21,0.007,NA
Michael Gallup,WR,DAL,2,9,12,0,0,0,0,0.17809082420686217,0.1641760673033731,0.1646022981021467,0.15617206677561718,0,0.00270647060928084,NA
Dalton Schultz,TE,DAL,2,17,20,1,0,0,0,0.14513538423812564,0.14928263011033158,0.14841556956630328,0.12488611671262566,0,0.00270647060928084,NA
Tony Pollard,RB,DAL,2,15,93,0,0.22491597356921153,0.31421076573014883,0.23948543241794762,0.06370764329879959,0.06731070967881159,0.06675672518534304,0.05980869646463933,0,0.00446391432750888,NA
CeeDee Lamb,WR,DAL,2,16,47,0,0.01754035990882444,0.007415289019280916,0.007971037130706496,0.26241139475549957,0.25797274107687523,0.2889817255923972,0.2840871879604948,0,0.00270647060928084,NA
Jalen Tolbert,WR,DAL,1,0,1,0,0,0,0,0.02040392860444944,0.020305557709899877,0.020425768005302946,0.020669962540217066,0,0.00649552946227403,NA
Jake Ferguson,TE,DAL,2,0,9,0,0,0,0,0.050556454172267395,0.055770535707660863,0.04810958444221497,0.09686234920038678,0,0.00649552946227403,NA
Peyton Hendershot,TE,DAL,2,0,9,0,0,0,0,0.05092714055999014,0.05470279182446232,0.043236887881917346,0.06596727510985058,0.21,0.007,NA
KaVontae Turpin,WR,DAL,2,0,3,0,0.013285767126703962,0.0232226823892186,0.007003377758650525,0.0033481540633004633,0.0021931047138938112,0.0016483169654837062,0.002585559534219187,0.21,0.007,NA
Marcedes Lewis,TE,GB,2,17,2,0,0,0,0,0.017862104708087797,0.020512311058905087,0.023556083233480796,0.0173594225002987,0,0.00893075044467179,NA
Sammy Watkins,WR,GB,2,13,10,0,0,0,0,0.12193749205055643,0.10779878770647847,0.11943652657112198,0.11112313412763088,0,0.01339871046818737,NA
Aaron Jones,RB,GB,2,15,139,1,0.5033533984257771,0.4739094029939124,0.5042646844862665,0.14788160107470125,0.16014043934250863,0.13274827447896287,0.1398158649151266,0,0.00470988771686461,NA
Robert Tonyan,TE,GB,2,8,38,0,0,0,0,0.156440711002311,0.16857630733506493,0.15584363078629226,0.14029854136970746,0,0.00270647060928084,NA
Allen Lazard,WR,GB,2,15,30,0,5.279759216009542e-4,8.805161595329515e-4,8.830233876974924e-4,0.20982263666156573,0.19722709698749485,0.23471131446880425,0.2819177195655267,0,0.00270647060928084,NA
AJ Dillon,RB,GB,2,17,114,1,0.40121734576440365,0.3797035645043708,0.4034575846780522,0.07607733487083684,0.07504526126786898,0.059811526009030655,0.0626203332587556,0,0.00472793651963564,NA
Josiah Deguara,TE,GB,2,16,11,0,0,0,0,0.0585905643280785,0.07232930157321504,0.06164728930716844,0.04816454764322205,0,0.00270647060928084,NA
Tyler Davis,TE,GB,1,14,4,0,0,0,0,0.012703633296120157,0.012525551336849862,0.010737642509096642,0.011951952049447762,0,0.00270647060928084,NA
Amari Rodgers,WR,GB,2,0,4,4,0,0,0,0.04128618077715718,0.032141315750091354,0.03662743935305323,0.03397982243572838,0.21,0.007,Q
Christian Watson,WR,GB,2,0,13,0,0.009597418711103037,0.003709043778688172,0.015174142371486897,0.09925392114041928,0.10594609222900706,0.09949507501900141,0.09192298452877784,0,0.00649552946227403,NA
Samori Toure,WR,GB,2,0,4,1,0,0,0,0.058143820090165894,0.04775753541251575,0.06538519826398739,0.06084567760577801,0,0.00649552946227403,NA
Jack Coco,TE,GB,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007,NA
Sean McKeon,TE,DAL,1,0,0,0,0,0,0,0.018493504745099528,0.020583176788765218,0.019976892854242544,0.01916664276792393,0,0.00270647060928084,NA
Malik Davis,RB,DAL,2,0,10,0,0.12007863462028172,0.0582684014724927,0.04493862540677631,0.01609823777229533,0.018667564642360534,0.01542924541370018,0.009820970655973848,0.21,0.007,NA
Kylin Hill,RB,GB,2,0,1,0,0.01804755844032294,0.028445539789152992,0.012878018162608092,0,0,0,0,0.21,0.007,NA
Keith Smith,RB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
MyCole Pruitt,TE,ATL,2,0,2,0,0,0,0,0.030561660761953418,0.03922797497807097,0.03429586809178291,0.03164873975390538,0,0.00270647060928084,NA
Damiere Byrd,WR,ATL,2,17,4,0,0,0,0,0.06612379968374751,0.05629060711607292,0.09374492534183596,0.08997439718587628,0,0.01379471935185057,NA
KhaDarel Hodge,WR,ATL,2,0,9,0,0,0,0,0.04427035086596756,0.044215124811817975,0.05510536100709618,0.04270199637889872,0.21,0.007,NA
Olamide Zaccheaus,WR,ATL,2,17,23,1,0.005905703790434386,5.514682115990315e-4,0.0023420979879498517,0.1342700480319645,0.1466299996601279,0.15249617372503163,0.1413496109628704,0,0.00270647060928084,NA
Parker Hesse,TE,ATL,1,8,5,0,0,0,0,0.01807504888017247,0.02019732792080928,0.020111450595868705,0.019415875086796618,0,0.00270647060928084,NA
Bryan Edwards,WR,ATL,1,16,3,0,4.5305322044426234e-6,1.3328785265003045e-6,3.1227874160928887e-6,0.02789290788479226,0.032622258761812906,0.026292111090971067,0.0288488490920823,0,0.00685599049954147,NA
