player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
Jelani Woods,TE,NYJ,0,0,0,0,0,0,0,0.07520119119766962,0.06897624385314578,0.0774794714615056,0.07066145311827918,0,0.011896194064603531
A J Dillon,RB,PHI,0,0,0,0,0.16197268488548705,0.1083420656457388,0.13488630038725644,0.02343403794314678,0.023919693634814658,0.024492704006129122,0.022678384708748958,0,0.011896194064603531
Elijah Mitchell,RB,KC,0,0,0,0,0.14495368302748746,0.11367330193993172,0.15515109727279458,0.016317663248702163,0.01973220951077693,0.014730763138472606,0.012235230550976951,0,0.011896194064603531
Jamal Agnew,WR,ATL,0,0,0,0,0.0014090987704049164,3.710052341232971e-4,0.0011693010959297572,0.0512817143193195,0.05164982846854001,0.08058656999665866,0.06468675175115289,0,0.011896194064603531
Darren Waller,TE,MIA,0,0,0,0,0,0,0,0.20267540881806462,0.2065216049013362,0.2072232810670869,0.2043188156675014,0,0.011896194064603531
Hunter Renfrow,WR,CAR,0,0,0,0,0,0,0,0.0478970648618754,0.04466557039172148,0.048071883019770105,0.04869632968144119,0,0.011896194064603531
J J McCarthy,QB,MIN,0,0,0,0,0.10192601547739537,0.0962648652121915,0.10663632049447747,0,0,0,0,NA,0
Tahj Washington,WR,MIA,0,0,0,0,0,0,0,0.022096497625429888,0.022388189237902104,0.02192430197944418,0.023994558345310075,0,0.011896194064603531
Zavier Scott,RB,MIN,0,1,0,0,0,0,0,0,0,0,0,0,0.011896194064603531
Mitchell Tinsley,WR,CIN,0,1,0,0,0,0,0,0,0,0,0,0,0.011896194064603531
MarShawn Lloyd,RB,GB,0,2,0,0,0.3028618719559322,0.2915988869482797,0.3019470789055183,0.06714973056672871,0.06720573048611643,0.05958983102829525,0.060722608951551994,0,0.011757405133849824
Tyler Badie,RB,DEN,0,2,0,0,0.11077310283317432,0.15530569078716716,0.15430604778409235,0.03477391780915672,0.04567486348675271,0.013320862905450185,0.025681335059877033,0,0.013503379760947181
Rashee Rice,WR,KC,0,2,0,0,0,0,0,0.17483135568808195,0.17563432441813698,0.21262191747777703,0.19096856712662108,0,0.011400519311911717
Rashid Shaheed,WR,NO,0,2,0,0,0.02803343561694945,0.021376063184353422,0.012368280400987445,0.16674809293603013,0.14157747892609449,0.16365710821366075,0.16473109665096272,0,0.013047358988470712
Roman Wilson,WR,PIT,0,2,0,0,0,0,0,0.03780441039572467,0.036449595414870375,0.0368502129879749,0.03701212856793809,0,0.011896194064603531
Braxton Berrios,WR,HOU,0,2,0,0,0,0,0,0.013797499732846285,0.013305333126462596,0.011242202578788111,0.01299829808562138,0,0.011896194064603531
Chris Godwin,WR,TB,0,2,0,0,0.0035430494606573555,0.0017917375293629812,0.0026339621321019376,0.18816974685293142,0.19763294476482465,0.19741705869673568,0.18116954905048557,0,0.012551684235778899
Brandon Aiyuk,WR,SF,0,2,0,0,0,0,0,0.12512328936471484,0.11460047512356249,0.12273931540642051,0.12115670198999026,0,0.011400519311911717
Skyy Moore,WR,SF,0,2,0,0,0,0,0,0.01988837938120292,0.012857810091329046,0.01113239413757547,0.016563424894450285,0,0.011896194064603531
Stefon Diggs,WR,NE,0,2,0,0,0.011123034068706853,0,0.0013602112030769247,0.1511530002556981,0.15303277126083722,0.14755408036731196,0.1268640923652064,0,0.010904844559219903
Christian Kirk,WR,HOU,0,2,0,0,7.497007869633403e-8,1.1445208195205355e-7,1.0163947057884659e-7,0.12009945709267733,0.11060541902240342,0.1274309641045966,0.10602909398046552,0,0.011360865331696371
Bub Means,WR,NO,0,2,0,0,0,0,0,0.04339039458379052,0.045584396602544576,0.058542758154198925,0.050521423685910255,0,0.011717751153634479
Dak Prescott,QB,DAL,0,2,0,0,0.10477979861764808,0.11280708843072282,0.089379780294533,0,0,0,0,1.5972382048331417,0
Chris Olave,WR,NO,0,2,0,0,7.088608699886437e-5,9.242399968365174e-5,7.379837016141451e-5,0.12862544123553088,0.13362909996223832,0.13141143694728832,0.12694235720589553,0,0.012908570057717004
Charlie Jones,WR,CIN,0,1,0,0,4.3403371586012287e-4,4.7685616219350684e-4,6.817604387629063e-4,0.006231773544163645,0.006368434339554361,0.006325528290892287,0.006189640441801581,0,0.015209700407829194
Ian Thomas,TE,LV,0,2,0,0,0,0,0,0.020984302542592037,0.024138619470678566,0.014703418946692786,0.01575744782455278,0,0.011836713094280514
Daniel Jones,QB,IND,0,2,0,0,0.15536427415720536,0.145319117732372,0.24086169812008962,0,0,0,0,1.5972382048331417,0
Zamir White,RB,LV,0,2,0,0,0.23120930835487236,0.15994668874227994,0.2268545143468151,0.01415450387101848,0.01421745232253827,0.01349993661052152,0.013193097690102424,0,0.013821811100292115
Teagan Quitoriano,TE,ATL,0,2,0,0,0,0,0,0.0016209511517542977,0.001595629436002929,0.0015534043487471804,0.0017390217296383806,0,0.011896194064603531
Cedric Tillman,WR,CLE,0,2,0,0,0.001177715810220883,2.547212771849682e-4,7.515102069570064e-4,0.15894078552203425,0.14798504563113898,0.1561961203138831,0.16705624999070884,0,0.012968051028040023
Taysom Hill,TE,NO,0,2,0,0,0.12642653619301816,0.12323863809593,0.15634574339758314,0.09827728746107652,0.10090994147307229,0.08194064902672013,0.07672105505457048,0,0.0123335873445945
Noah Brown,WR,WAS,0,2,0,0,0,2.8498664355249464e-11,1.7159524290893593e-11,0.18370536210679814,0.17301040603837942,0.17640454306089115,0.1584408552268677,0,0.011202249410834992
Christian McCaffrey,RB,SF,0,2,0,0,0.3618988643025406,0.4264676855513672,0.28196004353419524,0.12471156236509251,0.1300864637111726,0.1181591156620537,0.11632982743339372,0,0.012274106374271484
Jordan Mason,RB,MIN,0,2,0,0,0.25265598574996556,0.2543387577816944,0.15362397983208007,0.01583321151643609,0.015088394627630225,0.01121350214624941,0.014186878330435236,0,0.013644567686945233
Trevor Lawrence,QB,JAC,0,2,0,0,0.08316077742370641,0.07053294333708017,0.13521639994573073,0,0,0,0,1.551783659378596,0
Theo Johnson,TE,NYG,0,2,0,0,0,0,0,0.12200122194143348,0.12659815650195222,0.14753426721469606,0.12435000841987821,0,0.011321211351481028
DeAndre Carter,WR,CLE,0,1,0,0,0,0,0,0.016805239359691512,0.018128957127072135,0.0179656079106151,0.018472042608616904,0,0.013384417820301146
Evan Engram,TE,DEN,0,2,0,0,0,4.31705761463262e-12,1.6530669565898133e-12,0.17315630784366212,0.18070212790884035,0.16583480087876468,0.17672936734197217,0,0.012630992196209589
