team,def_rus_att_rat,def_rus_yds_rat,def_rus_tds_rat,def_pas_att_rat,def_cmp_rat,def_pas_yds_rat,def_pas_tds_rat,def_int_rat
DAL,27.333156029301744,123.01625964916366,0.7720543165275777,32.77860402567427,20.171039119703103,194.5741147868712,1.319973748997128,1.7950445664516892
DET,27.285177228566145,112.47106591565317,0.9429475089696321,38.27630630948874,24.544057907789384,253.98091339824236,1.5332929848404702,0.6792671435609442
IND,31.372486345384573,117.90627355235728,1.0450059163778724,35.6626650284767,24.437405520257617,249.111636986878,1.6011931260291765,0.9140431169831094
WAS,26.838937343924048,119.01870925416209,0.8452997855033159,34.5936536436568,22.337340427115336,228.15582438786538,1.5075541631771976,0.582182686587534
SEA,30.83075677988796,114.93452677815276,1.1953457892245039,38.59170296967438,25.58524082540994,283.0163517532068,1.4691798253738446,0.6059837020721702
KC,26.93450901786337,112.3679210104,0.7934650108260243,36.36370705052079,23.14077307171247,223.12755537648172,1.4256632395243534,0.7202817846076398
LAR,25.876613769219066,112.21031640794101,0.9527385743070674,34.03047263111736,22.080936445348705,209.41624759373516,1.2900467728177063,1.1741830883768183
TEN,25.789821734788003,89.26211082454829,0.7268367442970144,36.53109082768164,25.398306808282655,276.00380868202893,1.5837195550845438,0.9990141757398243
ARI,27.758819038447843,123.21706018693119,0.9824699068470997,37.20583990256964,25.249711068515985,257.1170966998057,1.5912371862646468,0.7500637182116586
MIA,29.432829055911434,135.2553157178804,1.1211501089574352,35.901404785364285,24.470655006834953,237.28924029490443,1.4080447590147938,0.7046452736495067
ATL,29.042384483860836,129.02259813960293,0.7836598533898114,35.38377191323879,22.800790026324634,214.4640445661893,1.581978462840912,0.744024033361726
NO,26.24588824411483,115.0017547666487,0.7792362733575771,36.693661979652475,21.913131117653748,215.27824522038634,1.262783969923313,1.004774502274961
JAC,27.51095606996821,106.39155765936273,0.8903269534615911,36.59296743975098,24.57847783279975,247.4658689881896,1.5630400102030149,0.7581979165733854
BAL,25.225807183636586,102.42936781398487,0.7066774293875195,40.462914305381425,27.182130003610723,252.69981671824658,1.400536876088907,0.6274970024735931
HOU,30.64999855854096,134.84044274017077,1.351228399025674,33.76628965364919,23.612606870787122,232.08898104853958,1.2742994803672731,1.1209518257970932
CHI,32.93849326719622,133.02519206021495,1.08909053624497,32.83559918661502,21.73786670564935,245.8692211124096,1.6907945928140118,0.6196294542065842
MIN,30.652810600781347,123.48662943232469,0.9382542674240734,36.18617974123942,25.515648642410408,256.19255279078743,1.6597582942204692,1.001219865051121
CIN,29.317538194292794,136.1867519069154,0.8528140742789935,36.24416630489166,23.358695173056187,234.54689698295815,1.4885437758406719,0.7857989211491618
PIT,29.472062705769797,139.61409562433062,0.8496059963238247,38.01637180698279,24.4223268316574,257.2479536893508,1.640269339938014,1.2247149498403076
DEN,28.978324796673338,131.56089516109185,1.058030696231004,34.48038299721159,24.366467246178875,235.73714961355697,1.7542315663867973,0.7300432248773482
LAC,27.665181309269855,126.0587824591094,0.9793428863164457,37.12671639479671,24.043742762189122,284.57179271046715,1.7498260470965157,0.9152810806047789
NYJ,31.05563297571509,124.30569882774495,0.7323870234557125,36.08456983596977,24.36158182441242,223.17834025504547,1.4318969881023573,0.7651194092978468
GB,29.508602450242208,130.59383447760914,0.8898304155102454,36.60771571217676,24.059370488837462,233.78714091544649,1.4431241141985163,1.1335158112593602
SF,21.290877644154733,85.01582936364584,0.8137341176103078,40.7116396512301,26.926916477483697,232.0105680792303,1.3820694008952439,1.0462158146461065
NE,27.377183528731123,110.6760077725687,0.8278998529615715,35.51588179679503,23.138637168738963,210.66072570096537,1.393676244068659,1.3356130297734201
TB,24.660064814067855,102.28125213365219,0.7869165572266371,37.97048905905965,25.10537442278172,255.47387882366303,1.5272270218722723,1.224893785020595
LV,29.01068543140808,124.83736339005593,0.8897616967562687,35.14521243294715,25.39361462718824,230.10508066465528,1.738597308214323,0.13904301604723496
CAR,29.974011077745807,130.9483131702724,1.1829833716056073,33.687636948963885,22.862134490655542,218.76610887616934,1.3802729453177374,0.49491134506982454
NYG,29.797703425420035,132.71021361288814,1.198479773715828,34.15621629962267,21.61932311667188,225.92231374522234,1.3510258299303046,0.5220790527036154
PHI,23.534752741144658,98.57692442023671,0.7661143303331351,40.02470067030982,25.99805974221344,249.42397592201903,1.8334772640517356,1.0187797556273108
CLE,25.011778443737093,100.25961093010513,0.7863419923129048,32.63408097540208,18.442423408492647,175.42789124959592,1.2416233874315845,0.6126935905107784
BUF,24.566908512564385,120.6682269767397,0.7110014435279838,31.95231562982446,21.184064267598984,196.25708507988386,1.3081825479014177,1.702558003716521
