Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Dare Ogunbowale,HOU,4,31.2,0.1,5.3,40.1,0.2,0,8.3
Nathan Carter,ATL,9.3,39,0.3,2.1,14.2,0.1,0.1,7.6
Patrick Ricard,BAL,4.1,11.5,0.1,3.4,27.4,0.5,0,7.4
Terrell Jennings,NE,4.8,20.1,0.1,3.9,29.6,0.2,0,6.6
Eric Gray,NYG,11.9,42.7,0.2,1.9,14.4,0.1,0.5,6
Zonovan Knight,ARI,4.6,19.5,0.1,3.2,22.7,0.1,0,5.8
Rasheen Ali,BAL,5.2,33.4,0.1,1.4,10.2,0.1,0,5.1
Hunter Luepke,DAL,4.2,14.5,0.1,3.9,26.6,0.1,0,4.8
Dylan Laube,LV,4,29.4,0.1,2,14.5,0,0,4.7
Trey Sermon,PIT,5,20.8,0.1,1.6,11.3,0.1,0,3.9
Carlos Washington Jr.,ATL,0,30,0,1,7,0,0,3.7
Velus Jones Jr.,NO,2.4,10.4,0.1,1.8,13.4,0.1,0,3.4
Michael Carter,ARI,0,21,0,1.5,11,0,0,3.2
Sincere McCormick,SF,0,25,0,1,6,0,0,3.1
Josh Williams,TB,4.5,18.7,0.1,0,0,0,0,2.6
Damien Martinez,SEA,0,17,0,1,7,0,0,2.4
Robbie Ouzts,SEA,0,0,0,2,14.9,0.1,0,1.9
Carson Steele,KC,0,12,0,1,7,0,0,1.9
Scott Matlock,LAC,0,0,0,2.2,14.7,0.1,0,1.8
Tyler Badie,DEN,0,10.5,0,0.5,3.5,0,0,1.4
Ronnie Rivers,LAR,0,4,0,1,7,0,0,1.1
Jeff Wilson Jr.,MIA,0,6,0,0.5,3.5,0,0,1
DeeJay Dallas,CAR,0,8,0,1.5,11,0,0.5,0.9
Sione Vaki,DET,0,4.5,0,0.5,3.5,0,0,0.8
JaMycal Hasty,MIA,0,4,0,0.5,3.5,0,0,0.8
Michael Burton,DEN,0,0,0,0,0,0,0,0
Andrew Beck,NYJ,0,0,0,0,0,0,0,0
Salvon Ahmed,IND,0,0,0,0,0,0,0,0
Reggie Gilliam,BUF,0,0,0,0,0,0,0,0
Kene Nwangwu,NYJ,0,0,0,0,0,0,0,0
Keaontay Ingram,KC,0,0,0,0,0,0,0,0
Deneric Prince,NE,0,0,0,0,0,0,0,0
Ben VanSumeren,PHI,0,0,0,0,0,0,0,0
Brady Russell,SEA,0,0,0,0,0,0,0,0
Jonathon Brooks,CAR,0,0,0,0,0,0,0,0
British Brooks,HOU,0,0,0,0,0,0,0,0
Raheim Sanders,CLE,0,0,0,0,0,0,0,0
Trayveon Williams,CLE,0,0,0,0,0,0,0,0
Nyheim Miller-Hines,LAC,0,0,0,0,0,0,0,0
Jakob Johnson,ATL,0,0,0,0,0,0,0,0
Clyde Edwards-Helaire,KC,0,0,0,0,0,0,0,0
Jermar Jefferson,TEN,0,0,0,0,0,0,0,0
Gary Brightwell,CIN,0,0,0,0,0,0,0,0
