Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Darius Slayton,NYG,35.6,535.2,2.5,1.4,6.4,0,0.2,69.1
DeAndre Hopkins,BAL,34.2,436.5,4.2,0,0.5,0,0.1,68.5
Adam Thielen,MIN,41.1,461.5,3.8,0,1.3,0,0.5,68.1
Josh Reynolds,NYJ,37.3,485.9,3.2,0,0,0,0.1,67.6
Ray-Ray McCloud III,ATL,43.4,477.4,2.6,7.8,53,0.2,1.2,66.9
Tutu Atwell,LAR,40,509.9,2.2,4.3,20.2,0.1,0.1,66.7
Dyami Brown,JAC,38.5,490.6,2.7,0.7,6.8,0,0.5,64.9
Nick Westbrook-Ikhine,MIA,31.4,428,3.7,0,1.3,0,0.1,64.7
Tory Horton,SEA,36.8,485.6,2.5,1,8,0,1,62.1
Jalen Tolbert,DAL,34.4,400.2,3.5,0,0,0,0.1,60.8
Troy Franklin,DEN,33.2,416.8,3.1,1.1,6.1,0,0.1,60.8
Andrei Iosivas,CIN,31.4,380.8,3.7,0,0,0,0.1,59.9
Pat Bryant,DEN,34.2,417,3,0,0,0,0.1,59.8
Kyle Williams,NE,33.4,427.7,2.5,2.2,13.4,0,0.4,58.7
Kayshon Boutte,NE,31.9,429,2.6,0,0,0,0.1,58.6
Noah Brown,WAS,33.9,435.9,2.2,0,0,0,0.1,56.4
Jordan Whittington,LAR,34.1,397.7,2.4,1.1,13.9,0,0.1,55.5
Elic Ayomanor,TEN,33.4,406.2,2.3,0,5.7,0,0.1,54.8
Tre Tucker,LV,28.5,360.2,2.1,5.6,31.5,0.3,0.1,53.8
Roman Wilson,PIT,30.4,380.6,2.6,0,0,0,0.1,53.3
Isaac TeSlaa,DET,28.4,375.4,2.3,0,0,0,0.1,51.3
Adonai Mitchell,IND,28.4,372.4,2.2,2.9,9.6,0.1,0.4,50.7
Greg Dortch,ARI,33.1,330.4,2.5,4.8,30.6,0.1,0.4,50.7
Dontayvion Wicks,GB,25.7,323.2,3,0,1.3,0,0,50.4
Christian Watson,GB,19.9,355.6,2.3,3.3,14,0,0.4,50.2
Allen Lazard,NYJ,27.1,347,2.4,0,0,0,0.1,49
Jamari Thrash,CLE,29.7,358.8,1.9,0,0,0,0.1,47
Brandin Cooks,NO,28.7,326.3,2.4,1.7,1.8,0,0.1,46.9
Curtis Samuel,BUF,27,272.5,2.5,6.6,29.3,0.1,0.1,45.6
KaVontae Turpin,DAL,22.1,264.7,1.8,8.4,58.5,0.5,0.7,44.6
Dont'e Thornton Jr.,LV,24.9,325.3,2,0,2,0,0.1,44.5
Malik Washington,MIA,30.1,314.2,1.8,2,13.8,0.1,0.6,42.9
Jalen Nailor,MIN,20,270.4,2.6,1.8,3.1,0,0.4,42.4
Van Jefferson,TEN,23.8,306.4,1.9,0,0,0,0.1,41.9
Jaylin Noel,HOU,24.2,298.6,1.6,1,12,0,0.4,40.1
Devaughn Vele,NO,27.6,292.9,1.7,0,1.7,0,0.2,39.2
JuJu Smith-Schuster,KC,24.9,274.8,1.9,0,0,0,0.1,38.5
Demarcus Robinson,SF,15.9,244.7,2.3,0,1,0,0,38.3
Jalen McMillan,TB,18.1,223.4,2.3,1.4,12.2,0,0.4,36.6
Parker Washington,JAC,22.9,241.1,1.5,0,8.5,0,0.1,33.7
David Moore,CAR,20.8,255.1,1.4,0,0,0,0.1,33.4
Jack Bech,LV,20,243,1.5,0,2.5,0,0,33.4
Jermaine Burton,CIN,15.8,206,2,0,2,0,0.1,32.4
Chimere Dike,TEN,18.8,222.9,1.5,2.1,8.9,0,0,32.1
Isaiah Bond,CLE,18.3,221.6,1.3,0,0,0,0,29.7
Jake Bobo,SEA,17,205.5,1.4,0,0,0,0.1,28.5
A.T. Perry,DEN,13.7,180,1.5,0,0,0,0,26.7
Jahan Dotson,PHI,15.1,181.8,1.3,0,1.7,0,0,26.2
Zay Jones,ARI,16.7,179.7,1.3,0,2,0,0.1,25.7
Tim Patrick,JAC,13.7,172.9,1.3,0,0,0,0,24.9
Kalif Raymond,DET,14.7,184.1,1.2,0,4,0,0.6,24.7
Jalen Royals,KC,15.4,174.7,1.2,0,2.5,0,0,24.7
Elijah Moore,BUF,14.5,159.6,1.2,0,1.3,0,0,23.4
Xavier Hutchinson,HOU,14.7,173.8,1,0,0,0,0.1,23.3
Mack Hollins,NE,12.3,153.6,1.1,0,1.7,0,0,22.2
KhaDarel Hodge,ATL,12.3,162.2,1,0,2,0,0.1,22.1
Jalin Hyatt,NYG,12.1,160.5,0.8,0,0,0,0,21.1
Arian Smith,NYJ,13.4,160.8,0.7,0,5.5,0,0,20.9
Olamide Zaccheaus,CHI,13,141.4,0.9,1.1,6,0,0.1,20.3
Luke McCaffrey,WAS,13.3,137.1,1,0,1,0,0.1,19.7
Tai Felton,MIN,10.3,120.4,1,0,1.7,0,0,18
Robert Woods,PIT,12,120,1,0,0,0,0,18
Marquez Valdes-Scantling,SF,7,112,1,0,2,0,0,17.4
Tyquan Thornton,KC,8,115.1,0.9,0,0,0,0,16.6
Savion Williams,GB,7.6,89.4,0.8,4.4,19.4,0.1,0,16
Skyy Moore,SF,9,110.6,0.7,0,0,0,0,15.2
Tylan Wallace,BAL,6.9,88.4,0.9,0,1.7,0,0,14.3
Jaylin Lane,WAS,6.9,79.6,0.5,2.2,13.5,0.1,0.1,13.2
Casey Washington,ATL,7.5,90.4,0.7,0,0,0,0,13.1
Cedrick Wilson Jr.,NO,7.4,87.1,0.6,0,3,0,0,12.3
Sterling Shepard,TB,8,83.1,0.5,0.8,7,0,0,12.3
Jimmy Horn Jr.,CAR,6.8,84.4,0.6,0,0,0,0,12
Bo Melton,GB,6.6,79.3,0.6,0,0,0,0,11.5
KeAndre Lambert-Smith,LAC,5.9,77.7,0.6,0,3,0,0,11.4
Devontez Walker,BAL,5.3,71.5,0.7,0,1.7,0,0,11.3
Tim Jones,MIN,6.3,70.5,0.6,0,0,0,0,10.5
Jamal Agnew,ATL,6.7,70.1,0.6,0,0,0,0,10.3
Xavier Restrepo,TEN,4,40,1,0,2,0,0,10.2
Malik Heath,GB,5.8,66.7,0.4,0,2,0,0,9.5
Cody White,SEA,5.5,67.7,0.4,0,0,0,0,9.2
John Metchie III,PHI,6.3,68.9,0.3,0,0,0,0,8.7
Trey Palmer,NO,5.6,66.3,0.2,0,2,0,0,8.2
Dareke Young,SEA,4.7,57.6,0.4,0,0,0,0,7.9
Efton Chism III,NE,4.8,56.3,0.4,0,0,0,0,7.9
Derius Davis,LAC,2.8,31.2,0.1,10.5,35.5,0.2,0.6,7.5
Irvin Charles,NYJ,4.4,46.5,0.3,0,0,0,0,6.5
Tez Johnson,TB,4,49.4,0.2,0,0,0,0,6.3
Ben Skowronek,PIT,4.1,44.4,0.3,0,0,0,0,6.1
Xavier Gipson,NYJ,4.7,55.4,0.2,0,5.5,0,0.5,6
Xavier Weaver,ARI,3.4,40.3,0.3,0,0,0,0,5.8
Justin Watson,HOU,3.4,45.3,0.2,0,0,0,0,5.8
Jordan Watkins,SF,3,42.7,0.2,0,2.5,0,0,5.6
Scotty Miller,PIT,3.9,47.1,0.1,0,0,0,0,5.4
Charlie Jones,CIN,3.4,39.7,0.2,0,1.7,0,0,5.4
Bryce Oliver,TEN,3.4,38.2,0.2,0,0,0,0,5.2
Gage Larvadain,CLE,3.6,39.1,0.2,0,0,0,0,4.8
Dee Eskridge,MIA,3,32.7,0.2,0,1.7,0,0,4.7
Lil'Jordan Humphrey,NYG,4,44,0,0,0,0,0,4.4
Devin Duvernay,CHI,4.5,43.8,0.2,0,3,0,1,4.1
Trent Sherfield Sr.,DEN,2.6,30.8,0.2,0,0,0,0,4
Nick Nash,ATL,3,35,0,0,0,0,0,3.5
DeAndre Carter,CLE,3.9,39.4,0,0,3,0,0.5,3.5
Mitchell Tinsley,CIN,2.5,28.8,0.1,0,0,0,0,3.4
Malachi Corley,CLE,3,29,0,0,2,0,0,3.1
Trishton Jackson,ARI,1.7,20.3,0.2,0,0,0,0,3
Konata Mumpfield,LAR,1.8,21.3,0.2,0,0,0,0,3
Russell Gage Jr.,SF,3,30,0,0,0,0,0,3
Anthony Gould,IND,1.8,22.8,0.1,0,2.5,0,0,2.8
Tyrell Shavers,BUF,1.5,20.1,0.1,0,0,0,0,2.8
Tyler Scott,IND,2,22,0,0,5,0,0,2.7
Ashton Dulin,IND,1.7,19.5,0.1,0,1.7,0,0,2.7
Beaux Collins,NYG,1.7,19.1,0.1,0,0,0,0,2.5
Mason Tipton,NO,1.7,18.7,0.1,0,0,0,0,2.3
Brycen Tremayne,CAR,1.5,16.9,0.1,0,0,0,0,2.2
David Bell,CLE,2,21,0,0,0,0,0,2.1
Jonathan Mingo,DAL,1.5,16.5,0,0,0,0,0,1.7
Isaiah Williams,CIN,1,14,0,0,0,0,0,1.4
Ryan Miller,TB,0.8,9.7,0.1,0,0,0,0,1.4
Xavier Smith,LAR,1,11,0,2.2,9.6,0.1,0.5,1.3
Braxton Berrios,HOU,1,10.5,0,0,2.5,0,0,1.3
Tank Dell,HOU,1,12,0,0,0,0,0,1.2
LaJohntay Wester,BAL,1,12,0,0,0,0,0,1.2
Jacob Cowing,SF,0,0,0,0,8.5,0,0,0.9
Jason Brownlee,KC,0.5,7,0,0,0,0,0,0.7
Nikko Remigio,KC,0.5,6.5,0,0,0,0,0,0.7
Kameron Johnson,TB,0,0,0,0,0,0,0,0
Trent Taylor,SF,0,0,0,0,0,0,0,0
Juwann Winfree,HOU,0,0,0,0,0,0,0,0
D.J. Montgomery,IND,0,0,0,0,0,0,0,0
David Sills,ATL,0,0,0,0,0,0,0,0
Bub Means,NO,0,0,0,0,0,0,0,0
Tahj Washington,MIA,0,0,0,0,0,0,0,0
Bryce Ford-Wheaton,NYG,0,0,0,0,0,0,0,0
Joshua Cephus,JAC,0,0,0,0,0,0,0,0
Ihmir Smith-Marsette,NYG,0,0,0,0,5,0,1,-1.5
