player,team,py_games_played,games_played,pas_att_rat,cmp_rat,pas_yds_rat,pas_tds_rat,int_rat
Derek Carr,LV,17,15,34.64011265736387,22.183234039445534,254.62651386361048,1.4961574899055572,0.4156707446246942
Jared Goff,DET,14.000000000000002,15,36.70293941395517,25.221572614512077,276.47207716316836,1.5900054927495457,-0.31506118281345263
Josh Allen,BUF,17,15,37.25509727946941,23.72017479554918,269.7460395072482,2.2812068470675464,-0.08348917423141602
Kirk Cousins,MIN,16,15,41.220001606436895,27.62799467689077,300.0963994544499,2.0844990770578185,-0.450803453336624
Justin Herbert,LAC,17,15,44.302485360041175,31.210563102965093,307.79481834637204,1.831420293268964,-0.2465086454393864
Patrick Mahomes,KC,17,15,40.35676983661925,27.687339955535666,332.16298723541536,2.502668373699721,-0.5093463321826313
Daniel Jones,NYG,11,15,32.33820742944384,24.142868451321227,225.25755077822208,0.7771936319008979,0.02144451174001272
Dak Prescott,DAL,16,10,34.969939818060496,25.331277934912276,282.65676232725644,2.369996089792888,0.24808228260334592
Joe Burrow,CIN,16,15,37.56946873211627,27.428740175547148,307.7131501032578,2.3911008356939587,-0.03024221871894954
Mac Jones,NE,17,12,31.29636471622309,20.913171302797107,220.6031216949758,0.9916897686621229,0.4352224484006848
Tom Brady,TB,17,15,48.897925236634315,33.49401491942907,311.16429893633784,2.074423155658961,-0.43587480699929637
Trevor Lawrence,JAC,17,15,36.52977537074966,24.195602417640067,253.97222895822387,1.1122781128814119,0.45125949342896865
Geno Smith,SEA,3.2,15,34.012912106777485,24.678539308239138,262.38137919605987,1.7295743408732327,0.06812369070640673
Tua Tagovailoa,MIA,12.2,13,31.833509818299728,21.110306634300542,277.89014128757543,1.6985042431128257,0.16491360097076027
Tyler Huntley,BAL,4.6000000000000005,4,37.328830917963195,25.21251670548445,206.01437443596623,0.42825258580199305,0.8778237707977307
Brock Purdy,SF,0,4,20.556596749664187,10.565096882342775,162.97959452968962,0.8745823359060854,0.8214573359060853
Deshaun Watson,CLE,0,4,21.352524712293526,9.685133660657241,139.58799791982773,0.45254490815587267,0.9506699081558728
Sam Darnold,CAR,11.2,4,30.44905178615472,18.90375402938775,213.14033818706767,0.8009336712422833,0.8727211362282777
Davis Mills,HOU,11.4,13,34.40049892126073,22.96106846756504,229.28274434516214,1.2578961293376143,0.6119097516286364
Baker Mayfield,LAR,14.000000000000002,10,29.31391685036479,18.348399487884517,205.3707328086118,1.1149287047567225,0.6504215268855745
Jeff Driskel,HOU,0,3,16.36209990077804,6.953574408273988,125.53775036799153,0.5859200200168698,0.8834200200168698
Aaron Rodgers,GB,16,15,32.956049112467895,22.243664740680767,235.96598817275478,2.0681666730921298,-0.712689527488336
Andy Dalton,NO,6.4,12,33.29802532948909,22.481952315409945,237.55031442444425,1.3701055767207138,0.9655263654907659
Taylor Heinicke,WAS,15.2,9,29.18874011425541,18.908847616456956,213.75052202503858,1.3097814048259568,0.6155370592807217
Justin Fields,CHI,10.4,14,19.32557830268419,12.253215204388834,152.57234811525097,0.8085344686540036,0.7645940840386187
