player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Zach Ertz,TE,WAS,2,2,37,1,0,7.538174474428625e-13,3.97360085199966e-13,0.1842243214743549,0.182592580256358,0.15967632969943343,0.16972557969262042,0,0.0112998783199765,NA
Jeremy McNichols,RB,WAS,2,1,39,0,0.09693791345709682,0.0798013758449236,0.12618102075612628,0.011161360664766088,0.007325879115524077,0.00606184091123998,0.009096905613163545,0,0.01183233331934712,NA
Noah Brown,WR,WAS,2,2,25,0,0,3.1436406596051153e-10,1.7174487099000755e-10,0.16957892793912988,0.16286417578965168,0.16269387718378497,0.16409667945626918,0,0.01116183443125078,NA
Austin Ekeler,RB,WAS,2,2,86,1,0.321043517591003,0.41435100971453426,0.3389953578406562,0.10452998429728194,0.10477209731670403,0.09470045271332644,0.09916514242092536,0,0.01562993888026406,NA
Terry McLaurin,WR,WAS,2,2,49,1,0,1.9294438164997908e-4,1.1925753021077147e-4,0.21358745889774358,0.22661879384394,0.2825159865790331,0.2549335794833654,0,0.01027440943229975,NA
Olamide Zaccheaus,WR,WAS,2,2,22,3,0,1.4409670045744776e-12,6.861754166082603e-13,0.09986670495098561,0.09581795165997345,0.09698151721316944,0.09685244195823249,0,0.01163512776402467,NA
Dyami Brown,WR,WAS,2,2,13,0,0,1.3141243022739666e-9,6.977122474010303e-10,0.05999246956760562,0.0637070438388681,0.04383630950319923,0.053425870842172124,0,0.01157596609742793,NA
John Bates,TE,WAS,2,2,3,0,0,0,0,0.016603574490949086,0.016101182657235615,0.016536384356300723,0.017524259659379385,0,0.01145764276423446,NA
Brian Robinson,RB,WAS,2,2,110,0,0.43724197195519,0.35111053409988974,0.42496394233975504,0.053441586184634515,0.056030918622643686,0.05084086080263617,0.049964702065901985,0,0.01427880110211331,NA
Ben Sinnott,TE,WAS,2,0,3,0,0,0,0,0.031207531730756275,0.03264697564628448,0.029642255141491526,0.0330425755110542,0.21,0.007,NA
Luke McCaffrey,WR,WAS,2,0,13,0,0,0,0,0.05580607980179254,0.051522401252816916,0.05651418589638505,0.05217226329691585,0.21,0.007,NA
Saquon Barkley,RB,PHI,2,2,192,1,0.46451219574145464,0.4973397141652079,0.38474079728585825,0.10102786255385056,0.10332078463891563,0.09134524721164126,0.10077293873309673,0,0.00948614665939383,NA
Dallas Goedert,TE,PHI,2,2,26,1,2.789311843041459e-5,2.1539034120644507e-5,2.964183289719303e-5,0.14831115898998495,0.14752033778427404,0.15213502767793288,0.17299346159779577,0,0.01064909998741241,NA
A J Brown,WR,PHI,2,2,28,0,5.0452091550111715e-14,6.960162877137554e-14,6.173498538421788e-14,0.25987678853016544,0.2546856068005844,0.3027319339785127,0.2389385337559581,0,0.01307528776626246,NA
DeVonta Smith,WR,PHI,2,2,37,0,0,0,0,0.21708900151805613,0.21064692816548602,0.20725983152865346,0.21504542508328997,0,0.01190163498790193,NA
Kenneth Gainwell,RB,PHI,2,2,44,0,0.15769047533970196,0.1311027605701455,0.09909035591343304,0.0459382505850761,0.04687202270393748,0.03574113771418544,0.037010605985180106,0,0.01458418998867117,NA
Jack Stoll,TE,MIA,2,0,2,0,0,0,0,0.01183912476932519,0.011860406478114793,0.009648259528788982,0.01071282824386535,0,0.01173373054168589,NA
Jahan Dotson,WR,PHI,2,2,9,0,0.001011936141410758,0.002731566696187177,0.0017693073102826357,0.05489951406718531,0.05553432521201928,0.07164674554223291,0.05287120202007751,0,0.0108660260982671,NA
Grant Calcaterra,TE,PHI,2,2,17,0,0,0,0,0.09282508675757686,0.0936388335200382,0.08196362258842677,0.07988392512837374,0,0.01175345109721814,NA
Will Shipley,RB,PHI,2,0,19,0,0.13728876916773886,0.10226393638234371,0.06946826582291807,0.006149913813926968,0.0061430802728898665,0.006096376242095322,0.006180489761394019,0.21,0.007,NA
Ainias Smith,WR,PHI,2,0,4,0,0.005474962452347501,0.002754563614294575,0.0033635851531856552,0.052614211415434986,0.05854237263427512,0.03574804660031428,0.039510015190710866,0.21,0.007,NA
Johnny Wilson,WR,PHI,2,0,2,0,0,0,0,0.021268211768742655,0.023095708267580034,0.015332030916004864,0.05679340274412313,0.21,0.007,NA
Demarcus Robinson,WR,LAR,2,2,22,0,0,0,0,0.10364160925507639,0.09173772273301381,0.10791763096097974,0.13137263262381016,0,0.01463321165330983,NA
Cooper Kupp,WR,LAR,2,2,43,0,0.0040794970085928466,0.004819423011657463,0.0066359107569067925,0.23121010415532095,0.2454787686586104,0.24014027207406943,0.2295035711652024,0,0.01064909998741241,NA
Colby Parkinson,TE,LAR,2,2,23,0,0,0,0,0.05354885676174279,0.05460756729953887,0.053301008455045006,0.05770618467598287,0,0.01133931943104099,NA
Tyler Johnson,WR,LAR,2,2,21,0,0,0,0,0.07860654656638652,0.07878214085558997,0.07840553441887851,0.07332074818888056,0,0.01179289220828263,NA
Tutu Atwell,WR,LAR,2,2,27,0,0.0015539962503819716,0.0019628593239658407,0.0026168159363188733,0.09033637194308076,0.08835326093989455,0.0872806753594945,0.09233792080242308,0,0.01096462887592833,NA
Hunter Long,TE,LAR,2,2,5,0,0,0,0,0.014176919705933138,0.016669478415558263,0.015160150481694577,0.014863014990450289,0,0.01183233331934712,NA
Kyren Williams,RB,LAR,2,2,201,3,0.8168382822425568,0.8651936174624084,0.8253571770970316,0.08209480720749848,0.0828095727507492,0.06172176594930871,0.0695724037793265,0,0.01170498888096337,NA
Ronnie Rivers,RB,LAR,1,2,11,0,0.008884490743361067,0.008982199930635083,0.013595487451693693,0.0010982704433796673,0.0011111441307157164,9.716414527253634e-4,0.00115587387382648,0,0.01143792220870222,NA
Davis Allen,TE,LAR,2,2,6,0,0,0,0,0.04483746629326941,0.04515007632597022,0.035337361124247346,0.031679678243910714,0,0.01163512776402467,NA
Puka Nacua,WR,LAR,2,0,19,0,0.014019654062352995,0.016227946970776112,0.020500132794974407,0.2272005736566665,0.21817547213485713,0.24044629217111346,0.21827402406423382,0,0.0111916949887411,NA
Xavier Smith,WR,LAR,1,0,2,0,0.005007288313386559,0.013957557450473336,0.012887491169929068,0.003713585908788865,0.004046126398787671,0.003088384037690838,0.0037755246425421195,0,0.01183233331934712,NA
Blake Corum,RB,LAR,2,0,26,0,0.09568922045494095,0.0807168093979082,0.08444686989653902,0.01620070035822592,0.018046859812060095,0.01656350113362756,0.015470164146773244,0.21,0.007,NA
Jordan Whittington,WR,LAR,2,0,18,0,0,0,0,0.05333418774463061,0.05503180954465408,0.059665782381124945,0.06096825880263779,0.21,0.007,NA
Cody Schrader,RB,LAR,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007,NA
Hunter Henry,TE,NE,2,2,40,0,0,0,0,0.16733659570160325,0.16101696559715756,0.17126444863343815,0.15249628654676034,0,0.01267073665365949,NA
Austin Hooper,TE,NE,2,2,19,1,0,0,0,0.09821338005903307,0.10336737582931589,0.12114192218410771,0.08836843900015795,0,0.01133931943104099,NA
Kendrick Bourne,WR,NE,1,2,8,0,9.570921413183238e-5,7.935635369542147e-5,1.379321593004344e-4,0.08628671446241158,0.08148574274184175,0.08570629803650853,0.08212834715449294,0,0.01274961887578847,NA
Antonio Gibson,RB,NE,2,2,75,1,0.1332512936973222,0.12586081320705522,0.11184155639464252,0.04174168829968897,0.04359040713790621,0.04683325183280439,0.04318540347907803,0,0.01627057721087008,NA
K J Osborn,WR,NE,2,2,7,0,0,0,0,0.059095569463213996,0.050689580655443225,0.046198231278107786,0.053556054357691625,0,0.01255241332046602,NA
Jamycal Hasty,RB,NE,2,1,25,0,0.11945472410322205,0.08812201200712029,0.07803828484998548,0.03146675387835975,0.03605876551195856,0.02531983534468561,0.027406424413146505,0,0.01183233331934712,NA
Rhamondre Stevenson,RB,NE,2,2,158,4,0.5616427299538104,0.43587031407849647,0.5465471117766459,0.09084405608042057,0.1012157213024961,0.08554455449982301,0.10603102858121562,0,0.00967321221275822,NA
Tyquan Thornton,WR,NE,1,2,4,0,3.8400971309243555e-6,4.4220300981033455e-6,6.5718123025715264e-6,0.021985187420674637,0.023149987232556405,0.023856740786196103,0.02202789839961064,0,0.0115168044308312,NA
